Symbol;Price;Change24;Max24;Min24;Volume24
IOSTUSDT;0.03267000;0.554;0.03296000;0.03084000;7482621.46285000
IOSTUSDT;0.03267000;0.585;0.03296000;0.03084000;7483819.19422000
IOSTUSDT;0.03266000;0.585;0.03296000;0.03084000;7482033.00280000
IOSTUSDT;0.03262000;0.554;0.03296000;0.03084000;7482003.84474000
IOSTUSDT;0.03263000;0.524;0.03296000;0.03084000;7484201.30423000
IOSTUSDT;0.03264000;0.617;0.03296000;0.03084000;7484761.28072000
IOSTUSDT;0.03264000;0.648;0.03296000;0.03084000;7484661.39796000
IOSTUSDT;0.03262000;0.524;0.03296000;0.03084000;7484841.48862000
IOSTUSDT;0.03261000;0.524;0.03296000;0.03084000;7484214.92518000
IOSTUSDT;0.03261000;0.369;0.03296000;0.03084000;7482826.66079000
IOSTUSDT;0.03263000;0.524;0.03296000;0.03084000;7479860.68708000
IOSTUSDT;0.03261000;0.462;0.03296000;0.03084000;7480679.88007000
IOSTUSDT;0.03261000;0.493;0.03296000;0.03084000;7480539.50845000
IOSTUSDT;0.03260000;0.493;0.03296000;0.03084000;7481204.34542000
IOSTUSDT;0.03260000;0.493;0.03296000;0.03084000;7481204.34542000
IOSTUSDT;0.03261000;0.493;0.03296000;0.03084000;7481231.10720000
IOSTUSDT;0.03260000;0.431;0.03296000;0.03084000;7466121.66972000
IOSTUSDT;0.03260000;0.400;0.03296000;0.03084000;7466395.39302000
IOSTUSDT;0.03262000;0.338;0.03296000;0.03084000;7466398.66373000
IOSTUSDT;0.03258000;0.308;0.03296000;0.03084000;7468703.97408000
IOSTUSDT;0.03258000;0.308;0.03296000;0.03084000;7460104.69553000
IOSTUSDT;0.03260000;0.277;0.03296000;0.03084000;7460354.54000000
IOSTUSDT;0.03258000;0.369;0.03296000;0.03084000;7460066.44638000
IOSTUSDT;0.03261000;0.277;0.03296000;0.03084000;7457959.17168000
IOSTUSDT;0.03260000;0.308;0.03296000;0.03084000;7458559.53127000
IOSTUSDT;0.03260000;0.092;0.03296000;0.03084000;7460760.68439000
IOSTUSDT;0.03261000;0.123;0.03296000;0.03084000;7457299.17685000
IOSTUSDT;0.03261000;0.184;0.03296000;0.03084000;7456315.33486000
IOSTUSDT;0.03259000;0.092;0.03296000;0.03084000;7455529.63835000
IOSTUSDT;0.03259000;0.277;0.03296000;0.03084000;7450930.27590000
IOSTUSDT;0.03262000;0.277;0.03296000;0.03084000;7450879.53770000
IOSTUSDT;0.03260000;0.154;0.03296000;0.03084000;7448490.17735000
IOSTUSDT;0.03260000;0.154;0.03296000;0.03084000;7448490.17735000
IOSTUSDT;0.03260000;0.123;0.03296000;0.03084000;7448379.82969000
IOSTUSDT;0.03260000;0.092;0.03296000;0.03084000;7447874.88921000
IOSTUSDT;0.03260000;0.184;0.03296000;0.03084000;7440533.60140000
IOSTUSDT;0.03260000;0.184;0.03296000;0.03084000;7442026.71400000
IOSTUSDT;0.03264000;0.462;0.03296000;0.03084000;7433927.33634000
IOSTUSDT;0.03264000;0.400;0.03296000;0.03084000;7423082.70456000
IOSTUSDT;0.03264000;0.462;0.03296000;0.03084000;7421924.44447000
IOSTUSDT;0.03264000;0.462;0.03296000;0.03084000;7421857.17772000
IOSTUSDT;0.03264000;0.462;0.03296000;0.03084000;7422133.99756000
IOSTUSDT;0.03263000;0.400;0.03296000;0.03084000;7420960.89742000
IOSTUSDT;0.03263000;0.431;0.03296000;0.03084000;7420930.21742000
IOSTUSDT;0.03263000;0.431;0.03296000;0.03084000;7420930.21742000
IOSTUSDT;0.03264000;0.493;0.03296000;0.03084000;7421309.17645000
IOSTUSDT;0.03264000;0.493;0.03296000;0.03084000;7421309.17645000
IOSTUSDT;0.03264000;0.462;0.03296000;0.03084000;7420583.38462000
IOSTUSDT;0.03263000;0.369;0.03296000;0.03084000;7420640.07910000
IOSTUSDT;0.03263000;0.338;0.03296000;0.03084000;7420132.64792000
IOSTUSDT;0.03263000;0.307;0.03296000;0.03084000;7420000.95184000
IOSTUSDT;0.03263000;0.307;0.03296000;0.03084000;7420318.27265000
IOSTUSDT;0.03263000;0.400;0.03296000;0.03084000;7419935.39455000
IOSTUSDT;0.03263000;0.400;0.03296000;0.03084000;7420358.50776000
IOSTUSDT;0.03263000;0.400;0.03296000;0.03084000;7420358.50776000
IOSTUSDT;0.03261000;0.338;0.03296000;0.03084000;7420086.48661000
IOSTUSDT;0.03262000;0.338;0.03296000;0.03084000;7420086.48661000
IOSTUSDT;0.03260000;0.308;0.03296000;0.03084000;7420093.88493000
IOSTUSDT;0.03260000;0.246;0.03296000;0.03084000;7417817.76339000
IOSTUSDT;0.03260000;0.215;0.03296000;0.03084000;7417418.58600000
IOSTUSDT;0.03260000;0.184;0.03296000;0.03084000;7420836.97453000
IOSTUSDT;0.03261000;0.369;0.03296000;0.03084000;7420740.73626000
