Symbol;Price;Change24;Max24;Min24;Volume24
IOTAUSDT;1.47380000;0.143;1.55000000;1.44450000;51036798.26030000
IOTAUSDT;1.47380000;0.115;1.55000000;1.44450000;51026996.14650000
IOTAUSDT;1.47370000;0.122;1.55000000;1.44450000;51027618.99030000
IOTAUSDT;1.47260000;-0.007;1.55000000;1.44450000;51030454.66790000
IOTAUSDT;1.47290000;0.020;1.55000000;1.44450000;51034149.89920000
IOTAUSDT;1.47220000;-0.014;1.55000000;1.44450000;51028945.79120000
IOTAUSDT;1.47250000;0.225;1.55000000;1.44450000;51019457.81030000
IOTAUSDT;1.47170000;-0.048;1.55000000;1.44450000;51017973.64050000
IOTAUSDT;1.47170000;0.054;1.55000000;1.44450000;51013247.66550000
IOTAUSDT;1.47180000;0.000;1.55000000;1.44450000;51009235.84860000
IOTAUSDT;1.47190000;0.041;1.55000000;1.44450000;51006446.08870000
IOTAUSDT;1.47130000;0.143;1.55000000;1.44450000;50981873.71750000
IOTAUSDT;1.47100000;0.348;1.55000000;1.44450000;50960761.87700000
IOTAUSDT;1.47110000;0.279;1.55000000;1.44450000;50950865.58420000
IOTAUSDT;1.47070000;0.177;1.55000000;1.44450000;50939512.65710000
IOTAUSDT;1.47320000;0.382;1.55000000;1.44450000;50918495.84370000
IOTAUSDT;1.47320000;0.347;1.55000000;1.44450000;50908619.20900000
IOTAUSDT;1.47250000;0.088;1.55000000;1.44450000;50907389.97590000
IOTAUSDT;1.47260000;0.156;1.55000000;1.44450000;50905452.84790000
IOTAUSDT;1.47110000;-0.088;1.55000000;1.44450000;50905106.21310000
IOTAUSDT;1.47000000;-0.054;1.55000000;1.44450000;50859521.45270000
IOTAUSDT;1.47020000;-0.034;1.55000000;1.44450000;50855770.46430000
IOTAUSDT;1.47060000;-0.048;1.55000000;1.44450000;50852747.16080000
IOTAUSDT;1.47180000;0.048;1.55000000;1.44450000;50853548.93370000
IOTAUSDT;1.47210000;0.136;1.55000000;1.44450000;50855523.40590000
IOTAUSDT;1.47310000;-0.142;1.55000000;1.44450000;50857069.45000000
IOTAUSDT;1.47330000;-0.014;1.55000000;1.44450000;50841605.31130000
IOTAUSDT;1.47420000;0.156;1.55000000;1.44450000;50841066.58850000
IOTAUSDT;1.47430000;0.156;1.55000000;1.44450000;50842493.71040000
IOTAUSDT;1.47450000;0.388;1.55000000;1.44450000;50833972.39860000
IOTAUSDT;1.47560000;0.388;1.55000000;1.44450000;50815906.06960000
IOTAUSDT;1.47450000;0.327;1.55000000;1.44450000;50809513.87020000
IOTAUSDT;1.47830000;0.633;1.55000000;1.44450000;50849325.89690000
IOTAUSDT;1.47820000;0.530;1.55000000;1.44450000;50848544.87880000
IOTAUSDT;1.47890000;0.537;1.55000000;1.44450000;50847394.27670000
IOTAUSDT;1.47750000;0.647;1.55000000;1.44450000;50842478.88710000
IOTAUSDT;1.47750000;0.743;1.55000000;1.44450000;50840976.62340000
IOTAUSDT;1.47880000;1.011;1.55000000;1.44450000;50813236.52250000
IOTAUSDT;1.47810000;0.715;1.55000000;1.44450000;50790834.65000000
IOTAUSDT;1.47810000;0.853;1.55000000;1.44450000;50788898.90510000
IOTAUSDT;1.47800000;0.929;1.55000000;1.44450000;50786126.51130000
IOTAUSDT;1.47800000;0.901;1.55000000;1.44450000;50778780.23780000
IOTAUSDT;1.47800000;0.832;1.55000000;1.44450000;50765995.91380000
IOTAUSDT;1.47670000;0.771;1.55000000;1.44450000;50764649.47730000
IOTAUSDT;1.47670000;0.792;1.55000000;1.44450000;50758744.85440000
IOTAUSDT;1.47760000;0.654;1.55000000;1.44450000;50736259.82850000
IOTAUSDT;1.47760000;0.798;1.55000000;1.44450000;50726415.33150000
IOTAUSDT;1.47660000;0.702;1.55000000;1.44450000;50729091.32300000
IOTAUSDT;1.47680000;0.634;1.55000000;1.44450000;50731477.87570000
IOTAUSDT;1.47680000;0.469;1.55000000;1.44450000;50720091.15740000
IOTAUSDT;1.47550000;0.306;1.55000000;1.44450000;50716024.01000000
IOTAUSDT;1.47520000;0.204;1.55000000;1.44450000;50716519.34230000
IOTAUSDT;1.47330000;0.340;1.55000000;1.44450000;50738790.16980000
IOTAUSDT;1.47460000;0.286;1.55000000;1.44450000;50750566.71490000
IOTAUSDT;1.47550000;0.340;1.55000000;1.44450000;50750315.47690000
IOTAUSDT;1.47550000;0.156;1.55000000;1.44450000;50726700.36750000
IOTAUSDT;1.47410000;0.149;1.55000000;1.44450000;50751848.95600000
IOTAUSDT;1.47440000;0.054;1.55000000;1.44450000;50746661.46210000
IOTAUSDT;1.47470000;0.177;1.55000000;1.44450000;50745007.68410000
IOTAUSDT;1.47460000;0.156;1.55000000;1.44450000;50745222.91400000
IOTAUSDT;1.47530000;0.183;1.55000000;1.44450000;50720276.80870000
IOTAUSDT;1.47750000;0.367;1.55000000;1.44450000;50686854.08520000
IOTAUSDT;1.47770000;0.387;1.55000000;1.44450000;50687752.26620000
IOTAUSDT;1.47640000;0.435;1.55000000;1.44450000;50664533.58760000
IOTAUSDT;1.47480000;0.422;1.55000000;1.44450000;50666648.01430000
IOTAUSDT;1.47420000;0.765;1.55000000;1.44450000;50656273.46400000
IOTAUSDT;1.47420000;0.772;1.55000000;1.44450000;50657089.90770000
IOTAUSDT;1.47360000;0.690;1.55000000;1.44450000;50656877.11020000
IOTAUSDT;1.47300000;0.450;1.55000000;1.44450000;50636982.69890000
IOTAUSDT;1.47300000;0.416;1.55000000;1.44450000;50646936.08990000
IOTAUSDT;1.47160000;0.409;1.55000000;1.44450000;50704771.61760000
IOTAUSDT;1.47110000;0.307;1.55000000;1.44450000;50691139.55110000
IOTAUSDT;1.46520000;0.130;1.55000000;1.44450000;50930244.14810000
IOTAUSDT;1.46760000;0.280;1.55000000;1.44450000;50935244.67550000
IOTAUSDT;1.46430000;0.103;1.55000000;1.44450000;50990572.26850000
IOTAUSDT;1.46130000;0.109;1.55000000;1.44450000;50984034.54800000
IOTAUSDT;1.45950000;-0.055;1.55000000;1.44450000;51065842.11740000
IOTAUSDT;1.46190000;0.474;1.55000000;1.44450000;50924352.14100000
IOTAUSDT;1.46380000;0.868;1.55000000;1.44450000;50890535.00550000
IOTAUSDT;1.46360000;0.639;1.55000000;1.44450000;50858034.90070000
IOTAUSDT;1.46300000;0.591;1.55000000;1.44450000;50824815.09150000
IOTAUSDT;1.46310000;0.453;1.55000000;1.44450000;50824684.96230000
IOTAUSDT;1.46410000;0.405;1.55000000;1.44450000;50827147.21010000
IOTAUSDT;1.46330000;0.529;1.55000000;1.44450000;50826576.04750000
IOTAUSDT;1.46330000;0.591;1.55000000;1.44450000;50826565.85830000
IOTAUSDT;1.46370000;0.556;1.55000000;1.44450000;50828165.92330000
IOTAUSDT;1.46290000;0.439;1.55000000;1.44450000;50830518.25350000
IOTAUSDT;1.46200000;0.247;1.55000000;1.44450000;50827520.15940000
IOTAUSDT;1.46260000;0.302;1.55000000;1.44450000;50824033.64900000
IOTAUSDT;1.46330000;0.302;1.55000000;1.44450000;50824519.10680000
IOTAUSDT;1.46340000;0.370;1.55000000;1.44450000;50826439.78040000
IOTAUSDT;1.46340000;0.398;1.55000000;1.44450000;50823857.06420000
IOTAUSDT;1.46030000;0.206;1.55000000;1.44450000;50823445.10110000
IOTAUSDT;1.46060000;0.158;1.55000000;1.44450000;50823520.23100000
IOTAUSDT;1.46110000;0.192;1.55000000;1.44450000;50826701.62490000
IOTAUSDT;1.46100000;0.151;1.55000000;1.44450000;50818845.50490000
IOTAUSDT;1.46140000;0.206;1.55000000;1.44450000;50819368.88340000
IOTAUSDT;1.46050000;0.096;1.55000000;1.44450000;50822646.50960000
IOTAUSDT;1.46090000;0.103;1.55000000;1.44450000;50821755.02720000
IOTAUSDT;1.46090000;0.199;1.55000000;1.44450000;50812730.26190000
IOTAUSDT;1.45910000;0.041;1.55000000;1.44450000;50816818.24670000
IOTAUSDT;1.45770000;0.048;1.55000000;1.44450000;50810198.90230000
IOTAUSDT;1.45800000;0.007;1.55000000;1.44450000;50817177.22280000
IOTAUSDT;1.45850000;0.103;1.55000000;1.44450000;50802583.75500000
IOTAUSDT;1.45790000;0.096;1.55000000;1.44450000;50802897.79300000
IOTAUSDT;1.45840000;0.206;1.55000000;1.44450000;50799568.05890000
IOTAUSDT;1.45960000;0.275;1.55000000;1.44450000;50806663.35430000
IOTAUSDT;1.45960000;0.295;1.55000000;1.44450000;50806439.24270000
IOTAUSDT;1.45960000;0.240;1.55000000;1.44450000;50806862.10340000
IOTAUSDT;1.46080000;0.330;1.55000000;1.44450000;50806328.72610000
IOTAUSDT;1.46040000;0.282;1.55000000;1.44450000;50802833.53240000
IOTAUSDT;1.45980000;0.247;1.55000000;1.44450000;50803167.02080000
IOTAUSDT;1.45970000;0.330;1.55000000;1.44450000;50798915.27180000
IOTAUSDT;1.46040000;0.371;1.55000000;1.44450000;50811186.21590000
IOTAUSDT;1.45990000;0.433;1.55000000;1.44450000;50805216.47290000
IOTAUSDT;1.46080000;0.503;1.55000000;1.44450000;50802507.47410000
IOTAUSDT;1.45960000;0.718;1.55000000;1.44450000;50768995.17090000
IOTAUSDT;1.45850000;0.767;1.55000000;1.44450000;50762210.70990000
IOTAUSDT;1.46020000;0.717;1.55000000;1.44450000;50736654.18890000
IOTAUSDT;1.46030000;0.752;1.55000000;1.44450000;50728785.21940000
IOTAUSDT;1.46120000;0.842;1.55000000;1.44450000;50728102.03230000
IOTAUSDT;1.45970000;0.655;1.55000000;1.44450000;50727927.00520000
IOTAUSDT;1.46050000;0.669;1.55000000;1.44450000;50724143.44310000
IOTAUSDT;1.45980000;0.337;1.55000000;1.44450000;50713474.70670000
IOTAUSDT;1.45940000;0.289;1.55000000;1.44450000;50706199.65890000
IOTAUSDT;1.45970000;0.247;1.55000000;1.44450000;50701653.86800000
IOTAUSDT;1.45970000;0.358;1.55000000;1.44450000;50701647.60280000
IOTAUSDT;1.45920000;0.364;1.55000000;1.44450000;50700794.30340000
IOTAUSDT;1.46140000;0.350;1.55000000;1.44450000;50708736.29320000
IOTAUSDT;1.46230000;0.426;1.55000000;1.44450000;50708710.68980000
IOTAUSDT;1.46360000;0.439;1.55000000;1.44450000;50722724.91040000
IOTAUSDT;1.46300000;0.584;1.55000000;1.44450000;50709688.52780000
IOTAUSDT;1.46330000;0.660;1.55000000;1.44450000;50697528.95550000
IOTAUSDT;1.46350000;0.792;1.55000000;1.44450000;50689306.35110000
IOTAUSDT;1.46560000;0.826;1.55000000;1.44450000;50684440.00910000
IOTAUSDT;1.46590000;0.832;1.55000000;1.44450000;50722389.45260000
IOTAUSDT;1.46640000;0.846;1.55000000;1.44450000;50723894.69350000
IOTAUSDT;1.46670000;0.901;1.55000000;1.44450000;50722729.49310000
IOTAUSDT;1.46570000;0.860;1.55000000;1.44450000;50717210.61260000
IOTAUSDT;1.46670000;0.825;1.55000000;1.44450000;50717357.74140000
IOTAUSDT;1.46740000;0.770;1.55000000;1.44450000;50715632.82600000
IOTAUSDT;1.46710000;0.666;1.55000000;1.44450000;50716337.09760000
IOTAUSDT;1.46760000;0.589;1.55000000;1.44450000;50713632.18330000
IOTAUSDT;1.46930000;0.713;1.55000000;1.44450000;50705558.53060000
IOTAUSDT;1.46900000;0.665;1.55000000;1.44450000;50709068.86740000
IOTAUSDT;1.46870000;0.803;1.55000000;1.44450000;50707184.95220000
