Symbol;Price;Change24;Max24;Min24;Volume24
IOTXUSDT;0.12327000;-0.749;0.12701000;0.11720000;14698050.37291000
IOTXUSDT;0.12326000;-0.669;0.12701000;0.11720000;14695459.66420000
IOTXUSDT;0.12312000;-0.781;0.12701000;0.11720000;14692963.05163000
IOTXUSDT;0.12312000;-0.790;0.12701000;0.11720000;14690160.76783000
IOTXUSDT;0.12316000;-0.717;0.12701000;0.11720000;14690682.36137000
IOTXUSDT;0.12322000;-0.549;0.12701000;0.11720000;14690679.97649000
IOTXUSDT;0.12313000;-0.597;0.12701000;0.11720000;14689330.79473000
IOTXUSDT;0.12311000;-0.726;0.12701000;0.11720000;14687990.51920000
IOTXUSDT;0.12307000;-0.734;0.12701000;0.11720000;14688482.36014000
IOTXUSDT;0.12305000;-0.758;0.12701000;0.11720000;14686451.76830000
IOTXUSDT;0.12302000;-0.862;0.12701000;0.11720000;14685416.10089000
IOTXUSDT;0.12288000;-0.887;0.12701000;0.11720000;14685939.06626000
IOTXUSDT;0.12284000;-0.856;0.12701000;0.11720000;14686555.45641000
IOTXUSDT;0.12285000;-0.936;0.12701000;0.11720000;14681951.01721000
IOTXUSDT;0.12283000;-0.832;0.12701000;0.11720000;14679706.73683000
IOTXUSDT;0.12282000;-0.975;0.12701000;0.11720000;14677893.83525000
IOTXUSDT;0.12282000;-0.928;0.12701000;0.11720000;14677385.29470000
IOTXUSDT;0.12282000;-0.928;0.12701000;0.11720000;14677385.29470000
IOTXUSDT;0.12288000;-1.023;0.12701000;0.11720000;14672003.18857000
IOTXUSDT;0.12273000;-0.984;0.12701000;0.11720000;14671442.96734000
IOTXUSDT;0.12275000;-1.000;0.12701000;0.11720000;14671258.01961000
IOTXUSDT;0.12275000;-1.032;0.12701000;0.11720000;14670245.36546000
IOTXUSDT;0.12275000;-1.040;0.12701000;0.11720000;14670259.37178000
IOTXUSDT;0.12280000;-1.040;0.12701000;0.11720000;14672766.82637000
IOTXUSDT;0.12286000;-1.063;0.12701000;0.11720000;14671103.80588000
IOTXUSDT;0.12302000;-1.093;0.12701000;0.11720000;14673116.48631000
IOTXUSDT;0.12291000;-1.174;0.12701000;0.11720000;14664378.34975000
IOTXUSDT;0.12294000;-1.190;0.12701000;0.11720000;14662322.43345000
IOTXUSDT;0.12289000;-1.206;0.12701000;0.11720000;14662324.70123000
IOTXUSDT;0.12289000;-1.206;0.12701000;0.11720000;14657395.26913000
IOTXUSDT;0.12292000;-1.253;0.12701000;0.11720000;14659439.78304000
IOTXUSDT;0.12289000;-1.293;0.12701000;0.11720000;14659136.20696000
IOTXUSDT;0.12287000;-1.341;0.12701000;0.11720000;14657524.92006000
IOTXUSDT;0.12287000;-1.365;0.12701000;0.11720000;14654107.32167000
IOTXUSDT;0.12283000;-1.309;0.12701000;0.11720000;14653697.03499000
IOTXUSDT;0.12279000;-1.206;0.12701000;0.11720000;14647424.68615000
IOTXUSDT;0.12276000;-1.207;0.12701000;0.11720000;14647294.07125000
IOTXUSDT;0.12280000;-1.239;0.12701000;0.11720000;14641419.03475000
IOTXUSDT;0.12284000;-1.373;0.12701000;0.11720000;14637450.81991000
IOTXUSDT;0.12280000;-1.239;0.12701000;0.11720000;14625920.83513000
IOTXUSDT;0.12280000;-1.294;0.12701000;0.11720000;14624474.80667000
IOTXUSDT;0.12280000;-1.239;0.12701000;0.11720000;14624330.49107000
IOTXUSDT;0.12280000;-1.318;0.12701000;0.11720000;14622970.45087000
IOTXUSDT;0.12279000;-1.294;0.12701000;0.11720000;14656372.70683000
IOTXUSDT;0.12276000;-1.326;0.12701000;0.11720000;14653167.58007000
IOTXUSDT;0.12283000;-1.270;0.12701000;0.11720000;14653299.99372000
IOTXUSDT;0.12283000;-1.222;0.12701000;0.11720000;14650924.73520000
IOTXUSDT;0.12285000;-1.198;0.12701000;0.11720000;14652743.22310000
IOTXUSDT;0.12286000;-1.206;0.12701000;0.11720000;14652422.44758000
IOTXUSDT;0.12282000;-1.365;0.12701000;0.11720000;14650570.00846000
IOTXUSDT;0.12289000;-1.325;0.12701000;0.11720000;14651310.54843000
IOTXUSDT;0.12285000;-1.309;0.12701000;0.11720000;14650305.66713000
IOTXUSDT;0.12285000;-1.325;0.12701000;0.11720000;14650093.73869000
IOTXUSDT;0.12287000;-1.309;0.12701000;0.11720000;14648865.20877000
IOTXUSDT;0.12289000;-1.309;0.12701000;0.11720000;14648779.26783000
IOTXUSDT;0.12290000;-1.253;0.12701000;0.11720000;14650046.28828000
IOTXUSDT;0.12285000;-1.302;0.12701000;0.11720000;14649580.35437000
IOTXUSDT;0.12283000;-1.318;0.12701000;0.11720000;14650115.10633000
IOTXUSDT;0.12281000;-1.381;0.12701000;0.11720000;14649803.29740000
IOTXUSDT;0.12279000;-1.484;0.12701000;0.11720000;14638452.08071000
IOTXUSDT;0.12290000;-1.475;0.12701000;0.11720000;14630414.95295000
IOTXUSDT;0.12295000;-1.340;0.12701000;0.11720000;14590545.33293000
IOTXUSDT;0.12297000;-1.387;0.12701000;0.11720000;14587576.11023000
IOTXUSDT;0.12282000;-1.429;0.12701000;0.11720000;14584902.89391000
IOTXUSDT;0.12272000;-1.390;0.12701000;0.11720000;14582642.56017000
IOTXUSDT;0.12260000;-1.264;0.12701000;0.11720000;14577480.37608000
IOTXUSDT;0.12261000;-1.161;0.12701000;0.11720000;14575967.88527000
IOTXUSDT;0.12262000;-1.153;0.12701000;0.11720000;14576942.57047000
IOTXUSDT;0.12261000;-1.352;0.12701000;0.11720000;14563241.90628000
IOTXUSDT;0.12261000;-1.375;0.12701000;0.11720000;14562251.59271000
IOTXUSDT;0.12255000;-1.384;0.12701000;0.11720000;14562409.27349000
IOTXUSDT;0.12253000;-1.582;0.12701000;0.11720000;14525394.60132000
IOTXUSDT;0.12239000;-1.426;0.12701000;0.11720000;14524555.07924000
IOTXUSDT;0.12245000;-1.465;0.12701000;0.11720000;14513610.93784000
IOTXUSDT;0.12230000;-1.465;0.12701000;0.11720000;14506686.22024000
IOTXUSDT;0.12237000;-1.514;0.12701000;0.11720000;14506514.12692000
IOTXUSDT;0.12238000;-1.322;0.12701000;0.11720000;14509053.47550000
IOTXUSDT;0.12226000;-1.379;0.12701000;0.11720000;14504911.11397000
IOTXUSDT;0.12238000;-1.243;0.12701000;0.11720000;14507377.11359000
IOTXUSDT;0.12257000;-1.177;0.12701000;0.11720000;14507715.26239000
IOTXUSDT;0.12260000;-1.431;0.12701000;0.11720000;14507223.72645000
IOTXUSDT;0.12260000;-1.479;0.12701000;0.11720000;14511393.17263000
IOTXUSDT;0.12260000;-1.479;0.12701000;0.11720000;14512168.37243000
IOTXUSDT;0.12263000;-1.447;0.12701000;0.11720000;14512219.74581000
IOTXUSDT;0.12270000;-1.343;0.12701000;0.11720000;14511868.16154000
IOTXUSDT;0.12280000;-1.343;0.12701000;0.11720000;14511121.43273000
