Symbol;Price;Change24;Max24;Min24;Volume24
JASMYUSDT;0.08330000;14.678;0.08380000;0.07010000;11892332.34270000
JASMYUSDT;0.08340000;14.521;0.08400000;0.07010000;11976241.63944000
JASMYUSDT;0.08340000;14.247;0.08400000;0.07010000;12046744.91713000
JASMYUSDT;0.08310000;14.110;0.08400000;0.07010000;12108388.96918000
JASMYUSDT;0.08280000;13.288;0.08400000;0.07010000;12190540.13475000
JASMYUSDT;0.08280000;13.151;0.08400000;0.07010000;12253447.77028000
JASMYUSDT;0.08250000;13.306;0.08400000;0.07010000;12273159.80818000
JASMYUSDT;0.08330000;14.129;0.08400000;0.07010000;12316189.48929000
JASMYUSDT;0.08300000;13.855;0.08400000;0.07010000;12338990.71768000
JASMYUSDT;0.08340000;14.247;0.08400000;0.07010000;12374674.97415000
JASMYUSDT;0.08340000;14.247;0.08400000;0.07010000;12398799.17999000
JASMYUSDT;0.08420000;14.795;0.08400000;0.07010000;12538691.50934000
JASMYUSDT;0.08420000;15.616;0.08480000;0.07010000;12651036.93450000
JASMYUSDT;0.08400000;15.753;0.08490000;0.07010000;12750374.29241000
JASMYUSDT;0.08430000;16.187;0.08520000;0.07010000;12890626.23208000
JASMYUSDT;0.08470000;16.461;0.08520000;0.07010000;12918804.33096000
JASMYUSDT;0.08490000;16.049;0.08520000;0.07010000;12968730.03949000
JASMYUSDT;0.08430000;16.461;0.08520000;0.07010000;12993330.21742000
JASMYUSDT;0.08410000;15.364;0.08520000;0.07010000;13046453.48481000
JASMYUSDT;0.08380000;14.815;0.08520000;0.07010000;13104148.65168000
JASMYUSDT;0.08300000;13.306;0.08520000;0.07010000;13186757.86009000
JASMYUSDT;0.08240000;13.187;0.08520000;0.07010000;13266062.60921000
JASMYUSDT;0.08200000;12.329;0.08520000;0.07010000;13359701.66831000
JASMYUSDT;0.08200000;12.329;0.08520000;0.07010000;13393947.57716000
JASMYUSDT;0.08130000;11.523;0.08520000;0.07010000;13464458.87589000
JASMYUSDT;0.08030000;9.877;0.08520000;0.07010000;13722427.16273000
JASMYUSDT;0.08070000;10.548;0.08520000;0.07010000;13940531.97439000
JASMYUSDT;0.08100000;10.685;0.08520000;0.07010000;13981022.29729000
JASMYUSDT;0.08190000;12.055;0.08520000;0.07010000;14065616.81918000
JASMYUSDT;0.08090000;11.096;0.08520000;0.07010000;14128022.22425000
JASMYUSDT;0.08120000;10.959;0.08520000;0.07010000;14129703.81969000
JASMYUSDT;0.08150000;11.339;0.08520000;0.07010000;14148994.24483000
JASMYUSDT;0.08150000;11.354;0.08520000;0.07010000;14158341.44093000
JASMYUSDT;0.08200000;11.749;0.08520000;0.07010000;14174984.25698000
JASMYUSDT;0.08140000;11.475;0.08520000;0.07010000;14220317.92837000
JASMYUSDT;0.08160000;11.765;0.08520000;0.07010000;14271830.94325000
JASMYUSDT;0.08110000;11.475;0.08520000;0.07010000;14276823.66758000
JASMYUSDT;0.08100000;10.383;0.08520000;0.07010000;14371077.13942000
JASMYUSDT;0.08110000;10.656;0.08520000;0.07010000;14387262.69167000
JASMYUSDT;0.08120000;11.081;0.08520000;0.07010000;14389247.58675000
JASMYUSDT;0.08120000;11.218;0.08520000;0.07010000;14397645.43428000
JASMYUSDT;0.08130000;11.370;0.08520000;0.07010000;14400255.03839000
JASMYUSDT;0.08110000;11.081;0.08520000;0.07010000;14413748.46310000
JASMYUSDT;0.08100000;10.534;0.08520000;0.07010000;14440536.29517000
JASMYUSDT;0.08080000;10.670;0.08520000;0.07010000;14456339.03271000
JASMYUSDT;0.08040000;10.123;0.08520000;0.07010000;14474820.23796000
JASMYUSDT;0.08030000;9.850;0.08520000;0.07010000;14508203.05619000
JASMYUSDT;0.08030000;9.699;0.08520000;0.07010000;14541556.94829000
JASMYUSDT;0.08050000;9.850;0.08520000;0.07010000;14552135.45159000
JASMYUSDT;0.08050000;10.123;0.08520000;0.07010000;14570754.82877000
JASMYUSDT;0.07950000;9.850;0.08520000;0.07010000;14574181.16498000
JASMYUSDT;0.07920000;8.470;0.08520000;0.07010000;14664668.76427000
JASMYUSDT;0.07970000;8.743;0.08520000;0.07010000;14703209.88386000
JASMYUSDT;0.08000000;9.563;0.08520000;0.07010000;14726549.56971000
JASMYUSDT;0.07990000;9.426;0.08520000;0.07010000;14755383.87805000
JASMYUSDT;0.07970000;8.743;0.08520000;0.07010000;14774985.48311000
JASMYUSDT;0.07960000;8.880;0.08520000;0.07010000;14778320.46686000
JASMYUSDT;0.08010000;9.290;0.08520000;0.07010000;14799630.72537000
JASMYUSDT;0.08010000;9.277;0.08520000;0.07010000;14814807.56783000
JASMYUSDT;0.08040000;9.550;0.08520000;0.07010000;14850997.10232000
JASMYUSDT;0.08010000;9.426;0.08520000;0.07010000;14996890.86261000
JASMYUSDT;0.07960000;8.743;0.08520000;0.07010000;15133828.03419000
JASMYUSDT;0.07990000;9.004;0.08520000;0.07010000;15134752.42092000
JASMYUSDT;0.08030000;9.413;0.08520000;0.07010000;15218037.20378000
JASMYUSDT;0.08020000;9.550;0.08520000;0.07010000;15231634.53744000
JASMYUSDT;0.08070000;10.534;0.08520000;0.07010000;15311732.52594000
JASMYUSDT;0.08050000;10.397;0.08520000;0.07010000;15315174.73602000
JASMYUSDT;0.08050000;10.123;0.08520000;0.07010000;15328607.24169000
JASMYUSDT;0.08060000;10.109;0.08520000;0.07010000;15425414.18019000
JASMYUSDT;0.08070000;9.973;0.08520000;0.07010000;15430019.13132000
JASMYUSDT;0.08070000;10.246;0.08520000;0.07010000;15439401.83440000
JASMYUSDT;0.08180000;11.749;0.08520000;0.07010000;15609276.61765000
JASMYUSDT;0.08160000;11.339;0.08520000;0.07010000;15748480.45656000
JASMYUSDT;0.08150000;11.628;0.08520000;0.07010000;15759569.46570000
JASMYUSDT;0.08180000;11.749;0.08520000;0.07010000;15888772.39171000
JASMYUSDT;0.08190000;11.885;0.08520000;0.07010000;15905329.83165000
JASMYUSDT;0.08200000;12.022;0.08520000;0.07010000;15912732.63134000
JASMYUSDT;0.08210000;12.175;0.08520000;0.07010000;16004911.88593000
JASMYUSDT;0.08260000;13.288;0.08520000;0.07010000;16158325.58038000
JASMYUSDT;0.08320000;13.680;0.08520000;0.07010000;16443937.01591000
JASMYUSDT;0.08200000;12.022;0.08520000;0.07010000;16560418.03413000
JASMYUSDT;0.08280000;12.705;0.08520000;0.07010000;16581056.02433000
JASMYUSDT;0.08270000;12.705;0.08520000;0.07010000;16603097.72918000
JASMYUSDT;0.08260000;13.133;0.08520000;0.07010000;16611591.61202000
JASMYUSDT;0.08280000;13.425;0.08520000;0.07010000;16636430.82048000
JASMYUSDT;0.08280000;13.288;0.08520000;0.07010000;16639573.78964000
JASMYUSDT;0.08240000;13.425;0.08520000;0.07010000;16657094.80012000
JASMYUSDT;0.08200000;12.329;0.08520000;0.07010000;16672841.66138000
JASMYUSDT;0.08220000;12.449;0.08520000;0.07010000;16703899.12486000
JASMYUSDT;0.08240000;12.722;0.08520000;0.07010000;16709380.95575000
JASMYUSDT;0.08200000;12.312;0.08520000;0.07010000;16730734.81292000
JASMYUSDT;0.08210000;12.312;0.08520000;0.07010000;16737757.40062000
JASMYUSDT;0.08180000;12.175;0.08520000;0.07010000;16755007.99407000
JASMYUSDT;0.08180000;12.055;0.08520000;0.07010000;16758753.16106000
JASMYUSDT;0.08170000;11.902;0.08520000;0.07010000;16760160.99834000
JASMYUSDT;0.08180000;11.765;0.08520000;0.07010000;16764621.61648000
JASMYUSDT;0.08190000;12.175;0.08520000;0.07010000;16778437.18293000
JASMYUSDT;0.08170000;11.902;0.08520000;0.07010000;16787795.09468000
JASMYUSDT;0.08070000;11.354;0.08520000;0.07010000;16795804.27012000
JASMYUSDT;0.08050000;10.123;0.08520000;0.07010000;16850396.06340000
JASMYUSDT;0.08070000;10.123;0.08520000;0.07010000;16856014.90875000
JASMYUSDT;0.07940000;8.892;0.08520000;0.07010000;16933916.43967000
JASMYUSDT;0.07970000;9.029;0.08520000;0.07010000;17008199.36631000
JASMYUSDT;0.07970000;9.166;0.08520000;0.07010000;17036955.81908000
JASMYUSDT;0.08020000;9.302;0.08520000;0.07010000;17059397.59852000
JASMYUSDT;0.08020000;9.426;0.08520000;0.07010000;17111834.43316000
JASMYUSDT;0.08120000;9.973;0.08520000;0.07010000;17126911.29604000
JASMYUSDT;0.08110000;10.656;0.08520000;0.07010000;17159254.98478000
JASMYUSDT;0.08110000;10.792;0.08520000;0.07010000;17167719.16744000
JASMYUSDT;0.08180000;11.612;0.08520000;0.07010000;17210846.95054000
JASMYUSDT;0.08180000;12.022;0.08520000;0.07010000;17235274.97754000
JASMYUSDT;0.08180000;11.612;0.08520000;0.07010000;17269537.08389000
JASMYUSDT;0.08160000;11.187;0.08520000;0.07010000;17313788.47292000
JASMYUSDT;0.08170000;11.172;0.08520000;0.07010000;17318672.65113000
JASMYUSDT;0.08150000;11.187;0.08520000;0.07010000;17327644.35489000
JASMYUSDT;0.08210000;11.323;0.08520000;0.07010000;17338739.47953000
JASMYUSDT;0.08200000;12.142;0.08520000;0.07010000;17371640.40093000
JASMYUSDT;0.08210000;11.717;0.08520000;0.07010000;17388493.83794000
