Symbol;Price;Change24;Max24;Min24;Volume24
JOEUSDT;2.27700000;1.561;2.35000000;2.16900000;5851134.51668000
JOEUSDT;2.27600000;1.517;2.35000000;2.16900000;5851879.67146000
JOEUSDT;2.27700000;1.697;2.35000000;2.16900000;5853497.90509000
JOEUSDT;2.27700000;1.697;2.35000000;2.16900000;5853497.90509000
JOEUSDT;2.27700000;1.697;2.35000000;2.16900000;5853497.90509000
JOEUSDT;2.27700000;1.697;2.35000000;2.16900000;5853497.90509000
JOEUSDT;2.27700000;1.743;2.35000000;2.16900000;5852839.44081000
JOEUSDT;2.27900000;1.923;2.35000000;2.16900000;5853005.52022000
JOEUSDT;2.27900000;1.969;2.35000000;2.16900000;5826894.18417000
JOEUSDT;2.27900000;1.969;2.35000000;2.16900000;5826894.18417000
JOEUSDT;2.27600000;1.607;2.35000000;2.16900000;5825709.47715000
JOEUSDT;2.27900000;1.787;2.35000000;2.16900000;5825426.44089000
JOEUSDT;2.28000000;1.786;2.35000000;2.16900000;5825159.23835000
JOEUSDT;2.27900000;1.787;2.35000000;2.16900000;5825313.72443000
JOEUSDT;2.27900000;1.787;2.35000000;2.16900000;5825313.72443000
JOEUSDT;2.27900000;1.787;2.35000000;2.16900000;5825313.72443000
JOEUSDT;2.27900000;1.787;2.35000000;2.16900000;5825313.72443000
JOEUSDT;2.28100000;2.150;2.35000000;2.16900000;5788646.71582000
JOEUSDT;2.28100000;2.150;2.35000000;2.16900000;5788646.71582000
JOEUSDT;2.28100000;2.241;2.35000000;2.16900000;5788360.18921000
JOEUSDT;2.28000000;2.196;2.35000000;2.16900000;5789028.63356000
JOEUSDT;2.28000000;2.196;2.35000000;2.16900000;5789028.63356000
JOEUSDT;2.28000000;2.196;2.35000000;2.16900000;5788817.53634000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5788664.00312000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5788664.00312000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5788664.00312000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5788664.00312000
JOEUSDT;2.28000000;1.877;2.35000000;2.16900000;5785618.25639000
JOEUSDT;2.28000000;1.877;2.35000000;2.16900000;5785618.25639000
JOEUSDT;2.28000000;1.831;2.35000000;2.16900000;5785221.99901000
JOEUSDT;2.28000000;1.831;2.35000000;2.16900000;5785221.99901000
JOEUSDT;2.28000000;1.831;2.35000000;2.16900000;5785160.76236000
JOEUSDT;2.27500000;1.653;2.35000000;2.16900000;5786134.98819000
JOEUSDT;2.27500000;1.608;2.35000000;2.16900000;5785962.85912000
JOEUSDT;2.27400000;1.563;2.35000000;2.16900000;5786354.39495000
JOEUSDT;2.27400000;1.563;2.35000000;2.16900000;5786354.39495000
JOEUSDT;2.27400000;1.882;2.35000000;2.16900000;5786318.56376000
JOEUSDT;2.27400000;1.882;2.35000000;2.16900000;5781545.79449000
JOEUSDT;2.27400000;1.609;2.35000000;2.16900000;5780070.79133000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5778168.39254000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5778417.03170000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5778417.03170000
JOEUSDT;2.27400000;1.927;2.35000000;2.16900000;5770483.58438000
JOEUSDT;2.27400000;1.927;2.35000000;2.16900000;5770483.58438000
JOEUSDT;2.27400000;1.927;2.35000000;2.16900000;5770483.58438000
JOEUSDT;2.27400000;1.745;2.35000000;2.16900000;5770833.01264000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5771553.61744000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5771566.12444000
JOEUSDT;2.27400000;1.882;2.35000000;2.16900000;5768559.28405000
JOEUSDT;2.27400000;1.882;2.35000000;2.16900000;5768559.28405000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5768996.21017000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5768996.21017000
JOEUSDT;2.28000000;2.151;2.35000000;2.16900000;5768846.66768000
JOEUSDT;2.28000000;2.105;2.35000000;2.16900000;5768768.92645000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5769160.69117000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5769206.12569000
JOEUSDT;2.27400000;1.836;2.35000000;2.16900000;5769206.12569000
JOEUSDT;2.27500000;1.745;2.35000000;2.16900000;5768256.07713000
JOEUSDT;2.27500000;1.790;2.35000000;2.16900000;5768882.95338000
JOEUSDT;2.27600000;1.880;2.35000000;2.16900000;5768631.79426000
JOEUSDT;2.27900000;1.969;2.35000000;2.16900000;5768536.00398000
JOEUSDT;2.27400000;1.247;2.35000000;2.16900000;5754091.67843000
JOEUSDT;2.27400000;1.247;2.35000000;2.16900000;5754091.67843000
JOEUSDT;2.27000000;1.024;2.35000000;2.16900000;5763285.14875000
JOEUSDT;2.27000000;1.249;2.35000000;2.16900000;5762544.62467000
