Symbol;Price;Change24;Max24;Min24;Volume24
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;564020.96940000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;564020.96940000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;564020.96940000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;564017.54520000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;564017.54520000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.595;9.00000000;8.50000000;562804.85160000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;562325.20020000
JUVUSDT;8.64000000;-1.482;9.00000000;8.50000000;560714.75760000
JUVUSDT;8.64000000;-1.482;9.00000000;8.50000000;560714.75760000
JUVUSDT;8.64000000;-1.482;9.00000000;8.50000000;560714.75760000
JUVUSDT;8.64000000;-1.482;9.00000000;8.50000000;560714.75760000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.370;9.00000000;8.50000000;560443.32610000
JUVUSDT;8.64000000;-1.818;9.00000000;8.50000000;558580.71900000
JUVUSDT;8.64000000;-1.818;9.00000000;8.50000000;558580.71900000
JUVUSDT;8.65000000;-1.705;9.00000000;8.50000000;558782.19490000
JUVUSDT;8.65000000;-1.705;9.00000000;8.50000000;558782.19490000
JUVUSDT;8.65000000;-1.705;9.00000000;8.50000000;558782.19490000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;558251.73090000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;558251.73090000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;558771.07690000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;559247.77840000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;559247.77840000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;559247.77840000
JUVUSDT;8.65000000;-1.816;9.00000000;8.50000000;559247.77840000
