Symbol;Price;Change24;Max24;Min24;Volume24
KAVAUSDT;3.82100000;5.874;4.06500000;3.47100000;38429016.19670000
KAVAUSDT;3.82400000;6.016;4.06500000;3.47100000;38428893.16860000
KAVAUSDT;3.82700000;6.099;4.06500000;3.47100000;38429084.80580000
KAVAUSDT;3.82400000;6.016;4.06500000;3.47100000;38436132.36030000
KAVAUSDT;3.82100000;5.962;4.06500000;3.47100000;38436974.88260000
KAVAUSDT;3.82000000;5.964;4.06500000;3.47100000;38430999.55980000
KAVAUSDT;3.82100000;6.109;4.06500000;3.47100000;38443794.63580000
KAVAUSDT;3.81800000;5.997;4.06500000;3.47100000;38437689.32430000
KAVAUSDT;3.81900000;5.997;4.06500000;3.47100000;38437678.51830000
KAVAUSDT;3.81900000;5.966;4.06500000;3.47100000;38437688.66800000
KAVAUSDT;3.81900000;5.936;4.06500000;3.47100000;38438125.82120000
KAVAUSDT;3.82000000;5.964;4.06500000;3.47100000;38438560.45290000
KAVAUSDT;3.81700000;5.967;4.06500000;3.47100000;38437966.63030000
KAVAUSDT;3.81700000;5.941;4.06500000;3.47100000;38444944.37340000
KAVAUSDT;3.81500000;5.969;4.06500000;3.47100000;38445014.22450000
KAVAUSDT;3.81500000;5.884;4.06500000;3.47100000;38431147.67130000
KAVAUSDT;3.81600000;5.938;4.06500000;3.47100000;38433736.42740000
KAVAUSDT;3.81900000;5.817;4.06500000;3.47100000;38441499.04620000
KAVAUSDT;3.81800000;5.702;4.06500000;3.47100000;38438865.76600000
KAVAUSDT;3.81400000;5.703;4.06500000;3.47100000;38430269.24920000
KAVAUSDT;3.81600000;5.824;4.06500000;3.47100000;38438682.97240000
KAVAUSDT;3.81700000;5.851;4.06500000;3.47100000;38438350.35790000
KAVAUSDT;3.81700000;5.851;4.06500000;3.47100000;38438229.19630000
KAVAUSDT;3.81700000;5.793;4.06500000;3.47100000;38426905.61500000
KAVAUSDT;3.81700000;5.820;4.06500000;3.47100000;38438192.43660000
KAVAUSDT;3.81700000;5.471;4.06500000;3.47100000;38436058.84710000
KAVAUSDT;3.81500000;5.447;4.06500000;3.47100000;38424197.49760000
KAVAUSDT;3.81500000;5.359;4.06500000;3.47100000;38429362.96790000
KAVAUSDT;3.81500000;5.445;4.06500000;3.47100000;38428313.34020000
KAVAUSDT;3.81500000;5.620;4.06500000;3.47100000;38426417.69570000
KAVAUSDT;3.81400000;5.447;4.06500000;3.47100000;38425582.90700000
KAVAUSDT;3.81600000;5.560;4.06500000;3.47100000;38426597.28700000
KAVAUSDT;3.81600000;5.447;4.06500000;3.47100000;38426858.85740000
KAVAUSDT;3.81600000;5.330;4.06500000;3.47100000;38426518.46170000
KAVAUSDT;3.81600000;5.443;4.06500000;3.47100000;38425496.30990000
KAVAUSDT;3.81400000;5.531;4.06500000;3.47100000;38425109.23100000
KAVAUSDT;3.81400000;5.476;4.06500000;3.47100000;38425705.13600000
KAVAUSDT;3.81700000;5.619;4.06500000;3.47100000;38423626.43390000
KAVAUSDT;3.81800000;5.416;4.06500000;3.47100000;38420295.22240000
KAVAUSDT;3.81500000;5.531;4.06500000;3.47100000;38428449.48700000
KAVAUSDT;3.81400000;5.474;4.06500000;3.47100000;38417604.38660000
KAVAUSDT;3.81400000;5.447;4.06500000;3.47100000;38417727.71720000
KAVAUSDT;3.81700000;5.445;4.06500000;3.47100000;38427727.17810000
KAVAUSDT;3.81500000;5.473;4.06500000;3.47100000;38427984.80240000
KAVAUSDT;3.81400000;5.416;4.06500000;3.47100000;38422042.49060000
KAVAUSDT;3.81800000;5.529;4.06500000;3.47100000;38422995.23450000
KAVAUSDT;3.81900000;5.529;4.06500000;3.47100000;38418382.38120000
KAVAUSDT;3.82000000;5.554;4.06500000;3.47100000;38424746.38400000
KAVAUSDT;3.82000000;5.612;4.06500000;3.47100000;38413357.42330000
KAVAUSDT;3.82000000;5.496;4.06500000;3.47100000;38413081.75450000
KAVAUSDT;3.82000000;5.496;4.06500000;3.47100000;38416400.68290000
KAVAUSDT;3.82100000;5.437;4.06500000;3.47100000;38414972.21880000
KAVAUSDT;3.82000000;5.496;4.06500000;3.47100000;38425719.05760000
KAVAUSDT;3.82000000;5.496;4.06500000;3.47100000;38418855.29510000
KAVAUSDT;3.82000000;5.437;4.06500000;3.47100000;38418855.47030000
KAVAUSDT;3.82000000;5.437;4.06500000;3.47100000;38418793.69220000
KAVAUSDT;3.81800000;5.410;4.06500000;3.47100000;38416092.18980000
KAVAUSDT;3.81500000;5.326;4.06500000;3.47100000;38416699.85040000
KAVAUSDT;3.81500000;5.299;4.06500000;3.47100000;38420367.83640000
KAVAUSDT;3.81600000;5.269;4.06500000;3.47100000;38408641.55410000
KAVAUSDT;3.81500000;5.154;4.06500000;3.47100000;38413004.87360000
KAVAUSDT;3.81400000;5.214;4.06500000;3.47100000;38406281.51230000
KAVAUSDT;3.81500000;5.212;4.06500000;3.47100000;38401848.68300000
KAVAUSDT;3.81400000;5.272;4.06500000;3.47100000;38401683.57780000
KAVAUSDT;3.81400000;5.330;4.06500000;3.47100000;38390413.85840000
KAVAUSDT;3.81200000;5.682;4.06500000;3.47100000;38387255.45940000
KAVAUSDT;3.81400000;5.683;4.06500000;3.47100000;38387304.04540000
KAVAUSDT;3.81300000;5.770;4.06500000;3.47100000;38396713.04980000
KAVAUSDT;3.81200000;5.566;4.06500000;3.47100000;38376296.45020000
KAVAUSDT;3.81200000;5.596;4.06500000;3.47100000;38380032.09440000
KAVAUSDT;3.81000000;5.569;4.06500000;3.47100000;38384916.13680000
KAVAUSDT;3.80700000;5.428;4.06500000;3.47100000;38395591.70750000
KAVAUSDT;3.80200000;5.576;4.06500000;3.47100000;38396931.41290000
KAVAUSDT;3.80500000;5.552;4.06500000;3.47100000;38395601.31200000
KAVAUSDT;3.80400000;5.606;4.06500000;3.47100000;38392085.67570000
KAVAUSDT;3.80400000;5.637;4.06500000;3.47100000;38392919.51250000
KAVAUSDT;3.80600000;5.722;4.06500000;3.47100000;38402911.90220000
KAVAUSDT;3.81400000;6.062;4.06500000;3.47100000;38403213.85020000
KAVAUSDT;3.81400000;6.092;4.06500000;3.47100000;38405356.95870000
KAVAUSDT;3.81700000;6.087;4.06500000;3.47100000;38403046.72290000
KAVAUSDT;3.82500000;6.051;4.06500000;3.47100000;38410354.20410000
KAVAUSDT;3.82100000;6.162;4.06500000;3.47100000;38410371.03410000
KAVAUSDT;3.81900000;5.907;4.06500000;3.47100000;38407607.45700000
KAVAUSDT;3.82100000;5.936;4.06500000;3.47100000;38407852.75370000
KAVAUSDT;3.82100000;5.993;4.06500000;3.47100000;38413881.46160000
KAVAUSDT;3.82300000;5.988;4.06500000;3.47100000;38407440.42650000
KAVAUSDT;3.82200000;5.819;4.06500000;3.47100000;38407055.32740000
KAVAUSDT;3.82200000;5.843;4.06500000;3.47100000;38403088.11470000
KAVAUSDT;3.82300000;5.871;4.06500000;3.47100000;38403050.77510000
KAVAUSDT;3.82400000;5.812;4.06500000;3.47100000;38402967.93340000
KAVAUSDT;3.82400000;5.899;4.06500000;3.47100000;38408082.37820000
KAVAUSDT;3.82300000;5.842;4.06500000;3.47100000;38399855.53970000
KAVAUSDT;3.82500000;5.838;4.06500000;3.47100000;38404618.11410000
KAVAUSDT;3.82500000;5.897;4.06500000;3.47100000;38404544.02710000
KAVAUSDT;3.82200000;5.755;4.06500000;3.47100000;38401648.32500000
KAVAUSDT;3.82100000;5.669;4.06500000;3.47100000;38400380.84070000
KAVAUSDT;3.82100000;5.640;4.06500000;3.47100000;38399903.43080000
KAVAUSDT;3.82000000;5.640;4.06500000;3.47100000;38401869.51450000
KAVAUSDT;3.81500000;5.416;4.06500000;3.47100000;38399696.25480000
KAVAUSDT;3.81300000;5.447;4.06500000;3.47100000;38399263.05600000
KAVAUSDT;3.81400000;5.476;4.06500000;3.47100000;38405719.53950000
KAVAUSDT;3.80700000;5.281;4.06500000;3.47100000;38405931.11890000
