Symbol;Price;Change24;Max24;Min24;Volume24
KEEPUSDT;0.64660000;4.089;0.65660000;0.60520000;4283389.72810000
KEEPUSDT;0.64660000;4.089;0.65660000;0.60520000;4283389.72810000
KEEPUSDT;0.64710000;4.186;0.65660000;0.60520000;4285873.57700000
KEEPUSDT;0.64710000;4.186;0.65660000;0.60520000;4285873.57700000
KEEPUSDT;0.64710000;4.186;0.65660000;0.60520000;4285873.57700000
KEEPUSDT;0.64700000;4.170;0.65660000;0.60520000;4286272.84130000
KEEPUSDT;0.64700000;4.304;0.65660000;0.60520000;4285370.52240000
KEEPUSDT;0.64700000;4.338;0.65660000;0.60520000;4285092.62800000
KEEPUSDT;0.64660000;4.341;0.65660000;0.60520000;4285087.59190000
KEEPUSDT;0.64660000;4.341;0.65660000;0.60520000;4285087.59190000
KEEPUSDT;0.64660000;4.341;0.65660000;0.60520000;4285087.59190000
KEEPUSDT;0.64640000;4.309;0.65660000;0.60520000;4285138.04590000
KEEPUSDT;0.64620000;4.276;0.65660000;0.60520000;4290038.18050000
KEEPUSDT;0.64620000;4.360;0.65660000;0.60520000;4289983.48940000
KEEPUSDT;0.64620000;4.360;0.65660000;0.60520000;4289996.41340000
KEEPUSDT;0.64650000;4.409;0.65660000;0.60520000;4290395.28900000
KEEPUSDT;0.64650000;4.342;0.65660000;0.60520000;4290327.79620000
KEEPUSDT;0.64890000;4.476;0.65660000;0.60520000;4299672.42600000
KEEPUSDT;0.64960000;4.774;0.65660000;0.60520000;4299892.08020000
KEEPUSDT;0.64720000;4.468;0.65660000;0.60520000;4301042.01710000
KEEPUSDT;0.64670000;4.306;0.65660000;0.60520000;4302335.79700000
KEEPUSDT;0.64710000;4.421;0.65660000;0.60520000;4302361.56200000
KEEPUSDT;0.64710000;4.153;0.65660000;0.60520000;4302341.11190000
KEEPUSDT;0.64680000;4.104;0.65660000;0.60520000;4303145.08430000
KEEPUSDT;0.64710000;4.153;0.65660000;0.60520000;4303279.03400000
KEEPUSDT;0.64680000;4.004;0.65660000;0.60520000;4303126.81560000
KEEPUSDT;0.64680000;4.004;0.65660000;0.60520000;4303009.27650000
KEEPUSDT;0.64680000;4.004;0.65660000;0.60520000;4303009.27650000
KEEPUSDT;0.64640000;3.923;0.65660000;0.60520000;4302645.95350000
KEEPUSDT;0.64640000;3.889;0.65660000;0.60520000;4298617.75530000
KEEPUSDT;0.64730000;4.034;0.65660000;0.60520000;4301048.68740000
KEEPUSDT;0.64840000;4.211;0.65660000;0.60520000;4313069.57880000
KEEPUSDT;0.64800000;4.127;0.65660000;0.60520000;4312970.00080000
KEEPUSDT;0.64800000;4.063;0.65660000;0.60520000;4312987.49680000
KEEPUSDT;0.64790000;4.047;0.65660000;0.60520000;4313066.62090000
KEEPUSDT;0.64790000;3.997;0.65660000;0.60520000;4317915.62030000
KEEPUSDT;0.64790000;4.164;0.65660000;0.60520000;4317859.55030000
KEEPUSDT;0.64890000;4.193;0.65660000;0.60520000;4318578.19080000
KEEPUSDT;0.64810000;4.325;0.65660000;0.60520000;4318697.15800000
KEEPUSDT;0.64810000;4.196;0.65660000;0.60520000;4318903.25380000
KEEPUSDT;0.64810000;4.196;0.65660000;0.60520000;4318903.25380000
KEEPUSDT;0.64810000;4.079;0.65660000;0.60520000;4318884.59380000
KEEPUSDT;0.64870000;4.293;0.65660000;0.60520000;4318698.33410000
KEEPUSDT;0.64870000;4.226;0.65660000;0.60520000;4318646.08610000
KEEPUSDT;0.64870000;4.293;0.65660000;0.60520000;4318635.50530000
KEEPUSDT;0.64810000;4.196;0.65660000;0.60520000;4318647.81920000
KEEPUSDT;0.64810000;4.196;0.65660000;0.60520000;4318647.81920000
KEEPUSDT;0.64860000;4.260;0.65660000;0.60520000;4318736.67540000
KEEPUSDT;0.64830000;4.228;0.65660000;0.60520000;4318835.91800000
KEEPUSDT;0.64830000;4.161;0.65660000;0.60520000;4318817.25800000
KEEPUSDT;0.64940000;4.161;0.65660000;0.60520000;4318817.25800000
KEEPUSDT;0.64980000;4.439;0.65660000;0.60520000;4357130.56280000
KEEPUSDT;0.64990000;4.519;0.65660000;0.60520000;4358243.71910000
KEEPUSDT;0.64990000;4.519;0.65660000;0.60520000;4358243.71910000
KEEPUSDT;0.64950000;4.455;0.65660000;0.60520000;4358256.70910000
KEEPUSDT;0.64950000;4.455;0.65660000;0.60520000;4358256.70910000
KEEPUSDT;0.64950000;4.421;0.65660000;0.60520000;4362187.14430000
KEEPUSDT;0.64940000;4.405;0.65660000;0.60520000;4362200.13230000
KEEPUSDT;0.64950000;4.421;0.65660000;0.60520000;4363183.47530000
KEEPUSDT;0.64840000;4.144;0.65660000;0.60520000;4392136.29280000
KEEPUSDT;0.64820000;3.979;0.65660000;0.60520000;4395072.63440000
KEEPUSDT;0.64770000;3.878;0.65660000;0.60520000;4404128.30000000
KEEPUSDT;0.64770000;3.781;0.65660000;0.60520000;4404141.25400000
KEEPUSDT;0.64790000;3.911;0.65660000;0.60520000;4405133.74850000
KEEPUSDT;0.64820000;3.847;0.65660000;0.60520000;4405146.70650000
KEEPUSDT;0.64790000;4.211;0.65660000;0.60520000;4407946.49590000
KEEPUSDT;0.64900000;4.524;0.65660000;0.60520000;4412451.12830000
KEEPUSDT;0.64920000;4.558;0.65660000;0.60520000;4413192.69490000
KEEPUSDT;0.65010000;4.485;0.65660000;0.60520000;4457267.82340000
KEEPUSDT;0.65010000;4.501;0.65660000;0.60520000;4457280.82540000
KEEPUSDT;0.65050000;4.616;0.65660000;0.60520000;4457755.92370000
KEEPUSDT;0.65000000;4.384;0.65660000;0.60520000;4464922.71020000
KEEPUSDT;0.65000000;4.451;0.65660000;0.60520000;4465792.30300000
KEEPUSDT;0.65040000;4.451;0.65660000;0.60520000;4461842.73950000
KEEPUSDT;0.64950000;4.455;0.65660000;0.60520000;4482428.77490000
KEEPUSDT;0.64910000;4.390;0.65660000;0.60520000;4482439.16050000
KEEPUSDT;0.64850000;4.311;0.65660000;0.60520000;4482179.63590000
KEEPUSDT;0.64860000;4.460;0.65660000;0.60520000;4484535.53200000
KEEPUSDT;0.64770000;4.232;0.65660000;0.60520000;4493519.18000000
KEEPUSDT;0.64770000;4.184;0.65660000;0.60520000;4493774.36780000
KEEPUSDT;0.64710000;3.952;0.65660000;0.60520000;4491891.80130000
KEEPUSDT;0.64780000;3.952;0.65660000;0.60520000;4491891.80130000
KEEPUSDT;0.64750000;4.016;0.65660000;0.60520000;4491246.13420000
KEEPUSDT;0.64710000;3.952;0.65660000;0.60520000;4491973.51660000
KEEPUSDT;0.64750000;3.949;0.65660000;0.60520000;4492506.52280000
KEEPUSDT;0.64750000;3.949;0.65660000;0.60520000;4492519.47280000
KEEPUSDT;0.64750000;3.799;0.65660000;0.60520000;4491732.62960000
KEEPUSDT;0.64750000;3.899;0.65660000;0.60520000;4490684.68160000
KEEPUSDT;0.64750000;3.899;0.65660000;0.60520000;4490697.63160000
KEEPUSDT;0.64750000;3.899;0.65660000;0.60520000;4490697.63160000
KEEPUSDT;0.64750000;3.866;0.65660000;0.60520000;4490661.48600000
KEEPUSDT;0.64750000;3.866;0.65660000;0.60520000;4490674.43600000
KEEPUSDT;0.64750000;3.866;0.65660000;0.60520000;4493276.73850000
KEEPUSDT;0.64750000;3.899;0.65660000;0.60520000;4495745.52300000
KEEPUSDT;0.64660000;3.755;0.65660000;0.60520000;4502158.59290000
KEEPUSDT;0.64660000;3.738;0.65660000;0.60520000;4499719.95790000
KEEPUSDT;0.64650000;3.722;0.65660000;0.60520000;4499734.18090000
KEEPUSDT;0.64650000;3.722;0.65660000;0.60520000;4499925.71640000
KEEPUSDT;0.64620000;3.674;0.65660000;0.60520000;4500051.74820000
KEEPUSDT;0.64610000;3.479;0.65660000;0.60520000;4500200.25890000
KEEPUSDT;0.64470000;3.399;0.65660000;0.60520000;4502865.61420000
KEEPUSDT;0.64460000;3.334;0.65660000;0.60520000;4503605.95870000
KEEPUSDT;0.64450000;3.302;0.65660000;0.60520000;4505621.98040000
KEEPUSDT;0.64370000;3.174;0.65660000;0.60520000;4505634.85440000
KEEPUSDT;0.64340000;3.254;0.65660000;0.60520000;4506317.06720000
KEEPUSDT;0.64390000;3.122;0.65660000;0.60520000;4506786.25590000
KEEPUSDT;0.64430000;3.140;0.65660000;0.60520000;4504467.89370000
KEEPUSDT;0.64390000;3.090;0.65660000;0.60520000;4504703.57470000
KEEPUSDT;0.64410000;3.122;0.65660000;0.60520000;4504871.62090000
KEEPUSDT;0.64340000;2.993;0.65660000;0.60520000;4504746.33770000
KEEPUSDT;0.64370000;2.993;0.65660000;0.60520000;4504746.33770000
KEEPUSDT;0.64370000;3.074;0.65660000;0.60520000;4507500.81700000
KEEPUSDT;0.64370000;3.074;0.65660000;0.60520000;4507513.69100000
KEEPUSDT;0.64480000;3.284;0.65660000;0.60520000;4513718.29170000
KEEPUSDT;0.64480000;3.168;0.65660000;0.60520000;4513359.31920000
KEEPUSDT;0.64470000;3.317;0.65660000;0.60520000;4513016.58820000
KEEPUSDT;0.64470000;3.317;0.65660000;0.60520000;4513016.58820000
KEEPUSDT;0.64470000;3.384;0.65660000;0.60520000;4512906.14020000
KEEPUSDT;0.64410000;3.221;0.65660000;0.60520000;4512930.85240000
KEEPUSDT;0.64410000;3.221;0.65660000;0.60520000;4512930.85240000
KEEPUSDT;0.64410000;3.122;0.65660000;0.60520000;4512912.13240000
KEEPUSDT;0.64450000;3.186;0.65660000;0.60520000;4512958.55720000
KEEPUSDT;0.64470000;3.218;0.65660000;0.60520000;4512988.21340000
KEEPUSDT;0.64540000;3.297;0.65660000;0.60520000;4514019.39880000
KEEPUSDT;0.64470000;3.202;0.65660000;0.60520000;4513997.92880000
KEEPUSDT;0.64470000;3.202;0.65660000;0.60520000;4513997.92880000
KEEPUSDT;0.64570000;3.262;0.65660000;0.60520000;4514536.96620000
KEEPUSDT;0.64500000;3.150;0.65660000;0.60520000;4514549.86620000
KEEPUSDT;0.64640000;3.294;0.65660000;0.60520000;4514690.02650000
KEEPUSDT;0.64640000;3.045;0.65660000;0.60520000;4511029.52080000
KEEPUSDT;0.64510000;3.030;0.65660000;0.60520000;4509946.88810000
KEEPUSDT;0.64520000;2.920;0.65660000;0.60520000;4508710.95530000
KEEPUSDT;0.64520000;2.919;0.65660000;0.60520000;4508356.46670000
KEEPUSDT;0.64470000;2.839;0.65660000;0.60520000;4508477.77110000
KEEPUSDT;0.64490000;2.935;0.65660000;0.60520000;4508994.01110000
KEEPUSDT;0.64490000;2.871;0.65660000;0.60520000;4509013.35810000
KEEPUSDT;0.64580000;2.903;0.65660000;0.60520000;4509026.26010000
KEEPUSDT;0.64630000;3.095;0.65660000;0.60520000;4511172.91570000
KEEPUSDT;0.64630000;3.095;0.65660000;0.60520000;4511197.76220000
KEEPUSDT;0.64660000;3.208;0.65660000;0.60520000;4495085.80640000
KEEPUSDT;0.64730000;3.208;0.65660000;0.60520000;4495085.80640000
KEEPUSDT;0.64780000;3.317;0.65660000;0.60520000;4495366.78960000
