Symbol;Price;Change24;Max24;Min24;Volume24
KEYUSDT;0.01223600;3.174;0.01330900;0.01174200;10756248.53979300
KEYUSDT;0.01223300;2.729;0.01330900;0.01174200;10748783.00324300
KEYUSDT;0.01223300;2.703;0.01330900;0.01174200;10744279.85143700
KEYUSDT;0.01223600;2.685;0.01330900;0.01174200;10743622.79332300
KEYUSDT;0.01224900;2.933;0.01330900;0.01174200;10741308.00835400
KEYUSDT;0.01224900;2.933;0.01330900;0.01174200;10742299.55831000
KEYUSDT;0.01225000;3.062;0.01330900;0.01174200;10736714.28702600
KEYUSDT;0.01224600;3.106;0.01330900;0.01174200;10733830.95915200
KEYUSDT;0.01224400;3.334;0.01330900;0.01174200;10733201.67195600
KEYUSDT;0.01224600;3.334;0.01330900;0.01174200;10733201.67195600
KEYUSDT;0.01224600;3.455;0.01330900;0.01174200;10724331.71620100
KEYUSDT;0.01226000;3.086;0.01330900;0.01174200;10719002.03664500
KEYUSDT;0.01226000;3.268;0.01330900;0.01174200;10713838.38671400
KEYUSDT;0.01225900;3.095;0.01330900;0.01174200;10712519.65579700
KEYUSDT;0.01226400;3.119;0.01330900;0.01174200;10712088.10385100
KEYUSDT;0.01226600;3.024;0.01330900;0.01174200;10706542.00685300
KEYUSDT;0.01226700;2.937;0.01330900;0.01174200;10706533.02691400
KEYUSDT;0.01226400;2.937;0.01330900;0.01174200;10706728.86956900
KEYUSDT;0.01228500;3.166;0.01330900;0.01174200;10711236.95994100
KEYUSDT;0.01227200;3.091;0.01330900;0.01174200;10707464.59388200
KEYUSDT;0.01227200;3.126;0.01330900;0.01174200;10706964.93538600
KEYUSDT;0.01229800;3.195;0.01330900;0.01174200;10706582.92853600
KEYUSDT;0.01229100;3.292;0.01330900;0.01174200;10707387.24169100
KEYUSDT;0.01230900;3.480;0.01330900;0.01174200;10704432.07220300
KEYUSDT;0.01230900;3.742;0.01330900;0.01174200;10703247.92070100
KEYUSDT;0.01227700;3.185;0.01330900;0.01174200;10700581.85057300
KEYUSDT;0.01229500;3.359;0.01330900;0.01174200;10698340.44012800
KEYUSDT;0.01231000;3.628;0.01330900;0.01174200;10698170.11592300
KEYUSDT;0.01230400;3.499;0.01330900;0.01174200;10698037.12363700
KEYUSDT;0.01231600;3.880;0.01330900;0.01174200;10704521.45158600
KEYUSDT;0.01235400;4.130;0.01330900;0.01174200;10707920.95975100
KEYUSDT;0.01235400;4.236;0.01330900;0.01174200;10705823.11656300
KEYUSDT;0.01235000;4.269;0.01330900;0.01174200;10705801.08269000
KEYUSDT;0.01235000;4.202;0.01330900;0.01174200;10706378.83215100
KEYUSDT;0.01233300;4.101;0.01330900;0.01174200;10707362.10687400
KEYUSDT;0.01232800;4.139;0.01330900;0.01174200;10700693.08071500
KEYUSDT;0.01233900;4.347;0.01330900;0.01174200;10701449.73232700
KEYUSDT;0.01234000;4.267;0.01330900;0.01174200;10706846.81524700
KEYUSDT;0.01232200;3.905;0.01330900;0.01174200;10702942.50653200
KEYUSDT;0.01231700;3.888;0.01330900;0.01174200;10703037.43445300
KEYUSDT;0.01230500;3.888;0.01330900;0.01174200;10703037.43445300
KEYUSDT;0.01230500;3.831;0.01330900;0.01174200;10705247.14762100
KEYUSDT;0.01231000;3.733;0.01330900;0.01174200;10704927.69471500
KEYUSDT;0.01231000;3.698;0.01330900;0.01174200;10704867.30181600
KEYUSDT;0.01229600;3.371;0.01330900;0.01174200;10704597.81767600
KEYUSDT;0.01229600;3.406;0.01330900;0.01174200;10698702.98441300
KEYUSDT;0.01230100;3.507;0.01330900;0.01174200;10698567.59751700
KEYUSDT;0.01230100;3.465;0.01330900;0.01174200;10698373.98451700
KEYUSDT;0.01229700;3.615;0.01330900;0.01174200;10695274.14157700
KEYUSDT;0.01227400;3.615;0.01330900;0.01174200;10695274.14157700
KEYUSDT;0.01227600;3.447;0.01330900;0.01174200;10692691.19720300
KEYUSDT;0.01227600;3.195;0.01330900;0.01174200;10691830.46100000
KEYUSDT;0.01227700;3.490;0.01330900;0.01174200;10691634.59565700
KEYUSDT;0.01227700;3.568;0.01330900;0.01174200;10689851.22459600
KEYUSDT;0.01227700;3.568;0.01330900;0.01174200;10689851.22459600
KEYUSDT;0.01228100;3.698;0.01330900;0.01174200;10685670.37937900
KEYUSDT;0.01227700;3.665;0.01330900;0.01174200;10685714.36611100
KEYUSDT;0.01227700;3.612;0.01330900;0.01174200;10685103.71550200
KEYUSDT;0.01229100;3.730;0.01330900;0.01174200;10687344.18601700
KEYUSDT;0.01229100;3.590;0.01330900;0.01174200;10685528.60847100
KEYUSDT;0.01224800;3.324;0.01330900;0.01174200;10683334.62392400
KEYUSDT;0.01225200;3.297;0.01330900;0.01174200;10680210.43710500
KEYUSDT;0.01226800;3.466;0.01330900;0.01174200;10681018.84988300
KEYUSDT;0.01227400;3.456;0.01330900;0.01174200;10681633.79133300
KEYUSDT;0.01226600;3.388;0.01330900;0.01174200;10681258.30209300
