Symbol;Price;Change24;Max24;Min24;Volume24
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7337695.80390000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7337488.09540000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7337498.27060000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7334775.43150000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7334504.59020000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7334376.44250000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7334974.28070000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7337500.10930000
KLAYUSDT;1.28800000;0.625;1.30100000;1.22800000;7335993.80410000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7331644.04770000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7331644.04770000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7333647.15700000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7333326.40700000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7333326.40700000
KLAYUSDT;1.28800000;0.468;1.30100000;1.22800000;7333326.40700000
KLAYUSDT;1.28700000;0.468;1.30100000;1.22800000;7332925.79440000
KLAYUSDT;1.28700000;0.312;1.30100000;1.22800000;7332006.23440000
KLAYUSDT;1.28700000;0.312;1.30100000;1.22800000;7332006.23440000
KLAYUSDT;1.28700000;0.468;1.30100000;1.22800000;7331058.48230000
KLAYUSDT;1.28600000;0.390;1.30100000;1.22800000;7331357.07200000
KLAYUSDT;1.28600000;0.390;1.30100000;1.22800000;7331357.07200000
KLAYUSDT;1.28600000;0.390;1.30100000;1.22800000;7331357.07200000
KLAYUSDT;1.28600000;0.390;1.30100000;1.22800000;7329998.09160000
KLAYUSDT;1.28700000;0.468;1.30100000;1.22800000;7331915.37850000
KLAYUSDT;1.28700000;0.468;1.30100000;1.22800000;7331867.08480000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7321654.33470000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7322114.15070000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7322152.05940000
KLAYUSDT;1.28800000;0.233;1.30100000;1.22800000;7321792.81940000
KLAYUSDT;1.28800000;0.312;1.30100000;1.22800000;7320510.81110000
KLAYUSDT;1.28800000;0.546;1.30100000;1.22800000;7313376.42810000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7313351.60020000
KLAYUSDT;1.28800000;0.546;1.30100000;1.22800000;7312787.97290000
KLAYUSDT;1.28800000;0.546;1.30100000;1.22800000;7312787.97290000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7312007.93910000
KLAYUSDT;1.28800000;0.390;1.30100000;1.22800000;7312007.93910000
KLAYUSDT;1.28800000;0.546;1.30100000;1.22800000;7305593.84540000
KLAYUSDT;1.28900000;0.782;1.30100000;1.22800000;7296892.42240000
KLAYUSDT;1.28900000;0.782;1.30100000;1.22800000;7296892.42240000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7293736.51990000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7293256.17980000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7292387.54460000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7292053.85140000
KLAYUSDT;1.28900000;0.625;1.30100000;1.22800000;7288255.13770000
KLAYUSDT;1.28900000;0.625;1.30100000;1.22800000;7288255.13770000
KLAYUSDT;1.28900000;0.468;1.30100000;1.22800000;7287075.42860000
KLAYUSDT;1.28900000;0.625;1.30100000;1.22800000;7286680.22500000
KLAYUSDT;1.28900000;0.546;1.30100000;1.22800000;7286424.02500000
KLAYUSDT;1.28700000;0.468;1.30100000;1.22800000;7294148.42450000
KLAYUSDT;1.28900000;0.546;1.30100000;1.22800000;7298487.02610000
KLAYUSDT;1.29000000;0.468;1.30100000;1.22800000;7323533.76250000
KLAYUSDT;1.29000000;0.546;1.30100000;1.22800000;7329416.41560000
KLAYUSDT;1.29000000;0.703;1.30100000;1.22800000;7329006.09900000
KLAYUSDT;1.29000000;0.546;1.30100000;1.22800000;7328561.24140000
KLAYUSDT;1.29200000;0.779;1.30100000;1.22800000;7337918.46760000
