Symbol;Price;Change24;Max24;Min24;Volume24
KMDUSDT;0.73530000;1.003;0.74500000;0.71140000;404044.30940000
KMDUSDT;0.73530000;1.003;0.74500000;0.71140000;404044.30940000
KMDUSDT;0.73530000;1.003;0.74500000;0.71140000;404044.30940000
KMDUSDT;0.73530000;0.975;0.74500000;0.71140000;402544.33940000
KMDUSDT;0.73530000;0.975;0.74500000;0.71140000;402544.33940000
KMDUSDT;0.73530000;1.267;0.74500000;0.71140000;398556.13170000
KMDUSDT;0.73530000;1.267;0.74500000;0.71140000;398556.13170000
KMDUSDT;0.73530000;1.267;0.74500000;0.71140000;398545.96630000
KMDUSDT;0.73530000;1.435;0.74500000;0.71140000;398453.75160000
KMDUSDT;0.73530000;1.156;0.74500000;0.71140000;398436.35400000
KMDUSDT;0.73530000;1.156;0.74500000;0.71140000;398436.35400000
KMDUSDT;0.73530000;1.156;0.74500000;0.71140000;397654.89790000
KMDUSDT;0.73530000;1.156;0.74500000;0.71140000;397654.89790000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73530000;1.225;0.74500000;0.71140000;397458.03880000
KMDUSDT;0.73410000;1.060;0.74500000;0.71140000;397499.88250000
KMDUSDT;0.73410000;1.060;0.74500000;0.71140000;397499.88250000
KMDUSDT;0.73410000;1.060;0.74500000;0.71140000;397499.88250000
KMDUSDT;0.73020000;0.523;0.74500000;0.71140000;399701.37590000
KMDUSDT;0.73050000;0.564;0.74500000;0.71140000;400426.83540000
KMDUSDT;0.73050000;0.564;0.74500000;0.71140000;400426.83540000
KMDUSDT;0.73300000;0.839;0.74500000;0.71140000;400473.04610000
KMDUSDT;0.73300000;0.839;0.74500000;0.71140000;400249.16090000
KMDUSDT;0.73300000;0.839;0.74500000;0.71140000;400249.16090000
KMDUSDT;0.73300000;0.839;0.74500000;0.71140000;400249.16090000
KMDUSDT;0.73300000;0.839;0.74500000;0.71140000;400249.16090000
KMDUSDT;0.73300000;0.950;0.74500000;0.71140000;398915.56130000
KMDUSDT;0.73300000;0.950;0.74500000;0.71140000;398915.56130000
KMDUSDT;0.73300000;0.950;0.74500000;0.71140000;398915.56130000
KMDUSDT;0.73300000;0.950;0.74500000;0.71140000;398915.56130000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.771;0.74500000;0.71140000;398929.46360000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398829.93490000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398829.93490000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398829.93490000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398780.56690000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398780.56690000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398780.56690000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398780.56690000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398780.56690000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398744.99290000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398744.99290000
KMDUSDT;0.73170000;0.785;0.74500000;0.71140000;398744.99290000
KMDUSDT;0.73170000;0.868;0.74500000;0.71140000;396529.47110000
KMDUSDT;0.73170000;0.868;0.74500000;0.71140000;396529.47110000
KMDUSDT;0.73170000;0.868;0.74500000;0.71140000;396529.47110000
KMDUSDT;0.73170000;0.827;0.74500000;0.71140000;396518.59010000
KMDUSDT;0.73170000;0.827;0.74500000;0.71140000;396884.45410000
KMDUSDT;0.73170000;0.827;0.74500000;0.71140000;396884.45410000
KMDUSDT;0.73170000;0.827;0.74500000;0.71140000;396884.45410000
KMDUSDT;0.73170000;0.799;0.74500000;0.71140000;396649.77800000
KMDUSDT;0.73170000;0.799;0.74500000;0.71140000;396609.85350000
KMDUSDT;0.73170000;0.799;0.74500000;0.71140000;396609.85350000
KMDUSDT;0.73170000;0.841;0.74500000;0.71140000;396565.57360000
KMDUSDT;0.73170000;0.841;0.74500000;0.71140000;396565.57360000
KMDUSDT;0.73170000;0.868;0.74500000;0.71140000;393342.10830000
KMDUSDT;0.73170000;1.189;0.74500000;0.71140000;391922.42230000
KMDUSDT;0.73170000;1.133;0.74500000;0.71140000;385936.57050000
KMDUSDT;0.73210000;1.511;0.74500000;0.71140000;385752.81220000
KMDUSDT;0.73210000;1.511;0.74500000;0.71140000;385752.81220000
KMDUSDT;0.73210000;1.511;0.74500000;0.71140000;385752.81220000
KMDUSDT;0.73220000;1.371;0.74500000;0.71140000;385850.68690000
KMDUSDT;0.73650000;1.952;0.74500000;0.71140000;391855.89770000
KMDUSDT;0.73650000;1.952;0.74500000;0.71140000;391855.89770000
KMDUSDT;0.73530000;1.659;0.74500000;0.71140000;395188.74310000
KMDUSDT;0.73530000;1.659;0.74500000;0.71140000;395188.74310000
KMDUSDT;0.73530000;1.659;0.74500000;0.71140000;395188.74310000
KMDUSDT;0.73590000;1.883;0.74500000;0.71140000;396034.24310000
KMDUSDT;0.73520000;1.786;0.74500000;0.71140000;395575.27660000
KMDUSDT;0.73850000;2.215;0.74500000;0.71140000;396286.31210000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396281.93860000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396281.93860000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396281.93860000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396281.93860000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396281.93860000
KMDUSDT;0.73770000;1.977;0.74500000;0.71140000;396124.96080000
KMDUSDT;0.73890000;2.143;0.74500000;0.71140000;400246.01770000
KMDUSDT;0.73890000;2.143;0.74500000;0.71140000;400246.01770000
KMDUSDT;0.73890000;2.242;0.74500000;0.71140000;400013.80630000
KMDUSDT;0.73890000;2.242;0.74500000;0.71140000;400013.80630000
KMDUSDT;0.73890000;2.242;0.74500000;0.71140000;400013.80630000
KMDUSDT;0.73760000;2.062;0.74500000;0.71140000;400030.03350000
KMDUSDT;0.73770000;2.076;0.74500000;0.71140000;400040.36130000
KMDUSDT;0.73770000;2.076;0.74500000;0.71140000;400040.36130000
KMDUSDT;0.73770000;2.076;0.74500000;0.71140000;400040.36130000
KMDUSDT;0.73770000;2.076;0.74500000;0.71140000;400040.36130000
KMDUSDT;0.73770000;2.076;0.74500000;0.71140000;400040.36130000
KMDUSDT;0.73670000;1.937;0.74500000;0.71140000;400246.67170000
KMDUSDT;0.73670000;1.937;0.74500000;0.71140000;400246.67170000
KMDUSDT;0.73940000;2.311;0.74500000;0.71140000;402750.19700000
KMDUSDT;0.73940000;2.311;0.74500000;0.71140000;402750.19700000
KMDUSDT;0.73880000;1.958;0.74500000;0.71140000;402763.15090000
KMDUSDT;0.73880000;1.875;0.74500000;0.71140000;402775.71050000
KMDUSDT;0.73880000;1.875;0.74500000;0.71140000;402775.71050000
KMDUSDT;0.73940000;1.958;0.74500000;0.71140000;404775.71980000
KMDUSDT;0.73940000;1.958;0.74500000;0.71140000;404918.42400000
KMDUSDT;0.73940000;2.622;0.74500000;0.71140000;405969.02940000
KMDUSDT;0.73940000;2.028;0.74500000;0.71140000;407304.48080000
KMDUSDT;0.73940000;2.028;0.74500000;0.71140000;407346.62660000
KMDUSDT;0.73940000;2.028;0.74500000;0.71140000;407346.62660000
KMDUSDT;0.74350000;2.594;0.74500000;0.71140000;409003.81620000
KMDUSDT;0.73920000;2.001;0.74500000;0.71140000;410083.15880000
KMDUSDT;0.73760000;1.780;0.74500000;0.71140000;410498.44720000
KMDUSDT;0.74160000;2.332;0.74660000;0.71140000;415965.33760000
KMDUSDT;0.74160000;2.332;0.74660000;0.71140000;415947.94480000
KMDUSDT;0.74150000;3.160;0.74830000;0.71140000;416675.80260000
KMDUSDT;0.74550000;2.925;0.74830000;0.71140000;420903.98490000
KMDUSDT;0.74550000;2.870;0.74830000;0.71140000;421029.12640000
KMDUSDT;0.74500000;2.830;0.74830000;0.71140000;420627.93850000
KMDUSDT;0.74510000;2.843;0.74830000;0.71140000;420644.33070000
KMDUSDT;0.74510000;2.843;0.74830000;0.71140000;420644.33070000
KMDUSDT;0.74510000;2.843;0.74830000;0.71140000;420644.33070000
KMDUSDT;0.74510000;2.843;0.74830000;0.71140000;420644.33070000
KMDUSDT;0.74660000;2.965;0.74830000;0.71140000;420147.78420000
KMDUSDT;0.74510000;2.869;0.74830000;0.71140000;420305.13390000
KMDUSDT;0.74480000;2.731;0.74830000;0.71140000;420031.52560000
KMDUSDT;0.73850000;1.834;0.74830000;0.71140000;422346.62380000
KMDUSDT;0.74630000;2.910;0.74830000;0.71140000;424591.12070000
KMDUSDT;0.74630000;2.910;0.74830000;0.71140000;424591.12070000
KMDUSDT;0.74690000;2.910;0.74830000;0.71140000;424591.12070000
KMDUSDT;0.74850000;3.682;0.75190000;0.71140000;429334.88380000
KMDUSDT;0.74850000;3.213;0.75190000;0.71140000;429434.43430000
KMDUSDT;0.75230000;3.723;0.75220000;0.71140000;432992.55620000
KMDUSDT;0.75220000;3.682;0.75230000;0.71140000;434806.15360000
KMDUSDT;0.74730000;3.047;0.75230000;0.71140000;436365.37160000
KMDUSDT;0.74730000;3.047;0.75230000;0.71140000;436365.37160000
KMDUSDT;0.74730000;3.047;0.75230000;0.71140000;436365.37160000
KMDUSDT;0.74730000;3.047;0.75230000;0.71140000;436365.37160000
KMDUSDT;0.74730000;3.047;0.75230000;0.71140000;436365.37160000
KMDUSDT;0.75080000;3.530;0.75230000;0.71140000;436308.51600000
KMDUSDT;0.75140000;3.530;0.75230000;0.71140000;436308.51600000
KMDUSDT;0.75140000;3.613;0.75230000;0.71140000;436361.11400000
KMDUSDT;0.75140000;3.613;0.75230000;0.71140000;436421.22270000
KMDUSDT;0.75210000;3.467;0.75230000;0.71140000;436640.53090000
KMDUSDT;0.75230000;3.494;0.75230000;0.71140000;437289.01350000
KMDUSDT;0.75240000;3.494;0.75230000;0.71140000;437596.70420000
KMDUSDT;0.75240000;3.508;0.75240000;0.71140000;438775.71500000
KMDUSDT;0.75240000;3.508;0.75240000;0.71140000;442537.71500000
KMDUSDT;0.75230000;3.452;0.75240000;0.71140000;441954.18860000
KMDUSDT;0.75240000;3.380;0.75240000;0.71140000;442892.69060000
KMDUSDT;0.75240000;3.012;0.75240000;0.71140000;442077.03750000
KMDUSDT;0.75240000;3.012;0.75240000;0.71140000;442270.40430000
KMDUSDT;0.75240000;3.012;0.75240000;0.71140000;443186.82750000
KMDUSDT;0.75240000;3.012;0.75240000;0.71140000;443186.82750000
KMDUSDT;0.75230000;2.801;0.75240000;0.71140000;441145.77850000
KMDUSDT;0.74920000;2.322;0.75240000;0.71140000;439286.74840000
KMDUSDT;0.74920000;2.448;0.75240000;0.71140000;439649.59920000
KMDUSDT;0.74920000;2.448;0.75240000;0.71140000;441002.65440000
KMDUSDT;0.74920000;2.448;0.75240000;0.71140000;441002.65440000
KMDUSDT;0.74920000;2.448;0.75240000;0.71140000;441002.65440000
KMDUSDT;0.74950000;2.461;0.75240000;0.71140000;441976.22720000
KMDUSDT;0.74950000;2.461;0.75240000;0.71140000;441976.22720000
KMDUSDT;0.74950000;2.461;0.75240000;0.71140000;441976.22720000
KMDUSDT;0.74950000;2.349;0.75240000;0.71140000;441865.04120000
KMDUSDT;0.74950000;2.349;0.75240000;0.71140000;441865.04120000
KMDUSDT;0.74950000;2.349;0.75240000;0.71140000;441865.04120000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441547.06080000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441577.11680000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441577.11680000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441577.11680000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441577.11680000
KMDUSDT;0.75140000;2.664;0.75240000;0.71140000;441577.11680000
KMDUSDT;0.75420000;3.047;0.75420000;0.71140000;442433.44610000
KMDUSDT;0.75420000;3.160;0.75420000;0.71140000;442194.21770000
KMDUSDT;0.75410000;3.146;0.75420000;0.71140000;442554.51510000
KMDUSDT;0.75410000;3.146;0.75420000;0.71140000;442554.51510000
KMDUSDT;0.75410000;3.146;0.75420000;0.71140000;442554.51510000
KMDUSDT;0.75410000;3.146;0.75420000;0.71140000;442554.51510000
KMDUSDT;0.75080000;3.146;0.75420000;0.71140000;442554.51510000
KMDUSDT;0.75380000;3.105;0.75420000;0.71140000;443548.73230000
KMDUSDT;0.75380000;3.105;0.75420000;0.71140000;443548.73230000
KMDUSDT;0.75380000;3.105;0.75420000;0.71140000;443548.73230000
KMDUSDT;0.75470000;3.105;0.75420000;0.71140000;443548.73230000
KMDUSDT;0.75430000;3.146;0.75620000;0.71140000;444871.54810000
KMDUSDT;0.75540000;3.420;0.75760000;0.71140000;448284.98400000
KMDUSDT;0.75600000;3.208;0.75850000;0.71140000;449844.82440000
KMDUSDT;0.75500000;3.072;0.75850000;0.71140000;449979.22450000
KMDUSDT;0.75620000;2.772;0.75850000;0.71140000;447429.94470000
KMDUSDT;0.75780000;2.836;0.75850000;0.71140000;445545.07340000
KMDUSDT;0.75860000;2.836;0.75850000;0.71140000;445545.07340000
KMDUSDT;0.75860000;2.945;0.75860000;0.71140000;445947.78980000
