Symbol;Price;Change24;Max24;Min24;Volume24
KNCUSDT;1.31400000;2.656;1.33500000;1.23100000;2001704.02350000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001397.50350000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001445.07030000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001588.03350000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001788.02430000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001788.02430000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001897.08630000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2001897.08630000
KNCUSDT;1.31400000;2.737;1.33500000;1.23100000;2000524.20770000
KNCUSDT;1.31400000;2.897;1.33500000;1.23100000;2000484.81450000
KNCUSDT;1.31400000;2.897;1.33500000;1.23100000;2000484.81450000
KNCUSDT;1.31400000;2.897;1.33500000;1.23100000;2000484.81450000
KNCUSDT;1.31400000;2.897;1.33500000;1.23100000;2000484.81450000
KNCUSDT;1.31400000;2.817;1.33500000;1.23100000;2000318.80450000
KNCUSDT;1.31400000;2.656;1.33500000;1.23100000;2000303.97970000
KNCUSDT;1.31400000;2.656;1.33500000;1.23100000;2000303.97970000
KNCUSDT;1.31300000;2.578;1.33500000;1.23100000;2000813.46930000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;2000432.15730000
KNCUSDT;1.31300000;2.179;1.33500000;1.23100000;1998237.00950000
KNCUSDT;1.31200000;2.578;1.33500000;1.23100000;1998033.97950000
KNCUSDT;1.31200000;2.500;1.33500000;1.23100000;1998160.71870000
KNCUSDT;1.31200000;2.500;1.33500000;1.23100000;1998160.71870000
KNCUSDT;1.31200000;2.500;1.33500000;1.23100000;1998160.71870000
KNCUSDT;1.31200000;2.260;1.33500000;1.23100000;1996566.57690000
KNCUSDT;1.31200000;2.260;1.33500000;1.23100000;1996524.10960000
KNCUSDT;1.31200000;2.260;1.33500000;1.23100000;1996460.60110000
KNCUSDT;1.31300000;2.100;1.33500000;1.23100000;1995034.13390000
KNCUSDT;1.31300000;2.100;1.33500000;1.23100000;1995034.13390000
KNCUSDT;1.31300000;2.100;1.33500000;1.23100000;1995034.13390000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1993355.46100000
KNCUSDT;1.31300000;2.259;1.33500000;1.23100000;1993285.53750000
KNCUSDT;1.31300000;2.259;1.33500000;1.23100000;1993118.61750000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1993104.87870000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1993118.53390000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1993118.53390000
KNCUSDT;1.31400000;2.416;1.33500000;1.23100000;1993135.48450000
KNCUSDT;1.31400000;2.416;1.33500000;1.23100000;1993135.48450000
KNCUSDT;1.31400000;2.576;1.33500000;1.23100000;1991470.16170000
KNCUSDT;1.31400000;2.576;1.33500000;1.23100000;1991470.16170000
KNCUSDT;1.31400000;2.416;1.33500000;1.23100000;1987833.20840000
KNCUSDT;1.31400000;2.416;1.33500000;1.23100000;1987833.20840000
KNCUSDT;1.31400000;2.656;1.33500000;1.23100000;1985445.02510000
KNCUSDT;1.31500000;2.656;1.33500000;1.23100000;1985445.02510000
KNCUSDT;1.31700000;2.969;1.33500000;1.23100000;1987115.96740000
KNCUSDT;1.31700000;2.891;1.33500000;1.23100000;1990570.65490000
KNCUSDT;1.31700000;2.891;1.33500000;1.23100000;1990570.65490000
KNCUSDT;1.31700000;2.891;1.33500000;1.23100000;1990758.32740000
KNCUSDT;1.31700000;2.971;1.33500000;1.23100000;1987594.50030000
KNCUSDT;1.31700000;2.730;1.33500000;1.23100000;1987331.27240000
KNCUSDT;1.31600000;2.652;1.33500000;1.23100000;1987662.37800000
KNCUSDT;1.31600000;2.652;1.33500000;1.23100000;1987982.56080000
KNCUSDT;1.31500000;2.574;1.33500000;1.23100000;1988161.26930000
KNCUSDT;1.31500000;2.574;1.33500000;1.23100000;1988174.68230000
KNCUSDT;1.31500000;2.574;1.33500000;1.23100000;1988174.68230000
KNCUSDT;1.31500000;2.574;1.33500000;1.23100000;1988174.68230000
KNCUSDT;1.31500000;2.494;1.33500000;1.23100000;1988149.29870000
KNCUSDT;1.31500000;2.494;1.33500000;1.23100000;1988149.29870000
KNCUSDT;1.31500000;2.494;1.33500000;1.23100000;1988237.40370000
KNCUSDT;1.31500000;2.494;1.33500000;1.23100000;1988595.21520000
KNCUSDT;1.31500000;2.494;1.33500000;1.23100000;1988595.21520000
KNCUSDT;1.31500000;2.414;1.33500000;1.23100000;1988647.96960000
KNCUSDT;1.31600000;2.572;1.33500000;1.23100000;1985960.92410000
KNCUSDT;1.31600000;2.652;1.33500000;1.23100000;1986013.93080000
KNCUSDT;1.31600000;2.732;1.33500000;1.23100000;1984625.15560000
KNCUSDT;1.31500000;2.815;1.33500000;1.23100000;1984932.44600000
KNCUSDT;1.31500000;3.056;1.33500000;1.23100000;1984556.88470000
KNCUSDT;1.31300000;3.137;1.33500000;1.23100000;1984188.11540000
KNCUSDT;1.31300000;2.900;1.33500000;1.23100000;1983215.68620000
KNCUSDT;1.31500000;2.654;1.33500000;1.23100000;1980595.43340000
KNCUSDT;1.31500000;2.654;1.33500000;1.23100000;1980595.43340000
KNCUSDT;1.31500000;2.574;1.33500000;1.23100000;1979568.58380000
KNCUSDT;1.31300000;2.578;1.33500000;1.23100000;1978671.66080000
KNCUSDT;1.31200000;2.500;1.33500000;1.23100000;1979470.75240000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1979407.00840000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1973751.31080000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1973777.41960000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1973277.84220000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1973460.73500000
KNCUSDT;1.31200000;2.580;1.33500000;1.23100000;1975199.69990000
KNCUSDT;1.31400000;2.656;1.33500000;1.23100000;1974483.65770000
KNCUSDT;1.31400000;2.177;1.33500000;1.23100000;1921573.60390000
KNCUSDT;1.31400000;2.177;1.33500000;1.23100000;1921573.60390000
KNCUSDT;1.31400000;2.177;1.33500000;1.23100000;1921573.60390000
KNCUSDT;1.31400000;2.257;1.33500000;1.23100000;1919200.31850000
KNCUSDT;1.31400000;2.336;1.33500000;1.23100000;1919189.13900000
KNCUSDT;1.31400000;2.336;1.33500000;1.23100000;1919189.13900000
KNCUSDT;1.31400000;2.336;1.33500000;1.23100000;1919189.13900000
KNCUSDT;1.31400000;2.416;1.33500000;1.23100000;1914016.76270000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1914067.96970000
KNCUSDT;1.31300000;2.338;1.33500000;1.23100000;1913313.43740000
KNCUSDT;1.31300000;2.259;1.33500000;1.23100000;1912314.66080000
KNCUSDT;1.31300000;2.259;1.33500000;1.23100000;1912611.14680000
KNCUSDT;1.31300000;2.259;1.33500000;1.23100000;1912611.14680000
KNCUSDT;1.31300000;2.020;1.33500000;1.23100000;1908038.20480000
KNCUSDT;1.31300000;1.783;1.33500000;1.23100000;1904908.83730000
KNCUSDT;1.31300000;1.783;1.33500000;1.23100000;1904908.83730000
KNCUSDT;1.31300000;1.783;1.33500000;1.23100000;1904908.83730000
KNCUSDT;1.31300000;1.234;1.33500000;1.23100000;1890402.45740000
KNCUSDT;1.31200000;1.157;1.33500000;1.23100000;1890763.65100000
KNCUSDT;1.31200000;1.079;1.33500000;1.23100000;1890811.50540000
KNCUSDT;1.31000000;0.925;1.33500000;1.23100000;1900536.60910000
KNCUSDT;1.30800000;0.770;1.33500000;1.23100000;1902892.18050000
KNCUSDT;1.30700000;0.847;1.33500000;1.23100000;1903176.61770000
KNCUSDT;1.30700000;0.693;1.33500000;1.23100000;1903839.52950000
KNCUSDT;1.30900000;0.925;1.33500000;1.23100000;1903407.61390000
KNCUSDT;1.30700000;0.927;1.33500000;1.23100000;1903071.83810000
KNCUSDT;1.30900000;0.927;1.33500000;1.23100000;1903071.83810000
KNCUSDT;1.30800000;1.004;1.33500000;1.23100000;1903319.98270000
KNCUSDT;1.30800000;1.004;1.33500000;1.23100000;1903319.98270000
KNCUSDT;1.30800000;1.004;1.33500000;1.23100000;1903319.98270000
KNCUSDT;1.30800000;1.160;1.33500000;1.23100000;1903151.63270000
KNCUSDT;1.30800000;1.160;1.33500000;1.23100000;1903111.54970000
KNCUSDT;1.30800000;1.160;1.33500000;1.23100000;1903111.54970000
KNCUSDT;1.30900000;1.237;1.33500000;1.23100000;1906008.60420000
KNCUSDT;1.30900000;1.394;1.33500000;1.23100000;1905555.95410000
KNCUSDT;1.30900000;1.394;1.33500000;1.23100000;1905847.07570000
KNCUSDT;1.30900000;1.394;1.33500000;1.23100000;1905847.07570000
KNCUSDT;1.30900000;1.630;1.33500000;1.23100000;1905509.88380000
KNCUSDT;1.30900000;1.868;1.33500000;1.23100000;1904589.10350000
KNCUSDT;1.30900000;1.868;1.33500000;1.23100000;1904589.10350000
KNCUSDT;1.31100000;1.946;1.33500000;1.23100000;1904720.10350000
KNCUSDT;1.31100000;2.023;1.33500000;1.23100000;1904633.01720000
KNCUSDT;1.31100000;2.023;1.33500000;1.23100000;1904633.01720000
KNCUSDT;1.30900000;1.552;1.33500000;1.23100000;1904484.46920000
KNCUSDT;1.31000000;1.629;1.33500000;1.23100000;1904614.55220000
KNCUSDT;1.31000000;1.629;1.33500000;1.23100000;1904563.63670000
KNCUSDT;1.31000000;1.550;1.33500000;1.23100000;1903985.77800000
KNCUSDT;1.31000000;1.550;1.33500000;1.23100000;1903985.77800000
KNCUSDT;1.31300000;1.628;1.33500000;1.23100000;1904551.48600000
KNCUSDT;1.31300000;1.783;1.33500000;1.23100000;1905137.41470000
KNCUSDT;1.31600000;2.016;1.33500000;1.23100000;1904900.58550000
KNCUSDT;1.31600000;2.095;1.33500000;1.23100000;1904401.09750000
KNCUSDT;1.31600000;2.095;1.33500000;1.23100000;1904631.94850000
KNCUSDT;1.31600000;2.095;1.33500000;1.23100000;1904664.32210000
KNCUSDT;1.31600000;2.095;1.33500000;1.23100000;1905136.86750000
KNCUSDT;1.31800000;2.250;1.33500000;1.23100000;1905542.58870000
KNCUSDT;1.31800000;2.250;1.33500000;1.23100000;1905644.07470000
KNCUSDT;1.31800000;2.250;1.33500000;1.23100000;1905920.59110000
KNCUSDT;1.31900000;2.327;1.33500000;1.23100000;1906444.15880000
KNCUSDT;1.32000000;2.248;1.33500000;1.23100000;1906166.41230000
KNCUSDT;1.32000000;2.405;1.33500000;1.23100000;1902644.07030000
KNCUSDT;1.32000000;2.405;1.33500000;1.23100000;1902626.67350000
KNCUSDT;1.32400000;2.241;1.33500000;1.23100000;1868431.13400000
KNCUSDT;1.32900000;2.862;1.33500000;1.23100000;1878858.14680000
KNCUSDT;1.33100000;2.862;1.33500000;1.23100000;1879697.45530000
KNCUSDT;1.32800000;2.786;1.33500000;1.23100000;1896977.95030000
KNCUSDT;1.32800000;2.786;1.33500000;1.23100000;1896977.95030000
KNCUSDT;1.32800000;2.390;1.33500000;1.23100000;1896276.41100000
KNCUSDT;1.32500000;2.390;1.33500000;1.23100000;1896107.80100000
KNCUSDT;1.32400000;2.080;1.33500000;1.23100000;1899226.45900000
KNCUSDT;1.32400000;2.003;1.33500000;1.23100000;1899236.52140000
KNCUSDT;1.32400000;2.003;1.33500000;1.23100000;1899236.52140000
KNCUSDT;1.32400000;2.003;1.33500000;1.23100000;1899236.52140000
KNCUSDT;1.32500000;1.923;1.33500000;1.23100000;1898476.78290000
KNCUSDT;1.32200000;1.692;1.33500000;1.23100000;1894174.65190000
KNCUSDT;1.32000000;1.617;1.33500000;1.23100000;1894249.25550000
KNCUSDT;1.32000000;1.617;1.33500000;1.23100000;1894614.79140000
KNCUSDT;1.32000000;1.695;1.33500000;1.23100000;1894281.85770000
KNCUSDT;1.32600000;2.157;1.33500000;1.23100000;1896644.04820000
KNCUSDT;1.32600000;2.315;1.33500000;1.23100000;1895737.54080000
KNCUSDT;1.32400000;2.315;1.33500000;1.23100000;1895737.54080000
KNCUSDT;1.32100000;1.929;1.33500000;1.23100000;1896499.56870000
KNCUSDT;1.32100000;1.929;1.33500000;1.23100000;1896499.56870000
KNCUSDT;1.32100000;1.929;1.33500000;1.23100000;1896499.56870000
KNCUSDT;1.31900000;2.008;1.33500000;1.23100000;1896205.47460000
KNCUSDT;1.31900000;1.853;1.33500000;1.23100000;1896592.73300000
KNCUSDT;1.31900000;1.853;1.33500000;1.23100000;1897042.11630000
KNCUSDT;1.31900000;1.853;1.33500000;1.23100000;1897042.11630000
KNCUSDT;1.31900000;1.853;1.33500000;1.23100000;1896866.90280000
KNCUSDT;1.31900000;1.853;1.33500000;1.23100000;1896866.90280000
KNCUSDT;1.32100000;1.850;1.33500000;1.23100000;1896394.76170000
KNCUSDT;1.32100000;1.850;1.33500000;1.23100000;1895932.64060000
KNCUSDT;1.32100000;1.850;1.33500000;1.23100000;1895932.64060000
KNCUSDT;1.32200000;2.085;1.33500000;1.23100000;1896135.53910000
KNCUSDT;1.32200000;2.085;1.33500000;1.23100000;1896460.75110000
KNCUSDT;1.32200000;2.085;1.33500000;1.23100000;1896460.75110000
KNCUSDT;1.32000000;2.009;1.33500000;1.23100000;1895400.13910000
KNCUSDT;1.32000000;1.773;1.33500000;1.23100000;1895323.20770000
KNCUSDT;1.32000000;1.773;1.33500000;1.23100000;1895323.20770000
KNCUSDT;1.32000000;1.695;1.33500000;1.23100000;1895154.59770000
KNCUSDT;1.32000000;1.695;1.33500000;1.23100000;1895154.59770000
KNCUSDT;1.31800000;1.541;1.33500000;1.23100000;1895736.35570000
KNCUSDT;1.31800000;1.307;1.33500000;1.23100000;1895403.50430000
KNCUSDT;1.31700000;1.307;1.33500000;1.23100000;1895403.50430000
KNCUSDT;1.31700000;1.386;1.33500000;1.23100000;1895716.51090000
KNCUSDT;1.31700000;1.386;1.33500000;1.23100000;1895961.86800000
KNCUSDT;1.31800000;1.152;1.33500000;1.23100000;1895910.94720000
KNCUSDT;1.31800000;1.229;1.33500000;1.23100000;1896474.78760000
KNCUSDT;1.31800000;1.229;1.33500000;1.23100000;1896474.78760000
KNCUSDT;1.32000000;1.229;1.33500000;1.23100000;1896474.78760000
