Symbol;Price;Change24;Max24;Min24;Volume24
KSMUSDT;284.20000000;-3.791;297.90000000;276.60000000;7431956.95140000
KSMUSDT;284.20000000;-3.791;297.90000000;276.60000000;7428811.58630000
KSMUSDT;284.20000000;-3.759;297.90000000;276.60000000;7428704.70210000
KSMUSDT;284.20000000;-3.694;297.90000000;276.60000000;7428587.50000000
KSMUSDT;284.20000000;-3.694;297.90000000;276.60000000;7428587.50000000
KSMUSDT;284.20000000;-3.694;297.90000000;276.60000000;7428587.50000000
KSMUSDT;284.20000000;-3.596;297.90000000;276.60000000;7427578.15060000
KSMUSDT;284.10000000;-3.695;297.90000000;276.60000000;7426767.45000000
KSMUSDT;284.10000000;-3.564;297.90000000;276.60000000;7417743.78800000
KSMUSDT;284.10000000;-3.728;297.90000000;276.60000000;7413232.91690000
KSMUSDT;284.00000000;-3.827;297.90000000;276.60000000;7412288.11460000
KSMUSDT;284.10000000;-3.662;297.90000000;276.60000000;7411787.25820000
KSMUSDT;283.90000000;-3.665;297.90000000;276.60000000;7411818.36990000
KSMUSDT;283.60000000;-3.931;297.90000000;276.60000000;7404276.57380000
KSMUSDT;283.60000000;-3.930;297.90000000;276.60000000;7406364.37050000
KSMUSDT;283.60000000;-3.930;297.90000000;276.60000000;7406364.37050000
KSMUSDT;283.50000000;-4.027;297.90000000;276.60000000;7403381.63140000
KSMUSDT;283.50000000;-4.061;297.90000000;276.60000000;7402606.74120000
KSMUSDT;283.60000000;-4.254;297.90000000;276.60000000;7389164.72880000
KSMUSDT;283.30000000;-4.157;297.90000000;276.60000000;7388602.76470000
KSMUSDT;283.50000000;-4.061;297.90000000;276.60000000;7382785.41600000
KSMUSDT;283.50000000;-4.061;297.90000000;276.60000000;7381978.04620000
KSMUSDT;283.50000000;-4.061;297.90000000;276.60000000;7381994.77270000
KSMUSDT;283.60000000;-4.060;297.90000000;276.60000000;7382696.87970000
KSMUSDT;283.60000000;-4.157;297.90000000;276.60000000;7380762.63820000
KSMUSDT;283.30000000;-4.484;297.90000000;276.60000000;7379924.76390000
KSMUSDT;283.30000000;-4.452;297.90000000;276.60000000;7379842.90230000
KSMUSDT;283.30000000;-4.452;297.90000000;276.60000000;7379842.90230000
KSMUSDT;283.30000000;-4.420;297.90000000;276.60000000;7378803.53670000
KSMUSDT;283.30000000;-4.355;297.90000000;276.60000000;7374118.33790000
KSMUSDT;283.80000000;-4.251;297.90000000;276.60000000;7374327.13380000
KSMUSDT;283.70000000;-4.317;297.90000000;276.60000000;7374335.26250000
KSMUSDT;283.70000000;-4.317;297.90000000;276.60000000;7374335.26250000
KSMUSDT;283.80000000;-4.285;297.90000000;276.60000000;7374395.20600000
KSMUSDT;283.90000000;-4.185;297.90000000;276.60000000;7374865.12450000
KSMUSDT;283.90000000;-4.120;297.90000000;276.60000000;7375135.73680000
KSMUSDT;283.90000000;-4.120;297.90000000;276.60000000;7374835.78750000
KSMUSDT;283.90000000;-3.991;297.90000000;276.60000000;7372894.82400000
KSMUSDT;284.60000000;-3.788;297.90000000;276.60000000;7387882.40530000
KSMUSDT;284.70000000;-3.655;297.90000000;276.60000000;7389236.59770000
KSMUSDT;284.70000000;-3.753;297.90000000;276.60000000;7389650.17280000
KSMUSDT;284.70000000;-3.720;297.90000000;276.60000000;7389983.28620000
KSMUSDT;284.80000000;-3.654;297.90000000;276.60000000;7393758.31450000
KSMUSDT;284.80000000;-3.654;297.90000000;276.60000000;7393758.31450000
KSMUSDT;284.50000000;-3.755;297.90000000;276.60000000;7394056.26010000
KSMUSDT;284.70000000;-3.655;297.90000000;276.60000000;7394093.44810000
KSMUSDT;284.70000000;-3.655;297.90000000;276.60000000;7394093.44810000
KSMUSDT;284.80000000;-3.686;297.90000000;276.60000000;7390709.73380000
KSMUSDT;284.70000000;-3.720;297.90000000;276.60000000;7390723.96880000
KSMUSDT;284.70000000;-3.720;297.90000000;276.60000000;7390723.96880000
KSMUSDT;284.50000000;-3.788;297.90000000;276.60000000;7389329.30550000
KSMUSDT;284.40000000;-3.821;297.90000000;276.60000000;7390048.39150000
KSMUSDT;284.40000000;-3.789;297.90000000;276.60000000;7389188.20020000
KSMUSDT;284.40000000;-3.789;297.90000000;276.60000000;7388463.98020000
KSMUSDT;284.70000000;-3.687;297.90000000;276.60000000;7399333.64470000
KSMUSDT;284.70000000;-3.720;297.90000000;276.60000000;7398565.95680000
KSMUSDT;284.50000000;-3.788;297.90000000;276.60000000;7399474.06150000
KSMUSDT;284.50000000;-3.788;297.90000000;276.60000000;7399517.02100000
KSMUSDT;284.60000000;-3.754;297.90000000;276.60000000;7399617.76940000
