Symbol;Price;Change24;Max24;Min24;Volume24
LAZIOUSDT;4.75880000;-2.291;4.93710000;4.68340000;2656119.07753000
LAZIOUSDT;4.75880000;-2.291;4.93710000;4.68340000;2656528.70683800
LAZIOUSDT;4.75880000;-2.269;4.93710000;4.68340000;2654286.93695400
LAZIOUSDT;4.75970000;-2.283;4.93710000;4.68340000;2655630.14223600
LAZIOUSDT;4.75970000;-2.297;4.93710000;4.68340000;2654694.57594700
LAZIOUSDT;4.75970000;-2.112;4.93710000;4.68340000;2654677.81764300
LAZIOUSDT;4.75970000;-2.112;4.93710000;4.68340000;2654677.81764300
LAZIOUSDT;4.75970000;-2.170;4.93710000;4.68340000;2653426.27769500
LAZIOUSDT;4.75520000;-2.233;4.93710000;4.68340000;2653631.80361200
LAZIOUSDT;4.75520000;-1.587;4.93710000;4.68340000;2603573.77115100
LAZIOUSDT;4.76100000;-1.467;4.93710000;4.68340000;2603811.82115100
LAZIOUSDT;4.76100000;-1.467;4.93710000;4.68340000;2603811.82115100
LAZIOUSDT;4.76100000;-1.518;4.93710000;4.68340000;2602532.97617300
LAZIOUSDT;4.76100000;-1.518;4.93710000;4.68340000;2602532.97617300
LAZIOUSDT;4.76100000;-1.518;4.93710000;4.68340000;2602096.57271700
LAZIOUSDT;4.76100000;-1.567;4.93710000;4.68340000;2593651.65151100
LAZIOUSDT;4.76100000;-1.626;4.93710000;4.68340000;2590125.75297500
LAZIOUSDT;4.75440000;-1.748;4.93710000;4.68340000;2590136.66587400
LAZIOUSDT;4.76100000;-1.612;4.93710000;4.68340000;2593414.92287500
LAZIOUSDT;4.76100000;-1.669;4.93710000;4.68340000;2592204.01584700
LAZIOUSDT;4.76100000;-1.740;4.93710000;4.68340000;2591071.18318800
LAZIOUSDT;4.75830000;-1.848;4.93710000;4.68340000;2591054.95772800
LAZIOUSDT;4.75830000;-1.838;4.93710000;4.68340000;2590023.82177600
LAZIOUSDT;4.75830000;-1.838;4.93710000;4.68340000;2590023.82177600
LAZIOUSDT;4.75830000;-1.915;4.93710000;4.68340000;2590009.32805000
LAZIOUSDT;4.75830000;-1.915;4.93710000;4.68340000;2590009.32805000
LAZIOUSDT;4.75830000;-1.966;4.93710000;4.68340000;2589923.12222600
LAZIOUSDT;4.75830000;-1.994;4.93710000;4.68340000;2589807.09310800
LAZIOUSDT;4.75560000;-2.066;4.93710000;4.68340000;2588139.69845800
LAZIOUSDT;4.75560000;-2.196;4.93710000;4.68340000;2587534.77956400
LAZIOUSDT;4.76090000;-1.970;4.93710000;4.68340000;2589862.51927000
LAZIOUSDT;4.76160000;-1.966;4.93710000;4.68340000;2590264.76080700
LAZIOUSDT;4.76150000;-1.968;4.93710000;4.68340000;2590710.91335700
LAZIOUSDT;4.76150000;-1.968;4.93710000;4.68340000;2590710.91335700
LAZIOUSDT;4.76150000;-1.926;4.93710000;4.68340000;2590694.78778500
LAZIOUSDT;4.76150000;-1.926;4.93710000;4.68340000;2590694.78778500
LAZIOUSDT;4.76150000;-1.926;4.93710000;4.68340000;2590294.24618200
LAZIOUSDT;4.76150000;-1.683;4.93710000;4.68340000;2586371.00450100
LAZIOUSDT;4.76150000;-1.857;4.93710000;4.68340000;2584520.40145800
LAZIOUSDT;4.76600000;-1.764;4.93710000;4.68340000;2584531.26793800
LAZIOUSDT;4.76180000;-1.764;4.93710000;4.68340000;2584531.26793800
LAZIOUSDT;4.76180000;-1.851;4.93710000;4.68340000;2584637.74178600
LAZIOUSDT;4.76180000;-1.851;4.93710000;4.68340000;2584637.74178600
LAZIOUSDT;4.76180000;-1.839;4.93710000;4.68340000;2584641.10099800
LAZIOUSDT;4.76150000;-1.845;4.93710000;4.68340000;2585095.28579600
LAZIOUSDT;4.76150000;-1.829;4.93710000;4.68340000;2585065.30661600
LAZIOUSDT;4.76150000;-1.829;4.93710000;4.68340000;2585065.30661600
