Symbol;Price;Change24;Max24;Min24;Volume24
LITUSDT;2.96700000;-4.321;3.15000000;2.83900000;5719110.79450000
LITUSDT;2.96700000;-4.136;3.15000000;2.83900000;5712119.55110000
LITUSDT;2.96700000;-4.167;3.15000000;2.83900000;5711399.68490000
LITUSDT;2.96700000;-4.105;3.15000000;2.83900000;5711238.34890000
LITUSDT;2.96700000;-4.043;3.15000000;2.83900000;5710085.80320000
LITUSDT;2.96700000;-4.043;3.15000000;2.83900000;5710085.80320000
LITUSDT;2.96700000;-3.949;3.15000000;2.83900000;5709871.36750000
LITUSDT;2.96900000;-4.071;3.15000000;2.83900000;5708169.45760000
LITUSDT;2.96800000;-3.917;3.15000000;2.83900000;5708076.89310000
LITUSDT;2.96500000;-4.169;3.15000000;2.83900000;5708784.33420000
LITUSDT;2.96600000;-4.107;3.15000000;2.83900000;5708704.19960000
LITUSDT;2.97000000;-3.852;3.15000000;2.83900000;5710593.64340000
LITUSDT;2.96800000;-3.793;3.15000000;2.83900000;5710391.02100000
LITUSDT;2.96600000;-4.106;3.15000000;2.83900000;5704994.48560000
LITUSDT;2.96700000;-4.012;3.15000000;2.83900000;5705039.25580000
LITUSDT;2.97000000;-3.946;3.15000000;2.83900000;5707076.36700000
LITUSDT;2.96500000;-4.107;3.15000000;2.83900000;5707708.23160000
LITUSDT;2.96600000;-4.265;3.15000000;2.83900000;5705504.13630000
LITUSDT;2.96500000;-4.200;3.15000000;2.83900000;5705136.14880000
LITUSDT;2.96000000;-4.330;3.15000000;2.83900000;5705311.85610000
LITUSDT;2.96100000;-4.175;3.15000000;2.83900000;5705632.38780000
LITUSDT;2.96000000;-4.207;3.15000000;2.83900000;5706707.63420000
LITUSDT;2.96000000;-4.207;3.15000000;2.83900000;5706707.63420000
LITUSDT;2.96400000;-4.238;3.15000000;2.83900000;5706051.23450000
LITUSDT;2.96400000;-4.140;3.15000000;2.83900000;5706512.59310000
LITUSDT;2.96400000;-4.480;3.15000000;2.83900000;5702554.20960000
LITUSDT;2.96200000;-4.480;3.15000000;2.83900000;5699953.14160000
LITUSDT;2.96200000;-4.544;3.15000000;2.83900000;5700329.31560000
LITUSDT;2.96100000;-4.545;3.15000000;2.83900000;5700091.58120000
LITUSDT;2.95900000;-4.487;3.15000000;2.83900000;5701587.51910000
LITUSDT;2.96100000;-4.453;3.15000000;2.83900000;5701693.00700000
LITUSDT;2.96100000;-4.515;3.15000000;2.83900000;5699584.50230000
LITUSDT;2.96100000;-4.515;3.15000000;2.83900000;5699584.50230000
LITUSDT;2.96500000;-4.417;3.15000000;2.83900000;5698674.08390000
LITUSDT;2.96300000;-4.381;3.15000000;2.83900000;5698686.73410000
LITUSDT;2.96300000;-4.512;3.15000000;2.83900000;5697774.78540000
