Symbol;Price;Change24;Max24;Min24;Volume24
LTCDOWNUSDT;1.33540000;2.032;1.44980000;1.26450000;541572.47913000
LTCDOWNUSDT;1.33540000;2.032;1.44980000;1.26450000;541572.47913000
LTCDOWNUSDT;1.33540000;1.861;1.44980000;1.26450000;541561.40668200
LTCDOWNUSDT;1.33540000;1.861;1.44980000;1.26450000;541561.40668200
LTCDOWNUSDT;1.33540000;1.861;1.44980000;1.26450000;541561.40668200
LTCDOWNUSDT;1.33540000;1.861;1.44980000;1.26450000;541561.40668200
LTCDOWNUSDT;1.33540000;1.861;1.44980000;1.26450000;541561.40668200
LTCDOWNUSDT;1.33680000;1.844;1.44980000;1.26450000;541829.98050200
LTCDOWNUSDT;1.33680000;1.782;1.44980000;1.26450000;541805.01485000
LTCDOWNUSDT;1.33680000;1.782;1.44980000;1.26450000;541805.01485000
LTCDOWNUSDT;1.33680000;1.782;1.44980000;1.26450000;541805.01485000
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;2.015;1.44980000;1.26450000;541736.37656600
LTCDOWNUSDT;1.33680000;1.968;1.44980000;1.26450000;541670.85656600
LTCDOWNUSDT;1.33680000;1.968;1.44980000;1.26450000;541670.85656600
LTCDOWNUSDT;1.33680000;2.233;1.44980000;1.26450000;540479.39928800
LTCDOWNUSDT;1.33680000;2.233;1.44980000;1.26450000;540479.39928800
LTCDOWNUSDT;1.33680000;2.233;1.44980000;1.26450000;540479.39928800
LTCDOWNUSDT;1.33680000;2.233;1.44980000;1.26450000;540479.39928800
LTCDOWNUSDT;1.33680000;2.233;1.44980000;1.26450000;540479.39928800
LTCDOWNUSDT;1.33680000;2.626;1.44980000;1.26450000;539671.34587300
LTCDOWNUSDT;1.34700000;3.369;1.44980000;1.26450000;539390.65255400
LTCDOWNUSDT;1.34700000;3.401;1.44980000;1.26450000;539378.27310400
LTCDOWNUSDT;1.33820000;2.725;1.44980000;1.26450000;539448.88592400
LTCDOWNUSDT;1.33820000;2.379;1.44980000;1.26450000;539330.99157400
LTCDOWNUSDT;1.33820000;2.379;1.44980000;1.26450000;539330.99157400
LTCDOWNUSDT;1.33820000;2.379;1.44980000;1.26450000;539330.99157400
LTCDOWNUSDT;1.33820000;2.379;1.44980000;1.26450000;539330.99157400
LTCDOWNUSDT;1.33810000;2.379;1.44980000;1.26450000;539330.99157400
LTCDOWNUSDT;1.33810000;2.372;1.44980000;1.26450000;539393.53436800
LTCDOWNUSDT;1.33810000;2.372;1.44980000;1.26450000;539393.53436800
LTCDOWNUSDT;1.33810000;2.254;1.44980000;1.26450000;539246.21112700
LTCDOWNUSDT;1.33810000;2.372;1.44980000;1.26450000;539209.98449500
LTCDOWNUSDT;1.33710000;2.101;1.44980000;1.26450000;539227.82673900
LTCDOWNUSDT;1.33710000;2.178;1.44980000;1.26450000;539361.78966700
LTCDOWNUSDT;1.33710000;2.147;1.44980000;1.26450000;539211.86336500
LTCDOWNUSDT;1.33710000;2.147;1.44980000;1.26450000;539211.86336500
LTCDOWNUSDT;1.33710000;2.147;1.44980000;1.26450000;539211.86336500
LTCDOWNUSDT;1.33690000;2.147;1.44980000;1.26450000;539211.86336500
LTCDOWNUSDT;1.33690000;2.131;1.44980000;1.26450000;539319.40360100
LTCDOWNUSDT;1.33690000;2.131;1.44980000;1.26450000;539319.40360100
LTCDOWNUSDT;1.33690000;2.053;1.44980000;1.26450000;539284.57111100
LTCDOWNUSDT;1.33690000;2.100;1.44980000;1.26450000;539269.57161100
LTCDOWNUSDT;1.33510000;1.963;1.44980000;1.26450000;539336.32661100
LTCDOWNUSDT;1.33510000;1.963;1.44980000;1.26450000;539336.32661100
LTCDOWNUSDT;1.33510000;2.220;1.44980000;1.26450000;527854.78278200
LTCDOWNUSDT;1.33510000;2.228;1.44980000;1.26450000;527460.27360400
LTCDOWNUSDT;1.33510000;2.228;1.44980000;1.26450000;527460.27360400
LTCDOWNUSDT;1.33510000;2.228;1.44980000;1.26450000;527460.27360400
LTCDOWNUSDT;1.33510000;2.605;1.44980000;1.26450000;527445.28072400
LTCDOWNUSDT;1.33510000;2.605;1.44980000;1.26450000;527445.28072400
LTCDOWNUSDT;1.33510000;2.605;1.44980000;1.26450000;527445.28072400
LTCDOWNUSDT;1.33510000;2.605;1.44980000;1.26450000;527445.28072400
LTCDOWNUSDT;1.33510000;2.605;1.44980000;1.26450000;527445.28072400
LTCDOWNUSDT;1.33510000;2.914;1.44980000;1.26450000;526110.38897200
LTCDOWNUSDT;1.33510000;3.488;1.44980000;1.26450000;522280.72590500
LTCDOWNUSDT;1.33510000;2.700;1.44980000;1.26450000;519797.45520500
LTCDOWNUSDT;1.33510000;2.700;1.44980000;1.26450000;519797.45520500
LTCDOWNUSDT;1.33610000;2.777;1.44980000;1.26450000;519914.71853500
LTCDOWNUSDT;1.33610000;2.777;1.44980000;1.26450000;519914.71853500
LTCDOWNUSDT;1.34350000;2.463;1.44980000;1.26450000;519508.62286900
LTCDOWNUSDT;1.34350000;2.463;1.44980000;1.26450000;519508.62286900
LTCDOWNUSDT;1.34350000;2.245;1.44980000;1.26450000;519303.38022800
LTCDOWNUSDT;1.34350000;2.698;1.44980000;1.26450000;517278.22068400
LTCDOWNUSDT;1.34350000;2.698;1.44980000;1.26450000;517278.22068400
LTCDOWNUSDT;1.34200000;2.678;1.44980000;1.26450000;517277.35544000
LTCDOWNUSDT;1.34200000;2.396;1.44980000;1.26450000;516347.52202800
LTCDOWNUSDT;1.34200000;2.318;1.44980000;1.26450000;516169.09445400
LTCDOWNUSDT;1.34200000;2.318;1.44980000;1.26450000;516169.09445400
LTCDOWNUSDT;1.34270000;1.828;1.44980000;1.26450000;516131.14537600
LTCDOWNUSDT;1.34270000;1.828;1.44980000;1.26450000;516131.14537600
