Symbol;Price;Change24;Max24;Min24;Volume24
LTCUPUSDT;1.39200000;-2.247;1.46400000;1.27600000;921920.01754000
LTCUPUSDT;1.39200000;-2.247;1.46400000;1.27600000;921920.01754000
LTCUPUSDT;1.39200000;-2.247;1.46400000;1.27600000;921920.01754000
LTCUPUSDT;1.39200000;-2.041;1.46400000;1.27600000;921908.95306000
LTCUPUSDT;1.39200000;-2.041;1.46400000;1.27600000;921908.95306000
LTCUPUSDT;1.39200000;-2.041;1.46400000;1.27600000;921908.95306000
LTCUPUSDT;1.39200000;-2.041;1.46400000;1.27600000;921908.95306000
LTCUPUSDT;1.39200000;-2.110;1.46400000;1.27600000;921456.65809000
LTCUPUSDT;1.38700000;-2.461;1.46400000;1.27600000;921924.60415000
LTCUPUSDT;1.38700000;-2.186;1.46400000;1.27600000;921674.24361000
LTCUPUSDT;1.38700000;-2.186;1.46400000;1.27600000;921674.24361000
LTCUPUSDT;1.38700000;-2.186;1.46400000;1.27600000;921716.17262000
LTCUPUSDT;1.38900000;-1.907;1.46400000;1.27600000;921870.11538000
LTCUPUSDT;1.38700000;-1.909;1.46400000;1.27600000;922071.86422000
LTCUPUSDT;1.38700000;-1.909;1.46400000;1.27600000;922071.86422000
LTCUPUSDT;1.38700000;-1.909;1.46400000;1.27600000;922071.86422000
LTCUPUSDT;1.38700000;-2.117;1.46400000;1.27600000;922025.69659000
LTCUPUSDT;1.38700000;-2.117;1.46400000;1.27600000;922025.69659000
LTCUPUSDT;1.38600000;-2.188;1.46400000;1.27600000;923362.71317000
LTCUPUSDT;1.38300000;-2.669;1.46400000;1.27600000;923334.59041000
LTCUPUSDT;1.38500000;-2.189;1.46400000;1.27600000;923560.36952000
LTCUPUSDT;1.38500000;-2.189;1.46400000;1.27600000;923560.36952000
LTCUPUSDT;1.38500000;-2.189;1.46400000;1.27600000;923560.36952000
LTCUPUSDT;1.38500000;-2.189;1.46400000;1.27600000;923560.36952000
LTCUPUSDT;1.38500000;-2.739;1.46400000;1.27600000;923470.21280000
LTCUPUSDT;1.38800000;-2.869;1.46400000;1.27600000;923864.93952000
LTCUPUSDT;1.38800000;-2.665;1.46400000;1.27600000;923849.83499000
LTCUPUSDT;1.38800000;-2.665;1.46400000;1.27600000;923849.83499000
LTCUPUSDT;1.38800000;-2.665;1.46400000;1.27600000;923849.83499000
LTCUPUSDT;1.38800000;-2.460;1.46400000;1.27600000;923813.18679000
LTCUPUSDT;1.38800000;-2.596;1.46400000;1.27600000;923587.71244000
LTCUPUSDT;1.38800000;-2.596;1.46400000;1.27600000;923659.70740000
LTCUPUSDT;1.38800000;-2.596;1.46400000;1.27600000;923659.70740000
LTCUPUSDT;1.38800000;-2.596;1.46400000;1.27600000;923659.70740000
LTCUPUSDT;1.39200000;-2.596;1.46400000;1.27600000;927219.03908000
LTCUPUSDT;1.39200000;-2.316;1.46400000;1.27600000;927139.15625000
LTCUPUSDT;1.39200000;-2.316;1.46400000;1.27600000;927139.15625000
LTCUPUSDT;1.39200000;-2.178;1.46400000;1.27600000;926993.84791000
LTCUPUSDT;1.39200000;-2.178;1.46400000;1.27600000;926993.84791000
LTCUPUSDT;1.39200000;-2.178;1.46400000;1.27600000;926955.54075000
LTCUPUSDT;1.39200000;-2.178;1.46400000;1.27600000;926955.54075000
LTCUPUSDT;1.39200000;-2.178;1.46400000;1.27600000;926955.54075000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-1.972;1.46400000;1.27600000;923113.51370000
LTCUPUSDT;1.39200000;-2.453;1.46400000;1.27600000;921520.87928000
LTCUPUSDT;1.39200000;-2.453;1.46400000;1.27600000;921613.01670000
LTCUPUSDT;1.39200000;-2.453;1.46400000;1.27600000;921613.01670000
LTCUPUSDT;1.39200000;-2.453;1.46400000;1.27600000;921773.02710000
LTCUPUSDT;1.39200000;-2.247;1.46400000;1.27600000;920827.29833000
LTCUPUSDT;1.39200000;-2.657;1.46400000;1.27600000;919887.86141000
LTCUPUSDT;1.39000000;-2.797;1.46400000;1.27600000;916467.24294000
LTCUPUSDT;1.39000000;-2.525;1.46400000;1.27600000;913982.05664000
LTCUPUSDT;1.39000000;-2.729;1.46400000;1.27600000;912338.21343000
LTCUPUSDT;1.39000000;-2.865;1.46400000;1.27600000;911509.76752000
LTCUPUSDT;1.39200000;-2.589;1.46400000;1.27600000;912598.27541000
LTCUPUSDT;1.39200000;-2.861;1.46400000;1.27600000;909355.92674000
LTCUPUSDT;1.39200000;-2.861;1.46400000;1.27600000;909355.92674000
LTCUPUSDT;1.39300000;-2.451;1.46400000;1.27600000;910311.66193000
LTCUPUSDT;1.39300000;-2.451;1.46400000;1.27600000;910311.66193000
LTCUPUSDT;1.39300000;-2.177;1.46400000;1.27600000;906634.95563000
LTCUPUSDT;1.39300000;-1.970;1.46400000;1.27600000;905211.02842000
LTCUPUSDT;1.39300000;-1.694;1.46400000;1.27600000;903122.38805000
LTCUPUSDT;1.39300000;-1.763;1.46400000;1.27600000;900797.35305000
LTCUPUSDT;1.39300000;-1.763;1.46400000;1.27600000;900797.35305000
LTCUPUSDT;1.39300000;-1.763;1.46400000;1.27600000;900797.35305000
LTCUPUSDT;1.38400000;-2.467;1.46400000;1.27600000;899463.04937000
LTCUPUSDT;1.38200000;-2.194;1.46400000;1.27600000;899483.08908000
LTCUPUSDT;1.38000000;-1.986;1.46400000;1.27600000;899468.09715000
LTCUPUSDT;1.38000000;-2.335;1.46400000;1.27600000;896480.36103000
LTCUPUSDT;1.38000000;-2.335;1.46400000;1.27600000;896480.36103000
LTCUPUSDT;1.38000000;-2.128;1.46400000;1.27600000;895335.81146000
LTCUPUSDT;1.38000000;-1.989;1.46400000;1.27600000;894865.34982000
LTCUPUSDT;1.37700000;-2.202;1.46400000;1.27600000;896187.88947000
LTCUPUSDT;1.38200000;-2.332;1.46400000;1.27600000;895873.14657000
LTCUPUSDT;1.38200000;-2.539;1.46400000;1.27600000;895565.31332000
LTCUPUSDT;1.38200000;-2.539;1.46400000;1.27600000;895565.31332000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895547.23382000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895547.23382000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895646.10494000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895646.10494000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895646.10494000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895646.10494000
LTCUPUSDT;1.38200000;-2.470;1.46400000;1.27600000;895646.10494000
LTCUPUSDT;1.38200000;-2.607;1.46400000;1.27600000;895529.68422000
LTCUPUSDT;1.38200000;-2.607;1.46400000;1.27600000;895529.68422000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894897.85969000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894897.85969000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894899.04821000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894899.04821000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894899.04821000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894899.04821000
LTCUPUSDT;1.38200000;-2.813;1.46400000;1.27600000;894899.04821000
LTCUPUSDT;1.37900000;-3.024;1.46400000;1.27600000;895530.49231000
