Symbol;Price;Change24;Max24;Min24;Volume24
LUNAUSDT;86.38000000;1.994;87.85000000;81.11000000;343153626.09510000
LUNAUSDT;86.38000000;2.079;87.85000000;81.11000000;343078601.86790000
LUNAUSDT;86.39000000;1.935;87.85000000;81.11000000;343004577.15770000
LUNAUSDT;86.34000000;1.984;87.85000000;81.11000000;342893856.97320000
LUNAUSDT;86.33000000;2.166;87.85000000;81.11000000;342623698.13090000
LUNAUSDT;86.28000000;2.167;87.85000000;81.11000000;342376548.46520000
LUNAUSDT;86.28000000;2.288;87.85000000;81.11000000;342314648.51410000
LUNAUSDT;86.27000000;2.276;87.85000000;81.11000000;342235610.05100000
LUNAUSDT;86.30000000;2.215;87.85000000;81.11000000;341040171.77900000
LUNAUSDT;86.34000000;2.274;87.85000000;81.11000000;340974774.09260000
LUNAUSDT;86.31000000;2.009;87.85000000;81.11000000;340864147.26500000
LUNAUSDT;86.38000000;2.080;87.85000000;81.11000000;340849022.83840000
LUNAUSDT;86.42000000;2.321;87.85000000;81.11000000;340821289.35850000
LUNAUSDT;86.31000000;2.094;87.85000000;81.11000000;340746324.44300000
LUNAUSDT;86.33000000;2.129;87.85000000;81.11000000;340759896.27930000
LUNAUSDT;86.32000000;2.080;87.85000000;81.11000000;340705790.17510000
LUNAUSDT;86.34000000;1.961;87.85000000;81.11000000;340698458.03850000
LUNAUSDT;86.28000000;1.877;87.85000000;81.11000000;340621078.42620000
LUNAUSDT;86.35000000;1.889;87.85000000;81.11000000;340621064.17160000
LUNAUSDT;86.23000000;1.974;87.85000000;81.11000000;340582277.08070000
LUNAUSDT;86.16000000;1.893;87.85000000;81.11000000;340713624.79680000
LUNAUSDT;86.22000000;2.036;87.85000000;81.11000000;340750260.50720000
LUNAUSDT;86.15000000;2.038;87.85000000;81.11000000;340771258.59400000
LUNAUSDT;86.18000000;2.036;87.85000000;81.11000000;340735249.32980000
LUNAUSDT;86.21000000;1.986;87.85000000;81.11000000;340782513.03950000
LUNAUSDT;86.23000000;1.770;87.85000000;81.11000000;340737778.67560000
LUNAUSDT;86.23000000;1.675;87.85000000;81.11000000;340737978.24480000
LUNAUSDT;86.27000000;1.781;87.85000000;81.11000000;340745300.37170000
LUNAUSDT;86.26000000;1.626;87.85000000;81.11000000;340673115.76750000
LUNAUSDT;86.23000000;1.818;87.85000000;81.11000000;339804282.80290000
LUNAUSDT;86.28000000;1.840;87.85000000;81.11000000;339602129.05850000
LUNAUSDT;86.37000000;1.863;87.85000000;81.11000000;339538283.09450000
LUNAUSDT;86.43000000;1.875;87.85000000;81.11000000;339524278.10420000
LUNAUSDT;86.42000000;1.826;87.85000000;81.11000000;339478982.56830000
LUNAUSDT;86.45000000;1.790;87.85000000;81.11000000;339467412.45680000
LUNAUSDT;86.39000000;1.874;87.85000000;81.11000000;339427157.01240000
LUNAUSDT;86.43000000;1.898;87.85000000;81.11000000;339406904.70830000
LUNAUSDT;86.46000000;1.958;87.85000000;81.11000000;339000641.20920000
LUNAUSDT;86.46000000;1.933;87.85000000;81.11000000;338855920.61910000
LUNAUSDT;86.47000000;1.945;87.85000000;81.11000000;338803689.52940000
LUNAUSDT;86.52000000;1.981;87.85000000;81.11000000;338713470.13570000
LUNAUSDT;86.56000000;2.124;87.85000000;81.11000000;338800239.07440000
LUNAUSDT;86.64000000;2.170;87.85000000;81.11000000;338872091.75310000
LUNAUSDT;86.62000000;2.133;87.85000000;81.11000000;338840904.82020000
LUNAUSDT;86.64000000;2.110;87.85000000;81.11000000;338830675.75380000
LUNAUSDT;86.67000000;2.278;87.85000000;81.11000000;338769323.74280000
LUNAUSDT;86.68000000;2.313;87.85000000;81.11000000;338628105.24610000
LUNAUSDT;86.69000000;2.337;87.85000000;81.11000000;338543444.65650000
LUNAUSDT;86.67000000;2.266;87.85000000;81.11000000;338560513.77700000
LUNAUSDT;86.67000000;2.157;87.85000000;81.11000000;338519794.79440000
LUNAUSDT;86.57000000;2.074;87.85000000;81.11000000;338546706.71090000
LUNAUSDT;86.59000000;2.100;87.85000000;81.11000000;338546805.11980000
LUNAUSDT;86.56000000;2.172;87.85000000;81.11000000;338515465.94980000
LUNAUSDT;86.54000000;2.112;87.85000000;81.11000000;338484737.70290000
LUNAUSDT;86.55000000;2.051;87.85000000;81.11000000;338398341.30000000
LUNAUSDT;86.54000000;2.075;87.85000000;81.11000000;338363738.33480000
LUNAUSDT;86.59000000;1.955;87.85000000;81.11000000;338172186.11970000
LUNAUSDT;86.55000000;1.991;87.85000000;81.11000000;338175205.02220000
LUNAUSDT;86.56000000;1.955;87.85000000;81.11000000;338168434.46070000
LUNAUSDT;86.56000000;1.847;87.85000000;81.11000000;338033385.30290000
LUNAUSDT;86.61000000;2.050;87.85000000;81.11000000;337985688.33550000
LUNAUSDT;86.56000000;2.292;87.85000000;81.11000000;336086656.92290000
LUNAUSDT;86.57000000;2.304;87.85000000;81.11000000;335954687.92700000
LUNAUSDT;86.44000000;2.199;87.85000000;81.11000000;335782643.08880000
LUNAUSDT;86.36000000;2.117;87.85000000;81.11000000;335831468.64340000
LUNAUSDT;86.11000000;2.050;87.85000000;81.11000000;335619687.12960000
LUNAUSDT;86.16000000;2.219;87.85000000;81.11000000;335666441.93000000
LUNAUSDT;86.17000000;2.242;87.85000000;81.11000000;335551061.42780000
LUNAUSDT;86.06000000;2.416;87.85000000;81.11000000;331752005.38160000
LUNAUSDT;86.06000000;2.380;87.85000000;81.11000000;331737235.15730000
LUNAUSDT;86.07000000;2.477;87.85000000;81.11000000;331672244.90850000
LUNAUSDT;86.06000000;2.366;87.85000000;81.11000000;331420191.99120000
LUNAUSDT;85.98000000;2.126;87.85000000;81.11000000;331131118.45520000
LUNAUSDT;86.02000000;2.222;87.85000000;81.11000000;331091112.80690000
LUNAUSDT;85.83000000;1.959;87.85000000;81.11000000;331602606.74190000
LUNAUSDT;85.86000000;1.985;87.85000000;81.11000000;331575303.70580000
LUNAUSDT;85.75000000;2.009;87.85000000;81.11000000;331547146.44470000
LUNAUSDT;85.71000000;1.987;87.85000000;81.11000000;331576751.47980000
LUNAUSDT;85.90000000;2.323;87.85000000;81.11000000;331699268.38460000
LUNAUSDT;85.84000000;2.214;87.85000000;81.11000000;331584855.97690000
LUNAUSDT;85.77000000;2.010;87.85000000;81.11000000;331479334.05760000
LUNAUSDT;85.78000000;2.022;87.85000000;81.11000000;331453333.81510000
LUNAUSDT;85.88000000;2.009;87.85000000;81.11000000;331513155.09450000
LUNAUSDT;85.89000000;2.250;87.85000000;81.11000000;331491161.45890000
LUNAUSDT;85.84000000;2.239;87.85000000;81.11000000;331475743.02880000
LUNAUSDT;85.77000000;2.192;87.85000000;81.11000000;331472326.80810000
LUNAUSDT;85.79000000;2.155;87.85000000;81.11000000;331269920.40680000
LUNAUSDT;85.79000000;2.119;87.85000000;81.11000000;331041145.22260000
LUNAUSDT;85.84000000;2.131;87.85000000;81.11000000;331000671.92810000
LUNAUSDT;85.81000000;2.251;87.85000000;81.11000000;330996344.99010000
LUNAUSDT;85.85000000;2.179;87.85000000;81.11000000;330995302.97200000
LUNAUSDT;85.82000000;2.179;87.85000000;81.11000000;330989950.06350000
LUNAUSDT;85.71000000;2.133;87.85000000;81.11000000;331012581.21060000
LUNAUSDT;85.71000000;1.989;87.85000000;81.11000000;331018434.69600000
LUNAUSDT;85.64000000;2.000;87.85000000;81.11000000;331062017.82230000
LUNAUSDT;85.63000000;1.843;87.85000000;81.11000000;330812897.90590000
LUNAUSDT;85.68000000;1.964;87.85000000;81.11000000;330677826.18440000
LUNAUSDT;85.59000000;1.892;87.85000000;81.11000000;330492174.94160000
LUNAUSDT;85.51000000;1.689;87.85000000;81.11000000;330480133.91170000
LUNAUSDT;85.47000000;1.605;87.85000000;81.11000000;330468670.79080000
LUNAUSDT;85.38000000;1.643;87.85000000;81.11000000;330306165.53500000
LUNAUSDT;85.34000000;1.643;87.85000000;81.11000000;330332779.23110000
LUNAUSDT;85.47000000;1.762;87.85000000;81.11000000;330537334.65030000
LUNAUSDT;85.41000000;1.679;87.85000000;81.11000000;330573113.56840000
LUNAUSDT;85.45000000;1.642;87.85000000;81.11000000;330565709.29380000
LUNAUSDT;85.48000000;1.762;87.85000000;81.11000000;330558435.07930000
LUNAUSDT;85.56000000;1.774;87.85000000;81.11000000;330598728.86380000
LUNAUSDT;85.55000000;1.821;87.85000000;81.11000000;330614273.27170000
LUNAUSDT;85.60000000;1.796;87.85000000;81.11000000;330643986.69350000
LUNAUSDT;85.66000000;1.819;87.85000000;81.11000000;330597776.48640000
