Symbol;Price;Change24;Max24;Min24;Volume24
MANAUSDT;3.31000000;0.282;3.43390000;3.16290000;119056645.07220000
MANAUSDT;3.31150000;0.288;3.43390000;3.16290000;119051996.41170000
MANAUSDT;3.31270000;0.303;3.43390000;3.16290000;119068553.94860000
MANAUSDT;3.31090000;0.197;3.43390000;3.16290000;119030780.07590000
MANAUSDT;3.31050000;0.276;3.43390000;3.16290000;119006967.90050000
MANAUSDT;3.30980000;0.258;3.43390000;3.16290000;119001344.25670000
MANAUSDT;3.30900000;0.407;3.43390000;3.16290000;118983798.44410000
MANAUSDT;3.30750000;0.264;3.43390000;3.16290000;118971368.62270000
MANAUSDT;3.30880000;0.194;3.43390000;3.16290000;118736381.87900000
MANAUSDT;3.31120000;0.342;3.43390000;3.16290000;118762371.64860000
MANAUSDT;3.31030000;0.172;3.43390000;3.16290000;118728912.09840000
MANAUSDT;3.30920000;0.212;3.43390000;3.16290000;118710625.98290000
MANAUSDT;3.30610000;0.340;3.43390000;3.16290000;118689805.10720000
MANAUSDT;3.30470000;0.218;3.43390000;3.16290000;118692104.42960000
MANAUSDT;3.30500000;0.227;3.43390000;3.16290000;118698376.69400000
MANAUSDT;3.30320000;0.167;3.43390000;3.16290000;118691948.82640000
MANAUSDT;3.30330000;0.115;3.43390000;3.16290000;118663306.14010000
MANAUSDT;3.30630000;0.057;3.43390000;3.16290000;118667493.24080000
MANAUSDT;3.30960000;0.079;3.43390000;3.16290000;118702011.53740000
MANAUSDT;3.30150000;-0.030;3.43390000;3.16290000;118673363.02990000
MANAUSDT;3.30430000;0.149;3.43390000;3.16290000;118671427.13680000
MANAUSDT;3.30480000;0.155;3.43390000;3.16290000;118667909.97260000
MANAUSDT;3.30330000;0.191;3.43390000;3.16290000;118614342.27590000
MANAUSDT;3.30790000;0.312;3.43390000;3.16290000;118618693.50390000
MANAUSDT;3.30690000;0.127;3.43390000;3.16290000;118604136.47000000
MANAUSDT;3.30800000;-0.118;3.43390000;3.16290000;118587332.72900000
MANAUSDT;3.30720000;-0.238;3.43390000;3.16290000;118577113.05360000
MANAUSDT;3.30980000;-0.193;3.43390000;3.16290000;118559074.72670000
MANAUSDT;3.30990000;-0.154;3.43390000;3.16290000;118544193.67610000
MANAUSDT;3.31090000;-0.063;3.43390000;3.16290000;118523567.60900000
MANAUSDT;3.31540000;0.136;3.43390000;3.16290000;118523309.44360000
MANAUSDT;3.31580000;0.027;3.43390000;3.16290000;118518581.16590000
MANAUSDT;3.31310000;0.018;3.43390000;3.16290000;118510923.51040000
MANAUSDT;3.31270000;-0.087;3.43390000;3.16290000;118605464.44880000
MANAUSDT;3.31500000;-0.250;3.43390000;3.16290000;118576843.15900000
MANAUSDT;3.31130000;-0.078;3.43390000;3.16290000;118535251.37920000
