Symbol;Price;Change24;Max24;Min24;Volume24
MATICUSDT;2.54300000;3.163;2.60800000;2.41400000;341418916.64950000
MATICUSDT;2.54400000;3.247;2.60800000;2.41400000;341325491.19620000
MATICUSDT;2.54500000;3.245;2.60800000;2.41400000;341256369.68020000
MATICUSDT;2.54400000;3.247;2.60800000;2.41400000;341254880.50480000
MATICUSDT;2.54300000;3.373;2.60800000;2.41400000;341177511.02740000
MATICUSDT;2.54100000;3.252;2.60800000;2.41400000;341140912.25360000
MATICUSDT;2.54000000;3.378;2.60800000;2.41400000;341081051.12190000
MATICUSDT;2.53900000;3.211;2.60800000;2.41400000;341002027.66810000
MATICUSDT;2.53900000;3.255;2.60800000;2.41400000;340987747.11700000
MATICUSDT;2.53900000;3.171;2.60800000;2.41400000;340994526.87070000
MATICUSDT;2.53800000;3.045;2.60800000;2.41400000;340909814.01100000
MATICUSDT;2.53900000;3.086;2.60800000;2.41400000;340851351.21050000
MATICUSDT;2.53700000;3.255;2.60800000;2.41400000;340841225.63830000
MATICUSDT;2.53600000;3.049;2.60800000;2.41400000;340788445.92880000
MATICUSDT;2.53700000;3.172;2.60800000;2.41400000;340779149.25660000
MATICUSDT;2.53800000;3.045;2.60800000;2.41400000;340800207.95800000
MATICUSDT;2.53700000;2.963;2.60800000;2.41400000;340786547.26260000
MATICUSDT;2.53700000;2.796;2.60800000;2.41400000;340735260.19340000
MATICUSDT;2.54000000;2.835;2.60800000;2.41400000;340739813.68590000
MATICUSDT;2.53300000;2.715;2.60800000;2.41400000;340741800.12840000
MATICUSDT;2.53600000;2.964;2.60800000;2.41400000;340572495.34970000
MATICUSDT;2.53500000;3.006;2.60800000;2.41400000;340563380.05280000
MATICUSDT;2.53600000;3.049;2.60800000;2.41400000;340536115.46940000
MATICUSDT;2.53600000;3.007;2.60800000;2.41400000;340561027.17730000
MATICUSDT;2.53600000;2.965;2.60800000;2.41400000;340535499.52410000
MATICUSDT;2.53700000;2.837;2.60800000;2.41400000;340496789.11490000
MATICUSDT;2.53500000;2.715;2.60800000;2.41400000;340467797.83810000
MATICUSDT;2.53700000;2.796;2.60800000;2.41400000;340458002.37260000
MATICUSDT;2.53700000;2.713;2.60800000;2.41400000;340414137.11930000
MATICUSDT;2.53600000;2.839;2.60800000;2.41400000;340330411.55590000
MATICUSDT;2.53900000;3.045;2.60800000;2.41400000;340348097.71870000
MATICUSDT;2.54000000;3.043;2.60800000;2.41400000;340292678.74170000
MATICUSDT;2.54200000;2.998;2.60800000;2.41400000;339919279.91650000
MATICUSDT;2.54500000;2.996;2.60800000;2.41400000;339897883.63570000
MATICUSDT;2.54700000;2.994;2.60800000;2.41400000;339856665.02360000
MATICUSDT;2.54400000;3.202;2.60800000;2.41400000;339690029.38950000
MATICUSDT;2.54500000;3.286;2.60800000;2.41400000;339632424.08900000
MATICUSDT;2.54500000;3.245;2.60800000;2.41400000;339504806.99580000
MATICUSDT;2.54500000;3.077;2.60800000;2.41400000;339303117.13700000
MATICUSDT;2.54400000;3.163;2.60800000;2.41400000;339274152.77550000
MATICUSDT;2.54400000;3.121;2.60800000;2.41400000;339186785.02160000
MATICUSDT;2.54400000;3.121;2.60800000;2.41400000;339150608.95950000
MATICUSDT;2.54500000;3.120;2.60800000;2.41400000;339150374.12670000
MATICUSDT;2.54400000;3.035;2.60800000;2.41400000;339082383.13790000
