Symbol;Price;Change24;Max24;Min24;Volume24
MBLUSDT;0.00837100;1.874;0.00850900;0.00806900;888071.76535500
MBLUSDT;0.00837100;1.874;0.00850900;0.00806900;888071.76535500
MBLUSDT;0.00837100;1.874;0.00850900;0.00806900;888071.76535500
MBLUSDT;0.00837100;1.874;0.00850900;0.00806900;888071.76535500
MBLUSDT;0.00834500;1.558;0.00850900;0.00806900;889110.01285100
MBLUSDT;0.00834500;1.558;0.00850900;0.00806900;889110.01285100
MBLUSDT;0.00834500;1.558;0.00850900;0.00806900;889110.01285100
MBLUSDT;0.00834500;1.558;0.00850900;0.00806900;889110.01285100
MBLUSDT;0.00834500;1.397;0.00850900;0.00806900;887465.07627200
MBLUSDT;0.00834500;1.397;0.00850900;0.00806900;887465.07627200
MBLUSDT;0.00834500;1.397;0.00850900;0.00806900;887465.07627200
MBLUSDT;0.00835100;1.397;0.00850900;0.00806900;887465.07627200
MBLUSDT;0.00835100;1.854;0.00850900;0.00806900;887851.07789200
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00835100;1.495;0.00850900;0.00806900;887502.21725500
MBLUSDT;0.00832700;1.216;0.00850900;0.00806900;888166.86566200
MBLUSDT;0.00832700;1.216;0.00850900;0.00806900;888166.86566200
MBLUSDT;0.00832300;1.216;0.00850900;0.00806900;888152.09819700
MBLUSDT;0.00834900;1.483;0.00850900;0.00806900;888276.07920000
MBLUSDT;0.00834900;1.483;0.00850900;0.00806900;888276.07920000
MBLUSDT;0.00834900;1.483;0.00850900;0.00806900;888276.07920000
MBLUSDT;0.00834900;1.483;0.00850900;0.00806900;888276.07920000
MBLUSDT;0.00834900;1.298;0.00850900;0.00806900;888156.08017800
MBLUSDT;0.00834900;1.298;0.00850900;0.00806900;888156.08017800
MBLUSDT;0.00834900;1.508;0.00850900;0.00806900;888062.51699400
MBLUSDT;0.00834900;1.508;0.00850900;0.00806900;888062.51699400
MBLUSDT;0.00834900;1.508;0.00850900;0.00806900;888062.51699400
MBLUSDT;0.00834900;1.508;0.00850900;0.00806900;888062.51699400
MBLUSDT;0.00835100;1.447;0.00850900;0.00806900;888075.86739400
MBLUSDT;0.00835100;1.249;0.00850900;0.00806900;887781.40869100
MBLUSDT;0.00835100;1.249;0.00850900;0.00806900;887781.40869100
MBLUSDT;0.00835100;1.273;0.00850900;0.00806900;886527.96224100
MBLUSDT;0.00835100;1.249;0.00850900;0.00806900;886139.58915600
MBLUSDT;0.00835100;1.249;0.00850900;0.00806900;886139.58915600
MBLUSDT;0.00835100;1.237;0.00850900;0.00806900;884880.71073100
MBLUSDT;0.00835100;1.237;0.00850900;0.00806900;884880.71073100
MBLUSDT;0.00835100;1.237;0.00850900;0.00806900;884880.71073100
MBLUSDT;0.00835100;1.237;0.00850900;0.00806900;884880.71073100
MBLUSDT;0.00835100;1.237;0.00850900;0.00806900;884880.71073100
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835100;1.200;0.00850900;0.00806900;883654.07040000
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;1.224;0.00850900;0.00806900;883705.25758400
MBLUSDT;0.00835300;0.857;0.00850900;0.00806900;882089.11541200
MBLUSDT;0.00835300;0.857;0.00850900;0.00806900;882089.11541200
MBLUSDT;0.00835300;0.857;0.00850900;0.00806900;882089.11541200
MBLUSDT;0.00835300;1.077;0.00850900;0.00806900;881615.16139800
MBLUSDT;0.00835900;0.759;0.00850900;0.00806900;880932.13632500
MBLUSDT;0.00835900;0.759;0.00850900;0.00806900;880932.13632500
MBLUSDT;0.00836900;1.124;0.00850900;0.00806900;882893.40886700
