Symbol;Price;Change24;Max24;Min24;Volume24
MBOXUSDT;5.59100000;3.095;5.80800000;5.17600000;24632641.53350000
MBOXUSDT;5.59800000;3.092;5.80800000;5.17600000;24663001.48000000
MBOXUSDT;5.59700000;2.905;5.80800000;5.17600000;24661912.91410000
MBOXUSDT;5.59200000;2.719;5.80800000;5.17600000;24660938.50760000
MBOXUSDT;5.59600000;2.792;5.80800000;5.17600000;24660194.97560000
MBOXUSDT;5.59700000;2.868;5.80800000;5.17600000;24661716.47650000
MBOXUSDT;5.59400000;2.831;5.80800000;5.17600000;24664572.16050000
MBOXUSDT;5.59500000;2.868;5.80800000;5.17600000;24654101.71270000
MBOXUSDT;5.59500000;2.849;5.80800000;5.17600000;24652498.41340000
MBOXUSDT;5.59300000;2.737;5.80800000;5.17600000;24639867.29910000
MBOXUSDT;5.58900000;2.663;5.80800000;5.17600000;24640563.79350000
MBOXUSDT;5.57900000;2.647;5.80800000;5.17600000;24935083.68790000
MBOXUSDT;5.58200000;2.667;5.80800000;5.17600000;24937027.82250000
MBOXUSDT;5.56700000;2.317;5.80800000;5.17600000;25124450.62790000
MBOXUSDT;5.56500000;2.524;5.80800000;5.17600000;25118775.33640000
MBOXUSDT;5.55600000;2.394;5.80800000;5.17600000;25103801.61950000
MBOXUSDT;5.54200000;2.155;5.80800000;5.17600000;25266864.42400000
MBOXUSDT;5.54700000;2.174;5.80800000;5.17600000;25273840.07080000
MBOXUSDT;5.54900000;2.210;5.80800000;5.17600000;25277870.13750000
MBOXUSDT;5.54200000;2.025;5.80800000;5.17600000;25272717.09570000
MBOXUSDT;5.53700000;2.121;5.80800000;5.17600000;25273008.70650000
MBOXUSDT;5.53700000;2.231;5.80800000;5.17600000;25273415.55790000
MBOXUSDT;5.53800000;2.250;5.80800000;5.17600000;25276697.98660000
MBOXUSDT;5.54700000;2.137;5.80800000;5.17600000;25287224.77720000
MBOXUSDT;5.54600000;1.912;5.80800000;5.17600000;25272587.32790000
MBOXUSDT;5.54300000;1.613;5.80800000;5.17600000;25261778.00800000
MBOXUSDT;5.54200000;1.668;5.80800000;5.17600000;25255631.67050000
MBOXUSDT;5.54500000;1.575;5.80800000;5.17600000;25251851.33260000
MBOXUSDT;5.54200000;1.502;5.80800000;5.17600000;25247477.24750000
MBOXUSDT;5.54400000;1.651;5.80800000;5.17600000;25249327.85260000
MBOXUSDT;5.54600000;1.706;5.80800000;5.17600000;25264018.09300000
MBOXUSDT;5.54600000;1.724;5.80800000;5.17600000;25275520.55680000
MBOXUSDT;5.54800000;1.668;5.80800000;5.17600000;25267453.67000000
MBOXUSDT;5.55000000;1.574;5.80800000;5.17600000;25267900.32870000
MBOXUSDT;5.55600000;1.556;5.80800000;5.17600000;25262349.99090000
MBOXUSDT;5.55500000;1.814;5.80800000;5.17600000;25270337.41230000
MBOXUSDT;5.55600000;1.982;5.80800000;5.17600000;25262678.23590000
MBOXUSDT;5.56300000;2.092;5.80800000;5.17600000;25268595.85850000
MBOXUSDT;5.56300000;1.943;5.80800000;5.17600000;25267103.26890000
MBOXUSDT;5.56300000;2.148;5.80800000;5.17600000;25264718.32810000
