Symbol;Price;Change24;Max24;Min24;Volume24
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2006309.31200000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2005216.11110000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2005197.79610000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2005164.50820000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2005164.50820000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2004416.65930000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2003902.32230000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2007568.58140000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2007148.77940000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2006379.14240000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2006379.14240000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2006379.14240000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2005280.42590000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2005112.19240000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2004512.20040000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;2004392.81980000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2006525.53680000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2006525.53680000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2008002.83580000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2008002.83580000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2009162.56380000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2008494.43530000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2010472.97330000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2010472.97330000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2010472.97330000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2010173.13630000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2010173.13630000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2010162.85960000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2009850.87560000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2009838.76500000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2009863.08730000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2009646.75720000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2009386.06230000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012123.40850000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012124.37050000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012124.37050000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012124.37050000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012260.67850000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012260.67850000
MDXUSDT;0.36900000;-0.539;0.38200000;0.36100000;2012420.64000000
MDXUSDT;0.36900000;-0.539;0.38200000;0.36100000;2012420.64000000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2012439.14000000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2015470.64730000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2015520.76940000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2015839.30240000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2015939.28690000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2015939.28690000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;2015939.28690000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2016086.25090000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2016086.25090000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2016086.25090000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2016086.25090000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2019014.28290000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2018428.65940000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2018428.65940000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2018137.69850000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2018137.69850000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2018126.63550000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2018126.63550000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;2018126.63550000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;2018978.83520000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;2012483.12700000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;2008701.78420000
MDXUSDT;0.37100000;-0.269;0.38200000;0.36100000;1999465.63490000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;1996108.75290000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1989782.44120000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1989782.44120000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1989232.13690000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1988976.67120000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1988961.57150000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1988961.57150000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;1994342.63140000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;1993358.77720000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1983659.91840000
MDXUSDT;0.37100000;0.270;0.38200000;0.36100000;1981867.43700000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;1981792.47500000
MDXUSDT;0.37000000;0.000;0.38200000;0.36100000;1977647.77030000
MDXUSDT;0.37100000;-0.269;0.38200000;0.36100000;1972957.09510000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1973338.40250000
MDXUSDT;0.37000000;-0.538;0.38200000;0.36100000;1972818.53330000
MDXUSDT;0.37100000;-0.538;0.38200000;0.36100000;1973806.13730000
MDXUSDT;0.37100000;-0.269;0.38200000;0.36100000;1974099.97960000
MDXUSDT;0.37100000;-0.269;0.38200000;0.36100000;1974099.97960000
MDXUSDT;0.37100000;0.000;0.38200000;0.36100000;1974065.34640000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1974603.31780000
MDXUSDT;0.37000000;-0.270;0.38200000;0.36100000;1974654.63680000
