Symbol;Price;Change24;Max24;Min24;Volume24
MINAUSDT;3.62200000;5.539;3.89000000;3.29800000;21959964.08960000
MINAUSDT;3.62800000;5.598;3.89000000;3.29800000;21965649.00830000
MINAUSDT;3.63000000;5.738;3.89000000;3.29800000;21983847.67420000
MINAUSDT;3.62800000;5.738;3.89000000;3.29800000;21987075.74610000
MINAUSDT;3.63200000;5.742;3.89000000;3.29800000;21986495.34510000
MINAUSDT;3.62800000;5.829;3.89000000;3.29800000;21988096.89930000
MINAUSDT;3.62800000;5.711;3.89000000;3.29800000;21988161.25630000
MINAUSDT;3.62800000;5.588;3.89000000;3.29800000;21982548.93150000
MINAUSDT;3.63100000;5.891;3.89000000;3.29800000;21982381.45490000
MINAUSDT;3.63000000;5.773;3.89000000;3.29800000;21982661.30710000
MINAUSDT;3.64200000;6.181;3.89000000;3.29800000;22007444.85690000
MINAUSDT;3.63500000;6.033;3.89000000;3.29800000;22009387.51160000
MINAUSDT;3.63400000;6.039;3.89000000;3.29800000;22008327.93950000
MINAUSDT;3.63500000;6.039;3.89000000;3.29800000;22010758.04280000
MINAUSDT;3.63500000;6.162;3.89000000;3.29800000;22010621.60840000
MINAUSDT;3.63500000;6.039;3.89000000;3.29800000;22010479.78040000
MINAUSDT;3.63500000;6.008;3.89000000;3.29800000;22008046.76930000
MINAUSDT;3.64300000;6.095;3.89000000;3.29800000;22016641.64920000
MINAUSDT;3.64200000;6.181;3.89000000;3.29800000;22023001.42360000
MINAUSDT;3.63400000;5.948;3.89000000;3.29800000;22023714.87440000
MINAUSDT;3.63100000;6.162;3.89000000;3.29800000;22024104.31390000
MINAUSDT;3.64000000;6.371;3.89000000;3.29800000;22026044.17510000
MINAUSDT;3.63900000;6.402;3.89000000;3.29800000;22023196.44970000
MINAUSDT;3.64200000;6.522;3.89000000;3.29800000;22025688.72150000
MINAUSDT;3.64000000;6.339;3.89000000;3.29800000;22025644.34920000
MINAUSDT;3.63900000;6.031;3.89000000;3.29800000;22018329.54240000
MINAUSDT;3.64000000;6.031;3.89000000;3.29800000;22038378.24900000
MINAUSDT;3.63400000;5.763;3.89000000;3.29800000;22039878.92260000
MINAUSDT;3.63400000;5.792;3.89000000;3.29800000;22041576.07070000
MINAUSDT;3.63100000;5.706;3.89000000;3.29800000;22046961.01180000
MINAUSDT;3.63300000;5.660;3.89000000;3.29800000;21976626.50560000
MINAUSDT;3.63200000;5.333;3.89000000;3.29800000;21971036.97790000
MINAUSDT;3.63200000;5.123;3.89000000;3.29800000;21978910.90520000
MINAUSDT;3.62400000;4.669;3.89000000;3.29800000;21908587.66820000
MINAUSDT;3.63300000;4.345;3.89000000;3.29800000;21912317.12710000
MINAUSDT;3.63300000;4.848;3.89000000;3.29800000;21886996.48740000
MINAUSDT;3.63300000;5.122;3.89000000;3.29800000;21883591.78830000
MINAUSDT;3.63300000;5.000;3.89000000;3.29800000;21876689.71280000
MINAUSDT;3.64500000;4.612;3.89000000;3.29800000;21876050.50540000
MINAUSDT;3.63900000;4.987;3.89000000;3.29800000;21887480.66310000
MINAUSDT;3.63900000;5.082;3.89000000;3.29800000;21884333.12000000
MINAUSDT;3.63900000;5.022;3.89000000;3.29800000;21882483.63170000
MINAUSDT;3.63700000;5.085;3.89000000;3.29800000;21872252.74170000
MINAUSDT;3.63700000;5.207;3.89000000;3.29800000;21872198.75010000
MINAUSDT;3.63700000;5.237;3.89000000;3.29800000;21872482.02120000
MINAUSDT;3.63700000;5.237;3.89000000;3.29800000;21872482.02120000
MINAUSDT;3.63700000;5.237;3.89000000;3.29800000;21872448.88680000
MINAUSDT;3.63600000;4.964;3.89000000;3.29800000;21867930.73460000
