Symbol;Price;Change24;Max24;Min24;Volume24
MITHUSDT;0.06205000;1.688;0.06291000;0.05840000;4616936.80056900
MITHUSDT;0.06194000;1.538;0.06291000;0.05840000;4609870.74408000
MITHUSDT;0.06194000;1.458;0.06291000;0.05840000;4609421.49711800
MITHUSDT;0.06191000;1.326;0.06291000;0.05840000;4608809.40275100
MITHUSDT;0.06191000;1.326;0.06291000;0.05840000;4608809.40275100
MITHUSDT;0.06183000;1.129;0.06291000;0.05840000;4608698.21385400
MITHUSDT;0.06183000;1.129;0.06291000;0.05840000;4608698.21385400
MITHUSDT;0.06182000;1.046;0.06291000;0.05840000;4610072.25434200
MITHUSDT;0.06182000;1.129;0.06291000;0.05840000;4610408.21258400
MITHUSDT;0.06182000;1.129;0.06291000;0.05840000;4610408.21258400
MITHUSDT;0.06182000;1.129;0.06291000;0.05840000;4609701.61289500
MITHUSDT;0.06182000;1.145;0.06291000;0.05840000;4609397.66377700
MITHUSDT;0.06182000;1.228;0.06291000;0.05840000;4607638.17928400
MITHUSDT;0.06182000;1.212;0.06291000;0.05840000;4605851.01063500
MITHUSDT;0.06182000;1.178;0.06291000;0.05840000;4605652.29752200
MITHUSDT;0.06182000;1.178;0.06291000;0.05840000;4605652.29752200
MITHUSDT;0.06182000;1.162;0.06291000;0.05840000;4604446.66381400
MITHUSDT;0.06172000;1.162;0.06291000;0.05840000;4604446.66381400
MITHUSDT;0.06179000;1.113;0.06291000;0.05840000;4605151.55102900
MITHUSDT;0.06170000;1.113;0.06291000;0.05840000;4605054.22724300
MITHUSDT;0.06170000;0.965;0.06291000;0.05840000;4605777.73272700
MITHUSDT;0.06162000;1.231;0.06291000;0.05840000;4604139.41349800
MITHUSDT;0.06162000;1.099;0.06291000;0.05840000;4606534.28775300
MITHUSDT;0.06178000;1.362;0.06291000;0.05840000;4607761.38636100
MITHUSDT;0.06170000;1.231;0.06291000;0.05840000;4606819.51886400
MITHUSDT;0.06192000;1.127;0.06291000;0.05840000;4605612.96616000
MITHUSDT;0.06161000;0.637;0.06291000;0.05840000;4606524.98108800
MITHUSDT;0.06161000;0.391;0.06291000;0.05840000;4599467.45571400
MITHUSDT;0.06166000;0.342;0.06291000;0.05840000;4599353.49803300
MITHUSDT;0.06170000;0.653;0.06291000;0.05840000;4597103.08140900
MITHUSDT;0.06175000;0.800;0.06291000;0.05840000;4601635.79442600
MITHUSDT;0.06175000;0.800;0.06291000;0.05840000;4601635.79442600
MITHUSDT;0.06190000;0.929;0.06291000;0.05840000;4605023.97214800
MITHUSDT;0.06184000;0.897;0.06291000;0.05840000;4605066.21022200
MITHUSDT;0.06189000;0.847;0.06291000;0.05840000;4605003.09073400
MITHUSDT;0.06195000;1.077;0.06291000;0.05840000;4607634.22860200
MITHUSDT;0.06170000;0.538;0.06291000;0.05840000;4607069.54554700
MITHUSDT;0.06190000;0.880;0.06291000;0.05840000;4595790.93783100
MITHUSDT;0.06191000;0.880;0.06291000;0.05840000;4595790.93783100
MITHUSDT;0.06196000;0.765;0.06291000;0.05840000;4591184.60958100
MITHUSDT;0.06205000;0.764;0.06291000;0.05840000;4589708.21040900
MITHUSDT;0.06205000;0.911;0.06291000;0.05840000;4591900.65030000
MITHUSDT;0.06194000;0.732;0.06291000;0.05840000;4589386.24301200
MITHUSDT;0.06194000;0.650;0.06291000;0.05840000;4589371.06113100
MITHUSDT;0.06194000;0.666;0.06291000;0.05840000;4589237.69779700
MITHUSDT;0.06203000;0.666;0.06291000;0.05840000;4589237.69779700
MITHUSDT;0.06203000;0.911;0.06291000;0.05840000;4588679.62403900
MITHUSDT;0.06204000;0.927;0.06291000;0.05840000;4587191.50964200
MITHUSDT;0.06204000;0.812;0.06291000;0.05840000;4586703.13049200
MITHUSDT;0.06204000;0.812;0.06291000;0.05840000;4586703.13049200
MITHUSDT;0.06199000;0.812;0.06291000;0.05840000;4586703.13049200
MITHUSDT;0.06194000;0.650;0.06291000;0.05840000;4586275.67362200
MITHUSDT;0.06194000;0.683;0.06291000;0.05840000;4585637.97943000
MITHUSDT;0.06194000;0.683;0.06291000;0.05840000;4585425.37184100
MITHUSDT;0.06194000;0.683;0.06291000;0.05840000;4585425.37184100
MITHUSDT;0.06194000;0.683;0.06291000;0.05840000;4585425.37184100
MITHUSDT;0.06194000;0.765;0.06291000;0.05840000;4580634.78798400
MITHUSDT;0.06194000;0.699;0.06291000;0.05840000;4580553.17426500
MITHUSDT;0.06194000;0.650;0.06291000;0.05840000;4580161.78395400
MITHUSDT;0.06194000;0.650;0.06291000;0.05840000;4580161.78395400
MITHUSDT;0.06194000;0.487;0.06291000;0.05840000;4577510.76560200
MITHUSDT;0.06190000;0.552;0.06291000;0.05840000;4568051.12174000
MITHUSDT;0.06176000;0.227;0.06291000;0.05840000;4564231.41616000
MITHUSDT;0.06192000;0.243;0.06291000;0.05840000;4565090.93380800
MITHUSDT;0.06192000;0.454;0.06291000;0.05840000;4563831.46625700
MITHUSDT;0.06183000;0.520;0.06291000;0.05840000;4562949.79058100
MITHUSDT;0.06178000;0.603;0.06291000;0.05840000;4562712.07800900
MITHUSDT;0.06181000;0.602;0.06291000;0.05840000;4562168.39679000
MITHUSDT;0.06191000;0.520;0.06291000;0.05840000;4557897.83032100
MITHUSDT;0.06190000;0.487;0.06291000;0.05840000;4557549.11874600
MITHUSDT;0.06190000;0.552;0.06291000;0.05840000;4557687.32217800
MITHUSDT;0.06180000;0.832;0.06291000;0.05840000;4552218.35004800
MITHUSDT;0.06170000;0.817;0.06291000;0.05840000;4551474.04899400
MITHUSDT;0.06170000;0.768;0.06291000;0.05840000;4550765.48747900
MITHUSDT;0.06172000;0.734;0.06291000;0.05840000;4550374.52507400
MITHUSDT;0.06172000;0.685;0.06291000;0.05840000;4550542.69841800
MITHUSDT;0.06172000;0.916;0.06291000;0.05840000;4550374.31344800
MITHUSDT;0.06173000;1.031;0.06291000;0.05840000;4548862.35192700
MITHUSDT;0.06182000;0.964;0.06291000;0.05840000;4549982.41596900
MITHUSDT;0.06182000;0.898;0.06291000;0.05840000;4549579.75985100
MITHUSDT;0.06163000;0.555;0.06291000;0.05840000;4550190.21773700
MITHUSDT;0.06163000;0.506;0.06291000;0.05840000;4550101.27981800
MITHUSDT;0.06167000;0.325;0.06291000;0.05840000;4549383.30462300
