Symbol;Price;Change24;Max24;Min24;Volume24
MKRUSDT;2394.00000000;-2.126;2555.00000000;2297.00000000;4158260.40000000
MKRUSDT;2394.00000000;-2.046;2555.00000000;2297.00000000;4158243.27800000
MKRUSDT;2391.00000000;-2.169;2555.00000000;2297.00000000;4158240.25030000
MKRUSDT;2391.00000000;-2.169;2555.00000000;2297.00000000;4158240.25030000
MKRUSDT;2391.00000000;-2.169;2555.00000000;2297.00000000;4158229.00790000
MKRUSDT;2391.00000000;-2.169;2555.00000000;2297.00000000;4158229.00790000
MKRUSDT;2391.00000000;-2.048;2555.00000000;2297.00000000;4158161.50110000
MKRUSDT;2392.00000000;-2.128;2555.00000000;2297.00000000;4158019.42080000
MKRUSDT;2392.00000000;-2.128;2555.00000000;2297.00000000;4158019.42080000
MKRUSDT;2390.00000000;-2.209;2555.00000000;2297.00000000;4158458.15280000
MKRUSDT;2390.00000000;-2.209;2555.00000000;2297.00000000;4158458.15280000
MKRUSDT;2388.00000000;-2.291;2555.00000000;2297.00000000;4161373.34440000
MKRUSDT;2388.00000000;-2.171;2555.00000000;2297.00000000;4161313.01840000
MKRUSDT;2386.00000000;-2.253;2555.00000000;2297.00000000;4161782.53130000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4161161.73560000
MKRUSDT;2386.00000000;-2.333;2555.00000000;2297.00000000;4160540.97920000
MKRUSDT;2386.00000000;-2.333;2555.00000000;2297.00000000;4160540.97920000
MKRUSDT;2388.00000000;-2.251;2555.00000000;2297.00000000;4160141.65920000
MKRUSDT;2388.00000000;-2.171;2555.00000000;2297.00000000;4157092.46390000
MKRUSDT;2383.00000000;-2.171;2555.00000000;2297.00000000;4157092.46390000
MKRUSDT;2386.00000000;-2.133;2555.00000000;2297.00000000;4158960.39360000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4158948.69120000
MKRUSDT;2386.00000000;-2.253;2555.00000000;2297.00000000;4158886.90860000
MKRUSDT;2386.00000000;-2.453;2555.00000000;2297.00000000;4158185.12110000
MKRUSDT;2387.00000000;-2.453;2555.00000000;2297.00000000;4158185.12110000
MKRUSDT;2388.00000000;-2.451;2555.00000000;2297.00000000;4158277.33500000
MKRUSDT;2388.00000000;-2.451;2555.00000000;2297.00000000;4158338.94540000
MKRUSDT;2388.00000000;-2.451;2555.00000000;2297.00000000;4158338.94540000
MKRUSDT;2387.00000000;-2.492;2555.00000000;2297.00000000;4158413.89720000
MKRUSDT;2387.00000000;-2.372;2555.00000000;2297.00000000;4158316.95640000
MKRUSDT;2387.00000000;-2.252;2555.00000000;2297.00000000;4158062.04280000
MKRUSDT;2387.00000000;-2.372;2555.00000000;2297.00000000;4158043.23940000
MKRUSDT;2387.00000000;-2.372;2555.00000000;2297.00000000;4158043.23940000
MKRUSDT;2386.00000000;-2.331;2555.00000000;2297.00000000;4158131.09010000
MKRUSDT;2386.00000000;-2.413;2555.00000000;2297.00000000;4158195.27350000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4157601.11160000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4157601.11160000
MKRUSDT;2386.00000000;-2.093;2555.00000000;2297.00000000;4156514.95800000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4154492.39090000
MKRUSDT;2386.00000000;-2.293;2555.00000000;2297.00000000;4154492.39090000
MKRUSDT;2409.00000000;-1.720;2555.00000000;2297.00000000;4352486.47210000
MKRUSDT;2406.00000000;-1.228;2555.00000000;2297.00000000;4394040.34500000
MKRUSDT;2403.00000000;-1.555;2555.00000000;2297.00000000;4400009.59570000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4415890.29360000
MKRUSDT;2407.00000000;-1.474;2555.00000000;2297.00000000;4417124.60320000
MKRUSDT;2407.00000000;-1.352;2555.00000000;2297.00000000;4414303.22380000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4426957.60870000
MKRUSDT;2406.00000000;-1.393;2555.00000000;2297.00000000;4427451.31990000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4427434.43890000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4427585.11180000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4429459.28880000
MKRUSDT;2405.00000000;-1.475;2555.00000000;2297.00000000;4430957.09150000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4431676.27920000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4433241.86340000
MKRUSDT;2407.00000000;-1.393;2555.00000000;2297.00000000;4433437.30280000
MKRUSDT;2405.00000000;-1.434;2555.00000000;2297.00000000;4433659.46250000
MKRUSDT;2406.00000000;-1.311;2555.00000000;2297.00000000;4437874.66180000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4437905.82400000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4437894.34190000
MKRUSDT;2406.00000000;-1.515;2555.00000000;2297.00000000;4437883.34840000
MKRUSDT;2407.00000000;-1.554;2555.00000000;2297.00000000;4450090.73860000
MKRUSDT;2401.00000000;-1.676;2555.00000000;2297.00000000;4503467.20090000
MKRUSDT;2400.00000000;-1.921;2555.00000000;2297.00000000;4552319.59350000
MKRUSDT;2400.00000000;-1.800;2555.00000000;2297.00000000;4553151.46780000
MKRUSDT;2398.00000000;-1.841;2555.00000000;2297.00000000;4555703.28410000
MKRUSDT;2400.00000000;-1.478;2555.00000000;2297.00000000;4563511.26060000
MKRUSDT;2400.00000000;-1.478;2555.00000000;2297.00000000;4563511.26060000
MKRUSDT;2399.00000000;-1.478;2555.00000000;2297.00000000;4562904.48470000
MKRUSDT;2396.00000000;-1.723;2555.00000000;2297.00000000;4569391.09140000
MKRUSDT;2394.00000000;-1.723;2555.00000000;2297.00000000;4569391.09140000
MKRUSDT;2394.00000000;-1.885;2555.00000000;2297.00000000;4569478.16540000
MKRUSDT;2394.00000000;-1.966;2555.00000000;2297.00000000;4574374.14420000
MKRUSDT;2393.00000000;-1.765;2555.00000000;2297.00000000;4572309.30930000
MKRUSDT;2395.00000000;-1.683;2555.00000000;2297.00000000;4573651.67670000
MKRUSDT;2390.00000000;-1.848;2555.00000000;2297.00000000;4573503.32820000
MKRUSDT;2390.00000000;-1.848;2555.00000000;2297.00000000;4573503.32820000
MKRUSDT;2390.00000000;-1.848;2555.00000000;2297.00000000;4573503.32820000
MKRUSDT;2390.00000000;-1.808;2555.00000000;2297.00000000;4573443.68310000
MKRUSDT;2395.00000000;-1.602;2555.00000000;2297.00000000;4573638.00630000
MKRUSDT;2406.00000000;-1.151;2555.00000000;2297.00000000;4601982.95050000
MKRUSDT;2402.00000000;-1.517;2555.00000000;2297.00000000;4606970.82970000
MKRUSDT;2403.00000000;-1.517;2555.00000000;2297.00000000;4606970.82970000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4607493.34060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2406.00000000;-1.434;2555.00000000;2297.00000000;4608482.06060000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608493.35470000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608443.55830000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608454.61210000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608454.61210000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608454.61210000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608454.61210000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608465.18530000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4608465.18530000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4609156.88920000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4609156.88920000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4609101.89920000
MKRUSDT;2402.00000000;-1.718;2555.00000000;2297.00000000;4609122.07600000
MKRUSDT;2402.00000000;-1.718;2555.00000000;2297.00000000;4609122.07600000
MKRUSDT;2401.00000000;-1.759;2555.00000000;2297.00000000;4609159.09800000
MKRUSDT;2401.00000000;-1.759;2555.00000000;2297.00000000;4609159.09800000
MKRUSDT;2401.00000000;-1.759;2555.00000000;2297.00000000;4618947.19990000
MKRUSDT;2401.00000000;-1.759;2555.00000000;2297.00000000;4618947.19990000
MKRUSDT;2400.00000000;-1.759;2555.00000000;2297.00000000;4618947.19990000
MKRUSDT;2400.00000000;-1.800;2555.00000000;2297.00000000;4618913.00390000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4618941.57860000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4618941.57860000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4619015.35070000
MKRUSDT;2400.00000000;-1.678;2555.00000000;2297.00000000;4619003.61950000
MKRUSDT;2400.00000000;-1.800;2555.00000000;2297.00000000;4619030.25950000
MKRUSDT;2400.00000000;-1.800;2555.00000000;2297.00000000;4619030.25950000
MKRUSDT;2400.00000000;-1.680;2555.00000000;2297.00000000;4618985.27910000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4619104.22760000
MKRUSDT;2403.00000000;-1.557;2555.00000000;2297.00000000;4619104.22760000
MKRUSDT;2400.00000000;-1.557;2555.00000000;2297.00000000;4619104.22760000
MKRUSDT;2400.00000000;-1.680;2555.00000000;2297.00000000;4615117.47440000
MKRUSDT;2400.00000000;-1.680;2555.00000000;2297.00000000;4615117.47440000
MKRUSDT;2400.00000000;-1.518;2555.00000000;2297.00000000;4615095.01720000
MKRUSDT;2400.00000000;-1.680;2555.00000000;2297.00000000;4614187.88860000
MKRUSDT;2400.00000000;-1.680;2555.00000000;2297.00000000;4614187.88860000
MKRUSDT;2398.00000000;-1.680;2555.00000000;2297.00000000;4614187.88860000
MKRUSDT;2398.00000000;-1.762;2555.00000000;2297.00000000;4614347.83520000
MKRUSDT;2398.00000000;-1.762;2555.00000000;2297.00000000;4614347.83520000
MKRUSDT;2398.00000000;-1.762;2555.00000000;2297.00000000;4614347.83520000
MKRUSDT;2398.00000000;-1.762;2555.00000000;2297.00000000;4614334.40970000
MKRUSDT;2403.00000000;-1.678;2555.00000000;2297.00000000;4614088.61670000
MKRUSDT;2403.00000000;-1.718;2555.00000000;2297.00000000;4613798.55690000
MKRUSDT;2403.00000000;-1.718;2555.00000000;2297.00000000;4613798.55690000
MKRUSDT;2401.00000000;-1.718;2555.00000000;2297.00000000;4613798.55690000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2401.00000000;-1.800;2555.00000000;2297.00000000;4615170.72840000
MKRUSDT;2404.00000000;-1.677;2555.00000000;2297.00000000;4615185.39280000
MKRUSDT;2404.00000000;-1.797;2555.00000000;2297.00000000;4612892.71630000
MKRUSDT;2404.00000000;-1.797;2555.00000000;2297.00000000;4612892.71630000
MKRUSDT;2404.00000000;-1.757;2555.00000000;2297.00000000;4612528.07030000
MKRUSDT;2404.00000000;-1.918;2555.00000000;2297.00000000;4612261.92610000
MKRUSDT;2409.00000000;-1.834;2555.00000000;2297.00000000;4611520.82300000
MKRUSDT;2408.00000000;-1.834;2555.00000000;2297.00000000;4611520.82300000
MKRUSDT;2408.00000000;-1.874;2555.00000000;2297.00000000;4611546.10700000
MKRUSDT;2408.00000000;-1.874;2555.00000000;2297.00000000;4611546.10700000
MKRUSDT;2407.00000000;-1.994;2555.00000000;2297.00000000;4610452.18720000
MKRUSDT;2407.00000000;-2.115;2555.00000000;2297.00000000;4609773.57580000
MKRUSDT;2407.00000000;-2.194;2555.00000000;2297.00000000;4608526.88490000
MKRUSDT;2407.00000000;-2.075;2555.00000000;2297.00000000;4607325.62800000
MKRUSDT;2407.00000000;-2.194;2555.00000000;2297.00000000;4606229.85160000
MKRUSDT;2408.00000000;-2.114;2555.00000000;2297.00000000;4605511.29280000
MKRUSDT;2408.00000000;-2.034;2555.00000000;2297.00000000;4604941.06480000
MKRUSDT;2406.00000000;-2.036;2555.00000000;2297.00000000;4605552.15050000
MKRUSDT;2406.00000000;-2.036;2555.00000000;2297.00000000;4605552.15050000
MKRUSDT;2406.00000000;-2.036;2555.00000000;2297.00000000;4605552.15050000
MKRUSDT;2404.00000000;-2.117;2555.00000000;2297.00000000;4605562.72810000
MKRUSDT;2404.00000000;-2.117;2555.00000000;2297.00000000;4605562.72810000
MKRUSDT;2404.00000000;-2.197;2555.00000000;2297.00000000;4605558.58270000
MKRUSDT;2404.00000000;-2.077;2555.00000000;2297.00000000;4605490.05670000
MKRUSDT;2404.00000000;-2.077;2555.00000000;2297.00000000;4605474.59020000
MKRUSDT;2404.00000000;-2.077;2555.00000000;2297.00000000;4605363.62420000
MKRUSDT;2404.00000000;-2.117;2555.00000000;2297.00000000;4605351.34920000
MKRUSDT;2409.00000000;-1.794;2555.00000000;2297.00000000;4604959.01680000
MKRUSDT;2409.00000000;-1.714;2555.00000000;2297.00000000;4604648.13500000
MKRUSDT;2409.00000000;-1.714;2555.00000000;2297.00000000;4604648.13500000
MKRUSDT;2409.00000000;-1.714;2555.00000000;2297.00000000;4604648.13500000
MKRUSDT;2409.00000000;-1.754;2555.00000000;2297.00000000;4603877.02830000
MKRUSDT;2409.00000000;-1.954;2555.00000000;2297.00000000;4603284.50210000
MKRUSDT;2404.00000000;-1.954;2555.00000000;2297.00000000;4603284.50210000
MKRUSDT;2404.00000000;-2.157;2555.00000000;2297.00000000;4604044.57970000
MKRUSDT;2404.00000000;-2.157;2555.00000000;2297.00000000;4604044.57970000
MKRUSDT;2404.00000000;-2.117;2555.00000000;2297.00000000;4604016.32420000
MKRUSDT;2404.00000000;-2.037;2555.00000000;2297.00000000;4604005.27220000
MKRUSDT;2404.00000000;-2.037;2555.00000000;2297.00000000;4604005.27220000
MKRUSDT;2401.00000000;-2.199;2555.00000000;2297.00000000;4606542.64230000
MKRUSDT;2402.00000000;-2.321;2555.00000000;2297.00000000;4608033.69350000
MKRUSDT;2402.00000000;-2.199;2555.00000000;2297.00000000;4608083.17470000
MKRUSDT;2402.00000000;-2.199;2555.00000000;2297.00000000;4608083.17470000
MKRUSDT;2402.00000000;-2.199;2555.00000000;2297.00000000;4608083.17470000
MKRUSDT;2397.00000000;-2.482;2555.00000000;2297.00000000;4609096.54560000
MKRUSDT;2397.00000000;-2.680;2555.00000000;2297.00000000;4607007.77560000
MKRUSDT;2397.00000000;-2.601;2555.00000000;2297.00000000;4606886.10340000
MKRUSDT;2397.00000000;-2.601;2555.00000000;2297.00000000;4606867.89200000
MKRUSDT;2395.00000000;-2.601;2555.00000000;2297.00000000;4606867.89200000
MKRUSDT;2395.00000000;-2.603;2555.00000000;2297.00000000;4606940.55680000
MKRUSDT;2395.00000000;-2.603;2555.00000000;2297.00000000;4606064.41510000
MKRUSDT;2398.00000000;-2.603;2555.00000000;2297.00000000;4606064.41510000
MKRUSDT;2399.00000000;-2.560;2555.00000000;2297.00000000;4605109.87540000
MKRUSDT;2399.00000000;-2.519;2555.00000000;2297.00000000;4605126.42850000
MKRUSDT;2399.00000000;-2.519;2555.00000000;2297.00000000;4605272.28770000
MKRUSDT;2399.00000000;-2.519;2555.00000000;2297.00000000;4605284.28270000
MKRUSDT;2399.00000000;-2.519;2555.00000000;2297.00000000;4605667.88280000
MKRUSDT;2399.00000000;-2.559;2555.00000000;2297.00000000;4604787.99400000
MKRUSDT;2395.00000000;-2.681;2555.00000000;2297.00000000;4604818.66280000
MKRUSDT;2392.00000000;-2.721;2555.00000000;2297.00000000;4606916.92230000
MKRUSDT;2392.00000000;-2.725;2555.00000000;2297.00000000;4607143.31990000
MKRUSDT;2395.00000000;-2.603;2555.00000000;2297.00000000;4607158.16890000
MKRUSDT;2395.00000000;-2.603;2555.00000000;2297.00000000;4607158.16890000
