Symbol;Price;Change24;Max24;Min24;Volume24
MOVRUSDT;190.40000000;1.547;201.00000000;182.30000000;4182225.98430000
MOVRUSDT;190.40000000;1.547;201.00000000;182.30000000;4182225.98430000
MOVRUSDT;190.40000000;1.547;201.00000000;182.30000000;4182225.98430000
MOVRUSDT;190.40000000;1.547;201.00000000;182.30000000;4182225.98430000
MOVRUSDT;190.40000000;1.547;201.00000000;182.30000000;4182225.98430000
MOVRUSDT;190.40000000;1.601;201.00000000;182.30000000;4162759.03260000
MOVRUSDT;190.40000000;1.601;201.00000000;182.30000000;4162759.03260000
MOVRUSDT;190.40000000;1.655;201.00000000;182.30000000;4162570.13640000
MOVRUSDT;190.40000000;1.655;201.00000000;182.30000000;4162570.13640000
MOVRUSDT;190.00000000;1.279;201.00000000;182.30000000;4166183.80150000
MOVRUSDT;190.20000000;1.386;201.00000000;182.30000000;4166342.04790000
MOVRUSDT;190.20000000;1.386;201.00000000;182.30000000;4166342.04790000
MOVRUSDT;190.20000000;1.386;201.00000000;182.30000000;4166342.04790000
MOVRUSDT;190.20000000;1.440;201.00000000;182.30000000;4165454.80510000
MOVRUSDT;190.50000000;1.600;201.00000000;182.30000000;4165599.71050000
MOVRUSDT;190.50000000;1.600;201.00000000;182.30000000;4165536.14800000
MOVRUSDT;190.50000000;1.600;201.00000000;182.30000000;4165536.14800000
MOVRUSDT;190.50000000;1.600;201.00000000;182.30000000;4165536.14800000
MOVRUSDT;190.70000000;1.598;201.00000000;182.30000000;4165832.87200000
MOVRUSDT;190.50000000;1.222;201.00000000;182.30000000;4159986.28880000
MOVRUSDT;190.50000000;1.222;201.00000000;182.30000000;4159986.28880000
MOVRUSDT;190.50000000;1.115;201.00000000;182.30000000;4130875.48060000
MOVRUSDT;190.50000000;1.061;201.00000000;182.30000000;4125541.33470000
MOVRUSDT;190.50000000;1.007;201.00000000;182.30000000;4125484.78470000
MOVRUSDT;190.50000000;1.115;201.00000000;182.30000000;4124505.82830000
MOVRUSDT;190.10000000;0.795;201.00000000;182.30000000;4120399.03930000
MOVRUSDT;190.00000000;0.689;201.00000000;182.30000000;4121033.68650000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4121014.43910000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4120423.97830000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4120514.10310000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4119703.77350000
MOVRUSDT;190.00000000;0.582;201.00000000;182.30000000;4119535.17510000
MOVRUSDT;190.00000000;0.582;201.00000000;182.30000000;4122689.57580000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4122833.47180000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4122833.47180000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4122847.34180000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4122847.34180000
MOVRUSDT;190.10000000;0.635;201.00000000;182.30000000;4121864.49880000
MOVRUSDT;190.00000000;0.689;201.00000000;182.30000000;4117852.29920000
MOVRUSDT;189.80000000;0.583;201.00000000;182.30000000;4119934.46100000
MOVRUSDT;189.60000000;0.636;201.00000000;182.30000000;4120209.89730000
MOVRUSDT;189.60000000;0.690;201.00000000;182.30000000;4105246.04160000
MOVRUSDT;189.60000000;0.424;201.00000000;182.30000000;4104951.17620000
MOVRUSDT;189.90000000;0.529;201.00000000;182.30000000;4102149.75010000
MOVRUSDT;189.80000000;0.370;201.00000000;182.30000000;4098126.39860000
MOVRUSDT;189.80000000;0.370;201.00000000;182.30000000;4098126.39860000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4087456.23630000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4087456.23630000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4087750.04670000
MOVRUSDT;189.50000000;0.691;201.00000000;182.30000000;4089294.59630000
MOVRUSDT;189.50000000;0.584;201.00000000;182.30000000;4090577.20180000
MOVRUSDT;189.50000000;0.584;201.00000000;182.30000000;4090955.82280000
MOVRUSDT;189.50000000;0.584;201.00000000;182.30000000;4090955.82280000
MOVRUSDT;189.50000000;0.637;201.00000000;182.30000000;4090104.85790000
MOVRUSDT;189.70000000;0.690;201.00000000;182.30000000;4090115.85470000
MOVRUSDT;189.50000000;0.744;201.00000000;182.30000000;4094356.15250000
MOVRUSDT;189.50000000;0.744;201.00000000;182.30000000;4094412.62350000
MOVRUSDT;189.50000000;0.744;201.00000000;182.30000000;4094401.33750000
MOVRUSDT;189.70000000;0.744;201.00000000;182.30000000;4094401.33750000
MOVRUSDT;189.70000000;0.851;201.00000000;182.30000000;4094709.03090000
MOVRUSDT;189.50000000;0.371;201.00000000;182.30000000;4090140.83950000
MOVRUSDT;189.90000000;0.583;201.00000000;182.30000000;4091711.80990000
MOVRUSDT;189.90000000;0.529;201.00000000;182.30000000;4090721.36510000
MOVRUSDT;189.90000000;0.529;201.00000000;182.30000000;4091482.08950000
MOVRUSDT;189.90000000;0.529;201.00000000;182.30000000;4091482.08950000
MOVRUSDT;189.90000000;0.529;201.00000000;182.30000000;4091482.08950000
MOVRUSDT;190.00000000;0.796;201.00000000;182.30000000;4089105.00690000
MOVRUSDT;190.00000000;0.796;201.00000000;182.30000000;4089105.00690000
MOVRUSDT;189.90000000;0.689;201.00000000;182.30000000;4089422.39690000
MOVRUSDT;189.90000000;0.689;201.00000000;182.30000000;4089422.39690000
MOVRUSDT;189.90000000;0.689;201.00000000;182.30000000;4089422.39690000
MOVRUSDT;190.00000000;0.636;201.00000000;182.30000000;4088686.08410000
MOVRUSDT;189.90000000;0.743;201.00000000;182.30000000;4090388.09640000
MOVRUSDT;189.90000000;0.743;201.00000000;182.30000000;4090388.09640000
MOVRUSDT;190.40000000;1.276;201.00000000;182.30000000;4098404.18740000
MOVRUSDT;190.40000000;1.223;201.00000000;182.30000000;4099007.41940000
MOVRUSDT;190.50000000;1.547;201.00000000;182.30000000;4098836.19940000
MOVRUSDT;190.20000000;1.116;201.00000000;182.30000000;4099018.81050000
MOVRUSDT;190.10000000;1.333;201.00000000;182.30000000;4098893.73490000
MOVRUSDT;190.10000000;1.171;201.00000000;182.30000000;4097696.91090000
MOVRUSDT;190.20000000;1.116;201.00000000;182.30000000;4099207.36870000
MOVRUSDT;189.80000000;0.957;201.00000000;182.30000000;4100739.98060000
MOVRUSDT;189.80000000;0.957;201.00000000;182.30000000;4100556.97200000
MOVRUSDT;189.80000000;0.957;201.00000000;182.30000000;4100632.45530000
MOVRUSDT;189.50000000;0.798;201.00000000;182.30000000;4101078.14830000
MOVRUSDT;189.50000000;0.798;201.00000000;182.30000000;4104881.60740000
MOVRUSDT;189.50000000;0.798;201.00000000;182.30000000;4104881.60740000
MOVRUSDT;189.50000000;0.798;201.00000000;182.30000000;4104100.33500000
MOVRUSDT;189.60000000;0.851;201.00000000;182.30000000;4104171.62280000
MOVRUSDT;189.60000000;0.851;201.00000000;182.30000000;4105033.92360000
MOVRUSDT;189.60000000;0.797;201.00000000;182.30000000;4103991.31930000
MOVRUSDT;189.20000000;0.585;201.00000000;182.30000000;4110215.10550000
MOVRUSDT;189.20000000;0.585;201.00000000;182.30000000;4110215.10550000
MOVRUSDT;189.20000000;0.585;201.00000000;182.30000000;4110215.10550000
MOVRUSDT;189.20000000;0.585;201.00000000;182.30000000;4110215.10550000
MOVRUSDT;189.00000000;0.478;201.00000000;182.30000000;4110300.68170000
MOVRUSDT;189.00000000;0.478;201.00000000;182.30000000;4110300.68170000
MOVRUSDT;189.00000000;0.478;201.00000000;182.30000000;4110300.68170000
MOVRUSDT;189.00000000;0.478;201.00000000;182.30000000;4110300.68170000
MOVRUSDT;189.80000000;0.904;201.00000000;182.30000000;4112135.45950000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4111885.53560000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4111885.53560000
MOVRUSDT;189.80000000;0.850;201.00000000;182.30000000;4111885.53560000
MOVRUSDT;189.80000000;1.011;201.00000000;182.30000000;4111737.23400000
MOVRUSDT;189.80000000;1.011;201.00000000;182.30000000;4111737.23400000
MOVRUSDT;189.80000000;1.011;201.00000000;182.30000000;4111737.23400000
