Symbol;Price;Change24;Max24;Min24;Volume24
MTLUSDT;2.07900000;1.168;2.10500000;1.97700000;1753125.75770000
MTLUSDT;2.07900000;1.168;2.10500000;1.97700000;1753125.75770000
MTLUSDT;2.07900000;1.266;2.10500000;1.97700000;1752508.84670000
MTLUSDT;2.07900000;1.266;2.10500000;1.97700000;1752508.84670000
MTLUSDT;2.07900000;1.266;2.10500000;1.97700000;1752508.84670000
MTLUSDT;2.07900000;1.365;2.10500000;1.97700000;1752269.07190000
MTLUSDT;2.07900000;1.316;2.10500000;1.97700000;1751083.16210000
MTLUSDT;2.07900000;1.217;2.10500000;1.97700000;1749028.94270000
MTLUSDT;2.07900000;1.266;2.10500000;1.97700000;1748909.03170000
MTLUSDT;2.07800000;1.217;2.10500000;1.97700000;1748012.07600000
MTLUSDT;2.07800000;1.168;2.10500000;1.97700000;1747386.63880000
MTLUSDT;2.07800000;1.267;2.10500000;1.97700000;1747052.65840000
MTLUSDT;2.07800000;1.267;2.10500000;1.97700000;1746263.67940000
MTLUSDT;2.07800000;1.316;2.10500000;1.97700000;1745717.80860000
MTLUSDT;2.07800000;1.316;2.10500000;1.97700000;1745717.80860000
MTLUSDT;2.07800000;1.316;2.10500000;1.97700000;1745717.80860000
MTLUSDT;2.07800000;1.218;2.10500000;1.97700000;1745222.63770000
MTLUSDT;2.07800000;1.218;2.10500000;1.97700000;1745222.63770000
MTLUSDT;2.07800000;0.972;2.10500000;1.97700000;1740348.60010000
MTLUSDT;2.07300000;0.826;2.10500000;1.97700000;1741099.06210000
MTLUSDT;2.07100000;0.779;2.10500000;1.97700000;1750241.77910000
MTLUSDT;2.07100000;0.779;2.10500000;1.97700000;1750241.77910000
MTLUSDT;2.07100000;0.730;2.10500000;1.97700000;1749881.06190000
MTLUSDT;2.07100000;0.730;2.10500000;1.97700000;1749881.06190000
MTLUSDT;2.07100000;0.730;2.10500000;1.97700000;1749881.06190000
MTLUSDT;2.07100000;0.730;2.10500000;1.97700000;1749881.06190000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1748870.89310000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1748870.89310000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1748870.89310000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1748870.89310000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1749228.45670000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1749228.45670000
MTLUSDT;2.07300000;0.729;2.10500000;1.97700000;1750122.95620000
MTLUSDT;2.07300000;0.729;2.10500000;1.97700000;1750122.95620000
MTLUSDT;2.07300000;0.729;2.10500000;1.97700000;1750049.84480000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1750275.69280000
MTLUSDT;2.07200000;0.778;2.10500000;1.97700000;1749851.44190000
MTLUSDT;2.07200000;0.680;2.10500000;1.97700000;1749567.71390000
MTLUSDT;2.07200000;0.583;2.10500000;1.97700000;1748953.65220000
MTLUSDT;2.07200000;0.778;2.10500000;1.97700000;1748080.22480000
MTLUSDT;2.07300000;0.827;2.10500000;1.97700000;1748306.18180000
MTLUSDT;2.07000000;0.827;2.10500000;1.97700000;1748306.18180000
MTLUSDT;2.07000000;0.681;2.10500000;1.97700000;1748357.46180000
MTLUSDT;2.07000000;0.681;2.10500000;1.97700000;1748435.91480000
MTLUSDT;2.07000000;0.681;2.10500000;1.97700000;1748435.91480000
