Symbol;Price;Change24;Max24;Min24;Volume24
NANOUSDT;3.53200000;-0.085;3.68100000;3.39300000;2510097.10960000
NANOUSDT;3.53200000;-0.085;3.68100000;3.39300000;2510084.73710000
NANOUSDT;3.53200000;-0.085;3.68100000;3.39300000;2508953.84990000
NANOUSDT;3.53200000;-0.085;3.68100000;3.39300000;2509019.54510000
NANOUSDT;3.53100000;-0.057;3.68100000;3.39300000;2508540.09520000
NANOUSDT;3.53100000;-0.028;3.68100000;3.39300000;2508093.93260000
NANOUSDT;3.53100000;-0.028;3.68100000;3.39300000;2508093.93260000
NANOUSDT;3.53100000;-0.057;3.68100000;3.39300000;2507269.36480000
NANOUSDT;3.53100000;-0.028;3.68100000;3.39300000;2507213.89450000
NANOUSDT;3.52800000;-0.283;3.68100000;3.39300000;2506807.65170000
NANOUSDT;3.52700000;-0.226;3.68100000;3.39300000;2506317.68960000
NANOUSDT;3.52600000;-0.283;3.68100000;3.39300000;2506202.43240000
NANOUSDT;3.52900000;-0.170;3.68100000;3.39300000;2506199.21710000
NANOUSDT;3.52900000;-0.113;3.68100000;3.39300000;2506224.51170000
NANOUSDT;3.52900000;-0.028;3.68100000;3.39300000;2506469.98950000
NANOUSDT;3.52900000;-0.028;3.68100000;3.39300000;2506469.98950000
NANOUSDT;3.52700000;-0.028;3.68100000;3.39300000;2506469.98950000
NANOUSDT;3.52600000;-0.170;3.68100000;3.39300000;2505274.98880000
NANOUSDT;3.52700000;-0.142;3.68100000;3.39300000;2505308.48960000
NANOUSDT;3.52400000;-0.396;3.68100000;3.39300000;2505111.75080000
NANOUSDT;3.52400000;-0.226;3.68100000;3.39300000;2504718.90330000
NANOUSDT;3.52200000;-0.424;3.68100000;3.39300000;2504652.96510000
NANOUSDT;3.52200000;-0.424;3.68100000;3.39300000;2504652.96510000
NANOUSDT;3.53100000;-0.198;3.68100000;3.39300000;2504508.38840000
NANOUSDT;3.53200000;-0.057;3.68100000;3.39300000;2504657.79500000
NANOUSDT;3.52400000;-0.424;3.68100000;3.39300000;2504369.39890000
NANOUSDT;3.52400000;-0.424;3.68100000;3.39300000;2504369.39890000
NANOUSDT;3.52400000;-0.424;3.68100000;3.39300000;2504505.43650000
NANOUSDT;3.52400000;-0.424;3.68100000;3.39300000;2504505.43650000
NANOUSDT;3.52200000;-0.480;3.68100000;3.39300000;2504460.80030000
NANOUSDT;3.52200000;-0.537;3.68100000;3.39300000;2504394.86550000
NANOUSDT;3.52300000;-0.254;3.68100000;3.39300000;2504376.86830000
NANOUSDT;3.52300000;-0.480;3.68100000;3.39300000;2504221.34950000
NANOUSDT;3.52300000;-0.480;3.68100000;3.39300000;2504221.34950000
NANOUSDT;3.53100000;-0.282;3.68100000;3.39300000;2504218.27850000
NANOUSDT;3.53100000;-0.254;3.68100000;3.39300000;2504096.05760000
NANOUSDT;3.53100000;-0.254;3.68100000;3.39300000;2504096.05760000
NANOUSDT;3.53000000;-0.424;3.68100000;3.39300000;2502507.93140000
NANOUSDT;3.53000000;-0.170;3.68100000;3.39300000;2502504.63680000
NANOUSDT;3.53000000;-0.198;3.68100000;3.39300000;2502477.05600000
NANOUSDT;3.52500000;-0.339;3.68100000;3.39300000;2501812.11990000
NANOUSDT;3.52500000;-0.339;3.68100000;3.39300000;2501812.11990000
NANOUSDT;3.52500000;-0.396;3.68100000;3.39300000;2501581.81630000
NANOUSDT;3.52500000;-0.367;3.68100000;3.39300000;2501522.36110000
NANOUSDT;3.52700000;-0.311;3.68100000;3.39300000;2501488.33140000
NANOUSDT;3.52700000;-0.311;3.68100000;3.39300000;2501453.31160000
