Symbol;Price;Change24;Max24;Min24;Volume24
NBSUSDT;0.01677000;-1.469;0.01775000;0.01627000;1091335.49209400
NBSUSDT;0.01677000;-1.469;0.01775000;0.01627000;1091335.49209400
NBSUSDT;0.01677000;-1.179;0.01775000;0.01627000;1089785.83403500
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089801.29054900
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089801.29054900
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089801.29054900
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089811.29217700
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089811.29217700
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089811.29217700
NBSUSDT;0.01677000;-1.411;0.01775000;0.01627000;1089811.29217700
NBSUSDT;0.01678000;-1.410;0.01775000;0.01627000;1087274.55200800
NBSUSDT;0.01678000;-1.410;0.01775000;0.01627000;1087274.55200800
NBSUSDT;0.01676000;-1.701;0.01775000;0.01627000;1087340.57910800
NBSUSDT;0.01676000;-1.701;0.01775000;0.01627000;1087588.43604400
NBSUSDT;0.01675000;-1.760;0.01775000;0.01627000;1094071.72996500
NBSUSDT;0.01675000;-1.760;0.01775000;0.01627000;1094071.72996500
NBSUSDT;0.01675000;-1.760;0.01775000;0.01627000;1094071.72996500
NBSUSDT;0.01675000;-1.760;0.01775000;0.01627000;1092715.31553400
NBSUSDT;0.01675000;-1.760;0.01775000;0.01627000;1092715.31553400
NBSUSDT;0.01675000;-2.047;0.01775000;0.01627000;1092089.71242400
NBSUSDT;0.01675000;-2.104;0.01775000;0.01627000;1091969.71317400
NBSUSDT;0.01675000;-2.104;0.01775000;0.01627000;1091969.71317400
NBSUSDT;0.01675000;-2.104;0.01775000;0.01627000;1091969.71317400
NBSUSDT;0.01675000;-1.875;0.01775000;0.01627000;1088324.71015000
NBSUSDT;0.01675000;-1.875;0.01775000;0.01627000;1088324.71015000
NBSUSDT;0.01675000;-1.875;0.01775000;0.01627000;1088324.71015000
NBSUSDT;0.01675000;-1.875;0.01775000;0.01627000;1088324.71015000
NBSUSDT;0.01673000;-1.932;0.01775000;0.01627000;1087055.51589100
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-2.108;0.01775000;0.01627000;1092500.31553900
NBSUSDT;0.01672000;-1.989;0.01775000;0.01627000;1092343.88093700
NBSUSDT;0.01672000;-2.165;0.01775000;0.01627000;1092359.17304900
NBSUSDT;0.01673000;-2.049;0.01775000;0.01627000;1092081.38334600
NBSUSDT;0.01673000;-2.106;0.01775000;0.01627000;1091652.90369600
NBSUSDT;0.01673000;-1.646;0.01775000;0.01627000;1091375.12927300
NBSUSDT;0.01673000;-1.646;0.01775000;0.01627000;1091375.12927300
NBSUSDT;0.01673000;-1.646;0.01775000;0.01627000;1091375.12927300
