Symbol;Price;Change24;Max24;Min24;Volume24
NKNUSDT;0.36890000;0.546;0.37590000;0.34910000;1820879.81880000
NKNUSDT;0.36890000;0.627;0.37590000;0.34910000;1820905.24480000
NKNUSDT;0.36890000;0.627;0.37590000;0.34910000;1820905.24480000
NKNUSDT;0.36890000;0.627;0.37590000;0.34910000;1820905.24480000
NKNUSDT;0.36890000;0.627;0.37590000;0.34910000;1820905.24480000
NKNUSDT;0.36890000;0.627;0.37590000;0.34910000;1820948.77500000
NKNUSDT;0.36890000;0.682;0.37590000;0.34910000;1820147.24720000
NKNUSDT;0.36890000;0.682;0.37590000;0.34910000;1820147.24720000
NKNUSDT;0.36890000;0.737;0.37590000;0.34910000;1818828.20720000
NKNUSDT;0.36860000;0.682;0.37590000;0.34910000;1815833.87390000
NKNUSDT;0.36860000;0.600;0.37590000;0.34910000;1816856.37030000
NKNUSDT;0.36860000;0.600;0.37590000;0.34910000;1816856.37030000
NKNUSDT;0.36910000;0.709;0.37590000;0.34910000;1816760.11240000
NKNUSDT;0.36910000;0.627;0.37590000;0.34910000;1816743.61990000
NKNUSDT;0.36910000;0.627;0.37590000;0.34910000;1816743.61990000
NKNUSDT;0.36910000;0.627;0.37590000;0.34910000;1816743.61990000
NKNUSDT;0.36900000;0.463;0.37590000;0.34910000;1816833.65910000
NKNUSDT;0.36900000;0.299;0.37590000;0.34910000;1815740.49890000
NKNUSDT;0.36910000;0.163;0.37590000;0.34910000;1802389.61540000
NKNUSDT;0.36860000;0.190;0.37590000;0.34910000;1803132.34720000
NKNUSDT;0.36800000;0.000;0.37590000;0.34910000;1806630.19170000
NKNUSDT;0.36800000;0.000;0.37590000;0.34910000;1806630.19170000
NKNUSDT;0.36800000;0.000;0.37590000;0.34910000;1806630.19170000
NKNUSDT;0.36800000;0.000;0.37590000;0.34910000;1806630.19170000
NKNUSDT;0.36800000;0.000;0.37590000;0.34910000;1806630.19170000
NKNUSDT;0.36800000;-0.109;0.37590000;0.34910000;1806244.89570000
NKNUSDT;0.36800000;0.027;0.37590000;0.34910000;1805883.14510000
NKNUSDT;0.36860000;0.027;0.37590000;0.34910000;1805883.14510000
NKNUSDT;0.36860000;0.190;0.37590000;0.34910000;1805948.75590000
NKNUSDT;0.36860000;0.081;0.37590000;0.34910000;1805721.76160000
NKNUSDT;0.36860000;0.081;0.37590000;0.34910000;1805721.76160000
NKNUSDT;0.36900000;0.190;0.37590000;0.34910000;1805747.96060000
NKNUSDT;0.36900000;0.190;0.37590000;0.34910000;1805747.96060000
NKNUSDT;0.36900000;0.435;0.37590000;0.34910000;1805029.77560000
NKNUSDT;0.36900000;0.435;0.37590000;0.34910000;1805069.99660000
NKNUSDT;0.36900000;0.435;0.37590000;0.34910000;1805069.99660000
NKNUSDT;0.36900000;0.435;0.37590000;0.34910000;1805069.99660000
NKNUSDT;0.37010000;0.707;0.37590000;0.34910000;1819345.59690000
NKNUSDT;0.37010000;0.680;0.37590000;0.34910000;1819287.52090000
NKNUSDT;0.37010000;0.680;0.37590000;0.34910000;1819287.52090000
NKNUSDT;0.37010000;0.680;0.37590000;0.34910000;1819287.52090000
NKNUSDT;0.37010000;0.680;0.37590000;0.34910000;1819287.52090000
NKNUSDT;0.37000000;0.653;0.37590000;0.34910000;1819307.50090000
NKNUSDT;0.37000000;0.653;0.37590000;0.34910000;1819286.91970000
NKNUSDT;0.37000000;0.653;0.37590000;0.34910000;1819254.57090000
NKNUSDT;0.37000000;0.653;0.37590000;0.34910000;1819254.57090000
NKNUSDT;0.37030000;0.734;0.37590000;0.34910000;1819275.30770000
NKNUSDT;0.37030000;0.570;0.37590000;0.34910000;1818317.70970000
NKNUSDT;0.37030000;0.625;0.37590000;0.34910000;1818535.72260000
NKNUSDT;0.37030000;0.625;0.37590000;0.34910000;1818535.72260000
NKNUSDT;0.37030000;0.652;0.37590000;0.34910000;1818180.97060000
NKNUSDT;0.37030000;0.652;0.37590000;0.34910000;1818180.97060000
NKNUSDT;0.37030000;0.652;0.37590000;0.34910000;1818180.97060000
NKNUSDT;0.37010000;0.598;0.37590000;0.34910000;1818241.68710000
NKNUSDT;0.37010000;0.598;0.37590000;0.34910000;1818241.68710000
NKNUSDT;0.37010000;0.571;0.37590000;0.34910000;1818155.58820000
NKNUSDT;0.36970000;0.190;0.37590000;0.34910000;1818004.98730000
NKNUSDT;0.36970000;0.190;0.37590000;0.34910000;1818004.98730000
NKNUSDT;0.36970000;0.190;0.37590000;0.34910000;1818004.98730000
NKNUSDT;0.36970000;0.190;0.37590000;0.34910000;1818004.98730000
NKNUSDT;0.36930000;0.081;0.37590000;0.34910000;1817423.73020000
NKNUSDT;0.37040000;0.543;0.37590000;0.34910000;1819866.90590000
NKNUSDT;0.36970000;0.353;0.37590000;0.34910000;1824414.28460000
NKNUSDT;0.36970000;0.244;0.37590000;0.34910000;1824290.42900000
NKNUSDT;0.36970000;0.244;0.37590000;0.34910000;1824290.42900000
NKNUSDT;0.36970000;0.846;0.37590000;0.34910000;1823506.60510000
NKNUSDT;0.36950000;0.791;0.37590000;0.34910000;1823330.23270000
NKNUSDT;0.37040000;1.037;0.37590000;0.34910000;1831375.47150000
NKNUSDT;0.37030000;0.899;0.37590000;0.34910000;1831673.83290000
NKNUSDT;0.37030000;0.927;0.37590000;0.34910000;1831569.23790000
NKNUSDT;0.37030000;0.927;0.37590000;0.34910000;1831569.23790000
NKNUSDT;0.36970000;0.571;0.37590000;0.34910000;1830574.41510000
NKNUSDT;0.36970000;0.736;0.37590000;0.34910000;1830177.43350000
NKNUSDT;0.36970000;0.846;0.37590000;0.34910000;1829547.11930000
NKNUSDT;0.36920000;0.874;0.37590000;0.34910000;1823223.78370000
NKNUSDT;0.36920000;0.792;0.37590000;0.34910000;1823285.85130000
NKNUSDT;0.36920000;0.792;0.37590000;0.34910000;1823285.85130000
NKNUSDT;0.36920000;0.957;0.37590000;0.34910000;1823226.53470000
NKNUSDT;0.36950000;0.984;0.37590000;0.34910000;1823199.04130000
NKNUSDT;0.37210000;1.639;0.37590000;0.34910000;1840290.12750000
NKNUSDT;0.37250000;1.471;0.37590000;0.34910000;1839352.05060000
NKNUSDT;0.37250000;1.471;0.37590000;0.34910000;1839352.05060000
NKNUSDT;0.37250000;1.471;0.37590000;0.34910000;1839327.35800000
NKNUSDT;0.37250000;1.471;0.37590000;0.34910000;1839697.99550000
NKNUSDT;0.37270000;1.525;0.37590000;0.34910000;1840101.28570000
NKNUSDT;0.37270000;1.525;0.37590000;0.34910000;1840101.28570000
NKNUSDT;0.37270000;1.525;0.37590000;0.34910000;1840101.28570000
NKNUSDT;0.37300000;1.498;0.37590000;0.34910000;1839960.31930000
NKNUSDT;0.37300000;1.580;0.37590000;0.34910000;1840000.21510000
NKNUSDT;0.37300000;1.580;0.37590000;0.34910000;1840000.21510000
NKNUSDT;0.37300000;1.580;0.37590000;0.34910000;1840000.21510000
