Symbol;Price;Change24;Max24;Min24;Volume24
NULSUSDT;0.84810000;-2.439;0.89600000;0.81000000;13224856.95110000
NULSUSDT;0.84850000;-2.426;0.89600000;0.81000000;13222865.61970000
NULSUSDT;0.84570000;-2.670;0.89600000;0.81000000;13225491.52140000
NULSUSDT;0.84570000;-2.659;0.89600000;0.81000000;13223382.04190000
NULSUSDT;0.84570000;-2.569;0.89600000;0.81000000;13188803.05020000
NULSUSDT;0.84570000;-2.490;0.89600000;0.81000000;13184956.53410000
NULSUSDT;0.84630000;-2.286;0.89600000;0.81000000;13176812.84010000
NULSUSDT;0.84630000;-2.286;0.89600000;0.81000000;13176812.84010000
NULSUSDT;0.84630000;-2.286;0.89600000;0.81000000;13176812.84010000
NULSUSDT;0.84630000;-2.286;0.89600000;0.81000000;13176812.84010000
NULSUSDT;0.84650000;-2.128;0.89600000;0.81000000;13142670.61020000
NULSUSDT;0.84800000;-2.105;0.89600000;0.81000000;13142692.61920000
NULSUSDT;0.84800000;-1.624;0.89600000;0.81000000;13116641.66360000
NULSUSDT;0.84680000;-1.718;0.89600000;0.81000000;13115191.80750000
NULSUSDT;0.84680000;-1.718;0.89600000;0.81000000;13114824.93150000
NULSUSDT;0.84680000;-1.718;0.89600000;0.81000000;13110337.09950000
NULSUSDT;0.84750000;-1.718;0.89600000;0.81000000;13107788.59420000
NULSUSDT;0.84780000;-1.807;0.89600000;0.81000000;13099521.16360000
NULSUSDT;0.84780000;-1.818;0.89600000;0.81000000;13093030.75970000
NULSUSDT;0.84630000;-1.807;0.89600000;0.81000000;13086350.81530000
NULSUSDT;0.84590000;-2.084;0.89600000;0.81000000;13086230.53780000
NULSUSDT;0.84700000;-1.911;0.89600000;0.81000000;13085112.21410000
NULSUSDT;0.84700000;-1.911;0.89600000;0.81000000;13085112.21410000
NULSUSDT;0.84500000;-1.911;0.89600000;0.81000000;13078127.88210000
NULSUSDT;0.84500000;-2.233;0.89600000;0.81000000;13088720.71300000
NULSUSDT;0.84460000;-2.460;0.89600000;0.81000000;13083891.09860000
NULSUSDT;0.84460000;-2.595;0.89600000;0.81000000;13074879.83860000
NULSUSDT;0.84460000;-2.595;0.89600000;0.81000000;13074862.49660000
NULSUSDT;0.84460000;-2.505;0.89600000;0.81000000;13072007.64780000
NULSUSDT;0.84460000;-2.460;0.89600000;0.81000000;13068849.18990000
NULSUSDT;0.84380000;-2.496;0.89600000;0.81000000;13068625.03270000
NULSUSDT;0.84500000;-2.473;0.89600000;0.81000000;13043577.09780000
NULSUSDT;0.84490000;-2.358;0.89600000;0.81000000;13039040.17270000
NULSUSDT;0.84480000;-2.459;0.89600000;0.81000000;13035101.98440000
NULSUSDT;0.84370000;-2.493;0.89600000;0.81000000;13034741.51520000
NULSUSDT;0.84370000;-2.609;0.89600000;0.81000000;13034249.35410000
NULSUSDT;0.84370000;-2.609;0.89600000;0.81000000;13034249.35410000
NULSUSDT;0.84490000;-2.112;0.89600000;0.81000000;13000176.09620000
NULSUSDT;0.84490000;-1.927;0.89600000;0.81000000;12995290.56030000
NULSUSDT;0.84370000;-2.066;0.89600000;0.81000000;12994452.93280000
NULSUSDT;0.84400000;-1.849;0.89600000;0.81000000;12970473.42750000
NULSUSDT;0.84490000;-1.847;0.89600000;0.81000000;12960309.89670000
NULSUSDT;0.84490000;-1.972;0.89600000;0.81000000;12952236.92430000
NULSUSDT;0.84400000;-2.077;0.89600000;0.81000000;12952336.52410000
NULSUSDT;0.84490000;-1.984;0.89600000;0.81000000;12943301.54850000
NULSUSDT;0.84440000;-1.871;0.89600000;0.81000000;12942357.33320000
NULSUSDT;0.84440000;-1.871;0.89600000;0.81000000;12942357.33320000
NULSUSDT;0.84400000;-1.860;0.89600000;0.81000000;12939735.12440000
NULSUSDT;0.84370000;-2.032;0.89600000;0.81000000;12935994.01100000
NULSUSDT;0.84290000;-2.214;0.89600000;0.81000000;12931204.77510000
NULSUSDT;0.84290000;-2.227;0.89600000;0.81000000;12933942.23710000
NULSUSDT;0.84450000;-2.053;0.89600000;0.81000000;12933540.78640000
NULSUSDT;0.84330000;-2.486;0.89600000;0.81000000;12930205.13500000
NULSUSDT;0.84440000;-2.576;0.89600000;0.81000000;12928949.06070000
NULSUSDT;0.84440000;-2.121;0.89600000;0.81000000;12917499.48890000
NULSUSDT;0.84330000;-2.319;0.89600000;0.81000000;12919376.94710000
NULSUSDT;0.84330000;-2.237;0.89600000;0.81000000;12919139.82040000
