Symbol;Price;Change24;Max24;Min24;Volume24
NUUSDT;0.75110000;-0.345;0.77430000;0.72220000;5730719.26010000
NUUSDT;0.75110000;-0.266;0.77430000;0.72220000;5727212.89900000
NUUSDT;0.75110000;-0.371;0.77430000;0.72220000;5726729.43460000
NUUSDT;0.75110000;-0.371;0.77430000;0.72220000;5726729.43460000
NUUSDT;0.75010000;-0.398;0.77430000;0.72220000;5723632.33520000
NUUSDT;0.75000000;-0.398;0.77430000;0.72220000;5724806.11110000
NUUSDT;0.74800000;-0.346;0.77430000;0.72220000;5723813.77950000
NUUSDT;0.74850000;-0.571;0.77430000;0.72220000;5729228.62360000
NUUSDT;0.74850000;-0.439;0.77430000;0.72220000;5723082.25760000
NUUSDT;0.74850000;-0.439;0.77430000;0.72220000;5723082.25760000
NUUSDT;0.74860000;-0.386;0.77430000;0.72220000;5723104.52620000
NUUSDT;0.74860000;-0.386;0.77430000;0.72220000;5723104.52620000
NUUSDT;0.74840000;-0.346;0.77430000;0.72220000;5718686.20640000
NUUSDT;0.74800000;-0.307;0.77430000;0.72220000;5715484.81550000
NUUSDT;0.74800000;-0.360;0.77430000;0.72220000;5715447.30050000
NUUSDT;0.74960000;-0.492;0.77430000;0.72220000;5715327.93920000
NUUSDT;0.74960000;-0.226;0.77430000;0.72220000;5711223.48060000
NUUSDT;0.74960000;-0.226;0.77430000;0.72220000;5711223.48060000
NUUSDT;0.74960000;-0.226;0.77430000;0.72220000;5711223.48060000
NUUSDT;0.74950000;-0.320;0.77430000;0.72220000;5710833.60330000
NUUSDT;0.74800000;-0.413;0.77430000;0.72220000;5711146.56130000
NUUSDT;0.74800000;-0.399;0.77430000;0.72220000;5711136.04800000
NUUSDT;0.74800000;-0.479;0.77430000;0.72220000;5711056.44200000
NUUSDT;0.74910000;-0.478;0.77430000;0.72220000;5695163.93020000
NUUSDT;0.74910000;-0.531;0.77430000;0.72220000;5684855.70110000
NUUSDT;0.74870000;-0.729;0.77430000;0.72220000;5677811.51310000
NUUSDT;0.75000000;-0.611;0.77430000;0.72220000;5676847.28900000
NUUSDT;0.75000000;-0.438;0.77430000;0.72220000;5678215.30660000
NUUSDT;0.75060000;-0.332;0.77430000;0.72220000;5667341.55740000
NUUSDT;0.75100000;-0.464;0.77430000;0.72220000;5666781.59730000
NUUSDT;0.75150000;-0.358;0.77430000;0.72220000;5669467.08860000
NUUSDT;0.75160000;-0.239;0.77430000;0.72220000;5675585.40100000
NUUSDT;0.75360000;-0.120;0.77430000;0.72220000;5682789.69530000
NUUSDT;0.75390000;0.120;0.77430000;0.72220000;5687664.78590000
NUUSDT;0.75430000;0.040;0.77430000;0.72220000;5687213.69480000
NUUSDT;0.75430000;0.173;0.77430000;0.72220000;5687299.59500000
NUUSDT;0.75430000;0.359;0.77430000;0.72220000;5685856.57590000
NUUSDT;0.75440000;0.239;0.77430000;0.72220000;5686605.19510000
NUUSDT;0.75350000;0.199;0.77430000;0.72220000;5686595.35010000
NUUSDT;0.75350000;0.133;0.77430000;0.72220000;5671268.85120000
NUUSDT;0.75350000;0.199;0.77430000;0.72220000;5666726.67880000
NUUSDT;0.75350000;0.146;0.77430000;0.72220000;5664499.35220000
NUUSDT;0.75350000;0.133;0.77430000;0.72220000;5661734.00930000
NUUSDT;0.75410000;0.239;0.77430000;0.72220000;5661175.72080000
NUUSDT;0.75450000;0.266;0.77430000;0.72220000;5663983.27460000
NUUSDT;0.75450000;0.359;0.77430000;0.72220000;5671654.90100000
