Symbol;Price;Change24;Max24;Min24;Volume24
OGNUSDT;0.64470000;1.656;0.65250000;0.61000000;5508148.10220000
OGNUSDT;0.64490000;1.800;0.65250000;0.61000000;5508053.37810000
OGNUSDT;0.64480000;1.928;0.65250000;0.61000000;5508026.14480000
OGNUSDT;0.64470000;1.816;0.65250000;0.61000000;5509202.47170000
OGNUSDT;0.64470000;1.929;0.65250000;0.61000000;5509085.96290000
OGNUSDT;0.64470000;1.929;0.65250000;0.61000000;5509085.96290000
OGNUSDT;0.64470000;2.042;0.65250000;0.61000000;5506974.88990000
OGNUSDT;0.64460000;2.106;0.65250000;0.61000000;5507515.77530000
OGNUSDT;0.64460000;2.075;0.65250000;0.61000000;5508026.24550000
OGNUSDT;0.64460000;1.978;0.65250000;0.61000000;5511506.85380000
OGNUSDT;0.64320000;1.993;0.65250000;0.61000000;5511383.34180000
OGNUSDT;0.64210000;1.582;0.65250000;0.61000000;5597061.29020000
OGNUSDT;0.64220000;1.775;0.65250000;0.61000000;5599072.44500000
OGNUSDT;0.64170000;1.630;0.65250000;0.61000000;5599056.03900000
OGNUSDT;0.64170000;1.551;0.65250000;0.61000000;5599892.77070000
OGNUSDT;0.64170000;1.535;0.65250000;0.61000000;5599879.50080000
OGNUSDT;0.64170000;1.503;0.65250000;0.61000000;5599997.27550000
OGNUSDT;0.64160000;1.310;0.65250000;0.61000000;5599744.12320000
OGNUSDT;0.64220000;1.437;0.65250000;0.61000000;5601407.67080000
OGNUSDT;0.64110000;1.327;0.65250000;0.61000000;5601746.41100000
OGNUSDT;0.64130000;1.327;0.65250000;0.61000000;5602087.89380000
OGNUSDT;0.64130000;1.439;0.65250000;0.61000000;5601786.63660000
OGNUSDT;0.64120000;1.359;0.65250000;0.61000000;5601812.94620000
OGNUSDT;0.64130000;1.375;0.65250000;0.61000000;5602055.99890000
OGNUSDT;0.64120000;1.327;0.65250000;0.61000000;5601676.54090000
OGNUSDT;0.64150000;1.087;0.65250000;0.61000000;5595040.76050000
OGNUSDT;0.64150000;1.151;0.65250000;0.61000000;5592914.41490000
OGNUSDT;0.64110000;1.199;0.65250000;0.61000000;5592542.17920000
OGNUSDT;0.64100000;1.120;0.65250000;0.61000000;5593501.72580000
OGNUSDT;0.64130000;1.327;0.65250000;0.61000000;5587469.70260000
OGNUSDT;0.64050000;1.231;0.65250000;0.61000000;5592298.59500000
OGNUSDT;0.64100000;1.120;0.65250000;0.61000000;5604847.76590000
OGNUSDT;0.64130000;1.215;0.65250000;0.61000000;5605065.45000000
OGNUSDT;0.64160000;1.215;0.65250000;0.61000000;5609239.41910000
OGNUSDT;0.64140000;1.183;0.65250000;0.61000000;5609324.78530000
OGNUSDT;0.64140000;1.231;0.65250000;0.61000000;5607582.05570000
OGNUSDT;0.64130000;1.327;0.65250000;0.61000000;5604101.68440000
OGNUSDT;0.64220000;1.453;0.65250000;0.61000000;5605174.36160000
OGNUSDT;0.64200000;1.374;0.65250000;0.61000000;5603622.59900000
OGNUSDT;0.64210000;1.358;0.65250000;0.61000000;5603769.61700000
OGNUSDT;0.64210000;1.374;0.65250000;0.61000000;5604394.26490000
OGNUSDT;0.64200000;1.374;0.65250000;0.61000000;5602991.67700000
OGNUSDT;0.64200000;1.358;0.65250000;0.61000000;5602880.25280000
OGNUSDT;0.64230000;1.405;0.65250000;0.61000000;5604039.57160000
OGNUSDT;0.64200000;1.358;0.65250000;0.61000000;5604184.22540000
OGNUSDT;0.64210000;1.374;0.65250000;0.61000000;5604763.47350000
OGNUSDT;0.64250000;1.533;0.65250000;0.61000000;5603832.21270000
OGNUSDT;0.64220000;1.421;0.65250000;0.61000000;5603893.38150000
OGNUSDT;0.64220000;1.373;0.65250000;0.61000000;5604009.80550000
OGNUSDT;0.64200000;1.310;0.65250000;0.61000000;5603964.08270000
OGNUSDT;0.64210000;1.341;0.65250000;0.61000000;5603961.23150000
OGNUSDT;0.64210000;1.342;0.65250000;0.61000000;5603537.02570000
OGNUSDT;0.64230000;1.405;0.65250000;0.61000000;5603525.86650000
OGNUSDT;0.64240000;1.357;0.65250000;0.61000000;5597353.43950000
OGNUSDT;0.64220000;1.341;0.65250000;0.61000000;5597428.53200000
OGNUSDT;0.64210000;1.358;0.65250000;0.61000000;5592416.79980000
OGNUSDT;0.64190000;1.326;0.65250000;0.61000000;5592688.17570000
OGNUSDT;0.64170000;1.230;0.65250000;0.61000000;5592588.71620000
OGNUSDT;0.64170000;1.199;0.65250000;0.61000000;5592658.03520000
OGNUSDT;0.64170000;1.183;0.65250000;0.61000000;5592481.12130000
OGNUSDT;0.64210000;0.927;0.65250000;0.61000000;5592710.43370000
OGNUSDT;0.64210000;1.023;0.65250000;0.61000000;5583440.83450000
OGNUSDT;0.64220000;1.054;0.65250000;0.61000000;5583820.67380000
OGNUSDT;0.64200000;0.975;0.65250000;0.61000000;5583656.60270000
OGNUSDT;0.64110000;0.944;0.65250000;0.61000000;5584651.52620000
OGNUSDT;0.64120000;1.168;0.65250000;0.61000000;5583396.90380000
OGNUSDT;0.64100000;1.231;0.65250000;0.61000000;5580974.18990000
OGNUSDT;0.64100000;1.120;0.65250000;0.61000000;5581091.42360000
OGNUSDT;0.64100000;0.897;0.65250000;0.61000000;5576472.16950000
OGNUSDT;0.64100000;0.897;0.65250000;0.61000000;5574381.19520000
OGNUSDT;0.64030000;0.787;0.65250000;0.61000000;5574845.83170000
OGNUSDT;0.64060000;0.644;0.65250000;0.61000000;5567942.66070000
OGNUSDT;0.63950000;0.677;0.65250000;0.61000000;5591783.35880000
OGNUSDT;0.63900000;0.772;0.65250000;0.61000000;5591453.71940000
OGNUSDT;0.63840000;0.710;0.65250000;0.61000000;5591373.46930000
OGNUSDT;0.63840000;0.758;0.65250000;0.61000000;5591377.51180000
OGNUSDT;0.63840000;0.821;0.65250000;0.61000000;5591171.63180000
OGNUSDT;0.63810000;0.885;0.65250000;0.61000000;5595548.19400000
OGNUSDT;0.63920000;1.107;0.65250000;0.61000000;5595687.19470000
OGNUSDT;0.63940000;1.011;0.65250000;0.61000000;5584610.71060000
OGNUSDT;0.63940000;0.915;0.65250000;0.61000000;5583795.81100000
OGNUSDT;0.63940000;0.804;0.65250000;0.61000000;5583478.48250000
OGNUSDT;0.63940000;0.741;0.65250000;0.61000000;5583404.65550000
OGNUSDT;0.63940000;0.804;0.65250000;0.61000000;5583205.35400000
OGNUSDT;0.63940000;0.804;0.65250000;0.61000000;5582852.57360000
OGNUSDT;0.63920000;0.741;0.65250000;0.61000000;5587469.13650000
OGNUSDT;0.63910000;0.725;0.65250000;0.61000000;5587522.82090000
OGNUSDT;0.63910000;0.567;0.65250000;0.61000000;5587855.88400000
OGNUSDT;0.63900000;0.693;0.65250000;0.61000000;5587836.73790000
