Symbol;Price;Change24;Max24;Min24;Volume24
OMGUSDT;6.08300000;-0.556;6.24800000;5.78000000;56056140.77380000
OMGUSDT;6.08300000;-0.442;6.24800000;5.78000000;56047791.60580000
OMGUSDT;6.08100000;-0.491;6.24800000;5.78000000;56041084.02520000
OMGUSDT;6.08100000;-0.556;6.24800000;5.78000000;56042459.11210000
OMGUSDT;6.08100000;-0.524;6.24800000;5.78000000;56045830.09630000
OMGUSDT;6.08100000;-0.491;6.24800000;5.78000000;56045927.80870000
OMGUSDT;6.08100000;-0.328;6.24800000;5.78000000;56036988.73360000
OMGUSDT;6.07700000;-0.508;6.24800000;5.78000000;56020671.38060000
OMGUSDT;6.07800000;-0.410;6.24800000;5.78000000;56013438.37970000
OMGUSDT;6.07900000;-0.475;6.24800000;5.78000000;56001782.66300000
OMGUSDT;6.08000000;-0.491;6.24800000;5.78000000;55991321.01500000
OMGUSDT;6.07100000;-0.589;6.24800000;5.78000000;56021669.15590000
OMGUSDT;6.07600000;-0.459;6.24800000;5.78000000;56019497.81950000
OMGUSDT;6.07400000;-0.508;6.24800000;5.78000000;55998076.70260000
OMGUSDT;6.07400000;-0.459;6.24800000;5.78000000;56005664.47420000
OMGUSDT;6.07400000;-0.459;6.24800000;5.78000000;55999577.40100000
OMGUSDT;6.07400000;-0.557;6.24800000;5.78000000;55987559.69830000
OMGUSDT;6.07400000;-0.557;6.24800000;5.78000000;55986448.65310000
OMGUSDT;6.07500000;-0.589;6.24800000;5.78000000;55988613.75200000
OMGUSDT;6.06300000;-0.736;6.24800000;5.78000000;55997900.16650000
OMGUSDT;6.06600000;-0.655;6.24800000;5.78000000;55988487.78130000
OMGUSDT;6.06600000;-0.655;6.24800000;5.78000000;55986923.49060000
OMGUSDT;6.06600000;-0.606;6.24800000;5.78000000;55979635.80580000
OMGUSDT;6.07000000;-0.622;6.24800000;5.78000000;55984859.01960000
OMGUSDT;6.07100000;-0.703;6.24800000;5.78000000;55964780.07850000
OMGUSDT;6.07300000;-0.898;6.24800000;5.78000000;55944964.02270000
OMGUSDT;6.07000000;-0.930;6.24800000;5.78000000;55941696.07860000
OMGUSDT;6.07200000;-0.962;6.24800000;5.78000000;55935903.85290000
OMGUSDT;6.07200000;-0.962;6.24800000;5.78000000;55923709.44890000
OMGUSDT;6.07200000;-0.784;6.24800000;5.78000000;55902050.87910000
OMGUSDT;6.07900000;-0.702;6.24800000;5.78000000;55901051.97960000
OMGUSDT;6.07800000;-0.751;6.24800000;5.78000000;55885119.63540000
OMGUSDT;6.07900000;-0.735;6.24800000;5.78000000;55884564.55270000
OMGUSDT;6.07900000;-0.783;6.24800000;5.78000000;55880676.16530000
OMGUSDT;6.08200000;-0.767;6.24800000;5.78000000;55878237.37170000
OMGUSDT;6.07900000;-0.686;6.24800000;5.78000000;55877905.20040000
OMGUSDT;6.08000000;-0.621;6.24800000;5.78000000;55882411.32240000
OMGUSDT;6.08100000;-0.556;6.24800000;5.78000000;55862958.15980000
OMGUSDT;6.08000000;-0.702;6.24800000;5.78000000;55810992.09690000
OMGUSDT;6.08000000;-0.637;6.24800000;5.78000000;55793793.72930000
OMGUSDT;6.08000000;-0.621;6.24800000;5.78000000;55771927.19250000
OMGUSDT;6.08000000;-0.654;6.24800000;5.78000000;55755450.56610000
OMGUSDT;6.08300000;-0.718;6.24800000;5.78000000;55737258.58290000
OMGUSDT;6.08300000;-0.653;6.24800000;5.78000000;55740476.34460000
OMGUSDT;6.08300000;-0.653;6.24800000;5.78000000;55737086.32400000
OMGUSDT;6.08700000;-0.588;6.24800000;5.78000000;55745097.02890000
OMGUSDT;6.08700000;-0.490;6.24800000;5.78000000;55739065.61560000
OMGUSDT;6.08600000;-0.507;6.24800000;5.78000000;55705254.77050000
OMGUSDT;6.08400000;-0.588;6.24800000;5.78000000;55689396.22260000
OMGUSDT;6.08300000;-0.653;6.24800000;5.78000000;55675892.29860000
OMGUSDT;6.08100000;-0.718;6.24800000;5.78000000;55646995.56190000
OMGUSDT;6.08300000;-0.718;6.24800000;5.78000000;55647966.50330000
OMGUSDT;6.08400000;-0.669;6.24800000;5.78000000;55642852.54360000
OMGUSDT;6.08400000;-0.702;6.24800000;5.78000000;55628260.77470000
OMGUSDT;6.08300000;-0.767;6.24800000;5.78000000;55630238.68010000
OMGUSDT;6.08000000;-0.816;6.24800000;5.78000000;55636520.60190000
OMGUSDT;6.07800000;-0.848;6.24800000;5.78000000;55638972.76880000
OMGUSDT;6.07400000;-0.994;6.24800000;5.78000000;55617233.28980000
OMGUSDT;6.07300000;-1.011;6.24800000;5.78000000;55616600.82800000
OMGUSDT;6.07200000;-1.091;6.24800000;5.78000000;55611812.64800000
OMGUSDT;6.07400000;-1.139;6.24800000;5.78000000;55586860.96100000
OMGUSDT;6.08000000;-0.929;6.24800000;5.78000000;55494158.78080000
OMGUSDT;6.08300000;-0.880;6.24800000;5.78000000;55500091.58180000
OMGUSDT;6.07600000;-0.945;6.24800000;5.78000000;55471313.15520000
OMGUSDT;6.07100000;-1.027;6.24800000;5.78000000;55475941.60470000
OMGUSDT;6.06900000;-0.655;6.24800000;5.78000000;55423164.06360000
OMGUSDT;6.07100000;-0.492;6.24800000;5.78000000;55423303.12780000
OMGUSDT;6.07200000;-0.524;6.24800000;5.78000000;55412864.25400000
OMGUSDT;6.07100000;-0.638;6.24800000;5.78000000;55344032.05630000
OMGUSDT;6.06800000;-0.720;6.24800000;5.78000000;55348543.73230000
OMGUSDT;6.06700000;-0.687;6.24800000;5.78000000;55341836.80590000
OMGUSDT;6.06600000;-0.850;6.24800000;5.78000000;55286033.57450000
OMGUSDT;6.05200000;-0.884;6.24800000;5.78000000;55251542.14530000
OMGUSDT;6.05300000;-0.738;6.24800000;5.78000000;55250851.13850000
OMGUSDT;6.04900000;-0.706;6.24800000;5.78000000;55154847.07430000
OMGUSDT;6.04800000;-0.771;6.24800000;5.78000000;55149611.03290000
OMGUSDT;6.04800000;-0.657;6.24800000;5.78000000;55116031.77670000
OMGUSDT;6.05100000;-0.559;6.24800000;5.78000000;55134316.46590000
OMGUSDT;6.05600000;-0.329;6.24800000;5.78000000;55141182.93100000
OMGUSDT;6.06000000;-0.394;6.24800000;5.78000000;55115132.36760000
OMGUSDT;6.05600000;-0.607;6.24800000;5.78000000;55106884.49190000
OMGUSDT;6.05500000;-0.689;6.24800000;5.78000000;55101158.18440000
OMGUSDT;6.05500000;-0.705;6.24800000;5.78000000;55101189.56590000
OMGUSDT;6.05500000;-0.705;6.24800000;5.78000000;55081038.73980000
OMGUSDT;6.05600000;-0.689;6.24800000;5.78000000;55075669.06000000
OMGUSDT;6.05800000;-0.672;6.24800000;5.78000000;55097681.06840000
OMGUSDT;6.05600000;-0.754;6.24800000;5.78000000;55099326.80360000
OMGUSDT;6.05600000;-0.754;6.24800000;5.78000000;55096086.86570000
OMGUSDT;6.05700000;-0.754;6.24800000;5.78000000;55096039.27010000
OMGUSDT;6.05700000;-0.754;6.24800000;5.78000000;55108903.86490000
OMGUSDT;6.05800000;-0.770;6.24800000;5.78000000;55106283.32500000
OMGUSDT;6.05700000;-0.770;6.24800000;5.78000000;55106352.99200000
OMGUSDT;6.05400000;-0.803;6.24800000;5.78000000;55116845.84360000
OMGUSDT;6.05400000;-0.835;6.24800000;5.78000000;55122771.30020000
OMGUSDT;6.05600000;-0.884;6.24800000;5.78000000;55133501.14420000
OMGUSDT;6.05400000;-0.933;6.24800000;5.78000000;55133131.24130000
OMGUSDT;6.05400000;-0.949;6.24800000;5.78000000;55132806.12680000
OMGUSDT;6.05200000;-1.079;6.24800000;5.78000000;55130575.26700000
OMGUSDT;6.04200000;-1.307;6.24800000;5.78000000;55132382.42250000
OMGUSDT;6.04200000;-1.323;6.24800000;5.78000000;55116844.54990000
OMGUSDT;6.03600000;-1.388;6.24800000;5.78000000;55137265.55430000
OMGUSDT;6.03200000;-1.437;6.24800000;5.78000000;55137786.92210000
OMGUSDT;6.03800000;-1.372;6.24800000;5.78000000;55152901.99660000
OMGUSDT;6.03700000;-1.405;6.24800000;5.78000000;55162414.53780000
OMGUSDT;6.03300000;-1.454;6.24800000;5.78000000;55169612.47040000
OMGUSDT;6.03300000;-1.341;6.24800000;5.78000000;55156626.07910000
OMGUSDT;6.03600000;-1.325;6.24800000;5.78000000;55160447.62090000
OMGUSDT;6.03800000;-1.259;6.24800000;5.78000000;55156612.20090000
OMGUSDT;6.03900000;-1.259;6.24800000;5.78000000;55165231.92160000
OMGUSDT;6.04100000;-1.194;6.24800000;5.78000000;55167622.54270000
OMGUSDT;6.04000000;-1.243;6.24800000;5.78000000;55168853.57780000
OMGUSDT;6.04000000;-1.194;6.24800000;5.78000000;55155740.77180000
OMGUSDT;6.03900000;-1.275;6.24800000;5.78000000;55149647.67230000
OMGUSDT;6.04200000;-1.177;6.24800000;5.78000000;55157314.19480000
OMGUSDT;6.04300000;-1.274;6.24800000;5.78000000;55128994.28010000
OMGUSDT;6.04500000;-1.161;6.24800000;5.78000000;55127104.95630000
OMGUSDT;6.04400000;-1.161;6.24800000;5.78000000;55125215.04570000
OMGUSDT;6.04400000;-1.048;6.24800000;5.78000000;55112313.41280000
OMGUSDT;6.04500000;-0.983;6.24800000;5.78000000;55099260.15570000
OMGUSDT;6.04500000;-0.983;6.24800000;5.78000000;55099153.92870000
OMGUSDT;6.04900000;-0.901;6.24800000;5.78000000;55100845.97040000
OMGUSDT;6.04400000;-0.983;6.24800000;5.78000000;55115571.16250000
OMGUSDT;6.04600000;-0.950;6.24800000;5.78000000;55122096.41380000
OMGUSDT;6.04500000;-1.096;6.24800000;5.78000000;55121883.45680000
OMGUSDT;6.04300000;-1.194;6.24800000;5.78000000;55117886.09670000
OMGUSDT;6.04300000;-1.161;6.24800000;5.78000000;55102533.53400000
OMGUSDT;6.04600000;-1.193;6.24800000;5.78000000;55105472.07020000
OMGUSDT;6.04900000;-1.145;6.24800000;5.78000000;55094930.30270000
OMGUSDT;6.05500000;-1.078;6.24800000;5.78000000;55103853.74550000
OMGUSDT;6.05500000;-1.175;6.24800000;5.78000000;55102320.57230000
OMGUSDT;6.05500000;-1.175;6.24800000;5.78000000;55101996.94660000
OMGUSDT;6.05400000;-1.159;6.24800000;5.78000000;55087702.69150000
OMGUSDT;6.05400000;-1.159;6.24800000;5.78000000;55086099.83170000
OMGUSDT;6.05400000;-1.175;6.24800000;5.78000000;55075043.37630000
OMGUSDT;6.06000000;-1.110;6.24800000;5.78000000;55081471.21490000
OMGUSDT;6.06400000;-1.061;6.24800000;5.78000000;55081233.47490000
OMGUSDT;6.06400000;-1.044;6.24800000;5.78000000;55081023.66160000
OMGUSDT;6.06200000;-0.963;6.24800000;5.78000000;55086793.82350000
OMGUSDT;6.06700000;-1.028;6.24800000;5.78000000;55117563.78800000
OMGUSDT;6.07200000;-1.059;6.24800000;5.78000000;55112503.19840000
OMGUSDT;6.08100000;-1.107;6.24800000;5.78000000;55121747.37070000
OMGUSDT;6.08100000;-1.090;6.24800000;5.78000000;55124151.02580000
OMGUSDT;6.08600000;-1.089;6.24800000;5.78000000;55126454.14890000
OMGUSDT;6.08900000;-1.121;6.24800000;5.78000000;55119544.55010000
OMGUSDT;6.09000000;-1.088;6.24800000;5.78000000;55141117.75970000
OMGUSDT;6.08700000;-0.976;6.24800000;5.78000000;55113000.76230000
OMGUSDT;6.09000000;-1.024;6.24800000;5.78000000;55116456.29220000
OMGUSDT;6.09300000;-1.168;6.24800000;5.78000000;55100449.49220000
OMGUSDT;6.09000000;-1.424;6.24800000;5.78000000;55084960.39910000
OMGUSDT;6.09000000;-1.329;6.24800000;5.78000000;55046672.70490000
OMGUSDT;6.09000000;-1.361;6.24800000;5.78000000;55012117.06720000
OMGUSDT;6.08800000;-1.409;6.24800000;5.78000000;54993462.87480000
OMGUSDT;6.08900000;-1.695;6.24800000;5.78000000;54969989.45710000
OMGUSDT;6.08900000;-1.457;6.24800000;5.78000000;54954354.91740000
OMGUSDT;6.08400000;-1.617;6.24800000;5.78000000;54938092.61230000
OMGUSDT;6.08000000;-1.666;6.24800000;5.78000000;54948812.60390000
OMGUSDT;6.08200000;-1.602;6.24800000;5.78000000;54953916.19860000
OMGUSDT;6.08600000;-1.506;6.24800000;5.78000000;54952357.32520000
OMGUSDT;6.08600000;-1.473;6.24800000;5.78000000;54954935.20750000
OMGUSDT;6.09000000;-1.329;6.24800000;5.78000000;54956710.35900000
OMGUSDT;6.09500000;-1.200;6.24800000;5.78000000;54976669.42760000
OMGUSDT;6.09300000;-1.232;6.24800000;5.78000000;54971334.98530000
