Symbol;Price;Change24;Max24;Min24;Volume24
ONEUSDT;0.23050000;-1.378;0.24011000;0.21725000;34379519.02736600
ONEUSDT;0.23060000;-1.360;0.24011000;0.21725000;34370513.98631900
ONEUSDT;0.23050000;-1.369;0.24011000;0.21725000;34367621.61468200
ONEUSDT;0.23050000;-1.319;0.24011000;0.21725000;34367507.00909800
ONEUSDT;0.23050000;-1.336;0.24011000;0.21725000;34367320.08948200
ONEUSDT;0.23065000;-1.208;0.24011000;0.21725000;34367072.50143100
ONEUSDT;0.23060000;-1.106;0.24011000;0.21725000;34364635.58270900
ONEUSDT;0.23054000;-1.263;0.24011000;0.21725000;34368901.43093900
ONEUSDT;0.23048000;-1.247;0.24011000;0.21725000;34365282.87512100
ONEUSDT;0.23035000;-1.357;0.24011000;0.21725000;34364413.41405900
ONEUSDT;0.23030000;-1.405;0.24011000;0.21725000;34363731.69902100
ONEUSDT;0.23010000;-1.431;0.24011000;0.21725000;34365400.32734600
ONEUSDT;0.23030000;-1.210;0.24011000;0.21725000;34376693.19932700
ONEUSDT;0.23005000;-1.389;0.24011000;0.21725000;34372821.75033700
ONEUSDT;0.23006000;-1.296;0.24011000;0.21725000;34368777.00445900
ONEUSDT;0.22981000;-1.453;0.24011000;0.21725000;34368654.48141100
ONEUSDT;0.22999000;-1.551;0.24011000;0.21725000;34384935.86190500
ONEUSDT;0.22998000;-1.469;0.24011000;0.21725000;34386511.95402100
ONEUSDT;0.23008000;-1.477;0.24011000;0.21725000;34386692.75457800
ONEUSDT;0.22961000;-1.580;0.24011000;0.21725000;34364970.27429700
ONEUSDT;0.22963000;-1.535;0.24011000;0.21725000;34365433.41055100
ONEUSDT;0.22960000;-1.428;0.24011000;0.21725000;34365730.65542600
ONEUSDT;0.22975000;-1.497;0.24011000;0.21725000;34363518.83547300
ONEUSDT;0.22996000;-1.433;0.24011000;0.21725000;34362156.79528400
ONEUSDT;0.23005000;-1.452;0.24011000;0.21725000;34362090.08438100
ONEUSDT;0.23009000;-1.650;0.24011000;0.21725000;34360208.92902600
ONEUSDT;0.22998000;-1.658;0.24011000;0.21725000;34351850.02234800
ONEUSDT;0.23006000;-1.696;0.24011000;0.21725000;34332201.86227200
