Symbol;Price;Change24;Max24;Min24;Volume24
ONTUSDT;0.67680000;0.505;0.68410000;0.64370000;8387674.41750000
ONTUSDT;0.67680000;0.535;0.68410000;0.64370000;8386556.70520000
ONTUSDT;0.67680000;0.550;0.68410000;0.64370000;8384911.55910000
ONTUSDT;0.67680000;0.550;0.68410000;0.64370000;8384427.60250000
ONTUSDT;0.67680000;0.550;0.68410000;0.64370000;8384074.89810000
ONTUSDT;0.67730000;0.639;0.68410000;0.64370000;8387356.03890000
ONTUSDT;0.67660000;0.610;0.68410000;0.64370000;8378031.46830000
ONTUSDT;0.67660000;0.490;0.68410000;0.64370000;8377781.16450000
ONTUSDT;0.67660000;0.460;0.68410000;0.64370000;8373650.87250000
ONTUSDT;0.67670000;0.341;0.68410000;0.64370000;8369438.10020000
ONTUSDT;0.67760000;0.430;0.68410000;0.64370000;8370793.45780000
ONTUSDT;0.67760000;0.579;0.68410000;0.64370000;8364381.58820000
ONTUSDT;0.67690000;0.534;0.68410000;0.64370000;8364822.54870000
ONTUSDT;0.67630000;0.416;0.68410000;0.64370000;8360680.84290000
ONTUSDT;0.67650000;0.416;0.68410000;0.64370000;8361011.55360000
ONTUSDT;0.67650000;0.371;0.68410000;0.64370000;8360755.68490000
ONTUSDT;0.67650000;0.371;0.68410000;0.64370000;8360755.68490000
ONTUSDT;0.67620000;0.371;0.68410000;0.64370000;8360755.68490000
ONTUSDT;0.67650000;0.326;0.68410000;0.64370000;8357484.55780000
ONTUSDT;0.67580000;0.267;0.68410000;0.64370000;8357310.53930000
ONTUSDT;0.67500000;0.148;0.68410000;0.64370000;8396760.87690000
ONTUSDT;0.67480000;0.148;0.68410000;0.64370000;8396770.33690000
ONTUSDT;0.67480000;0.119;0.68410000;0.64370000;8396355.29840000
ONTUSDT;0.67540000;0.193;0.68410000;0.64370000;8394384.18610000
ONTUSDT;0.67550000;0.163;0.68410000;0.64370000;8394348.65910000
ONTUSDT;0.67560000;-0.044;0.68410000;0.64370000;8393167.90290000
ONTUSDT;0.67560000;0.030;0.68410000;0.64370000;8392505.52970000
ONTUSDT;0.67560000;0.015;0.68410000;0.64370000;8392963.59050000
ONTUSDT;0.67530000;-0.015;0.68410000;0.64370000;8392465.03890000
ONTUSDT;0.67540000;0.059;0.68410000;0.64370000;8387802.15070000
ONTUSDT;0.67600000;0.089;0.68410000;0.64370000;8388017.60030000
ONTUSDT;0.67550000;0.133;0.68410000;0.64370000;8390297.77450000
ONTUSDT;0.67550000;0.015;0.68410000;0.64370000;8388556.79580000
ONTUSDT;0.67550000;0.015;0.68410000;0.64370000;8388556.79580000
ONTUSDT;0.67550000;-0.015;0.68410000;0.64370000;8388456.83660000
ONTUSDT;0.67550000;-0.015;0.68410000;0.64370000;8388202.13540000
ONTUSDT;0.67560000;0.089;0.68410000;0.64370000;8387426.97620000
ONTUSDT;0.67560000;0.267;0.68410000;0.64370000;8381941.27830000
ONTUSDT;0.67560000;0.074;0.68410000;0.64370000;8373933.08530000
ONTUSDT;0.67600000;0.237;0.68410000;0.64370000;8373866.97560000
ONTUSDT;0.67620000;0.312;0.68410000;0.64370000;8370808.42630000
ONTUSDT;0.67620000;0.341;0.68410000;0.64370000;8368561.01400000
ONTUSDT;0.67630000;0.252;0.68410000;0.64370000;8366280.15200000
ONTUSDT;0.67620000;0.267;0.68410000;0.64370000;8366278.93350000
ONTUSDT;0.67620000;0.297;0.68410000;0.64370000;8366878.76490000
ONTUSDT;0.67620000;0.297;0.68410000;0.64370000;8366138.52650000
ONTUSDT;0.67640000;0.311;0.68410000;0.64370000;8364559.79010000
ONTUSDT;0.67640000;0.326;0.68410000;0.64370000;8364472.26150000
ONTUSDT;0.67610000;0.207;0.68410000;0.64370000;8364189.72600000
ONTUSDT;0.67610000;0.178;0.68410000;0.64370000;8364090.65570000
ONTUSDT;0.67610000;0.222;0.68410000;0.64370000;8363765.97340000
ONTUSDT;0.67620000;0.252;0.68410000;0.64370000;8365211.79070000
ONTUSDT;0.67620000;0.252;0.68410000;0.64370000;8365211.79070000
ONTUSDT;0.67620000;0.237;0.68410000;0.64370000;8365300.40010000
ONTUSDT;0.67620000;0.237;0.68410000;0.64370000;8365300.40010000
ONTUSDT;0.67620000;0.163;0.68410000;0.64370000;8365243.06350000
ONTUSDT;0.67620000;0.163;0.68410000;0.64370000;8365243.06350000
ONTUSDT;0.67620000;0.163;0.68410000;0.64370000;8365243.06350000
ONTUSDT;0.67620000;0.163;0.68410000;0.64370000;8365243.06350000
ONTUSDT;0.67620000;0.178;0.68410000;0.64370000;8364838.63660000
ONTUSDT;0.67610000;0.059;0.68410000;0.64370000;8366724.11030000
ONTUSDT;0.67570000;0.044;0.68410000;0.64370000;8352892.34460000
ONTUSDT;0.67570000;0.044;0.68410000;0.64370000;8349104.56800000
ONTUSDT;0.67560000;0.059;0.68410000;0.64370000;8345874.41290000
ONTUSDT;0.67520000;0.030;0.68410000;0.64370000;8344698.40190000
ONTUSDT;0.67510000;0.297;0.68410000;0.64370000;8333437.88370000
ONTUSDT;0.67510000;0.387;0.68410000;0.64370000;8331652.26790000
ONTUSDT;0.67520000;0.461;0.68410000;0.64370000;8329501.91370000
ONTUSDT;0.67540000;0.312;0.68410000;0.64370000;8317937.45080000
ONTUSDT;0.67490000;0.282;0.68410000;0.64370000;8317996.19320000
ONTUSDT;0.67520000;0.357;0.68410000;0.64370000;8317899.10110000
ONTUSDT;0.67470000;0.134;0.68410000;0.64370000;8316027.30010000
