Symbol;Price;Change24;Max24;Min24;Volume24
PEOPLEUSDT;0.12090000;3.157;0.12490000;0.10500000;23344274.57704000
PEOPLEUSDT;0.12120000;3.242;0.12490000;0.10500000;23342833.19662000
PEOPLEUSDT;0.12130000;3.498;0.12490000;0.10500000;23340972.37685000
PEOPLEUSDT;0.12120000;3.325;0.12490000;0.10500000;23360456.89106000
PEOPLEUSDT;0.12100000;3.240;0.12490000;0.10500000;23360300.64992000
PEOPLEUSDT;0.12120000;3.590;0.12490000;0.10500000;23354502.88214000
PEOPLEUSDT;0.12100000;3.507;0.12490000;0.10500000;23350641.01708000
PEOPLEUSDT;0.12080000;3.072;0.12490000;0.10500000;23352338.62416000
PEOPLEUSDT;0.12060000;3.251;0.12490000;0.10500000;23365368.65119000
PEOPLEUSDT;0.12070000;2.636;0.12490000;0.10500000;23345775.78417000
PEOPLEUSDT;0.12080000;2.896;0.12490000;0.10500000;23345725.18150000
PEOPLEUSDT;0.12070000;2.984;0.12490000;0.10500000;23346138.86602000
PEOPLEUSDT;0.12050000;2.816;0.12490000;0.10500000;23345484.09524000
PEOPLEUSDT;0.12040000;2.906;0.12490000;0.10500000;23345247.37023000
PEOPLEUSDT;0.12050000;2.730;0.12490000;0.10500000;23345471.01597000
PEOPLEUSDT;0.12040000;2.730;0.12490000;0.10500000;23345932.43004000
PEOPLEUSDT;0.12040000;2.818;0.12490000;0.10500000;23356430.10772000
PEOPLEUSDT;0.12010000;2.555;0.12490000;0.10500000;23359043.02161000
PEOPLEUSDT;0.12010000;2.300;0.12490000;0.10500000;23359089.01991000
PEOPLEUSDT;0.12010000;2.737;0.12490000;0.10500000;23354414.10603000
PEOPLEUSDT;0.11980000;2.744;0.12490000;0.10500000;23374626.28550000
PEOPLEUSDT;0.11950000;2.228;0.12490000;0.10500000;23376352.31876000
PEOPLEUSDT;0.11930000;2.228;0.12490000;0.10500000;23382851.74865000
PEOPLEUSDT;0.11960000;2.222;0.12490000;0.10500000;23383273.93218000
