Symbol;Price;Change24;Max24;Min24;Volume24
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412366.81400000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412366.81400000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412366.81400000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2412311.59290000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2407399.18120000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2407399.18120000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2407399.18120000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2407084.16680000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2408005.63280000
PERPUSDT;9.09000000;5.208;9.28000000;8.52000000;2408085.71570000
PERPUSDT;9.09000000;5.208;9.28000000;8.52000000;2408085.71570000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2408688.65030000
PERPUSDT;9.11000000;5.440;9.28000000;8.52000000;2408688.65030000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2407648.00220000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2406946.93900000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2406946.93900000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2406946.93900000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2406946.93900000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2405613.63360000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2405613.63360000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2405101.65440000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2405101.65440000
PERPUSDT;9.12000000;5.196;9.28000000;8.52000000;2405101.65440000
PERPUSDT;9.12000000;5.312;9.28000000;8.52000000;2404884.28080000
PERPUSDT;9.12000000;5.312;9.28000000;8.52000000;2404884.28080000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402886.07440000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402886.07440000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402359.05310000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402187.77810000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402187.77810000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2402187.77810000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401630.64700000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401617.64200000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401670.66220000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401670.66220000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2401738.83740000
PERPUSDT;9.11000000;5.196;9.28000000;8.52000000;2401738.83740000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2401764.40840000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2402547.06960000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401748.90780000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401748.90780000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401748.90780000
PERPUSDT;9.11000000;5.075;9.28000000;8.52000000;2401748.90780000
PERPUSDT;9.10000000;4.960;9.28000000;8.52000000;2401341.28630000
PERPUSDT;9.10000000;4.960;9.28000000;8.52000000;2401341.28630000
PERPUSDT;9.10000000;4.960;9.28000000;8.52000000;2401341.28630000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2396345.33020000
PERPUSDT;9.10000000;5.081;9.28000000;8.52000000;2396345.33020000
PERPUSDT;9.10000000;5.324;9.28000000;8.52000000;2395191.46960000
PERPUSDT;9.08000000;4.971;9.28000000;8.52000000;2396374.04170000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2396081.53870000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392029.98520000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2393079.27200000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2393079.27200000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2393079.27200000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2393079.27200000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392458.70150000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.214;9.28000000;8.52000000;2392543.23630000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392549.82980000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392549.82980000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392549.82980000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392430.72910000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392430.72910000
PERPUSDT;9.08000000;5.093;9.28000000;8.52000000;2392430.72910000
PERPUSDT;9.08000000;4.971;9.28000000;8.52000000;2392391.84910000
PERPUSDT;9.08000000;4.971;9.28000000;8.52000000;2392391.84910000
PERPUSDT;9.08000000;4.971;9.28000000;8.52000000;2392391.84910000
PERPUSDT;9.08000000;4.971;9.28000000;8.52000000;2392391.84910000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2392851.60740000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2392851.60740000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393206.09600000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393106.01550000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393106.01550000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393106.01550000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393106.01550000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393106.01550000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393094.85700000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393094.85700000
PERPUSDT;9.07000000;4.855;9.28000000;8.52000000;2393094.85700000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392594.88700000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392647.85580000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392647.85580000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392647.85580000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392512.84640000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392512.84640000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392512.84640000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392512.84640000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392512.84640000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.734;9.28000000;8.52000000;2392501.67500000
PERPUSDT;9.07000000;4.493;9.28000000;8.52000000;2389662.43630000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389313.32510000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389346.88410000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389346.88410000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389346.88410000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389346.88410000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389369.28700000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389369.28700000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389480.93870000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389480.93870000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389982.60040000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389982.60040000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389982.60040000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389982.60040000
PERPUSDT;9.07000000;4.373;9.28000000;8.52000000;2389982.60040000
PERPUSDT;9.08000000;4.488;9.28000000;8.52000000;2388720.26260000
PERPUSDT;9.09000000;4.488;9.28000000;8.52000000;2388720.26260000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2397372.75820000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2396841.61620000
PERPUSDT;9.10000000;4.238;9.28000000;8.52000000;2396467.87800000
PERPUSDT;9.10000000;4.238;9.28000000;8.52000000;2396467.87800000
PERPUSDT;9.10000000;4.238;9.28000000;8.52000000;2396467.87800000
PERPUSDT;9.10000000;4.238;9.28000000;8.52000000;2395044.97570000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2394757.85700000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2394757.85700000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2394757.85700000
PERPUSDT;9.10000000;4.358;9.28000000;8.52000000;2394324.54430000
