Symbol;Price;Change24;Max24;Min24;Volume24
PLAUSDT;1.43900000;0.629;1.47500000;1.36300000;1147865.66448000
PLAUSDT;1.43900000;0.629;1.47500000;1.36300000;1147865.66448000
PLAUSDT;1.43900000;0.629;1.47500000;1.36300000;1147865.66448000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1147339.04447000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1147144.48740000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1147144.48740000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1147144.48740000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1147001.34503000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1147001.34503000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1146452.24947000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1144528.04364000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1144528.04364000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1144528.04364000
PLAUSDT;1.43900000;0.912;1.47500000;1.36300000;1144528.04364000
PLAUSDT;1.43900000;1.124;1.47500000;1.36300000;1133529.19948000
PLAUSDT;1.43900000;1.124;1.47500000;1.36300000;1133529.19948000
PLAUSDT;1.43900000;1.124;1.47500000;1.36300000;1133529.19948000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43900000;0.841;1.47500000;1.36300000;1132582.03455000
PLAUSDT;1.43500000;0.350;1.47500000;1.36300000;1131632.72211000
PLAUSDT;1.43500000;0.350;1.47500000;1.36300000;1131632.72211000
