Symbol;Price;Change24;Max24;Min24;Volume24
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085476.39600000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085603.97000000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085603.97000000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085603.97000000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085713.27900000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085713.27900000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085713.27900000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085713.27900000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085588.12640000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085055.11320000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085055.11320000
POLSUSDT;2.81000000;2.855;2.82400000;2.63400000;1085055.11320000
POLSUSDT;2.81000000;2.817;2.82400000;2.63400000;1084999.10720000
POLSUSDT;2.81000000;2.817;2.82400000;2.63400000;1084999.10720000
POLSUSDT;2.81000000;2.817;2.82400000;2.63400000;1084999.10720000
POLSUSDT;2.81000000;2.817;2.82400000;2.63400000;1084999.10720000
POLSUSDT;2.80800000;2.744;2.82400000;2.63400000;1085498.36960000
POLSUSDT;2.80700000;2.561;2.82400000;2.63400000;1088817.81630000
POLSUSDT;2.80400000;2.598;2.82400000;2.63400000;1091696.30380000
POLSUSDT;2.80700000;2.708;2.82400000;2.63400000;1092815.72720000
POLSUSDT;2.80700000;2.633;2.82400000;2.63400000;1092762.43370000
POLSUSDT;2.80700000;2.633;2.82400000;2.63400000;1092762.43370000
POLSUSDT;2.80500000;2.633;2.82400000;2.63400000;1092762.43370000
POLSUSDT;2.80500000;2.597;2.82400000;2.63400000;1092259.31010000
POLSUSDT;2.80500000;2.597;2.82400000;2.63400000;1092259.31010000
POLSUSDT;2.80500000;2.597;2.82400000;2.63400000;1092259.31010000
POLSUSDT;2.80500000;2.484;2.82400000;2.63400000;1091223.09410000
POLSUSDT;2.80500000;2.484;2.82400000;2.63400000;1091223.09410000
POLSUSDT;2.80500000;2.484;2.82400000;2.63400000;1091223.09410000
