Symbol;Price;Change24;Max24;Min24;Volume24
POLYUSDT;0.48760000;0.309;0.49520000;0.46820000;1409174.37683000
POLYUSDT;0.48760000;0.309;0.49520000;0.46820000;1409174.37683000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407908.20593000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407824.99588000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407824.99588000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407824.99588000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407824.99588000
POLYUSDT;0.48760000;0.515;0.49520000;0.46820000;1407824.99588000
POLYUSDT;0.48580000;0.144;0.49520000;0.46820000;1408693.62616000
POLYUSDT;0.48680000;0.350;0.49520000;0.46820000;1409193.82064000
POLYUSDT;0.48680000;0.558;0.49520000;0.46820000;1395340.25178000
POLYUSDT;0.48680000;0.558;0.49520000;0.46820000;1395340.25178000
POLYUSDT;0.48660000;0.745;0.49520000;0.46820000;1396091.05689000
POLYUSDT;0.48670000;0.641;0.49520000;0.46820000;1396334.35689000
POLYUSDT;0.48670000;0.579;0.49520000;0.46820000;1396537.28373000
POLYUSDT;0.48670000;0.579;0.49520000;0.46820000;1396537.28373000
POLYUSDT;0.48670000;0.579;0.49520000;0.46820000;1396537.28373000
POLYUSDT;0.48610000;0.455;0.49520000;0.46820000;1396910.07382000
POLYUSDT;0.48610000;0.455;0.49520000;0.46820000;1396910.07382000
POLYUSDT;0.48590000;0.413;0.49520000;0.46820000;1396974.94147000
POLYUSDT;0.48590000;0.413;0.49520000;0.46820000;1396974.94147000
POLYUSDT;0.48630000;0.496;0.49520000;0.46820000;1396985.44555000
POLYUSDT;0.48630000;0.496;0.49520000;0.46820000;1396985.44555000
POLYUSDT;0.48630000;0.454;0.49520000;0.46820000;1394663.72025000
POLYUSDT;0.48640000;0.454;0.49520000;0.46820000;1394615.31025000
POLYUSDT;0.48650000;0.454;0.49520000;0.46820000;1394753.14072000
POLYUSDT;0.48700000;0.475;0.49520000;0.46820000;1396104.99057000
POLYUSDT;0.48650000;0.392;0.49520000;0.46820000;1402050.74457000
POLYUSDT;0.48650000;0.392;0.49520000;0.46820000;1402050.74457000
POLYUSDT;0.48650000;0.392;0.49520000;0.46820000;1402050.74457000
POLYUSDT;0.48620000;0.516;0.49520000;0.46820000;1402668.79363000
POLYUSDT;0.48610000;0.372;0.49520000;0.46820000;1402752.81675000
POLYUSDT;0.48610000;0.413;0.49520000;0.46820000;1402938.74642000
POLYUSDT;0.48630000;0.413;0.49520000;0.46820000;1402938.74642000
POLYUSDT;0.48590000;0.434;0.49520000;0.46820000;1402615.03002000
POLYUSDT;0.48590000;0.434;0.49520000;0.46820000;1402615.03002000
POLYUSDT;0.48590000;0.434;0.49520000;0.46820000;1402615.03002000
POLYUSDT;0.48720000;0.434;0.49520000;0.46820000;1402615.03002000
POLYUSDT;0.48750000;0.495;0.49520000;0.46820000;1398420.41732000
POLYUSDT;0.48750000;0.495;0.49520000;0.46820000;1398420.41732000
POLYUSDT;0.48750000;0.495;0.49520000;0.46820000;1398420.41732000
POLYUSDT;0.48750000;0.495;0.49520000;0.46820000;1398420.41732000
POLYUSDT;0.48750000;0.495;0.49520000;0.46820000;1398420.41732000
POLYUSDT;0.48740000;0.474;0.49520000;0.46820000;1398525.15958000
POLYUSDT;0.48740000;0.474;0.49520000;0.46820000;1398525.15958000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48740000;0.765;0.49520000;0.46820000;1398587.86964000
POLYUSDT;0.48660000;0.600;0.49520000;0.46820000;1398631.43766000
POLYUSDT;0.48660000;0.600;0.49520000;0.46820000;1398631.43766000
POLYUSDT;0.48710000;0.640;0.49520000;0.46820000;1398632.30542000
POLYUSDT;0.48710000;0.640;0.49520000;0.46820000;1398632.30542000
POLYUSDT;0.48710000;0.640;0.49520000;0.46820000;1398632.30542000
POLYUSDT;0.48710000;0.640;0.49520000;0.46820000;1398632.30542000
POLYUSDT;0.48740000;0.557;0.49520000;0.46820000;1397990.93032000
POLYUSDT;0.48750000;0.453;0.49520000;0.46820000;1398104.75138000
POLYUSDT;0.48740000;0.474;0.49520000;0.46820000;1398354.97976000
POLYUSDT;0.48740000;0.474;0.49520000;0.46820000;1398354.97976000
POLYUSDT;0.48760000;0.412;0.49520000;0.46820000;1397389.31215000
POLYUSDT;0.48760000;0.350;0.49520000;0.46820000;1396617.51083000
POLYUSDT;0.48760000;0.640;0.49520000;0.46820000;1396162.01205000
POLYUSDT;0.48700000;0.765;0.49520000;0.46820000;1398594.08682000
POLYUSDT;0.48730000;0.765;0.49520000;0.46820000;1400029.47982000
POLYUSDT;0.48720000;0.744;0.49520000;0.46820000;1403022.41398000
POLYUSDT;0.48740000;0.807;0.49520000;0.46820000;1402015.75014000
POLYUSDT;0.48740000;0.557;0.49520000;0.46820000;1401925.77079000
POLYUSDT;0.48740000;0.453;0.49520000;0.46820000;1402730.68890000
POLYUSDT;0.48740000;0.702;0.49520000;0.46820000;1402624.50978000
POLYUSDT;0.48740000;0.786;0.49520000;0.46820000;1402245.93518000
POLYUSDT;0.48720000;0.828;0.49520000;0.46820000;1398906.10667000
POLYUSDT;0.48720000;0.828;0.49520000;0.46820000;1398906.10667000
POLYUSDT;0.48720000;0.828;0.49520000;0.46820000;1398906.10667000
POLYUSDT;0.48720000;0.828;0.49520000;0.46820000;1398967.44515000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398194.12480000
POLYUSDT;0.48720000;0.744;0.49520000;0.46820000;1398143.38467000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.724;0.49520000;0.46820000;1398025.00203000
POLYUSDT;0.48720000;0.682;0.49520000;0.46820000;1395609.49150000
