Symbol;Price;Change24;Max24;Min24;Volume24
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.574;3.34550000;3.17080000;1049543.30529500
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1047156.92224200
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1047156.92224200
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1047156.92224200
PORTOUSDT;3.23390000;-1.442;3.34550000;3.17080000;1047137.13781200
PORTOUSDT;3.23390000;-1.442;3.34550000;3.17080000;1047137.13781200
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1043780.34450600
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1043537.28162600
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1043537.28162600
PORTOUSDT;3.23390000;-1.436;3.34550000;3.17080000;1043209.18162600
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1042496.72285000
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1042496.72285000
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1042496.72285000
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1042496.72285000
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1043314.22253100
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1043585.25569000
PORTOUSDT;3.23390000;-1.433;3.34550000;3.17080000;1043585.25569000
PORTOUSDT;3.23390000;-1.439;3.34550000;3.17080000;1043535.25474100
PORTOUSDT;3.23390000;-1.294;3.34550000;3.17080000;1043371.00263300
PORTOUSDT;3.23390000;-1.421;3.34550000;3.17080000;1041554.72632500
PORTOUSDT;3.23390000;-1.421;3.34550000;3.17080000;1041554.72632500
PORTOUSDT;3.23390000;-1.597;3.34550000;3.17080000;1041065.50101100
PORTOUSDT;3.23390000;-1.597;3.34550000;3.17080000;1041065.50101100
PORTOUSDT;3.23540000;-1.526;3.34550000;3.17080000;1039664.60214800
PORTOUSDT;3.23540000;-1.480;3.34550000;3.17080000;1039674.76130400
PORTOUSDT;3.23530000;-1.615;3.34550000;3.17080000;1037176.16574300
PORTOUSDT;3.23530000;-1.615;3.34550000;3.17080000;1037176.16574300
PORTOUSDT;3.23530000;-1.651;3.34550000;3.17080000;1034912.07176100
PORTOUSDT;3.23540000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23540000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23540000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23540000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23540000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23840000;-1.600;3.34550000;3.17080000;1035198.84835100
PORTOUSDT;3.23840000;-1.509;3.34550000;3.17080000;1035698.83806900
PORTOUSDT;3.23840000;-1.337;3.34550000;3.17080000;1035567.31806900
PORTOUSDT;3.23840000;-1.595;3.34550000;3.17080000;1035361.72156200
PORTOUSDT;3.23840000;-1.595;3.34550000;3.17080000;1035361.72156200
PORTOUSDT;3.23840000;-1.595;3.34550000;3.17080000;1035361.72156200
PORTOUSDT;3.23840000;-1.571;3.34550000;3.17080000;1035331.74146300
PORTOUSDT;3.23800000;-1.584;3.34550000;3.17080000;1035362.43770300
PORTOUSDT;3.23390000;-1.584;3.34550000;3.17080000;1035362.43770300
PORTOUSDT;3.23390000;-1.708;3.34550000;3.17080000;1039871.38791000
PORTOUSDT;3.23390000;-1.708;3.34550000;3.17080000;1039871.38791000
