Symbol;Price;Change24;Max24;Min24;Volume24
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1343561.43660000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1343561.43660000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1343561.43660000
PUNDIXUSDT;1.03700000;0.387;1.08800000;1.00100000;1341659.81160000
PUNDIXUSDT;1.03700000;0.387;1.08800000;1.00100000;1341659.81160000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1341649.68820000
PUNDIXUSDT;1.03700000;0.582;1.08800000;1.00100000;1340530.23990000
PUNDIXUSDT;1.03800000;0.679;1.08800000;1.00100000;1340541.34650000
PUNDIXUSDT;1.03800000;0.679;1.08800000;1.00100000;1340541.34650000
PUNDIXUSDT;1.03800000;0.581;1.08800000;1.00100000;1340214.31330000
PUNDIXUSDT;1.03800000;0.581;1.08800000;1.00100000;1340214.31330000
PUNDIXUSDT;1.03800000;0.581;1.08800000;1.00100000;1340214.31330000
PUNDIXUSDT;1.03600000;0.581;1.08800000;1.00100000;1340214.31330000
PUNDIXUSDT;1.03600000;0.388;1.08800000;1.00100000;1340291.18450000
PUNDIXUSDT;1.03600000;0.388;1.08800000;1.00100000;1340291.18450000
PUNDIXUSDT;1.03300000;0.194;1.08800000;1.00100000;1342105.55370000
PUNDIXUSDT;1.03300000;0.097;1.08800000;1.00100000;1342222.17940000
PUNDIXUSDT;1.03300000;0.097;1.08800000;1.00100000;1342222.17940000
PUNDIXUSDT;1.03300000;0.291;1.08800000;1.00100000;1341987.25470000
PUNDIXUSDT;1.03300000;0.000;1.08800000;1.00100000;1341943.24030000
PUNDIXUSDT;1.03400000;0.000;1.08800000;1.00100000;1341403.85700000
PUNDIXUSDT;1.03400000;0.000;1.08800000;1.00100000;1341403.85700000
PUNDIXUSDT;1.03400000;0.000;1.08800000;1.00100000;1341403.85700000
PUNDIXUSDT;1.03400000;0.000;1.08800000;1.00100000;1341403.85700000
