Symbol;Price;Change24;Max24;Min24;Volume24
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4849117.42900000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4849117.42900000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4848548.27050000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4848548.27050000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4848548.27050000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4848548.27050000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4848548.27050000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4847273.23440000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4847273.23440000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4847273.23440000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4847273.23440000
QNTUSDT;179.20000000;-2.556;189.80000000;172.20000000;4847273.23440000
QNTUSDT;179.20000000;-2.450;189.80000000;172.20000000;4847261.50010000
QNTUSDT;179.00000000;-2.559;189.80000000;172.20000000;4847368.72110000
QNTUSDT;179.00000000;-2.559;189.80000000;172.20000000;4847368.72110000
QNTUSDT;179.20000000;-2.450;189.80000000;172.20000000;4847471.22350000
QNTUSDT;179.20000000;-2.450;189.80000000;172.20000000;4847483.76750000
QNTUSDT;178.70000000;-2.722;189.80000000;172.20000000;4861404.52890000
QNTUSDT;178.90000000;-2.719;189.80000000;172.20000000;4860369.88180000
QNTUSDT;178.40000000;-2.882;189.80000000;172.20000000;4863851.35980000
QNTUSDT;178.40000000;-2.991;189.80000000;172.20000000;4864261.94700000
QNTUSDT;178.40000000;-2.991;189.80000000;172.20000000;4864261.94700000
QNTUSDT;178.40000000;-2.991;189.80000000;172.20000000;4864261.94700000
QNTUSDT;178.40000000;-2.885;189.80000000;172.20000000;4865653.81930000
QNTUSDT;178.40000000;-2.832;189.80000000;172.20000000;4865670.15960000
QNTUSDT;178.40000000;-3.043;189.80000000;172.20000000;4861282.57010000
QNTUSDT;178.30000000;-3.098;189.80000000;172.20000000;4861637.92200000
QNTUSDT;178.30000000;-3.098;189.80000000;172.20000000;4861637.92200000
