Symbol;Price;Change24;Max24;Min24;Volume24
QTUMUSDT;8.92200000;-0.257;9.14400000;8.51800000;6871225.59650000
QTUMUSDT;8.92200000;-0.201;9.14400000;8.51800000;6870635.46000000
QTUMUSDT;8.92200000;-0.146;9.14400000;8.51800000;6870158.21450000
QTUMUSDT;8.91700000;-0.235;9.14400000;8.51800000;6873076.21100000
QTUMUSDT;8.91700000;-0.235;9.14400000;8.51800000;6872152.70690000
QTUMUSDT;8.91700000;-0.190;9.14400000;8.51800000;6872256.60990000
QTUMUSDT;8.92200000;-0.101;9.14400000;8.51800000;6872682.76210000
QTUMUSDT;8.91500000;-0.201;9.14400000;8.51800000;6873665.52470000
QTUMUSDT;8.91500000;-0.157;9.14400000;8.51800000;6873387.76880000
QTUMUSDT;8.91800000;-0.201;9.14400000;8.51800000;6873366.33920000
QTUMUSDT;8.91800000;-0.291;9.14400000;8.51800000;6873517.02040000
QTUMUSDT;8.91500000;-0.213;9.14400000;8.51800000;6875156.72600000
QTUMUSDT;8.91300000;-0.134;9.14400000;8.51800000;6875064.74960000
QTUMUSDT;8.90800000;-0.213;9.14400000;8.51800000;6874709.44620000
QTUMUSDT;8.90800000;-0.168;9.14400000;8.51800000;6874690.69950000
QTUMUSDT;8.90900000;-0.179;9.14400000;8.51800000;6874235.08860000
QTUMUSDT;8.90900000;-0.246;9.14400000;8.51800000;6871468.67540000
QTUMUSDT;8.90600000;-0.302;9.14400000;8.51800000;6871377.48740000
QTUMUSDT;8.91400000;-0.224;9.14400000;8.51800000;6871206.87490000
QTUMUSDT;8.90000000;-0.246;9.14400000;8.51800000;6869392.43390000
QTUMUSDT;8.89900000;-0.347;9.14400000;8.51800000;6873993.68230000
QTUMUSDT;8.89800000;-0.358;9.14400000;8.51800000;6874939.42190000
QTUMUSDT;8.90000000;-0.269;9.14400000;8.51800000;6875566.01560000
QTUMUSDT;8.90400000;-0.336;9.14400000;8.51800000;6874611.33510000
QTUMUSDT;8.90600000;-0.347;9.14400000;8.51800000;6874901.51660000
QTUMUSDT;8.90200000;-0.636;9.14400000;8.51800000;6874271.79720000
QTUMUSDT;8.90200000;-0.625;9.14400000;8.51800000;6871596.61170000
QTUMUSDT;8.90500000;-0.614;9.14400000;8.51800000;6870515.82280000
QTUMUSDT;8.89700000;-0.692;9.14400000;8.51800000;6860104.18460000
QTUMUSDT;8.90100000;-0.525;9.14400000;8.51800000;6858554.63850000
QTUMUSDT;8.90800000;-0.447;9.14400000;8.51800000;6860080.96380000
QTUMUSDT;8.90800000;-0.514;9.14400000;8.51800000;6857717.73420000
QTUMUSDT;8.90900000;-0.514;9.14400000;8.51800000;6857717.73420000
QTUMUSDT;8.90900000;-0.514;9.14400000;8.51800000;6856428.97460000
QTUMUSDT;8.91300000;-0.525;9.14400000;8.51800000;6856328.67860000
QTUMUSDT;8.91200000;-0.380;9.14400000;8.51800000;6855722.00480000
QTUMUSDT;8.90800000;-0.291;9.14400000;8.51800000;6852304.65100000
QTUMUSDT;8.90800000;-0.302;9.14400000;8.51800000;6845156.84200000
QTUMUSDT;8.91000000;-0.391;9.14400000;8.51800000;6840755.77980000
QTUMUSDT;8.91000000;-0.347;9.14400000;8.51800000;6840544.89830000
QTUMUSDT;8.91500000;-0.246;9.14400000;8.51800000;6839555.86210000
QTUMUSDT;8.91500000;-0.268;9.14400000;8.51800000;6839455.76770000
QTUMUSDT;8.91200000;-0.380;9.14400000;8.51800000;6837802.40820000
QTUMUSDT;8.91900000;-0.335;9.14400000;8.51800000;6836874.00400000
QTUMUSDT;8.91900000;-0.268;9.14400000;8.51800000;6835866.49860000
QTUMUSDT;8.91900000;-0.268;9.14400000;8.51800000;6835866.49860000
QTUMUSDT;8.91900000;-0.213;9.14400000;8.51800000;6835809.83590000
QTUMUSDT;8.91900000;-0.190;9.14400000;8.51800000;6834666.53460000
QTUMUSDT;8.91700000;-0.201;9.14400000;8.51800000;6831685.98620000
QTUMUSDT;8.91700000;-0.291;9.14400000;8.51800000;6831200.97890000
QTUMUSDT;8.91800000;-0.246;9.14400000;8.51800000;6831264.50100000
QTUMUSDT;8.91700000;-0.302;9.14400000;8.51800000;6831264.41320000
QTUMUSDT;8.92200000;-0.190;9.14400000;8.51800000;6830604.75820000
QTUMUSDT;8.92800000;-0.123;9.14400000;8.51800000;6833083.96260000
QTUMUSDT;8.92700000;-0.145;9.14400000;8.51800000;6834587.48410000
QTUMUSDT;8.92500000;-0.145;9.14400000;8.51800000;6835212.37410000
QTUMUSDT;8.91900000;-0.235;9.14400000;8.51800000;6834813.84500000
QTUMUSDT;8.91500000;-0.257;9.14400000;8.51800000;6832275.82590000
