Symbol;Price;Change24;Max24;Min24;Volume24
QUICKUSDT;325.00000000;-8.657;358.30000000;316.70000000;10430282.80010000
QUICKUSDT;325.00000000;-8.657;358.30000000;316.70000000;10429801.11360000
QUICKUSDT;325.10000000;-8.859;358.30000000;316.70000000;10426754.95600000
QUICKUSDT;324.70000000;-8.843;358.30000000;316.70000000;10426011.90800000
QUICKUSDT;324.70000000;-8.971;358.30000000;316.70000000;10425858.36630000
QUICKUSDT;325.10000000;-8.628;356.40000000;316.70000000;10408432.74460000
QUICKUSDT;325.10000000;-8.680;356.40000000;316.70000000;10407398.84780000
QUICKUSDT;325.10000000;-8.680;356.40000000;316.70000000;10407398.84780000
QUICKUSDT;325.30000000;-8.547;356.20000000;316.70000000;10406415.14820000
QUICKUSDT;325.30000000;-8.495;356.20000000;316.70000000;10404857.12040000
QUICKUSDT;325.30000000;-8.495;356.20000000;316.70000000;10404857.12040000
QUICKUSDT;325.40000000;-8.418;356.20000000;316.70000000;10404274.98690000
QUICKUSDT;325.40000000;-8.312;356.20000000;316.70000000;10400460.18120000
QUICKUSDT;325.40000000;-8.235;356.20000000;316.70000000;10405934.06130000
QUICKUSDT;325.40000000;-8.364;356.20000000;316.70000000;10404858.91410000
QUICKUSDT;325.40000000;-8.390;356.20000000;316.70000000;10401810.66970000
QUICKUSDT;325.40000000;-8.364;356.20000000;316.70000000;10398473.17180000
QUICKUSDT;325.60000000;-8.415;356.20000000;316.70000000;10397658.65320000
QUICKUSDT;325.60000000;-8.359;356.20000000;316.70000000;10396539.20930000
QUICKUSDT;325.40000000;-8.415;356.20000000;316.70000000;10396714.41870000
QUICKUSDT;325.40000000;-8.364;356.20000000;316.70000000;10397702.55320000
QUICKUSDT;325.40000000;-8.183;356.20000000;316.70000000;10391723.70230000
QUICKUSDT;325.40000000;-8.312;356.20000000;316.70000000;10387853.18240000
QUICKUSDT;325.40000000;-8.209;356.20000000;316.70000000;10387816.27280000
QUICKUSDT;325.40000000;-8.103;356.20000000;316.70000000;10382319.66190000
QUICKUSDT;325.40000000;-8.312;356.20000000;316.70000000;10384308.12320000
QUICKUSDT;325.40000000;-8.079;356.20000000;316.70000000;10382591.76340000
QUICKUSDT;324.90000000;-8.312;356.20000000;316.70000000;10382228.76880000
QUICKUSDT;324.60000000;-8.512;356.20000000;316.70000000;10378771.92480000
QUICKUSDT;324.70000000;-8.533;356.20000000;316.70000000;10374534.98710000
QUICKUSDT;324.30000000;-8.674;356.20000000;316.70000000;10374686.37070000
