Symbol;Price;Change24;Max24;Min24;Volume24
RENUSDT;0.56330000;-2.812;0.58870000;0.53770000;6317123.05080000
RENUSDT;0.56350000;-2.795;0.58870000;0.53770000;6317132.14230000
RENUSDT;0.56350000;-2.761;0.58870000;0.53770000;6316132.68530000
RENUSDT;0.56370000;-2.609;0.58870000;0.53770000;6315197.06410000
RENUSDT;0.56370000;-2.609;0.58870000;0.53770000;6315036.12270000
RENUSDT;0.56370000;-2.558;0.58870000;0.53770000;6314978.24270000
RENUSDT;0.56370000;-2.525;0.58870000;0.53770000;6314684.76690000
RENUSDT;0.56250000;-2.799;0.58870000;0.53770000;6314823.06010000
RENUSDT;0.56250000;-2.715;0.58870000;0.53770000;6314530.34830000
RENUSDT;0.56250000;-2.816;0.58870000;0.53770000;6314456.91690000
RENUSDT;0.56250000;-2.816;0.58870000;0.53770000;6314456.91690000
RENUSDT;0.56210000;-2.818;0.58870000;0.53770000;6315820.06520000
RENUSDT;0.56150000;-2.887;0.58870000;0.53770000;6315854.32890000
RENUSDT;0.56150000;-2.956;0.58870000;0.53770000;6318717.09330000
RENUSDT;0.56170000;-2.922;0.58870000;0.53770000;6326017.64620000
RENUSDT;0.56170000;-2.971;0.58870000;0.53770000;6326264.20810000
RENUSDT;0.56170000;-2.988;0.58870000;0.53770000;6326219.05390000
RENUSDT;0.56120000;-3.091;0.58870000;0.53770000;6324796.67390000
RENUSDT;0.56210000;-2.935;0.58870000;0.53770000;6327112.61830000
RENUSDT;0.56060000;-3.107;0.58870000;0.53770000;6329518.00340000
RENUSDT;0.56130000;-2.958;0.58870000;0.53770000;6329964.96360000
RENUSDT;0.56130000;-2.906;0.58870000;0.53770000;6330127.17730000
RENUSDT;0.56130000;-2.906;0.58870000;0.53770000;6330127.17730000
RENUSDT;0.56160000;-2.854;0.58870000;0.53770000;6331423.69590000
RENUSDT;0.56190000;-3.071;0.58870000;0.53770000;6332721.06190000
RENUSDT;0.56180000;-3.355;0.58870000;0.53770000;6337245.42770000
RENUSDT;0.56180000;-3.288;0.58870000;0.53770000;6337158.23270000
RENUSDT;0.56180000;-3.355;0.58870000;0.53770000;6336493.95390000
RENUSDT;0.56120000;-3.408;0.58870000;0.53770000;6337151.00630000
RENUSDT;0.56120000;-3.341;0.58870000;0.53770000;6337638.10070000
RENUSDT;0.56110000;-3.359;0.58870000;0.53770000;6340015.59350000
RENUSDT;0.56110000;-3.425;0.58870000;0.53770000;6339395.96270000
RENUSDT;0.56160000;-3.425;0.58870000;0.53770000;6339197.25500000
