Symbol;Price;Change24;Max24;Min24;Volume24
RIFUSDT;0.20030000;0.401;0.20770000;0.19420000;698292.39380000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;698304.61820000
RIFUSDT;0.20040000;0.401;0.20770000;0.19420000;697762.97570000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697703.09570000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697703.09570000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697635.06620000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697624.89170000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;697624.89170000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697304.09570000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697416.92090000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697416.92090000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697416.92090000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697416.92090000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;697416.92090000
RIFUSDT;0.20040000;0.502;0.20770000;0.19420000;696809.65950000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
RIFUSDT;0.20040000;0.451;0.20770000;0.19420000;696448.79400000
