Symbol;Price;Change24;Max24;Min24;Volume24
RLCUSDT;3.09600000;2.415;3.19900000;2.96000000;6982399.31550000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6982294.12970000
RLCUSDT;3.09600000;2.381;3.19900000;2.96000000;6982396.73810000
RLCUSDT;3.09600000;2.449;3.19900000;2.96000000;6982335.07250000
RLCUSDT;3.09600000;2.449;3.19900000;2.96000000;6982246.52790000
RLCUSDT;3.09600000;2.449;3.19900000;2.96000000;6982246.52790000
RLCUSDT;3.09600000;2.517;3.19900000;2.96000000;6981987.31140000
RLCUSDT;3.09600000;2.517;3.19900000;2.96000000;6981987.31140000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6981820.30540000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6981820.30540000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6981820.30540000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6982515.35740000
RLCUSDT;3.09600000;2.483;3.19900000;2.96000000;6982515.35740000
RLCUSDT;3.08800000;2.218;3.19900000;2.96000000;6978518.75320000
RLCUSDT;3.08800000;2.218;3.19900000;2.96000000;6978518.75320000
RLCUSDT;3.08800000;2.083;3.19900000;2.96000000;6978486.73060000
RLCUSDT;3.08800000;2.015;3.19900000;2.96000000;6978261.30400000
RLCUSDT;3.09000000;2.014;3.19900000;2.96000000;6977957.83850000
RLCUSDT;3.09100000;2.047;3.19900000;2.96000000;6977995.85780000
RLCUSDT;3.09100000;2.081;3.19900000;2.96000000;6977985.55920000
RLCUSDT;3.09100000;2.081;3.19900000;2.96000000;6977985.55920000
RLCUSDT;3.09100000;2.081;3.19900000;2.96000000;6977985.55920000
RLCUSDT;3.09100000;2.081;3.19900000;2.96000000;6977968.90520000
RLCUSDT;3.08800000;1.948;3.19900000;2.96000000;6977808.51760000
RLCUSDT;3.09000000;2.014;3.19900000;2.96000000;6978297.97360000
RLCUSDT;3.08800000;1.646;3.19900000;2.96000000;6982013.48010000
RLCUSDT;3.09000000;1.745;3.19900000;2.96000000;6982652.12380000
RLCUSDT;3.09000000;1.846;3.19900000;2.96000000;6980589.34250000
RLCUSDT;3.09000000;1.846;3.19900000;2.96000000;6980589.34250000
RLCUSDT;3.08700000;1.814;3.19900000;2.96000000;6978877.18600000
RLCUSDT;3.08900000;1.946;3.19900000;2.96000000;6981272.99960000
RLCUSDT;3.09200000;1.880;3.19900000;2.96000000;6981581.89960000
RLCUSDT;3.09300000;1.979;3.19900000;2.96000000;6981658.89040000
RLCUSDT;3.09300000;2.012;3.19900000;2.96000000;6981858.69820000
RLCUSDT;3.09300000;2.012;3.19900000;2.96000000;6981858.69820000
RLCUSDT;3.09300000;2.012;3.19900000;2.96000000;6982155.62620000
RLCUSDT;3.09300000;2.046;3.19900000;2.96000000;6981613.80780000
RLCUSDT;3.09300000;2.180;3.19900000;2.96000000;6978713.81080000
RLCUSDT;3.09600000;2.079;3.19900000;2.96000000;6978665.98420000
RLCUSDT;3.09600000;2.178;3.19900000;2.96000000;6978948.21440000
RLCUSDT;3.09500000;2.211;3.19900000;2.96000000;6979134.62160000
RLCUSDT;3.09900000;2.277;3.19900000;2.96000000;6979753.33630000
RLCUSDT;3.09900000;2.277;3.19900000;2.96000000;6980001.20830000
RLCUSDT;3.09900000;2.277;3.19900000;2.96000000;6979888.49230000
RLCUSDT;3.09700000;2.211;3.19900000;2.96000000;6979934.94730000
RLCUSDT;3.10500000;2.442;3.19900000;2.96000000;6984515.18900000
RLCUSDT;3.10500000;2.543;3.19900000;2.96000000;6984781.52540000
RLCUSDT;3.10400000;2.543;3.19900000;2.96000000;6984781.52540000
RLCUSDT;3.10600000;2.644;3.19900000;2.96000000;6984908.58200000
RLCUSDT;3.10800000;2.574;3.19900000;2.96000000;6984841.54750000
RLCUSDT;3.10500000;2.574;3.19900000;2.96000000;6985730.19470000
RLCUSDT;3.10500000;2.475;3.19900000;2.96000000;6985934.81420000
RLCUSDT;3.10500000;2.475;3.19900000;2.96000000;6985696.05020000
RLCUSDT;3.10500000;2.441;3.19900000;2.96000000;6980107.47050000
RLCUSDT;3.10500000;2.441;3.19900000;2.96000000;6980107.47050000
RLCUSDT;3.10500000;2.441;3.19900000;2.96000000;6980107.47050000
RLCUSDT;3.10300000;2.375;3.19900000;2.96000000;6980444.45630000
RLCUSDT;3.10300000;2.375;3.19900000;2.96000000;6980444.45630000
RLCUSDT;3.09900000;2.243;3.19900000;2.96000000;6980568.41970000
RLCUSDT;3.09900000;2.176;3.19900000;2.96000000;6978499.15600000
RLCUSDT;3.10000000;2.007;3.19900000;2.96000000;6977695.83940000
RLCUSDT;3.10500000;2.441;3.19900000;2.96000000;6976035.03160000
RLCUSDT;3.10500000;2.441;3.19900000;2.96000000;6976035.03160000
RLCUSDT;3.10300000;2.375;3.19900000;2.96000000;6976999.17090000
RLCUSDT;3.09700000;2.210;3.19900000;2.96000000;6977948.25870000
RLCUSDT;3.09300000;2.282;3.19900000;2.96000000;6976242.11080000
RLCUSDT;3.09300000;2.383;3.19900000;2.96000000;6976055.40560000
RLCUSDT;3.09300000;2.282;3.19900000;2.96000000;6976023.68510000
RLCUSDT;3.09300000;2.079;3.19900000;2.96000000;6978540.56560000
RLCUSDT;3.09200000;2.046;3.19900000;2.96000000;6978620.95760000
RLCUSDT;3.09000000;1.980;3.19900000;2.96000000;6979073.02460000
RLCUSDT;3.08900000;1.478;3.19900000;2.96000000;6966811.90120000
RLCUSDT;3.08400000;1.248;3.19900000;2.96000000;6964175.46710000
RLCUSDT;3.08400000;1.281;3.19900000;2.96000000;6965051.77270000
RLCUSDT;3.07700000;1.217;3.19900000;2.96000000;6977911.53840000
RLCUSDT;3.07700000;1.217;3.19900000;2.96000000;6977911.53840000
RLCUSDT;3.07700000;1.217;3.19900000;2.96000000;6977931.53890000
RLCUSDT;3.07900000;1.450;3.19900000;2.96000000;6981101.47910000
RLCUSDT;3.08300000;1.515;3.19900000;2.96000000;6980921.03600000
RLCUSDT;3.08900000;1.612;3.19900000;2.96000000;6976073.48500000
RLCUSDT;3.08900000;1.312;3.19900000;2.96000000;6969413.92640000
RLCUSDT;3.08900000;1.312;3.19900000;2.96000000;6969413.92640000
RLCUSDT;3.08900000;1.245;3.19900000;2.96000000;6969277.20480000
RLCUSDT;3.08900000;1.412;3.19900000;2.96000000;6968897.40920000
RLCUSDT;3.08900000;1.412;3.19900000;2.96000000;6968897.40920000
RLCUSDT;3.08900000;1.412;3.19900000;2.96000000;6968953.93790000
RLCUSDT;3.08900000;1.245;3.19900000;2.96000000;6968128.24170000
RLCUSDT;3.08900000;1.378;3.19900000;2.96000000;6968110.85100000
RLCUSDT;3.08800000;1.378;3.19900000;2.96000000;6968110.85100000
RLCUSDT;3.08800000;1.113;3.19900000;2.96000000;6968251.74200000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969344.71160000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969344.71160000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969344.71160000
RLCUSDT;3.08400000;0.949;3.19900000;2.96000000;6969107.72120000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969653.66100000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969653.66100000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969635.94780000
RLCUSDT;3.08400000;0.982;3.19900000;2.96000000;6969635.94780000
RLCUSDT;3.08100000;0.884;3.19900000;2.96000000;6969681.23850000
RLCUSDT;3.08100000;0.884;3.19900000;2.96000000;6969681.23850000
RLCUSDT;3.07400000;0.884;3.19900000;2.96000000;6969681.23850000
RLCUSDT;3.07600000;0.720;3.19900000;2.96000000;6970476.74030000
RLCUSDT;3.07700000;0.753;3.19900000;2.96000000;6970763.17600000
RLCUSDT;3.07700000;0.753;3.19900000;2.96000000;6970763.17600000
RLCUSDT;3.07500000;0.688;3.19900000;2.96000000;6970880.33350000
RLCUSDT;3.07500000;0.688;3.19900000;2.96000000;6970495.52950000
RLCUSDT;3.07500000;0.721;3.19900000;2.96000000;6970013.43370000
RLCUSDT;3.07500000;0.589;3.19900000;2.96000000;6969175.06040000
RLCUSDT;3.08000000;0.555;3.19900000;2.96000000;6966913.78330000
RLCUSDT;3.08200000;0.457;3.19900000;2.96000000;6965913.26950000
RLCUSDT;3.08200000;0.686;3.19900000;2.96000000;6965794.63370000
RLCUSDT;3.08000000;0.686;3.19900000;2.96000000;6965794.63370000
RLCUSDT;3.08200000;0.621;3.19900000;2.96000000;6966748.20170000
RLCUSDT;3.08500000;0.784;3.19900000;2.96000000;6970010.33400000
RLCUSDT;3.08500000;0.784;3.19900000;2.96000000;6970158.41400000
RLCUSDT;3.09300000;1.045;3.19900000;2.96000000;6992949.29210000
RLCUSDT;3.09300000;1.078;3.19900000;2.96000000;6992898.57340000
RLCUSDT;3.09400000;1.177;3.19900000;2.96000000;6991358.16010000
RLCUSDT;3.09500000;1.177;3.19900000;2.96000000;6991358.16010000
RLCUSDT;3.09500000;1.210;3.19900000;2.96000000;6991478.86510000
RLCUSDT;3.09500000;1.177;3.19900000;2.96000000;6991464.18540000
RLCUSDT;3.09700000;1.177;3.19900000;2.96000000;6991464.18540000
RLCUSDT;3.09700000;1.242;3.19900000;2.96000000;6992882.46100000
RLCUSDT;3.09700000;0.978;3.19900000;2.96000000;6990767.24540000
RLCUSDT;3.09500000;0.913;3.19900000;2.96000000;6993624.73040000
RLCUSDT;3.09500000;0.913;3.19900000;2.96000000;6993571.36460000
RLCUSDT;3.09800000;1.011;3.19900000;2.96000000;6993726.88420000
RLCUSDT;3.09800000;1.011;3.19900000;2.96000000;6993726.88420000
RLCUSDT;3.10200000;0.912;3.19900000;2.96000000;6993711.90260000
RLCUSDT;3.10200000;1.042;3.19900000;2.96000000;6993537.44710000
RLCUSDT;3.10500000;1.042;3.19900000;2.96000000;7012274.72860000
RLCUSDT;3.10800000;1.172;3.19900000;2.96000000;7013595.11320000
RLCUSDT;3.11100000;1.335;3.19900000;2.96000000;7020856.18810000
RLCUSDT;3.11500000;1.433;3.19900000;2.96000000;7021941.79420000
RLCUSDT;3.12500000;1.759;3.19900000;2.96000000;7021718.45790000
RLCUSDT;3.12500000;1.560;3.19900000;2.96000000;7020348.01780000
RLCUSDT;3.13400000;1.692;3.19900000;2.96000000;7020350.10100000
RLCUSDT;3.12600000;1.887;3.19900000;2.96000000;7025584.09620000
RLCUSDT;3.12800000;1.757;3.19900000;2.96000000;7026950.38470000
RLCUSDT;3.12800000;1.591;3.19900000;2.96000000;7026357.87640000
RLCUSDT;3.12700000;1.559;3.19900000;2.96000000;7026090.29240000
RLCUSDT;3.12900000;1.559;3.19900000;2.96000000;7026046.57060000
RLCUSDT;3.12400000;1.396;3.19900000;2.96000000;7026426.05530000
RLCUSDT;3.12500000;1.362;3.19900000;2.96000000;7026446.74450000
RLCUSDT;3.12500000;1.362;3.19900000;2.96000000;7028290.27350000
RLCUSDT;3.11500000;1.038;3.19900000;2.96000000;7051426.85580000
RLCUSDT;3.12300000;1.135;3.19900000;2.96000000;7051727.35390000
RLCUSDT;3.12300000;1.297;3.19900000;2.96000000;7051737.65980000
RLCUSDT;3.12300000;1.265;3.19900000;2.96000000;7051470.29780000
RLCUSDT;3.12000000;1.200;3.19900000;2.96000000;7050295.34820000
RLCUSDT;3.12000000;1.200;3.19900000;2.96000000;7050110.98480000
RLCUSDT;3.11600000;0.972;3.19900000;2.96000000;7049350.58470000
RLCUSDT;3.11500000;0.809;3.19900000;2.96000000;7020906.39550000
RLCUSDT;3.11500000;0.842;3.19900000;2.96000000;7014088.29410000
RLCUSDT;3.11500000;0.776;3.19900000;2.96000000;7012755.81500000
RLCUSDT;3.11300000;0.777;3.19900000;2.96000000;7012123.36540000
RLCUSDT;3.11300000;0.973;3.19900000;2.96000000;7011967.75060000
RLCUSDT;3.12400000;1.006;3.19900000;2.96000000;7011835.79820000
RLCUSDT;3.12400000;1.363;3.19900000;2.96000000;7014388.12170000
RLCUSDT;3.12900000;1.493;3.19900000;2.96000000;7013801.50240000
RLCUSDT;3.12700000;1.558;3.19900000;2.96000000;7014656.95610000
RLCUSDT;3.12500000;1.297;3.19900000;2.96000000;7015494.33760000
RLCUSDT;3.12500000;1.297;3.19900000;2.96000000;7015494.33760000
RLCUSDT;3.12500000;1.297;3.19900000;2.96000000;7015494.33760000
RLCUSDT;3.12500000;1.560;3.19900000;2.96000000;7015271.02110000
RLCUSDT;3.12500000;1.560;3.19900000;2.96000000;7015271.02110000
RLCUSDT;3.12500000;1.527;3.19900000;2.96000000;7015240.55880000
RLCUSDT;3.12300000;1.462;3.19900000;2.96000000;7015440.43840000
RLCUSDT;3.12400000;1.494;3.19900000;2.96000000;7015459.18240000
RLCUSDT;3.12400000;1.462;3.19900000;2.96000000;7014914.69940000
RLCUSDT;3.11800000;1.267;3.19900000;2.96000000;7014951.20970000
RLCUSDT;3.11800000;1.102;3.19900000;2.96000000;7014645.77290000
RLCUSDT;3.11800000;1.102;3.19900000;2.96000000;7014645.77290000
RLCUSDT;3.12500000;1.429;3.19900000;2.96000000;7013940.21950000
RLCUSDT;3.12500000;1.461;3.19900000;2.96000000;7014090.21950000
RLCUSDT;3.12200000;1.364;3.19900000;2.96000000;7014445.50310000
RLCUSDT;3.11700000;1.300;3.19900000;2.96000000;7013226.32280000
RLCUSDT;3.11700000;1.103;3.19900000;2.96000000;7012517.94250000
RLCUSDT;3.11300000;1.037;3.19900000;2.96000000;7012364.71740000
RLCUSDT;3.11300000;0.940;3.19900000;2.96000000;7011396.14560000
RLCUSDT;3.11300000;0.842;3.19900000;2.96000000;7010386.34950000
RLCUSDT;3.11600000;0.841;3.19900000;2.96000000;7009798.17840000
RLCUSDT;3.11100000;0.939;3.19900000;2.96000000;7008357.63500000
RLCUSDT;3.11400000;0.875;3.19900000;2.96000000;7008550.66100000
RLCUSDT;3.11200000;0.679;3.19900000;2.96000000;7008663.10920000
RLCUSDT;3.10800000;0.550;3.19900000;2.96000000;7008705.07740000
RLCUSDT;3.11300000;0.712;3.19900000;2.96000000;7009704.00100000
RLCUSDT;3.11300000;0.712;3.19900000;2.96000000;7009657.63600000
RLCUSDT;3.11300000;0.712;3.19900000;2.96000000;7009611.27100000
RLCUSDT;3.11700000;1.004;3.19900000;2.96000000;7010117.33280000
RLCUSDT;3.11700000;0.906;3.19900000;2.96000000;7010411.31970000
RLCUSDT;3.11800000;0.939;3.19900000;2.96000000;7010560.98370000
RLCUSDT;3.12000000;1.102;3.19900000;2.96000000;7010075.35650000
RLCUSDT;3.12000000;1.102;3.19900000;2.96000000;7010075.35650000
RLCUSDT;3.12000000;1.102;3.19900000;2.96000000;7010075.35650000
RLCUSDT;3.11200000;0.843;3.19900000;2.96000000;7010203.01010000
RLCUSDT;3.09700000;0.551;3.19900000;2.96000000;7011130.97940000
RLCUSDT;3.10000000;0.324;3.19900000;2.96000000;7016556.29930000
RLCUSDT;3.10500000;0.518;3.19900000;2.96000000;7017141.17950000
RLCUSDT;3.09700000;0.518;3.19900000;2.96000000;7018072.67950000
RLCUSDT;3.10300000;0.551;3.19900000;2.96000000;7020531.76050000
RLCUSDT;3.09700000;0.616;3.19900000;2.96000000;7020680.70450000
RLCUSDT;3.10200000;0.584;3.19900000;2.96000000;7023911.99550000
RLCUSDT;3.10100000;0.551;3.19900000;2.96000000;7024096.81510000
RLCUSDT;3.10100000;0.551;3.19900000;2.96000000;7024096.81510000
RLCUSDT;3.10500000;0.681;3.19900000;2.96000000;7024221.01510000
RLCUSDT;3.10300000;0.616;3.19900000;2.96000000;7024285.86780000
RLCUSDT;3.10300000;0.551;3.19900000;2.96000000;7023072.65550000
RLCUSDT;3.10300000;0.747;3.19900000;2.96000000;7022629.82740000
RLCUSDT;3.10300000;0.714;3.19900000;2.96000000;7022391.74340000
RLCUSDT;3.10300000;0.714;3.19900000;2.96000000;7022391.74340000
RLCUSDT;3.10300000;0.714;3.19900000;2.96000000;7022391.74340000
RLCUSDT;3.11000000;0.975;3.19900000;2.96000000;7023532.76560000
RLCUSDT;3.11000000;1.105;3.19900000;2.96000000;7024523.28090000
RLCUSDT;3.11200000;1.170;3.19900000;2.96000000;7025999.76370000
RLCUSDT;3.11200000;1.170;3.19900000;2.96000000;7025999.76370000
RLCUSDT;3.11100000;1.072;3.19900000;2.96000000;7027123.71010000
RLCUSDT;3.10300000;0.812;3.19900000;2.96000000;7028576.85240000
RLCUSDT;3.10700000;0.942;3.19900000;2.96000000;7029027.05670000
RLCUSDT;3.10700000;1.040;3.19900000;2.96000000;7029151.43040000
RLCUSDT;3.10700000;0.942;3.19900000;2.96000000;7029217.92020000
RLCUSDT;3.10900000;0.942;3.19900000;2.96000000;7029217.92020000
RLCUSDT;3.11000000;1.040;3.19900000;2.96000000;7029793.07450000
RLCUSDT;3.11000000;1.040;3.19900000;2.96000000;7029948.26350000
RLCUSDT;3.11500000;1.268;3.19900000;2.96000000;7030875.96090000
RLCUSDT;3.11300000;1.268;3.19900000;2.96000000;7030875.96090000
RLCUSDT;3.11300000;1.203;3.19900000;2.96000000;7030922.65590000
RLCUSDT;3.11300000;1.203;3.19900000;2.96000000;7030922.65590000
RLCUSDT;3.11400000;1.137;3.19900000;2.96000000;7045763.81910000
RLCUSDT;3.11300000;1.203;3.19900000;2.96000000;7043808.50340000
RLCUSDT;3.11500000;1.137;3.19900000;2.96000000;7043782.58860000
RLCUSDT;3.11500000;1.136;3.19900000;2.96000000;7044226.75980000
RLCUSDT;3.11500000;1.136;3.19900000;2.96000000;7044226.75980000
RLCUSDT;3.11500000;1.136;3.19900000;2.96000000;7044226.75980000
RLCUSDT;3.11500000;1.136;3.19900000;2.96000000;7044226.75980000
RLCUSDT;3.11600000;1.169;3.19900000;2.96000000;7045585.25160000
RLCUSDT;3.11000000;1.007;3.19900000;2.96000000;7049691.23150000
RLCUSDT;3.10700000;0.680;3.19900000;2.96000000;7048720.68830000
RLCUSDT;3.10700000;0.485;3.19900000;2.96000000;7048122.31290000
RLCUSDT;3.10700000;0.420;3.19900000;2.96000000;7047078.54640000
RLCUSDT;3.10700000;0.615;3.19900000;2.96000000;7046991.60500000
RLCUSDT;3.10700000;0.615;3.19900000;2.96000000;7046991.60500000
RLCUSDT;3.10700000;0.615;3.19900000;2.96000000;7047038.21000000
RLCUSDT;3.10700000;0.453;3.19900000;2.96000000;7046659.93000000
RLCUSDT;3.10700000;0.453;3.19900000;2.96000000;7046659.93000000
