Symbol;Price;Change24;Max24;Min24;Volume24
RNDRUSDT;4.61000000;-0.882;5.02900000;4.50000000;9327908.74895000
RNDRUSDT;4.61000000;-0.882;5.02900000;4.50000000;9327908.74895000
RNDRUSDT;4.60600000;-1.201;5.02900000;4.50000000;9327482.61449000
RNDRUSDT;4.60100000;-1.115;5.02900000;4.50000000;9327790.60859000
RNDRUSDT;4.60600000;-1.201;5.02900000;4.50000000;9328509.19973000
RNDRUSDT;4.60600000;-1.201;5.02900000;4.50000000;9328509.19973000
RNDRUSDT;4.60600000;-1.201;5.02900000;4.50000000;9328509.19973000
RNDRUSDT;4.59100000;-0.818;5.02900000;4.50000000;9326910.24648000
RNDRUSDT;4.60000000;-0.947;5.02900000;4.50000000;9334956.17540000
RNDRUSDT;4.59500000;-0.948;5.02900000;4.50000000;9329114.57150000
RNDRUSDT;4.59200000;-1.247;5.02900000;4.50000000;9330049.86538000
RNDRUSDT;4.58900000;-1.312;5.02900000;4.50000000;9330684.47220000
RNDRUSDT;4.58800000;-1.099;5.02900000;4.50000000;9330788.06554000
RNDRUSDT;4.58800000;-1.121;5.02900000;4.50000000;9331690.57102000
RNDRUSDT;4.58200000;-1.462;5.02900000;4.50000000;9330736.19042000
RNDRUSDT;4.57900000;-1.529;5.02900000;4.50000000;9330953.16896000
RNDRUSDT;4.57900000;-1.654;5.02900000;4.50000000;9329854.20703000
RNDRUSDT;4.58700000;-1.503;5.02900000;4.50000000;9334022.52773000
RNDRUSDT;4.59100000;-1.503;5.02900000;4.50000000;9334022.52773000
RNDRUSDT;4.57300000;-1.804;5.02900000;4.50000000;9335002.55809000
RNDRUSDT;4.56900000;-1.890;5.02900000;4.50000000;9335772.70141000
RNDRUSDT;4.56900000;-1.890;5.02900000;4.50000000;9335772.70141000
RNDRUSDT;4.56900000;-1.890;5.02900000;4.50000000;9335772.70141000
RNDRUSDT;4.57900000;-2.200;5.02900000;4.50000000;9315475.09703000
RNDRUSDT;4.58300000;-2.114;5.02900000;4.50000000;9315555.11621000
RNDRUSDT;4.58700000;-2.029;5.02900000;4.50000000;9316763.65150000
RNDRUSDT;4.58800000;-2.028;5.02900000;4.50000000;9315475.51786000
RNDRUSDT;4.58800000;-2.050;5.02900000;4.50000000;9315530.39034000
RNDRUSDT;4.58800000;-1.861;5.02900000;4.50000000;9314930.44506000
RNDRUSDT;4.58800000;-2.008;5.02900000;4.50000000;9314857.46831000
RNDRUSDT;4.59400000;-1.900;5.02900000;4.50000000;9317623.20706000
RNDRUSDT;4.59400000;-1.670;5.02900000;4.50000000;9315795.99412000
RNDRUSDT;4.59400000;-1.670;5.02900000;4.50000000;9315815.97802000
RNDRUSDT;4.59400000;-1.670;5.02900000;4.50000000;9315815.97802000
RNDRUSDT;4.59100000;-1.670;5.02900000;4.50000000;9315522.06718000
RNDRUSDT;4.59100000;-1.776;5.02900000;4.50000000;9315407.98942000
RNDRUSDT;4.59600000;-1.669;5.02900000;4.50000000;9316006.50373000
RNDRUSDT;4.60200000;-1.840;5.02900000;4.50000000;9316160.83741000
RNDRUSDT;4.60200000;-1.477;5.02900000;4.50000000;9315587.27783000
RNDRUSDT;4.60200000;-1.477;5.02900000;4.50000000;9315587.27783000
RNDRUSDT;4.60000000;-1.520;5.02900000;4.50000000;9315679.59983000
RNDRUSDT;4.60000000;-1.520;5.02900000;4.50000000;9315679.59983000
RNDRUSDT;4.59600000;-1.606;5.02900000;4.50000000;9315792.89123000
RNDRUSDT;4.58700000;-1.585;5.02900000;4.50000000;9315556.07153000
RNDRUSDT;4.58700000;-1.735;5.02900000;4.50000000;9315623.61416000
RNDRUSDT;4.58700000;-1.693;5.02900000;4.50000000;9315612.93935000
RNDRUSDT;4.58700000;-1.545;5.02900000;4.50000000;9314328.62959000
RNDRUSDT;4.58700000;-1.567;5.02900000;4.50000000;9309738.42182000
RNDRUSDT;4.58700000;-1.630;5.02900000;4.50000000;9309460.68582000
RNDRUSDT;4.58900000;-1.630;5.02900000;4.50000000;9309460.68582000
RNDRUSDT;4.57700000;-2.140;5.02900000;4.50000000;9326980.18116000
RNDRUSDT;4.58400000;-1.778;5.02900000;4.50000000;9328090.02247000
RNDRUSDT;4.60000000;-1.778;5.02900000;4.50000000;9328090.02247000
RNDRUSDT;4.59200000;-1.607;5.02900000;4.50000000;9334326.42099000
RNDRUSDT;4.59900000;-1.457;5.02900000;4.50000000;9334848.61459000
RNDRUSDT;4.60400000;-1.350;5.02900000;4.50000000;9335614.39386000
RNDRUSDT;4.61400000;-1.286;5.02900000;4.50000000;9338487.32834000
RNDRUSDT;4.61900000;-1.028;5.02900000;4.50000000;9346813.53450000
RNDRUSDT;4.61400000;-1.030;5.02900000;4.50000000;9345070.44214000
RNDRUSDT;4.61500000;-1.114;5.02900000;4.50000000;9344604.24214000
RNDRUSDT;4.61100000;-1.136;5.02900000;4.50000000;9348755.42142000
RNDRUSDT;4.62800000;-1.027;5.02900000;4.50000000;9339969.12822000
RNDRUSDT;4.62800000;-1.027;5.02900000;4.50000000;9338052.66962000
RNDRUSDT;4.61500000;-1.305;5.02900000;4.50000000;9336669.10835000
RNDRUSDT;4.61500000;-1.431;5.02900000;4.50000000;9333669.27123000
RNDRUSDT;4.61400000;-1.473;5.02900000;4.50000000;9331956.22727000
RNDRUSDT;4.61400000;-1.473;5.02900000;4.50000000;9331956.22727000
RNDRUSDT;4.61400000;-1.326;5.02900000;4.50000000;9331408.11761000
RNDRUSDT;4.62100000;-0.964;5.02900000;4.50000000;9329202.15131000
RNDRUSDT;4.62100000;-0.964;5.02900000;4.50000000;9329087.55435000
RNDRUSDT;4.62600000;-0.964;5.02900000;4.50000000;9329087.55435000
RNDRUSDT;4.60600000;-1.560;5.02900000;4.50000000;9336115.18009000
RNDRUSDT;4.60500000;-1.265;5.02900000;4.50000000;9324826.63407000
RNDRUSDT;4.60000000;-1.351;5.02900000;4.50000000;9324450.07932000
RNDRUSDT;4.60000000;-1.414;5.02900000;4.50000000;9326553.86883000
RNDRUSDT;4.59800000;-1.414;5.02900000;4.50000000;9326553.86883000
RNDRUSDT;4.59800000;-1.543;5.02900000;4.50000000;9327477.10953000
RNDRUSDT;4.59200000;-1.542;5.02900000;4.50000000;9327357.22263000
RNDRUSDT;4.58700000;-1.714;5.02900000;4.50000000;9331738.52819000
RNDRUSDT;4.59300000;-1.985;5.02900000;4.50000000;9330158.27265000
RNDRUSDT;4.58700000;-1.903;5.02900000;4.50000000;9328988.35320000
RNDRUSDT;4.58700000;-1.903;5.02900000;4.50000000;9328988.35320000
RNDRUSDT;4.58700000;-1.903;5.02900000;4.50000000;9330369.22368000
RNDRUSDT;4.59700000;-1.605;5.02900000;4.50000000;9326197.07336000
RNDRUSDT;4.59700000;-1.605;5.02900000;4.50000000;9326197.07336000
RNDRUSDT;4.59700000;-1.605;5.02900000;4.50000000;9326197.07336000
RNDRUSDT;4.59600000;-1.774;5.02900000;4.50000000;9324550.03150000
RNDRUSDT;4.59600000;-1.774;5.02900000;4.50000000;9324550.03150000
RNDRUSDT;4.58800000;-2.549;5.02900000;4.50000000;9293751.07631000
RNDRUSDT;4.58700000;-2.591;5.02900000;4.50000000;9295134.71703000
RNDRUSDT;4.58700000;-2.591;5.02900000;4.50000000;9295134.71703000
RNDRUSDT;4.58700000;-2.570;5.02900000;4.50000000;9290723.47709000
RNDRUSDT;4.59500000;-2.400;5.02900000;4.50000000;9290751.04709000
RNDRUSDT;4.59500000;-2.483;5.02900000;4.50000000;9289960.76221000
RNDRUSDT;4.59000000;-2.590;5.02900000;4.50000000;9289867.40255000
RNDRUSDT;4.57800000;-2.589;5.02900000;4.50000000;9289593.41878000
RNDRUSDT;4.56400000;-3.141;5.02900000;4.50000000;9305612.64584000
RNDRUSDT;4.56400000;-3.141;5.02900000;4.50000000;9306331.92059000
RNDRUSDT;4.56400000;-3.141;5.02900000;4.50000000;9306331.92059000
RNDRUSDT;4.56400000;-3.141;5.02900000;4.50000000;9306331.92059000
RNDRUSDT;4.56400000;-3.223;5.02900000;4.50000000;9301918.45312000
RNDRUSDT;4.56400000;-3.223;5.02900000;4.50000000;9301918.45312000
RNDRUSDT;4.56400000;-3.264;5.02900000;4.50000000;9291394.84060000
RNDRUSDT;4.56000000;-3.328;5.02900000;4.50000000;9291488.87642000
RNDRUSDT;4.56000000;-3.349;5.02900000;4.50000000;9293561.48314000
RNDRUSDT;4.56000000;-3.349;5.02900000;4.50000000;9293525.80616000
RNDRUSDT;4.56000000;-3.349;5.02900000;4.50000000;9289567.33993000
RNDRUSDT;4.56000000;-3.144;5.02900000;4.50000000;9289573.83089000
RNDRUSDT;4.56000000;-3.144;5.02900000;4.50000000;9289573.83089000
RNDRUSDT;4.56000000;-3.144;5.02900000;4.50000000;9289573.83089000
RNDRUSDT;4.56000000;-3.144;5.02900000;4.50000000;9289573.83089000
RNDRUSDT;4.56000000;-3.246;5.02900000;4.50000000;9289514.18053000
RNDRUSDT;4.56000000;-3.246;5.02900000;4.50000000;9289514.18053000
RNDRUSDT;4.56000000;-3.082;5.02900000;4.50000000;9289490.47414000
RNDRUSDT;4.57000000;-2.869;5.02900000;4.50000000;9289504.27554000
RNDRUSDT;4.57000000;-2.869;5.02900000;4.50000000;9289504.27554000
RNDRUSDT;4.57000000;-2.869;5.02900000;4.50000000;9289504.27554000
RNDRUSDT;4.57000000;-2.869;5.02900000;4.50000000;9289504.27554000
RNDRUSDT;4.57000000;-2.869;5.02900000;4.50000000;9290489.04777000
RNDRUSDT;4.56800000;-2.912;5.02900000;4.50000000;9290989.79193000
RNDRUSDT;4.56800000;-2.953;5.02900000;4.50000000;9291155.47401000
RNDRUSDT;4.56800000;-2.953;5.02900000;4.50000000;9291155.47401000
RNDRUSDT;4.56800000;-3.075;5.02900000;4.50000000;9291415.87847000
RNDRUSDT;4.56800000;-3.118;5.02900000;4.50000000;9291543.05159000
RNDRUSDT;4.56500000;-3.079;5.02900000;4.50000000;9291608.55964000
RNDRUSDT;4.56000000;-3.185;5.02900000;4.50000000;9293056.98280000
RNDRUSDT;4.56000000;-3.185;5.02900000;4.50000000;9293056.98280000
RNDRUSDT;4.56000000;-3.185;5.02900000;4.50000000;9293056.98280000
RNDRUSDT;4.57400000;-2.887;5.02900000;4.50000000;9302875.05076000
RNDRUSDT;4.57400000;-2.887;5.02900000;4.50000000;9302875.05076000
RNDRUSDT;4.57400000;-2.887;5.02900000;4.50000000;9302875.05076000
RNDRUSDT;4.58100000;-2.739;5.02900000;4.50000000;9302962.18699000
RNDRUSDT;4.58100000;-2.739;5.02900000;4.50000000;9302962.18699000
RNDRUSDT;4.58100000;-2.759;5.02900000;4.50000000;9302931.80749000
RNDRUSDT;4.58100000;-2.759;5.02900000;4.50000000;9302931.80749000
RNDRUSDT;4.58100000;-2.739;5.02900000;4.50000000;9302915.88431000
RNDRUSDT;4.58100000;-2.739;5.02900000;4.50000000;9302915.88431000
RNDRUSDT;4.58100000;-2.677;5.02900000;4.50000000;9302334.48727000
RNDRUSDT;4.58100000;-2.842;5.02900000;4.50000000;9302254.04464000
RNDRUSDT;4.58300000;-2.800;5.02900000;4.50000000;9302276.95964000
RNDRUSDT;4.58200000;-2.821;5.02900000;4.50000000;9302789.92812000
RNDRUSDT;4.58200000;-2.965;5.02900000;4.50000000;9302651.47606000
RNDRUSDT;4.58200000;-2.924;5.02900000;4.50000000;9302626.59112000
RNDRUSDT;4.60200000;-2.690;5.02900000;4.50000000;9306270.06314000
RNDRUSDT;4.60700000;-2.415;5.02900000;4.50000000;9332584.97037000
RNDRUSDT;4.61000000;-2.372;5.02900000;4.50000000;9332599.21401000
RNDRUSDT;4.60400000;-2.499;5.02900000;4.50000000;9332834.64650000
RNDRUSDT;4.61200000;-2.412;5.02900000;4.50000000;9331995.18147000
RNDRUSDT;4.61200000;-2.474;5.02900000;4.50000000;9331001.50405000
RNDRUSDT;4.60900000;-2.496;5.02900000;4.50000000;9331058.57345000
RNDRUSDT;4.60900000;-2.579;5.02900000;4.50000000;9330399.58238000
RNDRUSDT;4.61300000;-2.577;5.02900000;4.50000000;9329901.68353000
RNDRUSDT;4.61300000;-2.597;5.02900000;4.50000000;9329621.69779000
RNDRUSDT;4.59500000;-2.848;5.02900000;4.50000000;9330027.55991000
RNDRUSDT;4.59500000;-3.059;5.02900000;4.50000000;9330981.01431000
RNDRUSDT;4.58900000;-3.267;5.02900000;4.50000000;9331651.47975000
RNDRUSDT;4.58900000;-3.267;5.02900000;4.50000000;9331651.47975000
RNDRUSDT;4.59200000;-3.204;5.02900000;4.50000000;9331671.96007000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9331320.99895000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9331320.99895000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9330752.96013000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9330752.96013000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9330752.96013000
RNDRUSDT;4.59200000;-3.081;5.02900000;4.50000000;9330752.96013000
RNDRUSDT;4.59200000;-3.184;5.02900000;4.50000000;9330218.29871000
RNDRUSDT;4.59200000;-3.204;5.02900000;4.50000000;9329776.39340000
RNDRUSDT;4.60000000;-3.098;5.02900000;4.50000000;9329738.47666000
RNDRUSDT;4.61700000;-3.025;5.02900000;4.50000000;9319922.71351000
RNDRUSDT;4.63000000;-2.752;5.02900000;4.50000000;9327396.44235000
RNDRUSDT;4.63000000;-2.752;5.02900000;4.50000000;9327396.44235000
RNDRUSDT;4.61900000;-2.860;5.02900000;4.50000000;9322977.02732000
RNDRUSDT;4.61900000;-3.206;5.02900000;4.50000000;9320637.15497000
RNDRUSDT;4.61900000;-3.308;5.02900000;4.50000000;9310744.25146000
RNDRUSDT;4.62400000;-3.243;5.02900000;4.50000000;9310478.27806000
RNDRUSDT;4.62400000;-2.878;5.02900000;4.50000000;9310235.15856000
RNDRUSDT;4.62400000;-2.324;5.02900000;4.50000000;9287775.21049000
RNDRUSDT;4.62400000;-2.241;5.02900000;4.50000000;9286604.69970000
RNDRUSDT;4.62300000;-2.262;5.02900000;4.50000000;9286132.32897000
RNDRUSDT;4.62300000;-2.283;5.02900000;4.50000000;9286361.25993000
RNDRUSDT;4.62400000;-2.447;5.02900000;4.50000000;9286334.80580000
RNDRUSDT;4.62400000;-2.447;5.02900000;4.50000000;9286334.80580000
RNDRUSDT;4.60800000;-2.805;5.02900000;4.50000000;9291287.24092000
RNDRUSDT;4.59900000;-2.828;5.02900000;4.50000000;9289272.93507000
RNDRUSDT;4.60500000;-2.828;5.02900000;4.50000000;9290124.31420000
RNDRUSDT;4.60700000;-2.929;5.02900000;4.50000000;9290177.52124000
RNDRUSDT;4.60700000;-2.929;5.02900000;4.50000000;9290177.52124000
RNDRUSDT;4.60700000;-2.929;5.02900000;4.50000000;9290177.52124000
RNDRUSDT;4.60700000;-2.929;5.02900000;4.50000000;9290177.52124000
RNDRUSDT;4.60000000;-3.076;5.02900000;4.50000000;9290315.52124000
RNDRUSDT;4.60500000;-2.828;5.02900000;4.50000000;9287609.11145000
RNDRUSDT;4.60200000;-2.910;5.02900000;4.50000000;9287486.16852000
RNDRUSDT;4.60200000;-2.973;5.02900000;4.50000000;9287509.86882000
RNDRUSDT;4.60200000;-2.973;5.02900000;4.50000000;9287509.86882000
RNDRUSDT;4.60200000;-2.973;5.02900000;4.50000000;9287509.86882000
RNDRUSDT;4.59700000;-3.082;5.02900000;4.50000000;9293162.88288000
RNDRUSDT;4.59100000;-3.123;5.02900000;4.50000000;9296101.44703000
RNDRUSDT;4.59100000;-3.103;5.02900000;4.50000000;9291186.87149000
RNDRUSDT;4.59100000;-3.082;5.02900000;4.50000000;9290335.35275000
RNDRUSDT;4.59100000;-3.062;5.02900000;4.50000000;9290022.85286000
RNDRUSDT;4.59100000;-2.898;5.02900000;4.50000000;9290077.38181000
RNDRUSDT;4.59100000;-2.898;5.02900000;4.50000000;9290077.38181000
RNDRUSDT;4.59100000;-2.898;5.02900000;4.50000000;9290077.38181000
RNDRUSDT;4.59100000;-2.898;5.02900000;4.50000000;9290077.38181000
RNDRUSDT;4.59300000;-2.814;5.02900000;4.50000000;9289955.10157000
RNDRUSDT;4.59100000;-2.877;5.02900000;4.50000000;9287366.80088000
RNDRUSDT;4.59100000;-3.000;5.02900000;4.50000000;9286134.70266000
RNDRUSDT;4.59100000;-2.918;5.02900000;4.50000000;9284441.14060000
RNDRUSDT;4.59100000;-2.918;5.02900000;4.50000000;9280571.83062000
RNDRUSDT;4.59100000;-2.918;5.02900000;4.50000000;9280571.83062000
RNDRUSDT;4.59100000;-2.918;5.02900000;4.50000000;9280571.83062000
RNDRUSDT;4.59100000;-2.918;5.02900000;4.50000000;9280571.83062000
RNDRUSDT;4.59100000;-3.000;5.02900000;4.50000000;9277476.62771000
RNDRUSDT;4.59100000;-3.000;5.02900000;4.50000000;9277476.62771000
RNDRUSDT;4.59100000;-3.123;5.02900000;4.50000000;9274514.08372000
RNDRUSDT;4.59100000;-3.123;5.02900000;4.50000000;9274466.69372000
RNDRUSDT;4.59300000;-3.224;5.02900000;4.50000000;9274061.36960000
RNDRUSDT;4.59300000;-3.224;5.02900000;4.50000000;9274061.36960000
RNDRUSDT;4.59300000;-3.224;5.02900000;4.50000000;9274061.36960000
RNDRUSDT;4.59300000;-3.224;5.02900000;4.50000000;9274061.36960000
RNDRUSDT;4.62200000;-2.386;5.02900000;4.50000000;9302758.02893000
RNDRUSDT;4.62200000;-2.407;5.02900000;4.50000000;9303866.22296000
RNDRUSDT;4.61700000;-2.613;5.02900000;4.50000000;9303266.23520000
RNDRUSDT;4.61700000;-2.739;5.02900000;4.50000000;9303261.28772000
RNDRUSDT;4.61900000;-2.799;5.02900000;4.50000000;9303115.81919000
RNDRUSDT;4.62700000;-2.651;5.02900000;4.50000000;9305574.39189000
RNDRUSDT;4.62300000;-2.651;5.02900000;4.50000000;9305503.90490000
