Symbol;Price;Change24;Max24;Min24;Volume24
ROSEUSDT;0.40413000;5.315;0.40640000;0.36002000;124280165.91883100
ROSEUSDT;0.40414000;5.457;0.40640000;0.36002000;124281808.65076300
ROSEUSDT;0.40388000;5.811;0.40640000;0.36002000;124131503.25027200
ROSEUSDT;0.40378000;5.813;0.40640000;0.36002000;124096720.73783500
ROSEUSDT;0.40349000;5.756;0.40640000;0.36002000;124072621.89164300
ROSEUSDT;0.40331000;5.501;0.40640000;0.36002000;124057278.55650900
ROSEUSDT;0.40324000;5.757;0.40640000;0.36002000;124041590.34926600
ROSEUSDT;0.40248000;5.399;0.40640000;0.36002000;124131600.93588100
ROSEUSDT;0.40248000;5.696;0.40640000;0.36002000;124125221.79371800
ROSEUSDT;0.40229000;5.593;0.40640000;0.36002000;124099197.56961600
ROSEUSDT;0.40223000;5.368;0.40640000;0.36002000;124085571.45763600
ROSEUSDT;0.40172000;5.160;0.40640000;0.36002000;124082235.73613000
ROSEUSDT;0.40171000;5.190;0.40640000;0.36002000;124072887.60945700
ROSEUSDT;0.40176000;4.774;0.40640000;0.36002000;124068153.30666200
ROSEUSDT;0.40149000;4.830;0.40640000;0.36002000;124056760.44281200
ROSEUSDT;0.40178000;4.884;0.40640000;0.36002000;124040802.29233000
ROSEUSDT;0.40210000;5.017;0.40640000;0.36002000;124037740.76946200
ROSEUSDT;0.40202000;5.099;0.40640000;0.36002000;124037074.96976500
ROSEUSDT;0.40275000;5.198;0.40640000;0.36002000;124042990.38642400
ROSEUSDT;0.40145000;5.073;0.40640000;0.36002000;124039828.58437400
ROSEUSDT;0.40162000;5.338;0.40640000;0.36002000;124024115.22604300
ROSEUSDT;0.40203000;5.368;0.40640000;0.36002000;124014938.58297200
ROSEUSDT;0.40202000;5.196;0.40640000;0.36002000;123981703.54389500
ROSEUSDT;0.40235000;5.427;0.40640000;0.36002000;123968797.05684600
ROSEUSDT;0.40262000;5.508;0.40640000;0.36002000;123959281.51602100
ROSEUSDT;0.40200000;5.559;0.40640000;0.36002000;123899041.41275800
ROSEUSDT;0.40206000;5.545;0.40640000;0.36002000;123863645.50620200
ROSEUSDT;0.40206000;5.439;0.40640000;0.36002000;123841648.59429400
ROSEUSDT;0.40195000;5.505;0.40640000;0.36002000;123771036.12389600
ROSEUSDT;0.40184000;5.842;0.40640000;0.36002000;123727290.67423000
ROSEUSDT;0.40206000;5.764;0.40640000;0.36002000;123681955.82734000
ROSEUSDT;0.40200000;5.553;0.40640000;0.36002000;123680500.44338700
ROSEUSDT;0.40227000;5.666;0.40640000;0.36002000;123691447.12805500
ROSEUSDT;0.40228000;5.585;0.40640000;0.36002000;123662686.15781400
ROSEUSDT;0.40338000;5.634;0.40640000;0.36002000;123667056.21867200
