Symbol;Price;Change24;Max24;Min24;Volume24
RSRUSDT;0.03070000;3.159;0.03115000;0.02868000;9945927.16075400
RSRUSDT;0.03071000;3.054;0.03115000;0.02868000;9945801.41984600
RSRUSDT;0.03071000;3.123;0.03115000;0.02868000;9941230.20782700
RSRUSDT;0.03068000;2.988;0.03115000;0.02868000;9940954.78382700
RSRUSDT;0.03068000;3.057;0.03115000;0.02868000;9940439.57927300
RSRUSDT;0.03069000;3.160;0.03115000;0.02868000;9939541.77378500
RSRUSDT;0.03067000;3.162;0.03115000;0.02868000;9939530.77174500
RSRUSDT;0.03067000;3.127;0.03115000;0.02868000;9938149.55335300
RSRUSDT;0.03065000;3.060;0.03115000;0.02868000;9937603.66415100
RSRUSDT;0.03068000;3.057;0.03115000;0.02868000;9936912.99757500
RSRUSDT;0.03068000;3.057;0.03115000;0.02868000;9936912.99757500
RSRUSDT;0.03068000;3.057;0.03115000;0.02868000;9934572.40082800
RSRUSDT;0.03071000;3.262;0.03115000;0.02868000;9934758.97460200
RSRUSDT;0.03067000;3.192;0.03115000;0.02868000;9934531.07956300
RSRUSDT;0.03067000;3.092;0.03115000;0.02868000;9934293.92877600
RSRUSDT;0.03068000;2.988;0.03115000;0.02868000;9934430.71274100
RSRUSDT;0.03067000;2.954;0.03115000;0.02868000;9934767.72321400
RSRUSDT;0.03067000;2.885;0.03115000;0.02868000;9933850.07901800
RSRUSDT;0.03069000;2.815;0.03115000;0.02868000;9930374.19893700
RSRUSDT;0.03065000;3.018;0.03115000;0.02868000;9935763.56298400
RSRUSDT;0.03065000;2.852;0.03115000;0.02868000;9938979.55017900
RSRUSDT;0.03065000;2.956;0.03115000;0.02868000;9933545.95226600
RSRUSDT;0.03066000;2.886;0.03115000;0.02868000;9930834.97650400
RSRUSDT;0.03070000;3.020;0.03115000;0.02868000;9931846.74694400
RSRUSDT;0.03070000;2.951;0.03115000;0.02868000;9929905.76369400
RSRUSDT;0.03074000;2.844;0.03115000;0.02868000;9928612.63239800
RSRUSDT;0.03074000;2.844;0.03115000;0.02868000;9923770.96079200
RSRUSDT;0.03076000;2.809;0.03115000;0.02868000;9921455.01319200
RSRUSDT;0.03076000;3.014;0.03115000;0.02868000;9918868.43879000
RSRUSDT;0.03075000;2.981;0.03115000;0.02868000;9912502.46705900
RSRUSDT;0.03076000;3.014;0.03115000;0.02868000;9913012.53245500
RSRUSDT;0.03073000;3.014;0.03115000;0.02868000;9912620.24670500
RSRUSDT;0.03076000;3.014;0.03115000;0.02868000;9917211.08679000
RSRUSDT;0.03077000;2.944;0.03115000;0.02868000;9916643.37140900
RSRUSDT;0.03077000;2.944;0.03115000;0.02868000;9919058.00737500
RSRUSDT;0.03076000;3.048;0.03115000;0.02868000;9913837.27791500
RSRUSDT;0.03077000;3.220;0.03115000;0.02868000;9915037.83879600
RSRUSDT;0.03073000;3.017;0.03115000;0.02868000;9918521.55323900
RSRUSDT;0.03068000;2.950;0.03115000;0.02868000;9918985.55350900
RSRUSDT;0.03067000;2.849;0.03115000;0.02868000;9921935.39403500
RSRUSDT;0.03067000;2.816;0.03115000;0.02868000;9918521.92589300
RSRUSDT;0.03067000;2.678;0.03115000;0.02868000;9915099.88301400
RSRUSDT;0.03067000;2.747;0.03115000;0.02868000;9914306.09930900
RSRUSDT;0.03067000;2.747;0.03115000;0.02868000;9912446.11493700
RSRUSDT;0.03067000;2.781;0.03115000;0.02868000;9912048.50309200
RSRUSDT;0.03069000;2.984;0.03115000;0.02868000;9912866.94249600
RSRUSDT;0.03072000;3.018;0.03115000;0.02868000;9914079.77448500
RSRUSDT;0.03072000;3.087;0.03115000;0.02868000;9913532.22859100
RSRUSDT;0.03072000;2.949;0.03115000;0.02868000;9911057.10657200
RSRUSDT;0.03070000;2.710;0.03115000;0.02868000;9910895.18857200
RSRUSDT;0.03067000;2.744;0.03115000;0.02868000;9910573.22525200
RSRUSDT;0.03067000;2.713;0.03115000;0.02868000;9907578.63044600
RSRUSDT;0.03067000;2.747;0.03115000;0.02868000;9907450.23244600
RSRUSDT;0.03068000;2.712;0.03115000;0.02868000;9905755.16077300
RSRUSDT;0.03065000;2.611;0.03115000;0.02868000;9905914.62477300
RSRUSDT;0.03066000;2.611;0.03115000;0.02868000;9905914.62477300
RSRUSDT;0.03066000;2.645;0.03115000;0.02868000;9906221.40140600
RSRUSDT;0.03066000;2.645;0.03115000;0.02868000;9905742.28749000
RSRUSDT;0.03064000;2.544;0.03115000;0.02868000;9904786.71838600
RSRUSDT;0.03064000;2.509;0.03115000;0.02868000;9902398.40499200
RSRUSDT;0.03065000;2.371;0.03115000;0.02868000;9892265.53298200
