Symbol;Price;Change24;Max24;Min24;Volume24
RVNUSDT;0.09762000;5.924;0.09869000;0.08970000;16352526.85572100
RVNUSDT;0.09755000;5.907;0.09869000;0.08970000;16348155.48884600
RVNUSDT;0.09770000;6.247;0.09869000;0.08970000;16351558.15167900
RVNUSDT;0.09765000;6.073;0.09869000;0.08970000;16351867.61713000
RVNUSDT;0.09759000;6.088;0.09869000;0.08970000;16350896.25821500
RVNUSDT;0.09760000;6.133;0.09869000;0.08970000;16338016.04034000
RVNUSDT;0.09738000;6.117;0.09869000;0.08970000;16345016.19025700
RVNUSDT;0.09751000;6.168;0.09869000;0.08970000;16351926.12170300
RVNUSDT;0.09748000;6.083;0.09869000;0.08970000;16353006.32722400
RVNUSDT;0.09752000;6.023;0.09869000;0.08970000;16353335.86830400
RVNUSDT;0.09759000;5.961;0.09869000;0.08970000;16351173.90741300
RVNUSDT;0.09744000;5.768;0.09869000;0.08970000;16352103.88181700
RVNUSDT;0.09737000;5.860;0.09869000;0.08970000;16353719.52354500
RVNUSDT;0.09722000;5.674;0.09869000;0.08970000;16353762.27046400
RVNUSDT;0.09724000;5.718;0.09869000;0.08970000;16353040.07231100
RVNUSDT;0.09720000;5.595;0.09869000;0.08970000;16353564.01438800
RVNUSDT;0.09721000;5.596;0.09869000;0.08970000;16352061.69622300
RVNUSDT;0.09741000;5.754;0.09869000;0.08970000;16341812.50268100
RVNUSDT;0.09748000;5.853;0.09869000;0.08970000;16335188.61038900
RVNUSDT;0.09724000;5.704;0.09869000;0.08970000;16335475.52933300
RVNUSDT;0.09728000;5.684;0.09869000;0.08970000;16336177.12001700
RVNUSDT;0.09734000;5.604;0.09869000;0.08970000;16329402.71550900
RVNUSDT;0.09733000;5.704;0.09869000;0.08970000;16322255.01201600
RVNUSDT;0.09741000;5.870;0.09869000;0.08970000;16306249.35141400
RVNUSDT;0.09751000;5.833;0.09869000;0.08970000;16305377.18911300
RVNUSDT;0.09753000;5.655;0.09869000;0.08970000;16304155.19808500
RVNUSDT;0.09756000;5.584;0.09869000;0.08970000;16300682.43305900
RVNUSDT;0.09758000;5.606;0.09869000;0.08970000;16298456.50706700
RVNUSDT;0.09744000;5.519;0.09869000;0.08970000;16281882.18968100
RVNUSDT;0.09727000;5.419;0.09869000;0.08970000;16287011.53989400
RVNUSDT;0.09740000;5.445;0.09869000;0.08970000;16281796.53928500
RVNUSDT;0.09742000;5.444;0.09869000;0.08970000;16281412.94156300
RVNUSDT;0.09753000;5.464;0.09869000;0.08970000;16285501.32806100
RVNUSDT;0.09754000;5.369;0.09869000;0.08970000;16282922.98610900
RVNUSDT;0.09752000;5.300;0.09869000;0.08970000;16276883.10281000
RVNUSDT;0.09744000;5.302;0.09869000;0.08970000;16270020.67585700
RVNUSDT;0.09742000;5.501;0.09869000;0.08970000;16267961.88667100
RVNUSDT;0.09743000;5.524;0.09869000;0.08970000;16268726.68164200
RVNUSDT;0.09743000;5.353;0.09869000;0.08970000;16266041.62474300
RVNUSDT;0.09736000;5.412;0.09869000;0.08970000;16264780.37060700
RVNUSDT;0.09737000;5.280;0.09869000;0.08970000;16269584.19695500
RVNUSDT;0.09744000;5.366;0.09869000;0.08970000;16263884.54228800
RVNUSDT;0.09752000;5.375;0.09869000;0.08970000;16263891.92626400
RVNUSDT;0.09735000;5.277;0.09869000;0.08970000;16268272.12815700
RVNUSDT;0.09735000;5.277;0.09869000;0.08970000;16267315.08039700
