Symbol;Price;Change24;Max24;Min24;Volume24
SANDUSDT;5.90070000;-0.020;6.11470000;5.56640000;335311947.34300000
SANDUSDT;5.90150000;0.068;6.11470000;5.56640000;335167593.36590000
SANDUSDT;5.90010000;-0.056;6.11470000;5.56640000;335100312.23200000
SANDUSDT;5.89670000;-0.247;6.11470000;5.56640000;335082986.97960000
SANDUSDT;5.90080000;-0.017;6.11470000;5.56640000;335085088.34750000
SANDUSDT;5.90170000;-0.042;6.11470000;5.56640000;335055566.64900000
SANDUSDT;5.89690000;0.093;6.11470000;5.56640000;334920008.54750000
SANDUSDT;5.89280000;-0.066;6.11470000;5.56640000;334854682.50280000
SANDUSDT;5.89280000;-0.008;6.11470000;5.56640000;334832841.28520000
SANDUSDT;5.89850000;-0.010;6.11470000;5.56640000;334780261.57020000
SANDUSDT;5.90000000;-0.044;6.11470000;5.56640000;334786266.94210000
SANDUSDT;5.89400000;-0.051;6.11470000;5.56640000;334714317.34010000
SANDUSDT;5.89230000;0.080;6.11470000;5.56640000;334634810.71490000
SANDUSDT;5.89120000;0.032;6.11470000;5.56640000;334617605.86630000
SANDUSDT;5.88990000;0.099;6.11470000;5.56640000;334549712.84420000
SANDUSDT;5.88840000;-0.008;6.11470000;5.56640000;334550016.84120000
SANDUSDT;5.88620000;-0.144;6.11470000;5.56640000;334561819.07440000
SANDUSDT;5.89820000;-0.069;6.11470000;5.56640000;334525697.60160000
SANDUSDT;5.89900000;0.015;6.11470000;5.56640000;334574127.96290000
SANDUSDT;5.88670000;-0.203;6.11470000;5.56640000;334601944.62170000
SANDUSDT;5.89020000;-0.070;6.11470000;5.56640000;334554773.22310000
SANDUSDT;5.88980000;-0.090;6.11470000;5.56640000;334515126.52850000
SANDUSDT;5.89180000;0.075;6.11470000;5.56640000;334148001.47020000
SANDUSDT;5.89650000;0.197;6.11470000;5.56640000;334158559.35440000
SANDUSDT;5.89740000;0.047;6.11470000;5.56640000;334101385.59900000
SANDUSDT;5.89780000;-0.326;6.11470000;5.56640000;333989746.72000000
SANDUSDT;5.89330000;-0.572;6.11470000;5.56640000;333913607.26030000
SANDUSDT;5.89390000;-0.350;6.11470000;5.56640000;333421336.73170000
SANDUSDT;5.89330000;-0.433;6.11470000;5.56640000;333376001.99300000
SANDUSDT;5.89790000;-0.360;6.11470000;5.56640000;333338193.91830000
SANDUSDT;5.90200000;-0.260;6.11470000;5.56640000;333352266.84960000
SANDUSDT;5.90110000;-0.319;6.11470000;5.56640000;333280645.39760000
SANDUSDT;5.90470000;-0.343;6.11470000;5.56640000;333240511.69170000
SANDUSDT;5.90370000;-0.322;6.11470000;5.56640000;333187534.67460000
SANDUSDT;5.90170000;-0.516;6.11470000;5.56640000;333070860.02510000
SANDUSDT;5.89740000;-0.556;6.11470000;5.56640000;332917312.98280000
SANDUSDT;5.90010000;-0.526;6.11470000;5.56640000;332896596.17370000
SANDUSDT;5.90360000;-0.274;6.11470000;5.56640000;332736520.51150000
SANDUSDT;5.89980000;-0.381;6.11470000;5.56640000;332551447.58900000
SANDUSDT;5.90040000;-0.269;6.11470000;5.56640000;332552947.27030000
SANDUSDT;5.90620000;-0.250;6.11470000;5.56640000;332403480.21560000
SANDUSDT;5.90230000;-0.260;6.11470000;5.56640000;332373112.53120000
SANDUSDT;5.90500000;-0.349;6.11470000;5.56640000;332319490.42750000
SANDUSDT;5.90200000;-0.218;6.11470000;5.56640000;332191609.55960000
SANDUSDT;5.90410000;-0.233;6.11470000;5.56640000;332187040.59560000
SANDUSDT;5.90660000;-0.186;6.11470000;5.56640000;332203938.77960000
SANDUSDT;5.90950000;-0.095;6.11470000;5.56640000;332063198.92240000
SANDUSDT;5.91090000;-0.057;6.11470000;5.56640000;331941428.06890000
SANDUSDT;5.90640000;-0.221;6.11470000;5.56640000;331907080.85170000
SANDUSDT;5.90480000;-0.339;6.11470000;5.56640000;331851850.94850000
SANDUSDT;5.89910000;-0.449;6.11470000;5.56640000;331829292.10910000
SANDUSDT;5.90100000;-0.479;6.11470000;5.56640000;331792259.43810000
SANDUSDT;5.90370000;-0.370;6.11470000;5.56640000;331637880.54320000
SANDUSDT;5.90240000;-0.420;6.11470000;5.56640000;331611931.60020000
SANDUSDT;5.90200000;-0.549;6.11470000;5.56640000;331594818.28660000
SANDUSDT;5.89740000;-0.664;6.11470000;5.56640000;331585087.88940000
SANDUSDT;5.89640000;-0.585;6.11470000;5.56640000;331595017.76900000
SANDUSDT;5.86060000;-1.346;6.11470000;5.56640000;335642006.66480000
SANDUSDT;5.86230000;-1.279;6.11470000;5.56640000;335709970.28790000
SANDUSDT;5.86080000;-1.268;6.11470000;5.56640000;335910929.13800000
SANDUSDT;5.85950000;-1.247;6.11470000;5.56640000;336258001.08790000
SANDUSDT;5.87110000;-0.942;6.11470000;5.56640000;335984101.56290000
SANDUSDT;5.87450000;-0.939;6.11470000;5.56640000;335964768.99920000
SANDUSDT;5.84520000;-1.543;6.11470000;5.56640000;338592152.71860000
SANDUSDT;5.83330000;-1.513;6.11470000;5.56640000;338802932.10060000
SANDUSDT;5.83800000;-1.207;6.11470000;5.56640000;338680882.49630000
SANDUSDT;5.84090000;-1.113;6.11470000;5.56640000;338687944.19230000
SANDUSDT;5.84070000;-0.970;6.11470000;5.56640000;338639499.99220000
SANDUSDT;5.85570000;-0.957;6.11470000;5.56640000;338473302.89850000
SANDUSDT;5.84870000;-1.033;6.11470000;5.56640000;338457697.68490000
SANDUSDT;5.84930000;-0.969;6.11470000;5.56640000;338442166.73210000
SANDUSDT;5.84920000;-1.091;6.11470000;5.56640000;338114948.84990000
SANDUSDT;5.82970000;-1.215;6.11470000;5.56640000;338018647.05110000
SANDUSDT;5.82870000;-1.078;6.11470000;5.56640000;337964727.74320000
SANDUSDT;5.82890000;-0.946;6.11470000;5.56640000;337633445.38160000
SANDUSDT;5.82920000;-0.942;6.11470000;5.56640000;337600962.48450000
SANDUSDT;5.82780000;-0.785;6.11470000;5.56640000;337587249.02500000
SANDUSDT;5.83070000;-1.052;6.11470000;5.56640000;337414087.58760000
SANDUSDT;5.84600000;-0.779;6.11470000;5.56640000;337431126.15390000
SANDUSDT;5.83780000;-1.001;6.11470000;5.56640000;337211185.23440000
SANDUSDT;5.83870000;-1.153;6.11470000;5.56640000;337108109.87840000
SANDUSDT;5.84000000;-1.143;6.11470000;5.56640000;337079685.18010000
SANDUSDT;5.84180000;-1.183;6.11470000;5.56640000;337075218.19220000
SANDUSDT;5.84220000;-1.037;6.11470000;5.56640000;337019265.22960000
SANDUSDT;5.84760000;-0.956;6.11470000;5.56640000;337008002.82690000
SANDUSDT;5.83820000;-1.050;6.11470000;5.56640000;337015381.27900000
SANDUSDT;5.83850000;-1.218;6.11470000;5.56640000;337016079.45010000
SANDUSDT;5.83410000;-1.271;6.11470000;5.56640000;336992271.24020000
SANDUSDT;5.83470000;-1.224;6.11470000;5.56640000;336931171.72440000
SANDUSDT;5.83340000;-1.265;6.11470000;5.56640000;336911062.88780000
SANDUSDT;5.83570000;-1.170;6.11470000;5.56640000;336995404.15790000
SANDUSDT;5.83190000;-1.261;6.11470000;5.56640000;337004202.24660000
SANDUSDT;5.83000000;-1.318;6.11470000;5.56640000;337074580.69430000
SANDUSDT;5.82890000;-1.379;6.11470000;5.56640000;337158310.15950000
SANDUSDT;5.83220000;-1.398;6.11470000;5.56640000;337136569.15410000
SANDUSDT;5.82820000;-1.538;6.11470000;5.56640000;337108278.01680000
SANDUSDT;5.82920000;-1.535;6.11470000;5.56640000;337066392.90570000
SANDUSDT;5.82560000;-1.658;6.11470000;5.56640000;337094477.98870000
SANDUSDT;5.82400000;-1.779;6.11470000;5.56640000;337116505.51430000
SANDUSDT;5.82250000;-1.856;6.11470000;5.56640000;337019313.43640000
SANDUSDT;5.81310000;-1.985;6.11470000;5.56640000;337100272.91630000
SANDUSDT;5.80590000;-2.033;6.11470000;5.56640000;337155206.60540000
SANDUSDT;5.81540000;-1.952;6.11470000;5.56640000;337267019.99930000
SANDUSDT;5.81820000;-1.948;6.11470000;5.56640000;337282275.44860000
SANDUSDT;5.81250000;-2.098;6.11470000;5.56640000;337233993.68160000
SANDUSDT;5.80880000;-1.989;6.11470000;5.56640000;337128870.91240000
SANDUSDT;5.81690000;-1.997;6.11470000;5.56640000;337283541.60990000
SANDUSDT;5.81730000;-1.969;6.11470000;5.56640000;337294169.11860000
SANDUSDT;5.82330000;-1.779;6.11470000;5.56640000;337319046.84970000
SANDUSDT;5.82260000;-1.820;6.11470000;5.56640000;337343791.65160000
SANDUSDT;5.82330000;-1.795;6.11470000;5.56640000;337244827.48850000
SANDUSDT;5.81940000;-1.787;6.11470000;5.56640000;337266300.41870000
SANDUSDT;5.81740000;-1.909;6.11470000;5.56640000;337269493.63000000
SANDUSDT;5.81840000;-1.740;6.11470000;5.56640000;337287650.49830000
SANDUSDT;5.81900000;-1.863;6.11470000;5.56640000;337348615.92300000
SANDUSDT;5.81850000;-1.841;6.11470000;5.56640000;337343268.91260000
SANDUSDT;5.81800000;-1.864;6.11470000;5.56640000;337310682.96820000
SANDUSDT;5.82200000;-1.681;6.11470000;5.56640000;337256774.71610000
SANDUSDT;5.82640000;-1.670;6.11470000;5.56640000;337212382.95550000
SANDUSDT;5.82670000;-1.544;6.11470000;5.56640000;337400090.22560000
SANDUSDT;5.83010000;-1.490;6.11470000;5.56640000;337383672.90910000
SANDUSDT;5.82480000;-1.602;6.11470000;5.56640000;337368936.21630000
SANDUSDT;5.82750000;-1.531;6.11470000;5.56640000;337359182.87340000
SANDUSDT;5.82270000;-1.788;6.11470000;5.56640000;337200668.34700000
SANDUSDT;5.81880000;-1.994;6.11470000;5.56640000;337194896.18050000
SANDUSDT;5.82070000;-1.977;6.11470000;5.56640000;337139374.85900000
SANDUSDT;5.82010000;-1.926;6.11470000;5.56640000;337118083.31400000
SANDUSDT;5.82400000;-1.815;6.11470000;5.56640000;337095191.46480000
SANDUSDT;5.83000000;-1.812;6.11470000;5.56640000;337075920.61240000
SANDUSDT;5.83190000;-1.894;6.11470000;5.56640000;337087163.81390000
SANDUSDT;5.83210000;-1.883;6.11470000;5.56640000;337048600.21830000
SANDUSDT;5.83960000;-1.755;6.11470000;5.56640000;337042606.58640000
SANDUSDT;5.83750000;-1.777;6.11470000;5.56640000;337027526.41410000
SANDUSDT;5.83450000;-1.850;6.11470000;5.56640000;336956727.27380000
SANDUSDT;5.83770000;-1.893;6.11470000;5.56640000;336920100.09300000
SANDUSDT;5.84140000;-1.925;6.11470000;5.56640000;336832447.32720000
SANDUSDT;5.84230000;-1.955;6.11470000;5.56640000;336777194.07780000
SANDUSDT;5.83950000;-2.148;6.11470000;5.56640000;336613878.58670000
SANDUSDT;5.84150000;-2.221;6.11470000;5.56640000;336614174.55160000
SANDUSDT;5.84820000;-2.230;6.11470000;5.56640000;336584139.70530000
SANDUSDT;5.85490000;-2.176;6.11470000;5.56640000;336514670.06170000
SANDUSDT;5.85540000;-2.330;6.11470000;5.56640000;336497537.52300000
SANDUSDT;5.86120000;-2.458;6.11470000;5.56640000;336230533.02210000
SANDUSDT;5.86290000;-2.269;6.11470000;5.56640000;336105425.27430000
SANDUSDT;5.85930000;-2.496;6.11470000;5.56640000;336063264.30470000
SANDUSDT;5.86120000;-2.395;6.11470000;5.56640000;335931068.78960000
SANDUSDT;5.86310000;-2.311;6.11470000;5.56640000;335845533.58610000
SANDUSDT;5.86590000;-2.539;6.11470000;5.56640000;335794787.40110000
SANDUSDT;5.86040000;-2.823;6.11470000;5.56640000;335662849.90480000
SANDUSDT;5.85250000;-3.002;6.11470000;5.56640000;335468106.43440000
SANDUSDT;5.85870000;-3.208;6.11470000;5.56640000;334888649.96650000
SANDUSDT;5.86380000;-3.209;6.11470000;5.56640000;334644356.56480000
SANDUSDT;5.86580000;-3.471;6.11470000;5.56640000;334367352.77680000
SANDUSDT;5.86560000;-3.099;6.11470000;5.56640000;333265494.07680000
SANDUSDT;5.86060000;-3.328;6.11470000;5.56640000;332957162.16180000
SANDUSDT;5.85310000;-3.373;6.11470000;5.56640000;332866475.59130000
SANDUSDT;5.85320000;-3.174;6.11470000;5.56640000;332813497.33410000
SANDUSDT;5.86190000;-3.187;6.11470000;5.56640000;332726053.34540000
SANDUSDT;5.86000000;-2.948;6.11470000;5.56640000;332663862.45790000
SANDUSDT;5.86440000;-2.773;6.11470000;5.56640000;332524624.29710000
SANDUSDT;5.86510000;-2.695;6.11470000;5.56640000;332379948.47590000
SANDUSDT;5.86650000;-2.803;6.11470000;5.56640000;332251505.23630000
SANDUSDT;5.86690000;-2.854;6.11470000;5.56640000;332204444.25200000
SANDUSDT;5.86610000;-2.894;6.11470000;5.56640000;332090796.89290000
SANDUSDT;5.86390000;-2.614;6.11470000;5.56640000;331967522.01090000
SANDUSDT;5.86270000;-2.588;6.11470000;5.56640000;331866790.16360000
SANDUSDT;5.86270000;-2.645;6.11470000;5.56640000;331716471.40980000
SANDUSDT;5.86540000;-2.630;6.11470000;5.56640000;331626615.48370000
SANDUSDT;5.86900000;-2.669;6.11470000;5.56640000;331560968.06990000
SANDUSDT;5.86380000;-3.018;6.11470000;5.56640000;331169641.27150000
