Symbol;Price;Change24;Max24;Min24;Volume24
SANTOSUSDT;3.63900000;-1.967;3.77400000;3.55200000;852232.80107000
SANTOSUSDT;3.63900000;-1.967;3.77400000;3.55200000;852232.80107000
SANTOSUSDT;3.63900000;-1.967;3.77400000;3.55200000;852232.80107000
SANTOSUSDT;3.64400000;-1.779;3.77400000;3.55200000;848850.94556000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;849041.71796000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;849041.71796000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;849041.71796000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;849041.71796000
SANTOSUSDT;3.64000000;-1.913;3.77400000;3.55200000;848512.44936000
SANTOSUSDT;3.64000000;-1.913;3.77400000;3.55200000;848512.44936000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847963.10539000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847963.10539000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847963.10539000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;846920.55829000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847727.88369000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847727.88369000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847727.88369000
SANTOSUSDT;3.64000000;-1.887;3.77400000;3.55200000;847727.88369000
SANTOSUSDT;3.64000000;-1.992;3.77400000;3.55200000;847705.81549000
SANTOSUSDT;3.63900000;-1.992;3.77400000;3.55200000;847705.81549000
SANTOSUSDT;3.63700000;-2.046;3.77400000;3.55200000;848035.54805000
SANTOSUSDT;3.63700000;-2.073;3.77400000;3.55200000;848611.43063000
SANTOSUSDT;3.63700000;-1.968;3.77400000;3.55200000;848599.99151000
SANTOSUSDT;3.63700000;-1.968;3.77400000;3.55200000;848572.09231000
SANTOSUSDT;3.63700000;-1.968;3.77400000;3.55200000;848572.09231000
SANTOSUSDT;3.63700000;-2.152;3.77400000;3.55200000;848561.11071000
SANTOSUSDT;3.63700000;-2.152;3.77400000;3.55200000;848561.11071000
SANTOSUSDT;3.63700000;-2.152;3.77400000;3.55200000;848561.11071000
SANTOSUSDT;3.63700000;-2.152;3.77400000;3.55200000;848561.11071000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;848605.97826000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.63300000;-2.260;3.77400000;3.55200000;849744.96009000
SANTOSUSDT;3.64100000;-2.176;3.77400000;3.55200000;847439.15896000
SANTOSUSDT;3.64500000;-2.176;3.77400000;3.55200000;847439.15896000
SANTOSUSDT;3.64500000;-2.069;3.77400000;3.55200000;847489.13191000
SANTOSUSDT;3.64500000;-2.069;3.77400000;3.55200000;847489.13191000
SANTOSUSDT;3.64500000;-2.069;3.77400000;3.55200000;847489.13191000
SANTOSUSDT;3.64500000;-2.069;3.77400000;3.55200000;847489.13191000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;847470.67079000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;847470.67079000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-2.016;3.77400000;3.55200000;846962.46479000
SANTOSUSDT;3.64500000;-1.937;3.77400000;3.55200000;841900.66124000
SANTOSUSDT;3.64500000;-1.990;3.77400000;3.55200000;841337.39670000
SANTOSUSDT;3.64500000;-1.911;3.77400000;3.55200000;841300.20670000
SANTOSUSDT;3.63700000;-1.857;3.77400000;3.55200000;840985.95034000
SANTOSUSDT;3.63700000;-2.126;3.77400000;3.55200000;840976.90029000
SANTOSUSDT;3.63700000;-2.205;3.77400000;3.55200000;839650.41281000
SANTOSUSDT;3.63700000;-2.205;3.77400000;3.55200000;839650.41281000
