Symbol;Price;Change24;Max24;Min24;Volume24
SCUSDT;0.01551000;1.373;0.01572000;0.01483000;3629985.23092000
SCUSDT;0.01552000;1.438;0.01572000;0.01483000;3629992.86136000
SCUSDT;0.01551000;1.373;0.01572000;0.01483000;3630181.20545000
SCUSDT;0.01550000;1.373;0.01572000;0.01483000;3630171.09215000
SCUSDT;0.01550000;1.307;0.01572000;0.01483000;3630296.39415000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3629855.79569000
SCUSDT;0.01551000;1.572;0.01572000;0.01483000;3620163.51371000
SCUSDT;0.01549000;1.441;0.01572000;0.01483000;3620168.17765000
SCUSDT;0.01549000;1.441;0.01572000;0.01483000;3620168.17765000
SCUSDT;0.01549000;1.441;0.01572000;0.01483000;3618702.30574000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3618968.37553000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3618968.37553000
SCUSDT;0.01549000;1.640;0.01572000;0.01483000;3618948.66433000
SCUSDT;0.01548000;1.442;0.01572000;0.01483000;3619044.87814000
SCUSDT;0.01548000;1.442;0.01572000;0.01483000;3620438.07814000
SCUSDT;0.01548000;1.442;0.01572000;0.01483000;3620600.34154000
SCUSDT;0.01548000;1.442;0.01572000;0.01483000;3620600.34154000
SCUSDT;0.01546000;1.178;0.01572000;0.01483000;3620609.66884000
SCUSDT;0.01547000;1.310;0.01572000;0.01483000;3622260.96953000
SCUSDT;0.01546000;1.310;0.01572000;0.01483000;3622260.96953000
SCUSDT;0.01546000;1.311;0.01572000;0.01483000;3623362.15762000
SCUSDT;0.01546000;1.311;0.01572000;0.01483000;3623294.06750000
SCUSDT;0.01545000;1.245;0.01572000;0.01483000;3623574.88977000
SCUSDT;0.01545000;1.245;0.01572000;0.01483000;3623524.89801000
SCUSDT;0.01547000;1.244;0.01572000;0.01483000;3623474.11311000
SCUSDT;0.01548000;1.176;0.01572000;0.01483000;3619342.45872000
SCUSDT;0.01547000;1.045;0.01572000;0.01483000;3620075.45962000
SCUSDT;0.01547000;1.045;0.01572000;0.01483000;3620019.93025000
SCUSDT;0.01546000;0.980;0.01572000;0.01483000;3619923.18211000
SCUSDT;0.01546000;1.046;0.01572000;0.01483000;3619497.55093000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3627500.26160000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3627500.26160000
SCUSDT;0.01549000;1.242;0.01572000;0.01483000;3627169.32299000
SCUSDT;0.01549000;1.242;0.01572000;0.01483000;3627169.32299000
SCUSDT;0.01550000;1.242;0.01572000;0.01483000;3627169.32299000
SCUSDT;0.01550000;1.440;0.01572000;0.01483000;3627042.12339000
SCUSDT;0.01546000;1.243;0.01572000;0.01483000;3632086.54285000
SCUSDT;0.01547000;1.310;0.01572000;0.01483000;3633870.51941000
SCUSDT;0.01549000;1.243;0.01572000;0.01483000;3630686.03172000
SCUSDT;0.01549000;1.441;0.01572000;0.01483000;3630655.67335000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3630556.36344000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3630681.56911000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3630670.31310000
SCUSDT;0.01549000;1.374;0.01572000;0.01483000;3631909.18358000
SCUSDT;0.01549000;1.309;0.01572000;0.01483000;3631998.93662000
SCUSDT;0.01549000;1.441;0.01572000;0.01483000;3632780.09520000
