Symbol;Price;Change24;Max24;Min24;Volume24
SFPUSDT;1.64420000;6.064;1.70680000;1.50570000;20846202.57980000
SFPUSDT;1.64140000;5.883;1.70680000;1.50570000;20845109.39980000
SFPUSDT;1.64220000;6.065;1.70680000;1.50570000;20841106.13870000
SFPUSDT;1.64120000;6.000;1.70680000;1.50570000;20842145.06370000
SFPUSDT;1.64160000;6.026;1.70680000;1.50570000;20841054.62970000
SFPUSDT;1.64140000;6.044;1.70680000;1.50570000;20841884.02490000
SFPUSDT;1.64100000;6.097;1.70680000;1.50570000;20842660.96970000
SFPUSDT;1.63920000;5.966;1.70680000;1.50570000;20854996.29030000
SFPUSDT;1.63700000;5.849;1.70680000;1.50570000;20870672.65290000
SFPUSDT;1.63660000;5.710;1.70680000;1.50570000;20877987.11750000
SFPUSDT;1.63600000;5.606;1.70680000;1.50570000;20871221.09830000
SFPUSDT;1.63750000;5.843;1.70680000;1.50570000;20874857.24350000
SFPUSDT;1.63790000;5.914;1.70680000;1.50570000;20877125.85830000
SFPUSDT;1.63950000;5.968;1.70680000;1.50570000;20878013.03170000
SFPUSDT;1.64090000;6.007;1.70680000;1.50570000;20878540.92520000
SFPUSDT;1.63760000;5.707;1.70680000;1.50570000;20888720.82010000
SFPUSDT;1.63760000;5.746;1.70680000;1.50570000;20889302.21350000
SFPUSDT;1.64030000;6.044;1.70680000;1.50570000;20890519.31930000
SFPUSDT;1.63850000;5.915;1.70680000;1.50570000;20898017.98250000
SFPUSDT;1.63410000;5.734;1.70680000;1.50570000;20905023.14590000
SFPUSDT;1.63310000;5.661;1.70680000;1.50570000;20902322.50320000
SFPUSDT;1.63700000;5.850;1.70680000;1.50570000;20905443.25020000
SFPUSDT;1.63600000;5.841;1.70680000;1.50570000;20906242.78720000
SFPUSDT;1.63820000;5.964;1.70680000;1.50570000;20908239.02530000
SFPUSDT;1.63630000;5.728;1.70680000;1.50570000;20904284.53990000
SFPUSDT;1.64000000;5.552;1.70680000;1.50570000;20919216.17480000
SFPUSDT;1.63630000;5.438;1.70680000;1.50570000;20929501.65070000
SFPUSDT;1.63650000;5.520;1.70680000;1.50570000;20929205.21750000
SFPUSDT;1.63560000;5.257;1.70680000;1.50570000;20929604.53900000
SFPUSDT;1.63670000;5.410;1.70680000;1.50570000;20927872.97390000
SFPUSDT;1.63570000;5.385;1.70680000;1.50570000;20929567.36660000
SFPUSDT;1.63470000;5.295;1.70680000;1.50570000;20932519.49110000
SFPUSDT;1.63470000;5.539;1.70680000;1.50570000;20925412.21290000
SFPUSDT;1.63500000;5.400;1.70680000;1.50570000;20909028.74330000
SFPUSDT;1.63620000;5.528;1.70680000;1.50570000;20910672.82050000
SFPUSDT;1.63550000;5.811;1.70680000;1.50570000;20908841.39780000
SFPUSDT;1.63600000;5.951;1.70680000;1.50570000;20908050.52930000
SFPUSDT;1.63790000;5.944;1.70680000;1.50570000;20904849.34510000
SFPUSDT;1.63760000;5.725;1.70680000;1.50570000;20904173.87730000
SFPUSDT;1.63770000;5.658;1.70680000;1.50570000;20912483.30280000
SFPUSDT;1.63790000;5.637;1.70680000;1.50570000;20908396.82180000
SFPUSDT;1.63770000;5.637;1.70680000;1.50570000;20910117.19670000
SFPUSDT;1.63820000;5.690;1.70680000;1.50570000;20911239.33950000
SFPUSDT;1.63830000;5.710;1.70680000;1.50570000;20911979.94550000
SFPUSDT;1.63920000;5.743;1.70680000;1.50570000;20912108.84500000
SFPUSDT;1.63920000;5.782;1.70680000;1.50570000;20912466.05760000
SFPUSDT;1.63830000;5.724;1.70680000;1.50570000;20919116.92840000
SFPUSDT;1.63950000;5.897;1.70680000;1.50570000;20919123.00040000
SFPUSDT;1.63920000;5.755;1.70680000;1.50570000;20919414.22140000
SFPUSDT;1.63930000;5.645;1.70680000;1.50570000;20920419.98730000
SFPUSDT;1.63530000;5.585;1.70680000;1.50570000;20919875.60090000
SFPUSDT;1.63720000;5.416;1.70680000;1.50570000;20927283.65770000
SFPUSDT;1.63840000;5.441;1.70680000;1.50570000;20927300.80400000
SFPUSDT;1.63820000;5.493;1.70680000;1.50570000;20927500.68140000
SFPUSDT;1.63860000;5.709;1.70680000;1.50570000;20924937.07430000
SFPUSDT;1.63860000;5.709;1.70680000;1.50570000;20925123.87470000
SFPUSDT;1.63690000;5.600;1.70680000;1.50570000;20926613.19790000
SFPUSDT;1.63770000;5.570;1.70680000;1.50570000;20926307.23310000
SFPUSDT;1.63640000;5.486;1.70680000;1.50570000;20927434.55310000
SFPUSDT;1.63500000;5.372;1.70680000;1.50570000;20925294.11610000
SFPUSDT;1.63670000;5.243;1.70680000;1.50570000;20931733.05600000
SFPUSDT;1.63430000;5.200;1.70680000;1.50570000;20908083.46980000
SFPUSDT;1.63870000;5.369;1.70680000;1.50570000;20915867.03680000
SFPUSDT;1.63550000;5.224;1.70680000;1.50570000;20925882.89140000
SFPUSDT;1.63350000;5.062;1.70680000;1.50570000;20926082.02380000
SFPUSDT;1.62510000;5.059;1.70680000;1.50570000;20961695.91670000
SFPUSDT;1.62670000;5.308;1.70680000;1.50570000;20963853.79290000
SFPUSDT;1.62760000;5.353;1.70680000;1.50570000;20963870.20620000
SFPUSDT;1.62820000;5.337;1.70680000;1.50570000;20959256.95870000
SFPUSDT;1.62680000;5.428;1.70680000;1.50570000;20960979.72200000
