Symbol;Price;Change24;Max24;Min24;Volume24
SKLUSDT;0.21070000;-0.940;0.21950000;0.20090000;3531375.32280000
SKLUSDT;0.21070000;-0.940;0.21950000;0.20090000;3531375.32280000
SKLUSDT;0.21070000;-0.987;0.21950000;0.20090000;3531346.18290000
SKLUSDT;0.21070000;-0.987;0.21950000;0.20090000;3531346.18290000
SKLUSDT;0.21070000;-0.987;0.21950000;0.20090000;3531346.18290000
SKLUSDT;0.21070000;-0.894;0.21950000;0.20090000;3530632.94450000
SKLUSDT;0.21070000;-0.800;0.21950000;0.20090000;3529838.44660000
SKLUSDT;0.21060000;-0.894;0.21950000;0.20090000;3529154.65780000
SKLUSDT;0.21060000;-0.847;0.21950000;0.20090000;3527122.97810000
SKLUSDT;0.21060000;-0.847;0.21950000;0.20090000;3528140.34630000
SKLUSDT;0.21060000;-0.847;0.21950000;0.20090000;3528411.14070000
SKLUSDT;0.21060000;-0.847;0.21950000;0.20090000;3528411.14070000
SKLUSDT;0.21030000;-0.989;0.21950000;0.20090000;3528385.19250000
SKLUSDT;0.21030000;-0.942;0.21950000;0.20090000;3527895.79320000
SKLUSDT;0.21030000;-0.942;0.21950000;0.20090000;3527895.79320000
SKLUSDT;0.21030000;-1.035;0.21950000;0.20090000;3527828.06950000
SKLUSDT;0.21020000;-0.942;0.21950000;0.20090000;3527777.06950000
SKLUSDT;0.21040000;-1.035;0.21950000;0.20090000;3527252.95900000
SKLUSDT;0.21050000;-1.313;0.21950000;0.20090000;3518895.66090000
SKLUSDT;0.21020000;-1.175;0.21950000;0.20090000;3519219.18610000
SKLUSDT;0.21000000;-1.269;0.21950000;0.20090000;3520197.98960000
SKLUSDT;0.21000000;-1.269;0.21950000;0.20090000;3520197.98960000
SKLUSDT;0.21000000;-1.316;0.21950000;0.20090000;3518614.86210000
SKLUSDT;0.21000000;-1.362;0.21950000;0.20090000;3516410.64520000
SKLUSDT;0.21000000;-1.455;0.21950000;0.20090000;3515301.87210000
SKLUSDT;0.21000000;-1.639;0.21950000;0.20090000;3511638.43580000
SKLUSDT;0.21020000;-1.546;0.21950000;0.20090000;3511985.58570000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3506431.54510000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3506431.54510000
SKLUSDT;0.21020000;-1.407;0.21950000;0.20090000;3505058.12570000
SKLUSDT;0.21020000;-1.453;0.21950000;0.20090000;3503953.80310000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3503903.03770000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3503964.62630000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3503964.62630000
SKLUSDT;0.21020000;-1.638;0.21950000;0.20090000;3503964.62630000
SKLUSDT;0.21020000;-1.500;0.21950000;0.20090000;3503873.16270000
SKLUSDT;0.21020000;-1.453;0.21950000;0.20090000;3503822.37350000
SKLUSDT;0.21060000;-1.127;0.21950000;0.20090000;3501276.76890000
SKLUSDT;0.21060000;-1.266;0.21950000;0.20090000;3499069.40640000
SKLUSDT;0.21060000;-1.173;0.21950000;0.20090000;3498818.35230000
SKLUSDT;0.21060000;-1.173;0.21950000;0.20090000;3498567.53360000
SKLUSDT;0.21060000;-1.173;0.21950000;0.20090000;3498567.53360000
SKLUSDT;0.21060000;-1.173;0.21950000;0.20090000;3498567.53360000
SKLUSDT;0.21060000;-1.220;0.21950000;0.20090000;3498477.17920000
SKLUSDT;0.21060000;-1.220;0.21950000;0.20090000;3498306.61920000
SKLUSDT;0.21060000;-1.220;0.21950000;0.20090000;3498306.61920000
