Symbol;Price;Change24;Max24;Min24;Volume24
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23374310.56970000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23372298.34830000
SLPUSDT;0.02740000;-2.491;0.02850000;0.02660000;23370340.76430000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23365923.21370000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23361138.21080000
SLPUSDT;0.02730000;-2.491;0.02850000;0.02660000;23361672.08380000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23359895.43930000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23359816.40830000
SLPUSDT;0.02740000;-2.847;0.02850000;0.02660000;23358388.31650000
SLPUSDT;0.02730000;-2.491;0.02850000;0.02660000;23358090.05530000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23358054.39790000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23358162.50180000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23355784.44940000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23279490.39550000
SLPUSDT;0.02740000;-2.491;0.02850000;0.02660000;23290830.07070000
SLPUSDT;0.02730000;-2.491;0.02850000;0.02660000;23277959.99750000
SLPUSDT;0.02730000;-2.837;0.02850000;0.02660000;23255783.37770000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23256361.11750000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23272588.45450000
SLPUSDT;0.02730000;-2.491;0.02850000;0.02660000;23290959.86900000
SLPUSDT;0.02720000;-3.203;0.02850000;0.02660000;23295745.10960000
SLPUSDT;0.02720000;-3.203;0.02850000;0.02660000;23291182.04390000
SLPUSDT;0.02720000;-2.847;0.02850000;0.02660000;23293053.16100000
SLPUSDT;0.02730000;-3.203;0.02850000;0.02660000;23292468.21400000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23292115.26320000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23229141.14700000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23225591.95520000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23224537.50210000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23225206.42870000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23225068.11030000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23241585.02640000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23239693.32280000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23231965.15420000
SLPUSDT;0.02720000;-3.191;0.02850000;0.02660000;23221193.73190000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23222154.21730000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23218400.47050000
SLPUSDT;0.02730000;-3.887;0.02850000;0.02660000;23216610.83190000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23155498.10390000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23139653.45710000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23142875.29690000
SLPUSDT;0.02720000;-3.191;0.02850000;0.02660000;23140365.08860000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23139648.69080000
SLPUSDT;0.02730000;-3.887;0.02850000;0.02660000;23141008.55570000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23140285.27550000
SLPUSDT;0.02730000;-3.887;0.02850000;0.02660000;23139646.04010000
SLPUSDT;0.02720000;-3.191;0.02850000;0.02660000;23138592.16170000
SLPUSDT;0.02730000;-3.534;0.02850000;0.02660000;23139562.40690000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23138067.75340000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23156103.72440000
SLPUSDT;0.02720000;-3.191;0.02850000;0.02660000;23155954.25490000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23153182.00230000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23152317.45120000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23152531.99320000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23160973.71810000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23159549.04960000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23183145.15910000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23179497.23570000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23178412.20700000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23181821.09660000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23180496.54150000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23176781.25330000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23160817.55970000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23162074.72970000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23141507.76510000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23140081.44340000
SLPUSDT;0.02720000;-3.887;0.02850000;0.02660000;23107077.62850000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23104156.70510000
SLPUSDT;0.02720000;-3.191;0.02850000;0.02660000;23103766.17280000
SLPUSDT;0.02730000;-3.546;0.02850000;0.02660000;23123386.30360000
SLPUSDT;0.02730000;-3.534;0.02850000;0.02660000;23123111.95630000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23122937.07320000
SLPUSDT;0.02730000;-3.191;0.02850000;0.02660000;23140022.68650000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23138980.99980000
SLPUSDT;0.02720000;-3.546;0.02850000;0.02660000;23134010.42160000
SLPUSDT;0.02730000;-3.203;0.02850000;0.02660000;23045280.73020000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;23045295.13900000
SLPUSDT;0.02720000;-3.203;0.02850000;0.02660000;23045077.83560000
SLPUSDT;0.02730000;-2.857;0.02850000;0.02660000;22814114.73460000
SLPUSDT;0.02720000;-2.500;0.02850000;0.02660000;22790844.29770000
SLPUSDT;0.02720000;-2.857;0.02850000;0.02660000;22738394.47050000
SLPUSDT;0.02730000;-2.847;0.02850000;0.02660000;22723366.85530000
SLPUSDT;0.02720000;-2.500;0.02850000;0.02660000;22723766.77690000
SLPUSDT;0.02720000;-3.203;0.02850000;0.02660000;22724569.54780000
SLPUSDT;0.02730000;-2.500;0.02850000;0.02660000;22726444.79970000
SLPUSDT;0.02720000;-2.857;0.02850000;0.02660000;22724423.42410000
SLPUSDT;0.02720000;-2.857;0.02850000;0.02660000;22726130.83260000
