Symbol;Price;Change24;Max24;Min24;Volume24
SNXUSDT;5.53000000;-1.531;5.79800000;5.28100000;13892866.12010000
SNXUSDT;5.52600000;-1.620;5.79800000;5.28100000;13891383.53510000
SNXUSDT;5.52600000;-1.568;5.79800000;5.28100000;13890809.51650000
SNXUSDT;5.52300000;-1.550;5.79800000;5.28100000;13891920.25330000
SNXUSDT;5.52300000;-1.621;5.79800000;5.28100000;13892301.34270000
SNXUSDT;5.52600000;-1.568;5.79800000;5.28100000;13889698.13640000
SNXUSDT;5.52600000;-1.480;5.79800000;5.28100000;13884351.00450000
SNXUSDT;5.52600000;-1.585;5.79800000;5.28100000;13879926.45120000
SNXUSDT;5.52600000;-1.409;5.79800000;5.28100000;13875778.87510000
SNXUSDT;5.52500000;-1.533;5.79800000;5.28100000;13871902.21900000
SNXUSDT;5.52500000;-1.498;5.79800000;5.28100000;13871079.08530000
SNXUSDT;5.52500000;-1.462;5.79800000;5.28100000;13870453.04330000
SNXUSDT;5.52200000;-1.339;5.79800000;5.28100000;13870185.55330000
SNXUSDT;5.52100000;-1.657;5.79800000;5.28100000;13870064.65150000
SNXUSDT;5.52100000;-1.586;5.79800000;5.28100000;13870740.84280000
SNXUSDT;5.52000000;-1.657;5.79800000;5.28100000;13870676.33620000
SNXUSDT;5.52000000;-1.709;5.79800000;5.28100000;13870368.03780000
SNXUSDT;5.52400000;-1.673;5.79800000;5.28100000;13872774.36990000
SNXUSDT;5.52400000;-1.691;5.79800000;5.28100000;13873000.26420000
SNXUSDT;5.50900000;-1.852;5.79800000;5.28100000;13875404.35330000
SNXUSDT;5.51300000;-1.817;5.79800000;5.28100000;13877071.77850000
SNXUSDT;5.50800000;-1.836;5.79800000;5.28100000;13876971.95650000
SNXUSDT;5.50900000;-1.871;5.79800000;5.28100000;13878122.81580000
SNXUSDT;5.51500000;-1.781;5.79800000;5.28100000;13878507.16070000
SNXUSDT;5.51500000;-1.746;5.79800000;5.28100000;13881206.34990000
SNXUSDT;5.51400000;-2.078;5.79800000;5.28100000;13861475.52640000
SNXUSDT;5.50700000;-2.237;5.79800000;5.28100000;13868849.53910000
SNXUSDT;5.51300000;-2.113;5.79800000;5.28100000;13868363.86270000
SNXUSDT;5.51300000;-2.113;5.79800000;5.28100000;13868101.42710000
SNXUSDT;5.51300000;-2.009;5.79800000;5.28100000;13869507.49490000
SNXUSDT;5.51600000;-1.938;5.79800000;5.28100000;13869940.15510000
SNXUSDT;5.51600000;-1.955;5.79800000;5.28100000;13870078.18880000
SNXUSDT;5.52100000;-1.936;5.79800000;5.28100000;13870152.28130000
SNXUSDT;5.52200000;-1.953;5.79800000;5.28100000;13868534.19460000
SNXUSDT;5.52500000;-1.917;5.79800000;5.28100000;13868144.21380000
SNXUSDT;5.52400000;-1.917;5.79800000;5.28100000;13868244.21630000
SNXUSDT;5.52400000;-1.708;5.79800000;5.28100000;13865668.24320000
SNXUSDT;5.52500000;-1.778;5.79800000;5.28100000;13868555.73530000
SNXUSDT;5.52500000;-1.848;5.79800000;5.28100000;13864250.68980000
SNXUSDT;5.52700000;-1.760;5.79800000;5.28100000;13863864.21230000
SNXUSDT;5.52700000;-1.690;5.79800000;5.28100000;13862127.78090000
SNXUSDT;5.52700000;-1.690;5.79800000;5.28100000;13862127.78090000
SNXUSDT;5.52800000;-1.829;5.79800000;5.28100000;13860034.05820000
SNXUSDT;5.52500000;-1.847;5.79800000;5.28100000;13860533.18730000
SNXUSDT;5.52500000;-1.813;5.79800000;5.28100000;13863789.42550000
SNXUSDT;5.53200000;-1.653;5.79800000;5.28100000;13867481.30080000
