Symbol;Price;Change24;Max24;Min24;Volume24
SOLUSDT;174.54000000;0.201;177.49000000;168.17000000;235248086.90390000
SOLUSDT;174.58000000;0.258;177.49000000;168.17000000;235238525.51890000
SOLUSDT;174.54000000;0.322;177.49000000;168.17000000;235182940.87930000
SOLUSDT;174.49000000;0.259;177.49000000;168.17000000;235168674.24830000
SOLUSDT;174.47000000;0.345;177.49000000;168.17000000;235128137.65920000
SOLUSDT;174.47000000;0.385;177.49000000;168.17000000;235112396.86040000
SOLUSDT;174.49000000;0.547;177.49000000;168.17000000;235061773.14950000
SOLUSDT;174.45000000;0.391;177.49000000;168.17000000;234938282.16810000
SOLUSDT;174.48000000;0.455;177.49000000;168.17000000;234912421.91570000
SOLUSDT;174.50000000;0.409;177.49000000;168.17000000;234920478.84190000
SOLUSDT;174.48000000;0.345;177.49000000;168.17000000;234899475.31910000
SOLUSDT;174.45000000;0.362;177.49000000;168.17000000;234864551.46620000
SOLUSDT;174.47000000;0.495;177.49000000;168.17000000;234782366.77820000
SOLUSDT;174.46000000;0.420;177.49000000;168.17000000;234757467.47650000
SOLUSDT;174.47000000;0.513;177.49000000;168.17000000;234760342.56500000
SOLUSDT;174.44000000;0.397;177.49000000;168.17000000;234748467.53950000
SOLUSDT;174.36000000;0.334;177.49000000;168.17000000;234746386.67880000
SOLUSDT;174.35000000;0.213;177.49000000;168.17000000;234658408.08300000
SOLUSDT;174.40000000;0.230;177.49000000;168.17000000;234615753.48930000
SOLUSDT;173.81000000;-0.040;177.49000000;168.17000000;235141771.92950000
SOLUSDT;173.82000000;-0.017;177.49000000;168.17000000;235204213.34060000
SOLUSDT;173.90000000;0.000;177.49000000;168.17000000;235178654.36610000
SOLUSDT;173.98000000;0.075;177.49000000;168.17000000;235178706.24810000
SOLUSDT;174.01000000;0.075;177.49000000;168.17000000;235147868.11030000
SOLUSDT;174.02000000;-0.029;177.49000000;168.17000000;235127351.45060000
SOLUSDT;174.01000000;-0.326;177.49000000;168.17000000;234922575.06780000
SOLUSDT;173.95000000;-0.332;177.49000000;168.17000000;234854498.82900000
SOLUSDT;173.99000000;-0.349;177.49000000;168.17000000;234855826.13620000
SOLUSDT;173.95000000;-0.338;177.49000000;168.17000000;234810268.68670000
SOLUSDT;173.88000000;-0.315;177.49000000;168.17000000;234758462.89700000
SOLUSDT;174.02000000;-0.138;177.49000000;168.17000000;234676957.15640000
SOLUSDT;173.97000000;-0.235;177.49000000;168.17000000;234714201.54300000
SOLUSDT;174.10000000;-0.115;177.49000000;168.17000000;234737834.38920000
SOLUSDT;174.17000000;-0.212;177.49000000;168.17000000;234598335.34660000
SOLUSDT;174.05000000;-0.246;177.49000000;168.17000000;234591710.83660000
SOLUSDT;173.98000000;-0.189;177.49000000;168.17000000;234603045.25080000
SOLUSDT;173.89000000;-0.143;177.49000000;168.17000000;234569460.53780000
SOLUSDT;174.13000000;-0.069;177.49000000;168.17000000;234537383.08660000
SOLUSDT;174.20000000;-0.046;177.49000000;168.17000000;234446735.17590000
SOLUSDT;174.23000000;-0.017;177.49000000;168.17000000;234403040.29440000
SOLUSDT;174.26000000;0.000;177.49000000;168.17000000;234295530.48600000
SOLUSDT;174.20000000;-0.092;177.49000000;168.17000000;234137927.85240000
SOLUSDT;174.23000000;-0.155;177.49000000;168.17000000;234090625.88910000
SOLUSDT;174.07000000;-0.143;177.49000000;168.17000000;234098881.33130000
SOLUSDT;174.12000000;-0.195;177.49000000;168.17000000;234011423.73730000
SOLUSDT;174.33000000;-0.080;177.49000000;168.17000000;234020810.73290000
SOLUSDT;174.30000000;-0.063;177.49000000;168.17000000;234020806.93490000
SOLUSDT;174.31000000;-0.086;177.49000000;168.17000000;233982611.78910000
SOLUSDT;174.22000000;-0.172;177.49000000;168.17000000;233981633.00400000
SOLUSDT;174.24000000;-0.263;177.49000000;168.17000000;233930737.73650000
SOLUSDT;174.14000000;-0.258;177.49000000;168.17000000;233871850.07620000
SOLUSDT;174.22000000;-0.229;177.49000000;168.17000000;233866255.33260000
SOLUSDT;174.22000000;-0.103;177.49000000;168.17000000;233595562.91620000
SOLUSDT;174.20000000;-0.097;177.49000000;168.17000000;233585632.21780000
SOLUSDT;174.17000000;-0.178;177.49000000;168.17000000;233576194.81550000
SOLUSDT;174.09000000;-0.212;177.49000000;168.17000000;233565238.82970000
SOLUSDT;174.06000000;-0.224;177.49000000;168.17000000;233573287.89630000
SOLUSDT;174.03000000;-0.315;177.49000000;168.17000000;233570860.01050000
SOLUSDT;174.02000000;-0.298;177.49000000;168.17000000;233563421.57410000
SOLUSDT;174.03000000;-0.281;177.49000000;168.17000000;233535508.41350000
SOLUSDT;174.23000000;-0.138;177.49000000;168.17000000;233412324.79640000
SOLUSDT;174.29000000;0.017;177.49000000;168.17000000;233010439.75640000
SOLUSDT;174.31000000;-0.023;177.49000000;168.17000000;232993001.94970000
SOLUSDT;174.17000000;-0.172;177.49000000;168.17000000;232821892.67280000
SOLUSDT;173.99000000;-0.281;177.49000000;168.17000000;232826302.01930000
SOLUSDT;173.89000000;0.023;177.49000000;168.17000000;232574184.82540000
SOLUSDT;173.93000000;0.023;177.49000000;168.17000000;232515115.71770000
SOLUSDT;174.06000000;0.052;177.49000000;168.17000000;232457023.12130000
SOLUSDT;174.13000000;0.011;177.49000000;168.17000000;232221797.90130000
SOLUSDT;174.00000000;-0.098;177.49000000;168.17000000;232214392.02950000
SOLUSDT;174.00000000;-0.052;177.49000000;168.17000000;232200746.47840000
SOLUSDT;173.90000000;0.035;177.49000000;168.17000000;232044461.47750000
SOLUSDT;173.69000000;0.110;177.49000000;168.17000000;231976477.06920000
SOLUSDT;173.65000000;0.179;177.49000000;168.17000000;231772617.81240000
SOLUSDT;173.49000000;0.156;177.49000000;168.17000000;231659077.54870000
SOLUSDT;173.47000000;0.179;177.49000000;168.17000000;231637836.55340000
SOLUSDT;173.44000000;0.237;177.49000000;168.17000000;231632042.82150000
SOLUSDT;173.44000000;0.272;177.49000000;168.17000000;231646415.54340000
SOLUSDT;173.70000000;0.370;177.49000000;168.17000000;231629004.72340000
SOLUSDT;173.69000000;0.352;177.49000000;168.17000000;231744262.90680000
SOLUSDT;173.67000000;0.104;177.49000000;168.17000000;231550429.57750000
SOLUSDT;173.64000000;0.052;177.49000000;168.17000000;231523828.27490000
SOLUSDT;173.64000000;0.110;177.49000000;168.17000000;231465005.93530000
SOLUSDT;173.71000000;0.231;177.49000000;168.17000000;231483650.52940000
SOLUSDT;173.70000000;0.266;177.49000000;168.17000000;231491830.69980000
SOLUSDT;173.64000000;0.260;177.49000000;168.17000000;231486446.36520000
SOLUSDT;173.59000000;0.104;177.49000000;168.17000000;231482110.48060000
SOLUSDT;173.61000000;0.069;177.49000000;168.17000000;231481271.71550000
SOLUSDT;173.72000000;0.098;177.49000000;168.17000000;231474563.58110000
SOLUSDT;173.65000000;0.150;177.49000000;168.17000000;231514937.82070000
SOLUSDT;173.68000000;0.092;177.49000000;168.17000000;231502451.26030000
SOLUSDT;173.71000000;0.138;177.49000000;168.17000000;231515776.10150000
SOLUSDT;173.55000000;0.058;177.49000000;168.17000000;231532276.86720000
SOLUSDT;173.52000000;0.040;177.49000000;168.17000000;231515225.56620000
SOLUSDT;173.55000000;0.012;177.49000000;168.17000000;231515856.08880000
SOLUSDT;173.56000000;-0.023;177.49000000;168.17000000;231515963.59080000
SOLUSDT;173.58000000;-0.029;177.49000000;168.17000000;231501337.98170000
SOLUSDT;173.55000000;-0.058;177.49000000;168.17000000;231500814.82010000
SOLUSDT;173.38000000;-0.213;177.49000000;168.17000000;231494189.52330000
SOLUSDT;173.32000000;-0.207;177.49000000;168.17000000;231484020.97790000
SOLUSDT;173.23000000;-0.271;177.49000000;168.17000000;231511486.83750000
SOLUSDT;173.19000000;-0.282;177.49000000;168.17000000;231504414.80290000
SOLUSDT;173.34000000;-0.242;177.49000000;168.17000000;231516812.19780000
SOLUSDT;173.27000000;-0.265;177.49000000;168.17000000;231529109.69100000
SOLUSDT;173.23000000;-0.276;177.49000000;168.17000000;231529993.78970000
SOLUSDT;173.23000000;-0.173;177.49000000;168.17000000;231498565.96150000
SOLUSDT;173.40000000;-0.150;177.49000000;168.17000000;231496928.98830000
SOLUSDT;173.36000000;-0.173;177.49000000;168.17000000;231491803.72040000
SOLUSDT;173.47000000;-0.150;177.49000000;168.17000000;231486552.34300000
SOLUSDT;173.44000000;-0.155;177.49000000;168.17000000;231469784.36830000
SOLUSDT;173.44000000;-0.184;177.49000000;168.17000000;231457701.76730000
SOLUSDT;173.36000000;-0.173;177.49000000;168.17000000;231473365.43990000
SOLUSDT;173.40000000;-0.138;177.49000000;168.17000000;231472039.33280000
SOLUSDT;173.40000000;-0.115;177.49000000;168.17000000;231363622.30650000
SOLUSDT;173.49000000;-0.098;177.49000000;168.17000000;231387159.72630000
SOLUSDT;173.44000000;-0.081;177.49000000;168.17000000;231397604.59570000
SOLUSDT;173.40000000;-0.092;177.49000000;168.17000000;231394108.83730000
SOLUSDT;173.46000000;0.006;177.49000000;168.17000000;231379765.00870000
SOLUSDT;173.57000000;0.058;177.49000000;168.17000000;231348473.23360000
SOLUSDT;173.57000000;0.086;177.49000000;168.17000000;231354733.98530000
SOLUSDT;173.60000000;0.069;177.49000000;168.17000000;231543193.62110000
SOLUSDT;173.37000000;0.000;177.49000000;168.17000000;231582259.38980000
SOLUSDT;173.51000000;-0.012;177.49000000;168.17000000;231610793.71530000
SOLUSDT;173.37000000;-0.201;177.49000000;168.17000000;231592556.53780000
SOLUSDT;173.30000000;-0.316;177.49000000;168.17000000;231581044.37540000
SOLUSDT;173.36000000;-0.339;177.49000000;168.17000000;231539989.57530000
SOLUSDT;173.42000000;-0.259;177.49000000;168.17000000;231517740.94570000
SOLUSDT;173.53000000;-0.207;177.49000000;168.17000000;231507328.00740000
SOLUSDT;173.62000000;-0.201;177.49000000;168.17000000;231490538.38240000
SOLUSDT;173.65000000;-0.218;177.49000000;168.17000000;231391938.21630000
SOLUSDT;173.71000000;-0.127;177.49000000;168.17000000;231371539.63000000
SOLUSDT;173.70000000;-0.052;177.49000000;168.17000000;231352367.98600000
SOLUSDT;173.68000000;0.006;177.49000000;168.17000000;231354082.00570000
SOLUSDT;173.65000000;0.040;177.49000000;168.17000000;231348867.71390000
SOLUSDT;173.78000000;0.069;177.49000000;168.17000000;231330457.56630000
SOLUSDT;173.76000000;0.035;177.49000000;168.17000000;231276566.14370000
SOLUSDT;173.78000000;0.052;177.49000000;168.17000000;231356101.69090000
SOLUSDT;173.78000000;0.069;177.49000000;168.17000000;231357535.14850000
SOLUSDT;173.79000000;0.017;177.49000000;168.17000000;231394091.46900000
SOLUSDT;173.99000000;-0.023;177.49000000;168.17000000;231411075.64810000
SOLUSDT;174.17000000;-0.052;177.49000000;168.17000000;231384772.52810000
SOLUSDT;174.11000000;-0.052;177.49000000;168.17000000;231403692.28930000
SOLUSDT;174.18000000;-0.057;177.49000000;168.17000000;231418928.05600000
SOLUSDT;174.21000000;-0.040;177.49000000;168.17000000;231369656.66440000
SOLUSDT;174.17000000;-0.103;177.49000000;168.17000000;231398700.05470000
SOLUSDT;174.16000000;-0.063;177.49000000;168.17000000;231371363.14800000
SOLUSDT;174.24000000;-0.092;177.49000000;168.17000000;231364215.62930000
SOLUSDT;174.25000000;-0.246;177.49000000;168.17000000;231292938.61790000
SOLUSDT;174.25000000;-0.343;177.49000000;168.17000000;231224220.97940000
SOLUSDT;174.25000000;-0.406;177.49000000;168.17000000;230696345.64220000
SOLUSDT;174.30000000;-0.360;177.49000000;168.17000000;230591887.50930000
SOLUSDT;174.23000000;-0.349;177.49000000;168.17000000;230508577.06580000
SOLUSDT;174.27000000;-0.548;177.49000000;168.17000000;230444907.14530000
SOLUSDT;174.27000000;-0.303;177.49000000;168.17000000;230328153.90470000
SOLUSDT;174.11000000;-0.457;177.49000000;168.17000000;230204339.21950000
SOLUSDT;174.07000000;-0.366;177.49000000;168.17000000;230103284.55640000
SOLUSDT;174.04000000;-0.406;177.49000000;168.17000000;230108209.28150000
SOLUSDT;174.18000000;-0.292;177.49000000;168.17000000;230087302.91190000
SOLUSDT;174.13000000;-0.223;177.49000000;168.17000000;230041810.34700000
SOLUSDT;174.24000000;-0.195;177.49000000;168.17000000;230029484.31090000
SOLUSDT;174.25000000;-0.155;177.49000000;168.17000000;229991144.32410000
SOLUSDT;174.20000000;-0.201;177.49000000;168.17000000;229998663.73450000
SOLUSDT;174.25000000;-0.206;177.49000000;168.17000000;229946423.06250000
SOLUSDT;174.27000000;-0.212;177.49000000;168.17000000;229944895.18860000
SOLUSDT;174.15000000;-0.120;177.49000000;168.17000000;229865775.36670000
SOLUSDT;174.23000000;-0.086;177.49000000;168.17000000;229877655.90980000
SOLUSDT;174.25000000;-0.006;177.49000000;168.17000000;229866133.48910000
SOLUSDT;174.21000000;-0.034;177.49000000;168.17000000;229856403.84720000
SOLUSDT;174.29000000;-0.046;177.49000000;168.17000000;229858520.61740000
SOLUSDT;174.26000000;-0.275;177.49000000;168.17000000;229627460.69170000
SOLUSDT;174.24000000;-0.178;177.49000000;168.17000000;229557207.35690000
SOLUSDT;174.24000000;-0.235;177.49000000;168.17000000;229522247.72880000
SOLUSDT;174.23000000;-0.235;177.49000000;168.17000000;229528442.35100000
SOLUSDT;174.28000000;-0.143;177.49000000;168.17000000;229471565.70560000
SOLUSDT;174.43000000;-0.063;177.49000000;168.17000000;229819452.91130000
SOLUSDT;174.33000000;-0.074;177.49000000;168.17000000;229847445.69040000
SOLUSDT;174.20000000;-0.006;177.49000000;168.17000000;229811692.34320000
SOLUSDT;174.24000000;-0.166;177.49000000;168.17000000;229778889.06250000
SOLUSDT;174.27000000;-0.120;177.49000000;168.17000000;229723534.87600000
SOLUSDT;174.26000000;-0.120;177.49000000;168.17000000;229717027.89130000
SOLUSDT;174.27000000;-0.149;177.49000000;168.17000000;229630316.73920000
SOLUSDT;174.12000000;-0.321;177.49000000;168.17000000;229603070.99240000
SOLUSDT;174.05000000;-0.526;177.49000000;168.17000000;229572526.54870000
SOLUSDT;173.96000000;-0.572;177.49000000;168.17000000;229592391.09710000
SOLUSDT;173.89000000;-0.503;177.49000000;168.17000000;229565353.06090000
SOLUSDT;173.86000000;-0.549;177.49000000;168.17000000;229537803.86070000
SOLUSDT;174.00000000;-0.532;177.49000000;168.17000000;229490024.41080000
SOLUSDT;174.01000000;-0.452;177.49000000;168.17000000;229469347.98820000
SOLUSDT;174.01000000;-0.503;177.49000000;168.17000000;229357328.83420000
SOLUSDT;174.19000000;-0.423;177.49000000;168.17000000;229257364.61020000
SOLUSDT;174.05000000;-0.463;177.49000000;168.17000000;229254394.96430000
SOLUSDT;173.99000000;-0.412;177.49000000;168.17000000;229166559.71370000
SOLUSDT;174.13000000;-0.315;177.49000000;168.17000000;229149531.67400000
SOLUSDT;174.01000000;-0.418;177.49000000;168.17000000;229108368.25850000
SOLUSDT;173.86000000;-0.538;177.49000000;168.17000000;229112362.98040000
SOLUSDT;173.49000000;-0.767;177.49000000;168.17000000;229227942.40570000
SOLUSDT;173.41000000;-0.846;177.49000000;168.17000000;229219707.38590000
SOLUSDT;173.38000000;-0.801;177.49000000;168.17000000;229359068.32200000
SOLUSDT;173.47000000;-0.738;177.49000000;168.17000000;229354319.26580000
SOLUSDT;173.51000000;-0.709;177.49000000;168.17000000;229335684.52970000
SOLUSDT;173.53000000;-0.675;177.49000000;168.17000000;229370923.06680000
SOLUSDT;173.56000000;-0.755;177.49000000;168.17000000;229355180.45440000
SOLUSDT;173.63000000;-0.652;177.49000000;168.17000000;229376639.98650000
SOLUSDT;173.69000000;-0.595;177.49000000;168.17000000;229247913.90210000
SOLUSDT;173.65000000;-0.555;177.49000000;168.17000000;229219422.16670000
SOLUSDT;173.73000000;-0.538;177.49000000;168.17000000;229244223.33520000
SOLUSDT;173.62000000;-0.419;177.49000000;168.17000000;229039490.91160000
SOLUSDT;173.56000000;-0.499;177.49000000;168.17000000;228946819.82710000
SOLUSDT;173.59000000;-0.516;177.49000000;168.17000000;228897687.86840000
SOLUSDT;173.66000000;-0.407;177.49000000;168.17000000;228872735.97340000
SOLUSDT;173.64000000;-0.373;177.49000000;168.17000000;228861047.62840000
SOLUSDT;173.60000000;-0.499;177.49000000;168.17000000;228812299.96190000
SOLUSDT;173.85000000;-0.395;177.49000000;168.17000000;228818439.84780000
SOLUSDT;173.98000000;-0.338;177.49000000;168.17000000;228803204.58910000
SOLUSDT;173.86000000;-0.218;177.49000000;168.17000000;228770340.58040000
SOLUSDT;174.00000000;-0.304;177.49000000;168.17000000;228734282.16870000
SOLUSDT;173.82000000;-0.172;177.49000000;168.17000000;228715207.70350000
SOLUSDT;173.51000000;-0.373;177.49000000;168.17000000;228900267.73800000
SOLUSDT;173.50000000;-0.408;177.49000000;168.17000000;228926761.02260000
SOLUSDT;173.41000000;-0.362;177.49000000;168.17000000;228923879.90530000
SOLUSDT;173.45000000;-0.362;177.49000000;168.17000000;228910631.22640000
SOLUSDT;173.63000000;-0.345;177.49000000;168.17000000;228898372.50380000
SOLUSDT;173.64000000;-0.253;177.49000000;168.17000000;228918266.68190000
SOLUSDT;173.91000000;-0.287;177.49000000;168.17000000;228901494.83170000
SOLUSDT;173.93000000;-0.098;177.49000000;168.17000000;229006839.35410000
SOLUSDT;173.95000000;-0.144;177.49000000;168.17000000;229005490.39130000
SOLUSDT;173.92000000;-0.149;177.49000000;168.17000000;229001895.56640000
SOLUSDT;173.91000000;-0.092;177.49000000;168.17000000;228995938.96520000
SOLUSDT;173.78000000;-0.195;177.49000000;168.17000000;228990337.71790000
SOLUSDT;173.72000000;-0.126;177.49000000;168.17000000;228982058.71780000
SOLUSDT;173.79000000;-0.218;177.49000000;168.17000000;228943636.65150000
SOLUSDT;173.87000000;-0.115;177.49000000;168.17000000;228914555.79870000
SOLUSDT;173.85000000;-0.121;177.49000000;168.17000000;228898602.63630000
SOLUSDT;173.87000000;-0.121;177.49000000;168.17000000;228835900.18990000
SOLUSDT;173.86000000;-0.052;177.49000000;168.17000000;228787927.76550000
SOLUSDT;173.73000000;-0.035;177.49000000;168.17000000;228766646.89320000
SOLUSDT;173.56000000;-0.350;177.49000000;168.17000000;228732489.14550000
SOLUSDT;173.60000000;-0.772;177.49000000;168.17000000;228329066.34270000
SOLUSDT;173.59000000;-0.908;177.49000000;168.17000000;228077802.44920000
