Symbol;Price;Change24;Max24;Min24;Volume24
SPELLUSDT;0.02167000;4.383;0.02260000;0.02032000;8949544.18301000
SPELLUSDT;0.02169000;4.193;0.02260000;0.02032000;8949556.83933000
SPELLUSDT;0.02161000;4.145;0.02260000;0.02032000;8953057.57810000
SPELLUSDT;0.02157000;4.002;0.02260000;0.02032000;8958555.75631000
SPELLUSDT;0.02146000;3.664;0.02260000;0.02032000;8963409.59203000
SPELLUSDT;0.02147000;3.420;0.02260000;0.02032000;8964436.35720000
SPELLUSDT;0.02146000;3.422;0.02260000;0.02032000;8969412.44983000
SPELLUSDT;0.02155000;3.905;0.02260000;0.02032000;8962921.23775000
SPELLUSDT;0.02151000;3.463;0.02260000;0.02032000;8962062.15588000
SPELLUSDT;0.02151000;3.463;0.02260000;0.02032000;8962463.43067000
SPELLUSDT;0.02147000;3.173;0.02260000;0.02032000;8971164.41725000
SPELLUSDT;0.02141000;2.883;0.02260000;0.02032000;8972655.15295000
SPELLUSDT;0.02140000;2.835;0.02260000;0.02032000;8974166.51624000
SPELLUSDT;0.02140000;2.885;0.02260000;0.02032000;8971538.94836000
SPELLUSDT;0.02145000;3.423;0.02260000;0.02032000;8971430.56067000
SPELLUSDT;0.02139000;3.986;0.02260000;0.02032000;8962824.75560000
SPELLUSDT;0.02132000;4.187;0.02260000;0.02032000;8956504.98546000
SPELLUSDT;0.02132000;3.848;0.02260000;0.02032000;8988157.77314000
SPELLUSDT;0.02131000;3.445;0.02260000;0.02032000;8985888.78609000
SPELLUSDT;0.02132000;3.495;0.02260000;0.02032000;9025408.99757000
SPELLUSDT;0.02136000;3.544;0.02260000;0.02032000;9025487.19335000
SPELLUSDT;0.02136000;3.589;0.02260000;0.02032000;9024949.39005000
SPELLUSDT;0.02133000;3.539;0.02260000;0.02032000;9025420.51036000
SPELLUSDT;0.02138000;3.387;0.02260000;0.02032000;9024514.48876000
SPELLUSDT;0.02136000;3.139;0.02260000;0.02032000;9023170.86866000
SPELLUSDT;0.02137000;3.235;0.02260000;0.02032000;9032655.11402000
SPELLUSDT;0.02138000;2.887;0.02260000;0.02032000;9034147.30922000
SPELLUSDT;0.02138000;2.739;0.02260000;0.02032000;9034498.31732000
SPELLUSDT;0.02138000;2.690;0.02260000;0.02032000;9034806.50672000
SPELLUSDT;0.02138000;2.493;0.02260000;0.02032000;9032480.21597000
SPELLUSDT;0.02138000;2.493;0.02260000;0.02032000;9032876.83021000
SPELLUSDT;0.02138000;2.444;0.02260000;0.02032000;9033407.41040000
SPELLUSDT;0.02138000;2.640;0.02260000;0.02032000;9033976.55461000
SPELLUSDT;0.02138000;2.298;0.02260000;0.02032000;9033237.33448000
SPELLUSDT;0.02138000;2.346;0.02260000;0.02032000;9034947.66677000
SPELLUSDT;0.02138000;2.150;0.02260000;0.02032000;8996010.89352000
SPELLUSDT;0.02138000;2.248;0.02260000;0.02032000;8974973.60292000
SPELLUSDT;0.02145000;2.490;0.02260000;0.02032000;8956463.31745000
SPELLUSDT;0.02145000;2.730;0.02260000;0.02032000;8955978.01541000
SPELLUSDT;0.02143000;2.634;0.02260000;0.02032000;8951172.79555000
SPELLUSDT;0.02145000;2.634;0.02260000;0.02032000;8949506.46715000
