Symbol;Price;Change24;Max24;Min24;Volume24
STMXUSDT;0.02188000;1.343;0.02218000;0.02089000;1818550.11843000
STMXUSDT;0.02188000;1.437;0.02218000;0.02089000;1818166.10870000
STMXUSDT;0.02188000;1.484;0.02218000;0.02089000;1817921.36904000
STMXUSDT;0.02188000;1.531;0.02218000;0.02089000;1818151.34538000
STMXUSDT;0.02188000;1.484;0.02218000;0.02089000;1818490.74794000
STMXUSDT;0.02188000;1.484;0.02218000;0.02089000;1818596.29706000
STMXUSDT;0.02188000;1.484;0.02218000;0.02089000;1818596.29706000
STMXUSDT;0.02188000;1.390;0.02218000;0.02089000;1817645.14957000
STMXUSDT;0.02188000;1.390;0.02218000;0.02089000;1817645.14957000
STMXUSDT;0.02187000;1.344;0.02218000;0.02089000;1817526.25057000
STMXUSDT;0.02187000;1.485;0.02218000;0.02089000;1817263.13205000
STMXUSDT;0.02187000;1.485;0.02218000;0.02089000;1817322.50910000
STMXUSDT;0.02187000;1.485;0.02218000;0.02089000;1817361.72201000
STMXUSDT;0.02185000;1.485;0.02218000;0.02089000;1816910.52966000
STMXUSDT;0.02185000;1.392;0.02218000;0.02089000;1816922.72196000
STMXUSDT;0.02185000;1.392;0.02218000;0.02089000;1816621.94861000
STMXUSDT;0.02185000;1.392;0.02218000;0.02089000;1816621.94861000
STMXUSDT;0.02183000;1.299;0.02218000;0.02089000;1816972.38560000
STMXUSDT;0.02183000;1.299;0.02218000;0.02089000;1816972.38560000
STMXUSDT;0.02183000;1.299;0.02218000;0.02089000;1816972.38560000
STMXUSDT;0.02182000;1.253;0.02218000;0.02089000;1816994.92091000
STMXUSDT;0.02182000;1.253;0.02218000;0.02089000;1816994.92091000
STMXUSDT;0.02182000;1.253;0.02218000;0.02089000;1816994.92091000
STMXUSDT;0.02182000;1.019;0.02218000;0.02089000;1815716.13778000
STMXUSDT;0.02182000;1.019;0.02218000;0.02089000;1815716.13778000
STMXUSDT;0.02182000;0.692;0.02218000;0.02089000;1815680.47218000
STMXUSDT;0.02182000;0.739;0.02218000;0.02089000;1815610.46082000
STMXUSDT;0.02181000;0.739;0.02218000;0.02089000;1815309.62508000
STMXUSDT;0.02181000;0.693;0.02218000;0.02089000;1817513.70426000
STMXUSDT;0.02181000;0.832;0.02218000;0.02089000;1816413.15586000
STMXUSDT;0.02181000;0.832;0.02218000;0.02089000;1816413.15586000
STMXUSDT;0.02181000;0.832;0.02218000;0.02089000;1816413.15586000
STMXUSDT;0.02181000;0.832;0.02218000;0.02089000;1816413.15586000
